mp,timeStamp,mean,skew
10.78,1672418009258,4919.312245808825,-4908.532245808825
10.78,1672418011882,4901.64817632353,-4890.86817632353
10.78,1672418014803,4900.711208574938,-4889.931208574938
10.78,1672418017935,4898.162553007378,-4887.382553007378
10.78,1672418020975,4898.053487843424,-4887.273487843424
10.78,1672418023814,4895.032569483392,-4884.252569483392
10.78,1672418026792,4895.146000875524,-4884.366000875524
10.78,1672418044925,4863.671594740407,-4852.8915947404075
10.78,1672418047959,4860.294542869111,-4849.514542869111
10.78,1672418051017,4859.728016834393,-4848.9480168343935
10.78,1672418053948,4859.232565952382,-4848.452565952382
10.78,1672418057455,4858.795604317106,-4848.015604317106
10.78,1672418060041,4858.418256452402,-4847.638256452402
10.78,1672418063202,4858.425370801851,-4847.645370801852
10.78,1672418066067,4860.199050333456,-4849.419050333457
10.78,1672418069142,4860.950740928447,-4850.170740928447
10.78,1672418075061,4860.786219719659,-4850.006219719659
10.78,1672418084195,4858.2108718186955,-4847.430871818696
10.78,1672418093346,4854.116928379128,-4843.336928379128
10.79,1672418120679,4906.141997538609,-4895.351997538609
10.79,1672418123862,4919.546435363601,-4908.756435363601
10.79,1672418126982,4933.81681550055,-4923.02681550055
10.79,1672418129876,4945.746183973389,-4934.956183973389
10.79,1672418133027,4957.138731502633,-4946.348731502633
10.79,1672418135908,4968.216483732161,-4957.426483732161
10.79,1672418139000,4978.818698181355,-4968.028698181355
10.79,1672418148942,5010.808920944317,-5000.018920944317
10.79,1672418151236,5021.02172700108,-5010.23172700108
10.79,1672418163535,5053.665379773179,-5042.875379773179
10.79,1672418166601,5060.603378380772,-5049.813378380772
10.79,1672418169733,5067.291739618039,-5056.501739618039
10.79,1672418185330,5098.4701932385,-5087.6801932385
10.79,1672418191653,5108.922693221476,-5098.132693221476
10.79,1672418194532,5113.131290176595,-5102.341290176595
10.79,1672418197689,5117.206750383366,-5106.416750383366
10.79,1672418200657,5121.156091554316,-5110.366091554316
10.79,1672418206863,5127.103265413098,-5116.313265413098
10.79,1672418216269,5136.232113166971,-5125.4421131669715
10.79,1672418219694,5139.499265327951,-5128.7092653279515
10.79,1672418223457,5142.886625295897,-5132.096625295897
10.79,1672418227122,5146.180774608064,-5135.390774608064
10.79,1672418230936,5149.854475832365,-5139.064475832365
10.79,1672418234755,5154.7867466317975,-5143.996746631798
10.78,1672418238833,5150.466220782677,-5139.686220782677
10.78,1672418242984,5146.813765392111,-5136.0337653921115
10.78,1672418247021,5143.430014468143,-5132.650014468143
10.79,1672418251352,5147.099191349034,-5136.309191349034
10.79,1672418264928,5158.975730079723,-5148.185730079723
10.79,1672418269805,5159.445835701069,-5148.655835701069
10.79,1672418274802,5161.076770937279,-5150.2867709372795
