bc,ac,tbv,tav,time,mp,minBid
3943187.50,34388238.05,445697.77,336641.47,1676644586283,19.27,19.2
3923109.03,34384876.25,444645.93,336502.85,1676644589287,19.27,19.2
3928824.77,34387471.44,444942.89,336638.04,1676644592227,19.27,19.2
3940824.88,34376426.46,445565.60,336071.11,1676644595297,19.28,19.2
3936491.85,34353682.55,445334.88,334884.75,1676644598651,19.29,19.2
3938058.36,34390217.01,445412.88,336686.50,1676644601248,19.28,19.2
3947096.71,34380942.50,445880.78,336124.51,1676644604319,19.3,19.2
3945647.04,34385797.86,445794.00,336370.08,1676644607220,19.29,19.2
3927562.97,34380557.63,444864.77,336181.70,1676644610435,19.28,19.2
3929049.93,34381602.54,444948.57,336208.17,1676644613197,19.28,19.2
3942093.62,34374683.00,445622.40,335844.45,1676644616301,19.28,19.2
3931041.76,34373476.91,445050.94,335793.94,1676644619246,19.27,19.2
3924033.45,34379079.14,444712.56,336097.40,1676644622218,19.26,19.19
3894626.93,34370213.79,443165.71,335619.88,1676644625350,19.27,19.19
3925032.27,34382300.45,444794.27,336272.04,1676644628375,19.26,19.18
3925409.49,34403696.48,444814.46,337365.75,1676644631265,19.25,19.18
3936588.89,34419287.36,445396.97,338171.48,1676644634176,19.26,19.18
3938180.89,34418043.82,445478.92,338106.97,1676644637377,19.26,19.18
3912118.67,34428697.09,444109.97,338649.13,1676644640245,19.26,19.18
3906684.91,34427229.39,443830.49,338573.79,1676644643338,19.25,19.18
3915711.24,34428220.19,444293.20,338617.17,1676644646302,19.27,19.18
3938052.68,34416174.62,445471.51,338016.06,1676644649251,19.26,19.18
3938418.00,34419971.63,445489.49,338214.81,1676644652327,19.26,19.18
3940087.14,34425587.04,445559.16,338495.91,1676644655179,19.27,19.18
3941155.89,34417937.73,445611.61,338093.39,1676644658265,19.28,19.18
3942222.21,34424335.25,445664.16,338450.53,1676644661352,19.26,19.18
3941520.35,34386047.74,445624.22,336461.82,1676644664327,19.28,19.18
3905434.38,34410157.20,443730.10,337704.46,1676644667393,19.27,19.18
3924772.78,34427137.24,444759.70,338583.34,1676644670332,19.26,19.18
3938212.21,34417584.14,445484.61,338085.80,1676644673352,19.26,19.18
3934734.97,34432728.84,445304.50,338872.38,1676644676362,19.26,19.18
3932763.41,34424495.05,445202.72,338448.80,1676644679373,19.26,19.18
3932285.24,34426207.77,445173.48,338537.75,1676644682769,19.26,19.18
3939708.74,34414602.15,445559.30,337936.95,1676644685551,19.26,19.18
3932960.31,34424649.28,445203.22,338464.27,1676644688289,19.26,19.18
3936922.16,34410113.23,445411.98,337712.96,1676644691349,19.25,19.18
3934108.30,34427431.43,445265.97,338611.45,1676644694703,19.26,19.18
3930366.12,34419451.04,445071.66,338196.51,1676644697285,19.25,19.18
3936192.55,34411244.33,445372.16,337776.73,1676644700371,19.25,19.18
3931881.44,34427149.57,445148.12,338602.87,1676644703352,19.25,19.18
3926173.76,34420377.58,444847.46,338268.32,1676644706300,19.25,19.17
3942480.91,34432246.64,445700.88,338889.31,1676644709249,19.25,19.17
3941648.59,34432022.29,445657.09,338877.45,1676644712390,19.25,19.17
3941225.06,34438614.27,445635.15,339220.29,1676644715261,19.25,19.17
3950236.27,34410898.81,446103.70,337781.11,1676644718264,19.25,19.17
3943542.62,34413209.09,445727.99,337903.13,1676644721318,19.26,19.17
3950348.96,34426309.48,446066.16,338572.08,1676644724452,19.26,19.17
3951459.43,34422386.54,446124.54,338376.27,1676644727193,19.26,19.17
3949938.04,34429543.58,446044.58,338747.99,1676644730366,19.26,19.17
3962482.82,34402446.13,446675.99,337334.35,1676644733275,19.27,19.17
3966977.21,34404579.12,446898.58,337414.71,1676644736382,19.28,19.17
3964886.38,34413700.91,446785.60,337884.99,1676644739382,19.29,19.17
3968640.56,34421041.26,446976.69,338264.98,1676644742356,19.29,19.17
3960272.97,34429724.78,446519.28,338706.22,1676644745312,19.3,19.17
3973992.23,34413767.79,447220.06,337869.25,1676644748249,19.3,19.17
3962454.48,34415501.24,446621.05,337916.70,1676644751223,19.3,19.17
3968061.25,34417242.58,446912.78,338006.52,1676644754263,19.3,19.17
3964358.95,34419451.82,446720.16,338117.11,1676644758590,19.3,19.17
3961769.49,34410710.80,446582.90,337663.99,1676644761305,19.31,19.17
3962557.31,34419135.58,446626.16,338100.50,1676644765809,19.3,19.17
3966413.41,34421985.00,446828.07,338246.67,1676644768719,19.3,19.17
3958128.45,34425346.33,446394.51,338422.17,1676644771616,19.3,19.17
3935062.73,34421810.49,445199.39,338240.36,1676644774971,19.29,19.17
3960031.04,34428803.02,446495.52,338605.82,1676644778942,19.3,19.17
3952248.48,34424903.67,446092.94,338410.80,1676644782401,19.29,19.17
3954501.95,34410674.76,446228.41,337691.37,1676644785841,19.28,19.17
3962991.80,34423002.03,446670.66,338326.94,1676644789344,19.27,19.17
3963790.85,34422986.61,446712.48,338326.84,1676644792880,19.28,19.17
3951510.29,34421702.60,446087.31,338260.86,1676644796401,19.27,19.17
3958029.03,34412534.24,446421.72,337786.86,1676644800109,19.27,19.17
3951793.87,34369342.43,446102.51,335624.08,1676644803980,19.26,19.17
3953457.33,34377638.87,446216.91,336064.39,1676644808972,19.25,19.17
3941296.85,34378038.63,445592.04,336086.55,1676644811188,19.25,19.17
3950903.53,34390405.72,446092.53,336735.31,1676644814181,19.24,19.17
3955363.28,34379183.34,446325.69,336188.31,1676644818249,19.24,19.17
3939070.16,34378707.46,445475.33,336168.05,1676644821403,19.24,19.17
3957817.04,34373785.26,446451.73,335909.32,1676644824366,19.24,19.17
3958044.73,34376591.82,446462.32,336053.51,1676644827456,19.24,19.17
3946911.24,34372342.86,445881.01,335830.59,1676644830420,19.25,19.17
3952313.76,34372277.18,446163.47,335828.95,1676644833373,19.24,19.17
3946046.53,34368031.17,445836.16,335646.43,1676644838150,19.24,19.17
3951736.87,34392624.85,446135.34,336915.47,1676644842978,19.24,19.17
3949254.82,34401008.42,446005.49,337351.11,1676644845907,19.24,19.17
3949739.43,34402910.67,446033.74,337451.11,1676644850856,19.24,19.17
3944900.75,34401780.33,445804.46,337397.60,1676644856005,19.23,19.16
3954520.85,34383102.40,446307.38,336428.20,1676644859009,19.23,19.16
3939906.02,34395042.06,445577.83,337043.19,1676644864434,19.22,19.15
3954248.24,34382245.61,446322.07,336376.86,1676644867673,19.23,19.15
3954704.57,34390734.13,446333.35,336810.16,1676644873314,19.25,19.15
3964347.74,34386990.98,446826.35,336603.26,1676644878998,19.26,19.15
3950232.96,34402467.19,446066.42,337377.44,1676644884768,19.26,19.15
3932200.56,34434920.40,445123.18,339057.71,1676644890812,19.25,19.15
3944227.49,34416511.35,445751.23,338103.56,1676644893753,19.25,19.15
3924050.87,34393684.32,444788.29,336936.20,1676644900041,19.22,19.14
3907849.82,34396072.29,443975.89,337055.74,1676644906402,19.23,19.14
3912192.63,34422261.16,444197.69,338464.34,1676644913397,19.22,19.14
3935921.97,34399801.46,445393.61,337290.06,1676644916415,19.24,19.14
3924991.66,34413657.71,444807.53,338004.81,1676644919404,19.24,19.14
3917439.29,34401037.79,444401.95,337317.36,1676644927424,19.25,19.14
3921953.02,34415895.31,444638.87,338089.24,1676644930349,19.25,19.14
3935090.38,34401781.63,445303.00,337350.71,1676644938123,19.26,19.14
3929232.79,34358038.70,444951.91,335036.94,1676644947543,19.29,19.14
3933527.13,34355245.04,445166.97,334888.88,1676644956027,19.29,19.14
3936448.77,34372413.34,445277.78,335783.55,1676644964469,19.29,19.14
3931117.89,34356420.77,444999.57,334947.39,1676644972713,19.29,19.14
3925951.22,34394935.00,444733.60,336935.04,1676644981052,19.28,19.14
3930029.73,34407723.51,444957.74,337604.10,1676644988808,19.27,19.14
3918333.14,34394244.93,444344.51,336900.93,1676644996605,19.28,19.14
3933682.82,34391499.37,445139.00,336751.54,1676645004605,19.28,19.14
3933843.39,34407051.23,445123.38,337563.64,1676645012770,19.28,19.14
3939515.90,34398773.37,445432.78,337141.77,1676645020888,19.28,19.14
3935595.26,34404703.78,445216.16,337447.31,1676645029129,19.28,19.14
3933735.90,34396428.54,445118.05,337016.84,1676645038597,19.28,19.14
3942468.66,34372773.54,445552.71,335915.99,1676645048544,19.3,19.14
3942024.42,34347256.18,445504.18,334359.56,1676645057882,19.33,19.14
3945961.52,34360001.21,445708.31,335020.80,1676645068339,19.33,19.14
3940791.17,34363844.09,445408.67,335214.81,1676645077525,19.33,19.14
3923093.55,34375182.17,444509.49,335846.44,1676645086811,19.31,19.14
5291629.35,34897880.84,516426.60,362738.55,1676645096496,19.31,19.14
3936397.72,34392756.56,445081.34,336666.85,1676645106387,19.28,19.14
3929993.08,34396506.59,444803.22,336924.04,1676645116068,19.27,19.14
3938787.69,34397689.76,445261.86,336986.34,1676645119007,19.26,19.14
3946249.60,34397586.20,445661.46,336979.29,1676645122027,19.26,19.14
3941030.88,34403739.28,445430.74,337313.34,1676645132169,19.26,19.14
3939950.71,34402410.12,445375.73,337254.77,1676645134999,19.25,19.14
3944837.42,34396597.44,445660.28,336965.72,1676645145491,19.24,19.14
3944062.73,34372826.41,445628.76,335752.16,1676645156963,19.23,19.14
3941932.26,34379545.82,445520.57,336100.12,1676645160311,19.22,19.14
3899557.15,34366178.26,443422.59,335410.47,1676645162873,19.21,19.14
3945669.84,34361663.06,445826.57,335229.27,1676645165889,19.23,19.14
3939279.10,34367739.09,445541.24,335571.84,1676645176897,19.22,19.14
3949992.85,34372918.12,446100.58,335834.20,1676645180036,19.22,19.14
3948905.67,34371579.34,446115.20,335790.50,1676645191334,19.2,19.13
3939762.65,34371131.76,445623.29,335755.38,1676645194379,19.21,19.13
3941469.35,34371719.79,445713.59,335788.75,1676645197294,19.2,19.12
3948122.60,34381590.43,446058.17,336372.20,1676645200557,19.2,19.12
3941519.05,34375862.97,445703.62,336071.76,1676645203310,19.2,19.12
3949592.16,34376679.65,446122.21,336112.43,1676645206350,19.21,19.12
3943928.89,34389215.30,445788.08,336741.47,1676645218646,19.22,19.12
3942249.82,34369775.41,445804.92,335759.88,1676645231250,19.19,19.12
3924049.17,34373457.22,444852.65,335951.75,1676645234259,19.19,19.11
3929513.37,34390015.25,445166.11,336825.56,1676645237195,19.18,19.1
3924369.00,34388695.77,444917.49,336811.12,1676645250244,19.16,19.09
3939537.74,34366361.41,445762.67,335652.96,1676645253115,19.16,19.08
3938157.67,34330377.15,445790.36,333862.13,1676645266513,19.17,19.08
3927636.42,34335371.81,445354.74,334139.29,1676645269392,19.15,19.07
3921097.73,34381874.81,445037.16,336557.05,1676645272326,19.13,19.05
3911918.26,34316679.99,444914.66,333254.51,1676645286286,19.12,19.05
3926525.93,34356718.80,445470.83,335343.04,1676645300224,19.12,19.04
3928691.63,34359718.87,445586.14,335530.48,1676645314421,19.12,19.04
3929940.07,34381052.89,445590.59,336636.57,1676645328526,19.12,19.04
3935239.87,34379204.06,445846.34,336541.50,1676645331598,19.12,19.04
3930926.83,34384862.12,445694.63,337010.08,1676645346211,19.1,19.03
3927247.94,34375033.08,445504.76,336497.19,1676645349094,19.1,19.03
3927756.51,34381911.89,445537.19,336863.79,1676645352081,19.1,19.02
3909428.52,34379895.63,444650.91,336804.69,1676645367174,19.07,19
3929551.27,34382885.74,446072.83,336956.87,1676645382391,19.1,19
3902698.42,34381384.00,444584.48,336869.53,1676645397703,19.09,19
3811651.64,34264904.48,439846.18,330792.93,1676645400681,19.08,19
3908296.70,34381370.99,444972.99,336877.33,1676645416566,19.08,19
3903336.74,34370747.31,444723.85,336341.11,1676645419811,19.07,18.99
3886875.04,34349646.38,444454.43,335395.45,1676645435839,18.99,18.91
3870521.87,34376043.79,443678.69,336951.26,1676645438839,18.95,18.87
3856696.79,34354110.12,443106.47,335815.40,1676645441937,18.92,18.85
3894727.94,34333779.39,444959.54,335072.77,1676645458643,18.99,18.85
3878611.89,34356214.43,444228.39,336175.61,1676645475449,18.97,18.85
3884124.55,34315291.93,444506.31,334071.36,1676645492630,18.99,18.85
3897080.74,34362571.26,445065.43,336464.20,1676645509622,19.02,18.85
3895412.61,34365740.20,444844.16,336642.38,1676645513024,19.03,18.85
3895949.78,34361665.84,444872.01,336426.68,1676645515658,19.03,18.85
3895854.08,34373659.18,444828.21,337004.02,1676645533586,19.04,18.85
3899621.15,34336592.90,444987.96,335024.01,1676645555139,19.04,18.85
3867589.65,34376289.31,443270.05,337160.86,1676645573341,19.05,18.85
3880939.95,34398578.17,444091.03,338422.92,1676645591628,19,18.85
3888408.44,33972080.70,444591.31,316596.29,1676645610047,19,18.85
3876908.60,33977011.88,443904.60,316871.42,1676645630831,18.99,18.85
3881892.99,33965595.26,444128.32,316266.89,1676645633822,18.99,18.85
3866897.38,33974791.02,443286.74,316737.94,1676645636500,19,18.85
3864676.05,34010539.47,443169.35,318619.79,1676645639346,18.99,18.85
3863766.83,33986861.91,443163.75,317377.15,1676645659513,18.99,18.85
3866864.39,34004718.70,443327.24,318317.08,1676645662454,18.98,18.85
3861775.98,33962750.79,443075.51,316117.74,1676645665352,18.98,18.85
3858460.51,33966288.62,442900.25,316304.35,1676645668389,18.97,18.85
3867934.28,34048718.21,443463.71,320781.64,1676645688968,18.94,18.85
3856148.94,33824180.49,443004.54,309055.94,1676645710652,18.91,18.83
3844232.78,34030140.97,442449.24,319955.03,1676645713893,18.9,18.82
3851923.00,34001885.38,442885.27,318461.49,1676645716778,18.92,18.82
3878658.03,33974936.24,444449.85,316972.62,1676645738044,18.95,18.82
3876734.59,33974229.00,444347.77,316936.56,1676645741127,18.95,18.82
3888255.96,33953668.18,444834.37,315955.98,1676645744102,18.95,18.82
3883935.40,33964470.50,444605.79,316526.97,1676645747043,18.95,18.82
3884494.91,33963606.78,444636.90,316481.04,1676645750151,18.95,18.82
3887374.49,33912468.85,444779.56,313776.05,1676645753011,18.96,18.82
3881886.43,33919456.61,444443.18,314087.12,1676645756020,18.98,18.82
3869947.34,33980323.87,443858.65,317193.31,1676645778862,18.97,18.82
3885156.57,33977517.24,444624.32,317071.21,1676645801906,18.98,18.82
3874377.39,33949816.65,444054.18,315608.84,1676645804959,18.98,18.82
3878555.78,33955330.64,444250.18,315941.82,1676645808010,18.99,18.82
3873108.52,33967696.86,444011.38,316525.46,1676645831889,18.97,18.82
3879351.43,33957704.16,444246.64,316046.49,1676645855956,19.01,18.82
3885001.73,33983519.72,444518.48,317425.31,1676645880132,18.99,18.82
3887523.36,33977871.90,444664.87,317072.14,1676645904459,18.99,18.82
3905456.73,33963345.63,445475.92,316277.86,1676645929062,19,18.82
3880137.63,33984436.37,444143.23,317367.21,1676645953691,19,18.82
3902794.22,33941947.65,445222.75,315017.78,1676645983223,19.05,18.82
3881839.10,33953300.31,444128.43,315630.02,1676646008428,19.03,18.82
3840323.26,33647596.74,441865.03,299510.94,1676646033942,19.06,18.82
3875177.75,33912627.38,443687.31,313365.63,1676646036895,19.07,18.82
3890986.96,33953342.58,444513.15,315466.18,1676646062486,19.08,18.82
3898673.34,33946182.76,444672.04,315154.22,1676646088243,19.09,18.82
3889765.59,33935609.63,444163.04,314662.86,1676646114178,19.06,18.82
4033457.61,33955202.29,451575.26,315581.18,1676646140460,19.09,18.82
3898369.05,33957971.16,444474.64,315619.82,1676646166695,19.09,18.82
3947684.22,33928373.16,447012.21,313959.33,1676646193729,19.12,18.82
3899133.72,33952107.32,444471.52,315214.87,1676646220588,19.09,18.82
3916734.72,33921828.16,445314.91,313540.29,1676646247526,19.14,18.82
4048042.24,33951496.41,452178.75,314873.87,1676646274578,19.17,18.82
3904091.28,33959891.11,444602.34,315386.04,1676646301891,19.14,18.82
3907128.21,33967792.20,444703.58,315798.52,1676646304867,19.14,18.82
3900064.93,33962208.05,444395.11,315608.34,1676646336619,19.1,18.82
3914467.71,33953926.49,445156.76,315167.84,1676646364546,19.11,18.82
3910480.96,33970636.65,444928.14,316049.11,1676646392706,19.09,18.82
3920044.41,33940434.50,445480.72,314532.82,1676646421603,19.1,18.82
3913627.03,33951052.09,445033.54,315024.47,1676646450122,19.12,18.82
3912213.34,33975718.22,444965.02,316304.34,1676646479136,19.12,18.82
3911692.94,33970758.03,444937.09,316044.83,1676646482440,19.13,18.82
3919019.94,33979779.27,445307.24,316559.07,1676646511732,19.12,18.82
3904097.91,33948611.58,444553.25,314964.68,1676646541413,19.1,18.82
3921121.82,33939627.64,445456.67,314483.08,1676646544730,19.1,18.82
3914540.44,33958488.26,445111.05,315469.57,1676646547497,19.1,18.82
3918595.03,33957842.85,445316.69,315442.62,1676646550215,19.1,18.82
3919144.45,33944412.65,445419.68,314789.86,1676646580732,19.08,18.82
3893270.23,33966946.49,444090.18,315958.39,1676646611935,19.07,18.82
3877942.11,33964001.40,443289.22,315807.70,1676646614601,19.06,18.82
3894446.50,33972544.83,444197.34,316257.25,1676646617663,19.06,18.82
3919212.27,33956652.10,445482.36,315459.15,1676646649529,19.08,18.82
3890581.66,33968699.30,443889.51,315975.92,1676646681663,19.12,18.82
3925616.75,33959413.20,445717.02,315490.50,1676646684618,19.12,18.82
3913082.85,33969849.13,445091.93,316060.58,1676646717092,19.1,18.82
3912360.40,33974922.45,445054.17,316326.45,1676646720262,19.1,18.82
3908973.82,33964163.42,444844.52,315758.90,1676646753222,19.13,18.82
3923555.48,33943976.08,445601.83,314667.71,1676646756313,19.14,18.82
3912370.95,33963198.81,444916.38,315656.08,1676646789842,19.14,18.82
3928100.18,33951928.52,445731.26,315026.78,1676646793109,19.16,18.82
3908505.76,33955578.98,444616.59,315109.47,1676646827537,19.15,18.82
3913290.07,33967424.89,444822.31,315716.59,1676646862392,19.14,18.82
3921797.31,33949052.16,445266.78,314863.35,1676646865360,19.15,18.82
3922527.33,33932944.12,445379.03,314064.31,1676646901635,19.13,18.82
3907467.44,33961394.63,444636.33,315458.43,1676646937854,19.1,18.82
3915724.00,33941022.97,445158.76,314482.38,1676646974105,19.08,18.82
3917606.94,33973949.81,445203.00,316187.59,1676647010619,19.09,18.82
3914427.40,33948667.76,445036.12,314991.68,1676647047221,19.09,18.82
3921941.67,33957629.84,445422.01,315441.34,1676647050703,19.11,18.82
3925832.13,33962299.70,445591.38,315585.58,1676647088064,19.14,18.82
3919411.15,33967519.57,445217.59,315839.44,1676647125758,19.13,18.82
3938892.16,33985515.66,446223.49,316613.86,1676647164470,19.18,18.82
3939916.46,33963095.10,446247.18,315427.66,1676647202972,19.19,18.82
4065739.50,33975589.42,452732.27,315875.87,1676647241728,19.22,18.82
4052865.01,33957307.39,451958.89,314885.51,1676647280673,19.23,18.82
