mp,timeStamp,mean,skew
11.57,1673022425832,3300.309801034484,-3288.7398010344837
11.58,1673022428913,3292.4879213523136,-3280.9079213523137
11.58,1673022431890,3262.975703054892,-3251.3957030548922
11.58,1673022434885,3226.8364925089613,-3215.2564925089614
11.58,1673022440821,3192.650441610975,-3181.070441610975
11.58,1673022443925,3182.799962965229,-3171.219962965229
11.58,1673022446837,3180.1640179679066,-3168.5840179679067
11.57,1673022453310,3196.1204301795888,-3184.5504301795886
11.57,1673022462302,3213.3879080210563,-3201.817908021056
11.57,1673022464982,3214.672539789195,-3203.102539789195
11.57,1673022470999,3220.071680175195,-3208.501680175195
11.57,1673022474036,3229.572081218269,-3218.002081218269
11.57,1673022480065,3241.3656883963663,-3229.795688396366
11.57,1673022483137,3272.21633106513,-3260.6463310651297
11.58,1673022486100,3298.870153813762,-3287.290153813762
11.57,1673022489285,3319.7744899836616,-3308.2044899836615
11.58,1673022492094,3319.8592844482687,-3308.2792844482688
11.58,1673022498660,3321.240362258351,-3309.660362258351
11.58,1673022501411,3322.696118970109,-3311.1161189701093
11.57,1673022510345,3358.9539368698806,-3347.3839368698805
11.57,1673022513390,3375.2422790394926,-3363.6722790394924
11.58,1673022516371,3392.0679131609736,-3380.4879131609737
11.57,1673022519390,3405.3937153321435,-3393.8237153321434
11.57,1673022522432,3418.726581304554,-3407.156581304554
11.58,1673022525475,3422.994696637599,-3411.4146966375993
11.57,1673022531527,3435.4265018520186,-3423.8565018520185
11.57,1673022537603,3455.866299887596,-3444.296299887596
11.57,1673022543699,3474.114073441993,-3462.5440734419926
11.57,1673022550227,3490.5658061825334,-3478.995806182533
11.57,1673022565166,3533.5977444528676,-3522.0277444528674
11.57,1673022571515,3531.0719734043214,-3519.5019734043212
11.57,1673022574163,3532.1016449066783,-3520.531644906678
11.57,1673022583481,3535.4336038840847,-3523.8636038840846
11.57,1673022586505,3537.126263937001,-3525.556263937001
11.57,1673022592672,3538.386386192473,-3526.8163861924727
11.57,1673022598654,3539.037284129502,-3527.467284129502
11.57,1673022607956,3540.949597628055,-3529.379597628055
11.57,1673022610984,3542.960955604714,-3531.390955604714
11.56,1673022617300,3538.3170242110364,-3526.7570242110364
11.56,1673022620123,3531.4674669878045,-3519.9074669878046
11.56,1673022626281,3521.5919783257154,-3510.0319783257155
11.57,1673022629640,3526.4574446949036,-3514.8874446949035
11.57,1673022632617,3529.4597942799783,-3517.889794279978
11.57,1673022635683,3530.5541143087794,-3518.984114308779
11.56,1673022654509,3518.3133840988858,-3506.753384098886
11.57,1673022665272,3524.738334493128,-3513.168334493128
11.57,1673022669280,3526.6415033116878,-3515.0715033116876
11.57,1673022676652,3530.251598849357,-3518.6815988493568
11.57,1673022684066,3532.961745161781,-3521.391745161781
11.57,1673022695030,3538.9352605465456,-3527.3652605465454
11.57,1673022703589,3544.601490776371,-3533.031490776371
11.57,1673022711717,3547.536957181067,-3535.966957181067
11.57,1673022716996,3549.0959260705968,-3537.5259260705966
11.57,1673022722344,3551.047333525086,-3539.4773335250857
11.57,1673022727867,3554.1746412853595,-3542.6046412853593
11.57,1673022739828,3554.9670179541213,-3543.397017954121
11.57,1673022745987,3557.7279659810697,-3546.1579659810695
11.57,1673022758248,3561.736917900564,-3550.166917900564
11.57,1673022764588,3562.456409065827,-3550.8864090658267
11.58,1673022774173,3558.948034423452,-3547.368034423452
11.57,1673022784066,3552.3604553315686,-3540.7904553315684
11.57,1673022791057,3551.3408845245935,-3539.7708845245934
11.57,1673022798211,3550.4872007748745,-3538.9172007748743
11.57,1673022805437,3550.2094384423744,-3538.6394384423743
11.57,1673022812828,3550.33816857192,-3538.76816857192
11.57,1673022820413,3550.3614207748196,-3538.7914207748195
11.57,1673022831253,3550.207875360809,-3538.6378753608087
11.57,1673022839038,3550.2601791433926,-3538.6901791433925
11.57,1673022846891,3550.385782824787,-3538.8157828247868
11.57,1673022855155,3550.610334592308,-3539.0403345923078
11.58,1673022863432,3549.29997266602,-3537.71997266602
11.58,1673022871581,3547.0143737119197,-3535.4343737119198
11.58,1673022879852,3545.7203701850813,-3534.1403701850813
11.58,1673022889983,3543.967972717997,-3532.387972717997
11.58,1673022899005,3542.2316646200793,-3530.6516646200794
11.58,1673022907711,3540.9513868331173,-3529.3713868331174
11.58,1673022929280,3534.785154256999,-3523.205154256999
11.58,1673022939031,3532.8258703297174,-3521.2458703297175
11.58,1673022949383,3531.226800710002,-3519.646800710002
11.58,1673022968826,3523.5174716819297,-3511.9374716819298
11.59,1673022987370,3523.3893979113573,-3511.799397911357
11.59,1673022999063,3524.2656064118996,-3512.6756064118995
