time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1674243381862,16.58,167,4603635.90,9712891.48,1099194,1674242282682,1674243381876,16.56
1674243527959,16.60,49,4601835.85,9742921.84,647959,1674242911457,1674243559416,16.57
1674243527959,16.60,50,4601835.85,9742921.84,665185,1674242894232,1674243559417,16.57
1674243592575,16.61,22,4617520.95,9701403.85,304008,1674243321501,1674243625509,16.6
1674243592575,16.61,23,4617520.95,9701403.85,306917,1674243318592,1674243625509,16.6
1674243592575,16.61,25,4617520.95,9701403.85,309920,1674243315589,1674243625509,16.6
1674243592575,16.61,26,4617520.95,9701403.85,309920,1674243315589,1674243625509,16.6
1674243592575,16.61,27,4617520.95,9701403.85,309920,1674243315589,1674243625509,16.6
1674243592575,16.61,28,4617520.95,9701403.85,309920,1674243315589,1674243625509,16.6
1674243592575,16.61,41,4617520.95,9701403.85,591786,1674243033723,1674243625509,16.6
1674243592575,16.61,42,4617520.95,9701403.85,615780,1674243009730,1674243625510,16.6
1674243592575,16.61,46,4617520.95,9701403.85,671772,1674242953738,1674243625510,16.6
1674243592575,16.61,47,4617520.95,9701403.85,671772,1674242953738,1674243625510,16.6
1674243592575,16.61,48,4617520.95,9701403.85,677490,1674242948020,1674243625510,16.6
1674243592575,16.61,49,4617520.95,9701403.85,678207,1674242947303,1674243625510,16.6
1674243592575,16.61,50,4617520.95,9701403.85,696901,1674242928609,1674243625510,16.6
1674243592575,16.61,53,4617520.95,9701403.85,748863,1674242876647,1674243625510,16.6
1674243592575,16.61,54,4617520.95,9701403.85,768290,1674242857221,1674243625511,16.6
1674243592575,16.61,55,4617520.95,9701403.85,768819,1674242856692,1674243625511,16.6
1674243592575,16.61,24,4617520.95,9701403.85,309920,1674243315589,1674243625509,16.6
1674243592575,16.61,21,4617520.95,9701403.85,275983,1674243349526,1674243625509,16.6
1674243592575,16.61,20,4617520.95,9701403.85,250145,1674243375364,1674243625509,16.6
1674243656722,16.65,14,4587802.94,9714500.31,262703,1674243424696,1674243687399,16.61
1674243656722,16.65,13,4587802.94,9714500.31,234178,1674243453220,1674243687398,16.61
1674243656722,16.65,12,4587802.94,9714500.31,205430,1674243481968,1674243687398,16.61
1674244096473,16.65,23,4590157.53,9494503.10,119409,1674244013862,1674244133271,16.61
1674244096473,16.65,24,4590157.53,9494503.10,119409,1674244013862,1674244133271,16.61
1674244096473,16.65,30,4590157.53,9494503.10,119409,1674244013862,1674244133271,16.61
1674244096473,16.65,31,4590157.53,9494503.10,119409,1674244013862,1674244133271,16.61
1674244096473,16.65,32,4590157.53,9494503.10,119409,1674244013862,1674244133271,16.61
1674244096473,16.65,20,4590157.53,9494503.10,119408,1674244013862,1674244133270,16.61
1674244096473,16.65,3,4590157.53,9494503.10,74195,1674244059072,1674244133267,16.61
1674244410145,16.69,19,4609096.38,9683425.38,275762,1674244177537,1674244453299,16.68
