mp,timeStamp,mean,skew
11.56,1686936592540,3202.0863205569003,-3190.5263205569004
11.56,1686936598462,3231.7164618011534,-3220.1564618011535
11.57,1686936601599,3285.7392345138055,-3274.1692345138053
11.57,1686936604522,3250.1062233436537,-3238.5362233436535
11.57,1686936607869,3247.0216950495965,-3235.4516950495963
11.57,1686936610714,3256.0944250926696,-3244.5244250926694
11.57,1686936613482,3252.8526944734926,-3241.2826944734925
11.57,1686936618016,3251.553456851849,-3239.983456851849
11.57,1686936620199,3256.9865961982923,-3245.416596198292
11.57,1686936625833,3258.954463797794,-3247.3844637977936
11.57,1686936628961,3261.9806841495542,-3250.410684149554
11.57,1686936631654,3262.8224008195907,-3251.2524008195905
11.57,1686936634637,3264.830494306626,-3253.260494306626
11.57,1686936637668,3271.6661882482563,-3260.096188248256
11.57,1686936640730,3283.6119671948754,-3272.0419671948753
11.57,1686936643704,3298.818598618265,-3287.2485986182646
11.57,1686936647035,3311.4728983339082,-3299.902898333908
11.57,1686936649746,3320.9859141906254,-3309.4159141906252
11.57,1686936653022,3331.9746188874583,-3320.404618887458
11.57,1686936655719,3342.191192091234,-3330.6211920912338
11.57,1686936658837,3348.8610335722583,-3337.291033572258
11.57,1686936661775,3358.5915459700554,-3347.0215459700553
11.57,1686936664860,3367.181056914913,-3355.6110569149128
11.57,1686936667791,3373.760477356553,-3362.190477356553
11.57,1686936670940,3380.123739994933,-3368.553739994933
11.57,1686936674212,3383.965361057378,-3372.3953610573776
11.57,1686936676909,3389.146518242788,-3377.5765182427876
11.57,1686936679904,3391.9771895154204,-3380.40718951542
11.57,1686936682942,3394.4300147099125,-3382.8600147099123
11.57,1686936686106,3396.743357757022,-3385.1733577570217
11.57,1686936689015,3402.3753150625716,-3390.8053150625715
11.57,1686936692154,3406.4238850770735,-3394.8538850770733
11.57,1686936695104,3410.9092298656888,-3399.3392298656886
11.57,1686936698109,3413.366152394229,-3401.796152394229
11.57,1686936701168,3416.336834664543,-3404.766834664543
11.57,1686936704063,3420.977535148082,-3409.407535148082
11.57,1686936707179,3424.298309039974,-3412.7283090399737
11.57,1686936710228,3429.4490349537796,-3417.8790349537794
11.57,1686936713264,3433.7400958530798,-3422.1700958530796
11.57,1686936716163,3437.8984027210695,-3426.3284027210693
11.57,1686936719284,3443.7476031801934,-3432.1776031801933
11.57,1686936722247,3449.0776520982204,-3437.50765209822
11.57,1686936725303,3453.4247034160894,-3441.8547034160893
11.57,1686936728233,3457.6527658644545,-3446.0827658644544
11.57,1686936731310,3459.9144357095847,-3448.3444357095846
11.57,1686936734326,3462.2464641928996,-3450.6764641928994
11.57,1686936737341,3463.1648285930683,-3451.594828593068
11.57,1686936740807,3464.815977028572,-3453.245977028572
11.58,1686936743396,3465.8935140675558,-3454.313514067556
11.57,1686936749474,3465.236877673656,-3453.666877673656
11.58,1686936752543,3461.233962893992,-3449.6539628939922
11.57,1686936755595,3460.571174301786,-3449.001174301786
11.57,1686936758639,3462.42259867962,-3450.85259867962
11.57,1686936761771,3462.39237197909,-3450.82237197909
11.57,1686936764838,3463.001639770015,-3451.431639770015
11.57,1686936783251,3472.858757432841,-3461.2887574328406
11.56,1686936786242,3470.670343616888,-3459.1103436168883
11.56,1686936789425,3467.831673661753,-3456.271673661753
11.55,1686936792527,3466.09198029614,-3454.5419802961396
11.55,1686936795458,3463.435542883844,-3451.8855428838438
11.56,1686936798606,3462.1128220431606,-3450.5528220431606
11.55,1686936801613,3462.031422591702,-3450.4814225917016
11.55,1686936807780,3462.3880599578783,-3450.838059957878
11.55,1686936814423,3461.9464239763847,-3450.3964239763845
11.56,1686936817339,3459.348944889222,-3447.788944889222
11.55,1686936820332,3456.6931361940024,-3445.143136194002
11.56,1686936826519,3450.8285759708197,-3439.2685759708197
11.56,1686936829773,3447.989182985072,-3436.429182985072
11.56,1686936833595,3445.863449995614,-3434.303449995614
11.56,1686936840239,3446.8033858383255,-3435.2433858383256
11.56,1686936843878,3447.3521566354,-3435.7921566354003
11.57,1686936851525,3449.671940554053,-3438.101940554053
11.56,1686936858539,3450.9435928428716,-3439.3835928428716
11.56,1686936862570,3452.0348407163438,-3440.474840716344
11.55,1686936866826,3450.630707434046,-3439.080707434046
11.55,1686936874440,3453.5053380067748,-3441.9553380067746
11.54,1686936879015,3459.644502857685,-3448.104502857685
11.54,1686936883769,3464.930523008661,-3453.390523008661
11.54,1686936891666,3468.903546288158,-3457.363546288158
11.54,1686936896729,3473.155932423934,-3461.615932423934
11.55,1686936901474,3474.2879680269984,-3462.7379680269983
11.55,1686936908412,3474.4145296813813,-3462.864529681381
11.55,1686936913721,3474.929347027578,-3463.3793470275778
11.55,1686936919277,3476.184341228201,-3464.634341228201
11.55,1686936927962,3477.7405873230277,-3466.1905873230276
11.56,1686936933786,3476.1141145589854,-3464.5541145589855
11.56,1686936940018,3474.9302077313664,-3463.3702077313665
11.56,1686936946007,3475.7259580978703,-3464.1659580978703
11.56,1686936952058,3477.4956219321057,-3465.9356219321057
11.56,1686936958142,3479.6996969898273,-3468.1396969898274
11.56,1686936964341,3481.902685838206,-3470.342685838206
11.56,1686936970715,3483.6999720118574,-3472.1399720118575
11.57,1686936980377,3485.7240124164828,-3474.1540124164826
11.57,1686936987446,3487.264068097186,-3475.6940680971857
11.57,1686936994217,3488.1491982052744,-3476.579198205274
11.57,1686937001208,3489.540216712805,-3477.970216712805
11.57,1686937009024,3491.8067767016078,-3480.2367767016076
11.57,1686937016003,3493.730066021651,-3482.160066021651
11.58,1686937023194,3495.679364304761,-3484.099364304761
11.58,1686937030370,3497.0040857107815,-3485.4240857107816
11.58,1686937038005,3499.3933279919247,-3487.813327991925
11.58,1686937045421,3500.5991533568945,-3489.0191533568945
11.59,1686937068643,3508.444656081967,-3496.854656081967
11.58,1686937077059,3508.9290219172153,-3497.3490219172154
11.58,1686937085607,3509.3018583569883,-3497.7218583569884
11.58,1686937094761,3509.7985495257785,-3498.2185495257786
11.58,1686937103760,3510.79520506116,-3499.21520506116
11.58,1686937112771,3511.976801308947,-3500.396801308947
11.58,1686937121955,3512.6568331127637,-3501.076833112764
11.59,1686937131308,3512.6367076235,-3501.0467076235
11.58,1686937140674,3516.1729243510104,-3504.5929243510104
11.59,1686937150385,3517.704450673096,-3506.1144506730957
11.59,1686937160106,3518.37688118023,-3506.78688118023
11.59,1686937169989,3518.923086249488,-3507.3330862494877
11.59,1686937181268,3519.615793192477,-3508.025793192477
11.59,1686937191284,3520.0968504151433,-3508.506850415143
11.59,1686937201342,3520.3672666770353,-3508.777266677035
11.59,1686937215085,3520.550758079588,-3508.960758079588
11.59,1686937225540,3519.6606058560333,-3508.070605856033
11.59,1686937235986,3523.6221212791493,-3512.032121279149
11.58,1686937246632,3522.6168324859045,-3511.0368324859046
11.58,1686937257585,3521.7490608124854,-3510.1690608124854
11.58,1686937268504,3520.595703731886,-3509.015703731886
11.58,1686937279630,3519.349363280637,-3507.769363280637
11.58,1686937291056,3518.1852824988177,-3506.605282498818
11.58,1686937302598,3516.747659031121,-3505.1676590311213
11.58,1686937314252,3515.1532104832922,-3503.5732104832923
11.58,1686937326065,3513.819527280082,-3502.2395272800823
11.57,1686937338011,3512.9330771645023,-3501.363077164502
11.57,1686937350233,3511.857664159232,-3500.287664159232
11.57,1686937362580,3510.148166074727,-3498.578166074727
11.57,1686937375057,3508.8116524278016,-3497.2416524278015
11.57,1686937387631,3506.7755936796584,-3495.2055936796583
11.57,1686937400350,3505.246040734808,-3493.676040734808
11.57,1686937419757,3501.870079224589,-3490.300079224589
11.57,1686937433347,3503.6087813989534,-3492.0387813989532
11.57,1686937446895,3505.23595929082,-3493.66595929082
11.57,1686937460662,3506.5490016660146,-3494.9790016660145
11.57,1686937474531,3507.83096596089,-3496.2609659608897
11.57,1686937490369,3509.5529551539003,-3497.9829551539
11.57,1686937504502,3510.977446906815,-3499.407446906815
11.57,1686937518847,3512.165660589357,-3500.5956605893566
11.57,1686937533290,3513.1579031314564,-3501.587903131456
11.57,1686937547902,3514.428861699852,-3502.858861699852
11.57,1686937563039,3515.3068554307974,-3503.7368554307973
11.58,1686937578128,3517.160231604275,-3505.580231604275
11.57,1686937593333,3518.6965056895933,-3507.126505689593
11.57,1686937608691,3520.3673041957154,-3508.7973041957152
11.56,1686937624306,3521.9553899829216,-3510.3953899829216
11.56,1686937643260,3526.484002962641,-3514.924002962641
11.56,1686937672355,3531.5873562857873,-3520.0273562857874
11.56,1686937689490,3531.2071096227974,-3519.6471096227974
11.56,1686937713326,3528.839140066319,-3517.279140066319
11.56,1686937733667,3530.571818180523,-3519.0118181805233
11.56,1686937751893,3532.6025899518036,-3521.0425899518036
11.56,1686937770224,3534.8892131608195,-3523.3292131608196
11.56,1686937788713,3537.8423658074043,-3526.2823658074044
11.56,1686937807501,3541.33693719233,-3529.77693719233
11.57,1686937826350,3541.0891749075804,-3529.5191749075802
11.57,1686937845475,3541.3940733493555,-3529.8240733493553
11.57,1686937864770,3541.2472730777304,-3529.67727307773
11.58,1686937884310,3542.384941816935,-3530.8049418169353
11.59,1686937903898,3542.718988000352,-3531.128988000352
11.6,1686937933196,3541.054817963057,-3529.454817963057
11.62,1686937953703,3539.494035559868,-3527.874035559868
11.61,1686937974318,3539.109171521897,-3527.499171521897
11.61,1686937995099,3539.4031671633807,-3527.7931671633805
11.61,1686938018859,3539.465936526092,-3527.8559365260917
11.61,1686938040287,3539.875755747917,-3528.265755747917
11.62,1686938061614,3538.1887859946373,-3526.5687859946374
11.62,1686938083001,3536.7281545798805,-3525.1081545798806
11.61,1686938107413,3537.0880300289646,-3525.4780300289644
11.61,1686938143419,3536.163730064618,-3524.553730064618
11.61,1686938165610,3536.1438853317836,-3524.5338853317835
11.61,1686938188156,3536.1766789318544,-3524.5666789318543
11.61,1686938210720,3535.994944361377,-3524.3849443613767
11.61,1686938233536,3535.872336319125,-3524.262336319125
11.61,1686938269633,3534.1007989277014,-3522.4907989277012
11.61,1686938294302,3535.804507033935,-3524.1945070339348
11.61,1686938318716,3537.461658070853,-3525.851658070853
11.61,1686938346445,3542.183528903035,-3530.573528903035
11.62,1686938371444,3541.671923848043,-3530.0519238480433
11.63,1686938396648,3543.0844098551424,-3531.4544098551423
11.63,1686938422272,3544.076146433754,-3532.4461464337537
11.63,1686938450962,3545.287167120281,-3533.657167120281
11.62,1686938483487,3545.7334661578366,-3534.1134661578367
11.61,1686938510039,3546.3459274113848,-3534.7359274113846
11.61,1686938536834,3546.5200445282494,-3534.9100445282493
11.61,1686938567083,3548.0239123464175,-3536.4139123464174
11.62,1686938594323,3549.6623737682476,-3538.0423737682477
11.62,1686938634763,3558.234558937487,-3546.614558937487
11.62,1686938666613,3561.673021471258,-3550.053021471258
11.62,1686938695652,3562.769216355621,-3551.1492163556213
11.62,1686938725029,3564.112174901067,-3552.4921749010673
11.62,1686938754914,3565.1319954823257,-3553.511995482326
11.64,1686938785221,3565.3699688086563,-3553.7299688086564
11.64,1686938815328,3565.696861812267,-3554.056861812267
11.69,1686938910434,3558.994838550345,-3547.304838550345
11.7,1686938941339,3557.0146618319764,-3545.3146618319765
11.69,1686938972520,3553.869047204918,-3542.179047204918
11.69,1686939003833,3551.865519675597,-3540.175519675597
11.68,1686939038669,3549.814234742641,-3538.134234742641
11.7,1686939076953,3545.527118359519,-3533.8271183595193
11.69,1686939109448,3543.9526789820397,-3532.2626789820397
11.68,1686939145574,3543.7287634769236,-3532.048763476924
11.68,1686939178831,3543.424828370103,-3531.7448283701033
11.68,1686939212338,3543.4282492635157,-3531.748249263516
11.7,1686939245904,3544.1195569656566,-3532.4195569656567
11.69,1686939280007,3543.8127752378405,-3532.1227752378404
11.7,1686939314033,3542.803033289088,-3531.103033289088
11.69,1686939348124,3542.8237782115284,-3531.1337782115284
11.7,1686939382481,3543.138903910165,-3531.438903910165
11.68,1686939417219,3543.2422901362256,-3531.562290136226
11.68,1686939452477,3543.790746100521,-3532.1107461005213
11.65,1686939487556,3543.10061797713,-3531.4506179771297
11.66,1686939529631,3542.960091448969,-3531.300091448969
11.66,1686939565975,3543.1839053897834,-3531.5239053897835
11.66,1686939602566,3545.6959862060735,-3534.0359862060736
11.66,1686939639392,3547.4905610184533,-3535.8305610184534
11.66,1686939676327,3549.66971365253,-3538.00971365253
11.66,1686939713345,3552.453226298587,-3540.7932262985873
11.66,1686939751108,3554.3243057008895,-3542.6643057008896
11.67,1686939788595,3554.0419059113206,-3542.3719059113205
11.67,1686939826339,3554.063973157781,-3542.393973157781
11.67,1686939864157,3554.1708068817334,-3542.5008068817333
11.67,1686939902413,3556.114327579635,-3544.444327579635
11.67,1686939940969,3557.5695776776074,-3545.8995776776073
11.67,1686939979773,3559.236169145338,-3547.566169145338
11.67,1686940019178,3560.843603804492,-3549.173603804492
11.67,1686940058602,3562.667197057419,-3550.997197057419
11.67,1686940101891,3565.151905407877,-3553.481905407877
11.63,1686940142219,3566.426723078515,-3554.796723078515
11.64,1686940214890,3565.7553017287446,-3554.1153017287447
11.65,1686940257611,3565.267236374516,-3553.617236374516
11.65,1686940303900,3564.7760165304853,-3553.1260165304852
11.64,1686940347381,3566.337931391633,-3554.697931391633
11.64,1686940391179,3568.1027587220733,-3556.4627587220734
11.63,1686940438481,3571.390335710345,-3559.760335710345
11.62,1686940483030,3571.228303410702,-3559.6083034107023
11.62,1686940534744,3572.0152077318526,-3560.3952077318527
11.61,1686940587733,3574.1819703878477,-3562.5719703878476
11.61,1686940638135,3577.8119069926347,-3566.2019069926346
11.62,1686940692672,3578.2133741057087,-3566.593374105709
11.62,1686940744648,3580.504171298778,-3568.8841712987783
11.62,1686940797184,3583.5596433012724,-3571.9396433012726
11.62,1686940850301,3587.147790035282,-3575.527790035282
11.62,1686940903906,3590.455291538885,-3578.835291538885
11.61,1686940954838,3592.107528578057,-3580.497528578057
11.62,1686941005997,3593.396989161975,-3581.776989161975
11.62,1686941060629,3596.254172649842,-3584.634172649842
11.62,1686941115949,3600.0699220616266,-3588.4499220616267
11.61,1686941175582,3604.1348541617003,-3592.5248541617
11.62,1686941229071,3605.7754619077173,-3594.1554619077174
11.62,1686941283051,3607.042646761574,-3595.422646761574
11.61,1686941337065,3605.373139760899,-3593.763139760899
11.62,1686941391208,3606.1739802466905,-3594.5539802466906
11.62,1686941445645,3607.6284827054246,-3596.0084827054247
11.6,1686941503651,3609.924942798716,-3598.324942798716
11.63,1686941558758,3610.593831361444,-3598.9638313614437
11.61,1686941614153,3610.7779147999527,-3599.1679147999525
11.61,1686941677663,3611.141312717767,-3599.531312717767
11.6,1686941733691,3612.092245706818,-3600.4922457068183
11.6,1686941798555,3611.7284391719504,-3600.1284391719505
11.6,1686941855313,3612.8141297730094,-3601.2141297730095
11.59,1686941911941,3612.330998329124,-3600.740998329124
11.59,1686941969158,3611.8368600324293,-3600.246860032429
11.59,1686942033300,3614.509442677861,-3602.919442677861
11.58,1686942095148,3615.9506632663592,-3604.3706632663593
11.59,1686942157724,3616.840692157486,-3605.250692157486
11.58,1686942217703,3615.7003950003814,-3604.1203950003814
11.59,1686942289434,3613.2178864577677,-3601.6278864577675
11.59,1686942350013,3612.1665037348453,-3600.576503734845
11.6,1686942410961,3611.8451930502843,-3600.2451930502843
11.57,1686942472165,3612.802176637813,-3601.2321766378127
11.55,1686942533514,3610.793675284454,-3599.2436752844537
11.55,1686942598839,3607.687245871454,-3596.1372458714536
11.55,1686942661476,3606.373637808266,-3594.8236378082656
11.56,1686942733008,3604.467796343356,-3592.907796343356
11.55,1686942803194,3602.167033812767,-3590.6170338127667
11.54,1686942874752,3601.6394487437888,-3590.099448743789
11.54,1686942947617,3597.4669154519906,-3585.9269154519907
11.54,1686943014822,3596.638098277949,-3585.0980982779492
11.55,1686943089404,3594.7575009528664,-3583.207500952866
11.55,1686943158080,3595.8036128687,-3584.2536128686997
11.54,1686943227208,3594.4854456242165,-3582.9454456242165
11.53,1686943296659,3592.9834463989846,-3581.4534463989844
11.53,1686943370319,3593.2283961754474,-3581.698396175447
11.53,1686943441146,3594.12714819233,-3582.5971481923298
11.52,1686943511788,3595.8375850981843,-3584.3175850981843
11.53,1686943600598,3605.4527634847027,-3593.9227634847025
11.53,1686943681779,3608.48233800175,-3596.95233800175
11.54,1686943768002,3607.7513554471498,-3596.21135544715
11.53,1686943844097,3608.015086591171,-3596.485086591171
11.53,1686943927591,3607.8056120232236,-3596.2756120232234
11.54,1686944005365,3607.8180229785594,-3596.2780229785594
11.54,1686944095783,3608.4424855285306,-3596.9024855285306
11.55,1686944177969,3609.281162457538,-3597.7311624575377
11.55,1686944264912,3612.364394174778,-3600.814394174778
11.55,1686944367007,3615.4559024049086,-3603.9059024049084
11.55,1686944460716,3619.716407442506,-3608.1664074425057
11.56,1686944549141,3619.3248853032314,-3607.7648853032315
11.55,1686944642187,3618.0360008408484,-3606.486000840848
11.55,1686944736742,3617.070268609092,-3605.520268609092
11.53,1686944829464,3618.513007781216,-3606.9830077812157
11.54,1686944919161,3619.125808883881,-3607.585808883881
11.55,1686945023811,3614.433208884049,-3602.8832088840486
11.55,1686945120617,3614.55328484113,-3603.0032848411297
11.55,1686945215164,3615.0098003274006,-3603.4598003274004
11.55,1686945310505,3614.1368189007217,-3602.5868189007215
11.56,1686945409217,3612.7409560423084,-3601.1809560423085
11.56,1686945505209,3613.169079214354,-3601.609079214354
11.56,1686945602781,3613.638019169464,-3602.078019169464
11.57,1686945699627,3612.2946669338294,-3600.724666933829
11.6,1686945796770,3610.503730888353,-3598.903730888353
11.6,1686945894185,3609.6392534204515,-3598.0392534204516
11.59,1686945991770,3608.280528042871,-3596.690528042871
11.6,1686946108147,3598.581299901377,-3586.981299901377
11.6,1686946209857,3598.169124261945,-3586.569124261945
11.6,1686946312581,3597.9229884595916,-3586.3229884595917
11.61,1686946422640,3598.7985429133682,-3587.188542913368
11.61,1686946527843,3598.1263472740757,-3586.5163472740755
11.61,1686946637192,3599.42676380235,-3587.8167638023497
11.6,1686946743502,3599.6981563528143,-3588.0981563528144
11.6,1686946866769,3600.2565905173747,-3588.6565905173748
11.6,1686946973946,3600.5756298535107,-3588.975629853511
11.6,1686947081272,3600.883697510047,-3589.283697510047
11.61,1686947189167,3600.952689841707,-3589.342689841707
11.61,1686947297400,3601.58237745012,-3589.97237745012
11.61,1686947406755,3602.037242514396,-3590.427242514396
11.6,1686947516162,3601.6114994387412,-3590.0114994387413
11.61,1686947625803,3602.4488578709,-3590.8388578709
11.61,1686947736032,3603.0034585927815,-3591.3934585927814
11.61,1686947846611,3603.563213516067,-3591.953213516067
11.61,1686947957370,3604.321900822281,-3592.7119008222808
11.62,1686948068564,3604.6074241360743,-3592.9874241360744
11.61,1686948180048,3604.883773643792,-3593.273773643792
11.62,1686948292764,3606.529786642665,-3594.909786642665
11.62,1686948405791,3608.0376249194164,-3596.4176249194165
11.62,1686948519219,3609.233580876922,-3597.6135808769222
11.62,1686948632835,3610.6684748641296,-3599.0484748641297
11.62,1686948746759,3611.887295205165,-3600.2672952051653
11.63,1686948861382,3611.9933642879028,-3600.3633642879026
