mp,timeStamp,mean,skew
14.67,1678462686361,3890.098722981718,-3875.428722981718
14.67,1678462689440,3830.969001279073,-3816.299001279073
14.67,1678462692385,3805.074142788849,-3790.4041427888487
14.66,1678462695370,3810.4390755487834,-3795.7790755487836
14.66,1678462698402,3817.2474833900965,-3802.5874833900966
14.66,1678462701346,3815.226578108488,-3800.566578108488
14.68,1678462713706,3829.3632727204413,-3814.6832727204414
14.69,1678462716480,3894.382273072941,-3879.692273072941
14.7,1678462719403,3947.0240738505736,-3932.3240738505738
14.69,1678462722457,3948.4326450915923,-3933.7426450915923
14.69,1678462728476,3984.3983364804544,-3969.7083364804544
14.69,1678462731881,4018.1496891964694,-4003.4596891964693
14.69,1678462734622,4042.416886658818,-4027.726886658818
14.68,1678462737524,4041.4940819489398,-4026.81408194894
14.68,1678462740763,4024.0970465729356,-4009.4170465729358
14.68,1678462744053,4011.3934396950026,-3996.7134396950028
14.68,1678462746829,4027.4075972288574,-4012.7275972288576
14.68,1678462755860,4015.5634627599447,-4000.883462759945
14.68,1678462758815,3998.6490029627084,-3983.9690029627086
14.67,1678462761873,4008.718591965647,-3994.048591965647
14.68,1678462764883,3991.249214804654,-3976.569214804654
14.67,1678462774110,3977.804484860044,-3963.134484860044
14.67,1678462777190,3976.4055920689843,-3961.7355920689843
14.67,1678462780339,4002.239694421641,-3987.569694421641
14.68,1678462783666,4011.9075350066214,-3997.2275350066216
14.68,1678462786465,4019.3414658284537,-4004.661465828454
14.68,1678462789473,4026.964575073391,-4012.2845750733914
14.68,1678462792509,4032.641716848549,-4017.9617168485493
14.68,1678462795513,4038.595803042689,-4023.9158030426893
14.68,1678462801794,4052.9600760350104,-4038.2800760350106
14.69,1678462805055,4046.5604321907863,-4031.8704321907862
14.69,1678462810899,4030.5464390870934,-4015.8564390870933
14.68,1678462817013,4034.566214398111,-4019.886214398111
14.69,1678462820052,4041.5548096864563,-4026.8648096864563
14.7,1678462823083,4024.289557587605,-4009.589557587605
14.7,1678462826213,4025.4795255013005,-4010.7795255013007
