bc,ac,tbv,tav,time,mp,minBid
2489823.54,35638104.17,363622.58,399886.95,1679678901379,16.95,16.88
2491512.73,35622641.54,363787.08,398971.66,1679678904425,16.95,16.88
2496571.24,35618255.23,364085.89,398712.05,1679678907437,16.96,16.88
2505293.98,35674425.55,364582.53,402010.93,1679678910401,16.96,16.88
2507217.60,35675301.72,364677.01,402069.55,1679678913473,16.96,16.88
2502776.87,35671410.49,364413.78,401840.39,1679678916308,16.96,16.88
2506296.31,35667698.28,364617.66,401725.32,1679678919338,16.96,16.88
2514799.06,35666597.99,365083.06,401673.92,1679678922269,16.97,16.88
2493441.86,35659439.09,363811.86,401253.18,1679678925397,16.97,16.88
2497318.92,35670682.63,364039.21,401913.89,1679678928398,16.97,16.88
2507744.50,35668317.87,364653.23,401771.58,1679678931829,16.97,16.88
2512403.31,35668377.28,364928.12,401775.03,1679678934313,16.97,16.88
2517623.17,35672999.70,365233.13,402047.88,1679678937442,16.97,16.88
2515723.28,35674252.35,365121.26,402121.91,1679678940421,16.97,16.88
2512070.21,35663286.37,364900.19,401475.00,1679678943384,16.98,16.88
2511395.90,35629975.20,364854.04,399511.63,1679678946294,16.99,16.88
2491289.65,35672126.53,363663.29,401946.78,1679678950360,16.98,16.88
2493852.98,35665578.75,363814.93,401561.78,1679678952855,16.99,16.88
2493086.35,35666308.70,363769.30,401604.26,1679678955306,16.99,16.88
2487597.60,35673837.94,363445.19,402052.89,1679678958778,16.98,16.88
2490348.88,35667832.48,363611.40,401699.83,1679678961376,16.98,16.88
2496262.79,35672174.26,363947.82,401962.51,1679678964317,16.99,16.88
2503403.59,35668568.58,364368.99,401750.20,1679678967382,16.99,16.88
2473501.69,35670079.91,362605.93,401871.97,1679678970444,16.98,16.88
2437318.15,35652907.35,360468.82,400865.29,1679678973354,16.98,16.88
2489859.91,35662714.98,363574.92,401441.38,1679678976348,16.99,16.88
2483096.61,35672953.70,363176.49,401916.87,1679678979375,16.98,16.88
2494068.03,35670670.59,363823.30,401805.29,1679678982369,16.98,16.88
2495784.85,35668942.66,363924.58,401703.77,1679678985406,16.98,16.88
2481220.90,35669126.52,363063.78,401715.53,1679678988286,16.97,16.88
2464589.81,35674900.55,362082.68,402062.58,1679678991334,16.97,16.88
2486306.70,35680071.68,363374.54,402368.82,1679678994379,16.97,16.88
2493378.64,35675447.27,363790.14,402095.09,1679678997431,16.98,16.88
2483496.44,35682938.16,363208.22,402536.94,1679679000413,16.97,16.88
2496858.67,35671040.73,363993.66,401849.70,1679679003566,16.98,16.88
2492415.67,35680399.84,363720.38,402379.66,1679679006357,16.99,16.88
2502034.93,35672326.28,364283.56,401892.88,1679679009382,17.01,16.88
2505150.94,35671120.28,364464.79,401799.98,1679679012513,17.01,16.88
2457964.08,35678098.14,361661.49,402161.86,1679679015454,17.02,16.88
2460873.70,35679113.50,361812.86,402173.45,1679679018712,17.03,16.88
2455621.02,35685085.33,361476.74,402533.12,1679679021390,17,16.88
2475467.98,35680615.61,362654.11,402313.17,1679679024427,16.99,16.88
2493358.24,35683650.93,363719.97,402486.20,1679679027393,17,16.88
2485427.13,35686235.75,363272.93,402639.79,1679679030362,16.99,16.88
2500033.75,35678983.75,364149.13,402210.64,1679679033353,17,16.88
2503719.80,35675248.44,364322.47,401997.31,1679679036513,17.01,16.88
2491108.68,35669732.68,363579.21,401782.29,1679679039371,17,16.88
2508462.56,35674344.07,364607.78,402055.19,1679679042432,17,16.88
2501532.40,35682637.37,364198.91,402542.48,1679679045476,17,16.88
2503628.05,35675459.87,364320.53,402108.91,1679679048407,17,16.88
2493049.52,35670964.26,363701.17,401849.69,1679679051866,17,16.88
2511459.96,35673440.59,364781.57,401993.43,1679679054455,17.01,16.88
2504513.02,35672095.16,364372.11,401915.75,1679679057508,17,16.88
2512982.59,35664927.34,364870.67,401494.07,1679679060602,17.01,16.88
2490976.81,35669874.75,363597.13,401786.22,1679679063739,17,16.88
2504017.68,35667566.84,364364.45,401641.33,1679679066373,17,16.88
2498094.28,35674396.22,364002.04,402012.55,1679679069449,17.02,16.88
2500966.71,35675943.04,364171.48,402103.05,1679679072521,17.01,16.88
2462264.69,35677798.93,361879.07,402181.26,1679679075384,17.02,16.88
2461397.37,35679782.74,361827.86,402297.61,1679679078358,17.02,16.88
2505301.07,35677368.28,364420.15,402169.79,1679679081398,17.02,16.88
2502657.74,35679487.66,364257.84,402295.42,1679679084436,17.03,16.88
2456936.26,35673648.15,361554.46,401868.76,1679679087422,17.04,16.88
2478704.94,35671364.65,362822.14,401735.25,1679679090513,17.04,16.88
2489764.37,35673147.46,363474.81,401897.08,1679679093445,17.03,16.88
2495391.58,35679380.41,363809.03,402264.50,1679679096409,17.03,16.88
2479231.63,35679515.67,362842.52,402239.22,1679679099742,17.02,16.88
2513435.48,35676600.89,364796.00,402067.53,1679679102508,17.02,16.88
2518764.79,35676226.40,365104.24,402045.83,1679679105400,17.03,16.88
2499353.25,35666232.46,363964.16,401455.86,1679679108560,17.03,16.88
2509940.03,35673853.11,364587.31,401903.78,1679679111473,17.03,16.88
2519296.57,35681439.71,365132.41,402333.45,1679679114521,17.04,16.88
2497039.48,35673943.54,363822.07,401893.63,1679679117437,17.04,16.88
2498579.42,35675210.18,363912.69,401967.89,1679679120587,17.04,16.88
2486591.99,35670638.15,363262.79,401630.10,1679679123705,17.03,16.88
2489110.34,35671138.52,363410.23,401659.44,1679679126671,17.03,16.88
2480535.34,35685361.85,362863.01,402549.66,1679679129525,17.03,16.88
2491909.83,35650561.56,363544.32,400525.38,1679679132540,17.01,16.88
2497981.72,35670231.95,363903.04,401679.71,1679679135599,17.01,16.88
2490021.58,35669799.31,363424.30,401648.88,1679679138648,17.03,16.88
2491445.20,35665923.03,363509.71,401413.17,1679679141658,17.03,16.88
2497269.48,35683283.23,363848.26,402438.07,1679679144937,17.03,16.88
2502994.45,35687022.94,364185.03,402657.14,1679679148180,17.03,16.88
2498796.70,35678903.31,363939.08,402185.72,1679679151243,17.03,16.88
2487747.42,35679585.12,363290.94,402226.89,1679679154363,17.02,16.88
2520725.84,35673990.83,365228.90,401888.84,1679679157757,17.03,16.88
2518040.52,35681790.63,365031.65,402285.54,1679679161380,17.03,16.88
2484527.58,35669177.98,363053.19,401507.59,1679679164340,17.04,16.88
2504539.20,35678557.46,364227.87,402052.79,1679679167962,17.05,16.88
2498743.39,35684447.08,363886.90,402398.86,1679679170985,17.04,16.88
2498736.89,35682373.95,363886.95,402278.29,1679679174904,17.04,16.88
2500469.11,35680277.33,363975.27,402156.22,1679679178789,17.04,16.88
2495887.72,35681812.70,363714.45,402248.03,1679679182650,17.02,16.88
2500360.39,35681706.87,363978.56,402241.03,1679679186515,17.03,16.88
2501709.41,35675731.43,364056.45,401892.02,1679679190506,17.03,16.88
2495875.98,35679206.87,363735.94,402099.62,1679679194674,17.02,16.88
2509111.56,35683994.17,364515.00,402381.02,1679679197571,17.03,16.88
2509624.43,35683977.65,364544.41,402381.02,1679679201761,17.03,16.88
2492424.93,35676659.73,363547.51,401958.46,1679679206032,17.01,16.88
2490043.42,35678634.87,363406.85,402074.55,1679679210577,17.01,16.88
2488000.27,35673023.98,363296.63,401768.09,1679679215023,17,16.88
2498994.82,35682694.71,363965.40,402356.74,1679679219590,16.99,16.88
2494821.25,35622658.87,363767.58,398944.28,1679679224168,16.99,16.88
2507099.63,35677355.24,364488.15,402155.34,1679679227229,17,16.88
2509483.12,35665347.02,364627.89,401450.75,1679679231889,17,16.88
