bc,ac,tbv,tav,time,mp,minBid
1956279.99,10722260.64,375522.13,261668.15,1684522678691,14.75,14.69
1956252.12,10722312.02,375519.77,261670.74,1684522681685,14.75,14.69
1945603.63,10720389.80,374796.45,261540.32,1684522684587,14.75,14.69
1950302.68,10712005.67,375115.59,260970.83,1684522687675,14.76,14.69
1951905.07,10702463.79,375221.66,260320.36,1684522690970,14.76,14.69
1951905.07,10702891.77,375221.66,260349.21,1684522693606,14.76,14.69
1952916.96,10703509.82,375289.71,260391.06,1684522696621,14.76,14.69
1939090.94,10711387.28,374350.35,260923.92,1684522699583,14.76,14.69
1951347.47,10724054.52,375184.53,261783.19,1684522702605,14.75,14.69
1951347.47,10728506.44,375184.53,262084.19,1684522705942,14.75,14.69
1957214.56,10728506.44,375582.74,262084.19,1684522708609,14.75,14.69
1952714.53,10711608.82,375276.78,260939.94,1684522711588,14.76,14.69
1951028.07,10725685.57,375162.30,261892.24,1684522714589,14.76,14.69
1952029.42,10726303.83,375230.56,261934.01,1684522717602,14.76,14.69
1951278.23,10725686.07,375179.25,261892.22,1684522720974,14.76,14.69
1951278.23,10725686.07,375179.25,261892.22,1684522723623,14.76,14.69
1950943.76,10724110.65,375155.61,261785.42,1684522726599,14.76,14.69
1953446.16,10725640.23,375325.18,261888.91,1684522729639,14.76,14.69
1952729.82,10717207.31,375276.01,261317.57,1684522732633,14.76,14.69
1953122.43,10716909.22,375302.66,261297.38,1684522735720,14.76,14.69
1953122.43,10716909.22,375302.66,261297.38,1684522738577,14.76,14.69
1955076.32,10717527.69,375435.46,261339.22,1684522741647,14.76,14.69
1955347.08,10716909.22,375453.70,261297.38,1684522744730,14.76,14.69
1959482.66,10716959.94,375733.70,261300.63,1684522747770,14.76,14.69
1955263.36,10718966.40,375449.24,261436.63,1684522750645,14.76,14.69
1955263.65,10716793.76,375449.26,261289.63,1684522753590,14.76,14.69
1954263.31,10716175.29,375381.26,261247.79,1684522756694,14.76,14.69
1954422.32,10716175.29,375391.99,261247.79,1684522759659,14.76,14.69
1955017.70,10714939.46,375432.40,261164.53,1684522762649,14.76,14.69
1955017.70,10718945.11,375432.40,261435.55,1684522765717,14.76,14.69
1955016.00,10718494.34,375432.29,261405.07,1684522768676,14.76,14.69
1954987.31,10718945.11,375431.41,261435.55,1684522771810,14.76,14.69
1954987.31,10718945.11,375431.41,261435.55,1684522774679,14.76,14.69
1955126.03,10718945.11,375440.76,261435.55,1684522777662,14.76,14.69
1954043.22,10717389.46,375367.25,261330.39,1684522780652,14.76,14.69
1956126.54,10717389.46,375508.78,261330.39,1684522783741,14.76,14.69
1955126.20,10716771.00,375440.78,261288.55,1684522786663,14.76,14.69
1954297.47,10725322.43,375384.64,261867.73,1684522789737,14.76,14.69
1953043.19,10733916.05,375303.41,262454.46,1684522792759,14.75,14.69
1953436.13,10737960.91,375330.07,262728.39,1684522795831,14.75,14.69
1953436.13,10737960.91,375330.07,262728.39,1684522798647,14.75,14.69
1943472.79,10726195.48,374655.02,261934.36,1684522801708,14.75,14.69
1943651.68,10726102.47,374666.73,261931.78,1684522804762,14.75,14.69
1934083.06,10719466.00,374017.02,261480.84,1684522807746,14.75,14.69
1939947.54,10722251.49,374415.26,261669.43,1684522810771,14.75,14.69
1939947.54,10722238.28,374415.26,261668.67,1684522814115,14.75,14.69
1938950.87,10721629.97,374347.21,261627.36,1684522816658,14.75,14.69
1940102.99,10721630.23,374425.20,261627.36,1684522819707,14.75,14.69
1941727.33,10729427.04,374536.20,262155.42,1684522822762,14.75,14.69
1943749.81,10722338.84,374673.49,261683.58,1684522825713,14.75,14.69
1943749.81,10721720.79,374673.49,261641.73,1684522828818,14.75,14.69
1943110.89,10713997.53,374636.87,261121.21,1684522831966,14.75,14.69
1943160.60,10713997.53,374640.29,261121.21,1684522834733,14.75,14.69
1953438.68,10718094.07,375339.46,261399.46,1684522837715,14.75,14.69
1954439.01,10726681.39,375407.51,261972.59,1684522840774,14.75,14.69
1954761.49,10720541.10,375437.17,261563.05,1684522843712,14.74,14.68
1954461.96,10728858.27,375417.95,262126.95,1684522846772,14.74,14.68
