bc,ac,tbv,tav,time,mp,minBid
2800486.53,32562942.42,376658.32,332480.34,1680562638075,17.13,17.05
2801850.96,32562942.42,376738.12,332480.34,1680562640598,17.13,17.05
2806965.42,32562264.67,377036.70,332440.60,1680562643582,17.13,17.05
2803675.25,32556997.43,376877.43,332133.44,1680562646654,17.13,17.05
2802948.69,32555624.59,376831.71,332051.98,1680562649591,17.13,17.05
2803137.09,32553108.77,376842.50,331901.55,1680562652632,17.14,17.05
2803137.10,32591587.35,376842.47,334112.39,1680562655735,17.14,17.05
2801725.11,32593943.32,376755.68,334248.20,1680562658983,17.14,17.05
2800798.86,32590869.64,376699.43,334068.71,1680562661637,17.14,17.05
2801232.73,32561148.28,376725.26,332340.43,1680562665020,17.14,17.05
2802880.67,32592905.02,376821.59,334186.68,1680562667603,17.14,17.05
2809437.21,32593865.63,377205.65,334242.12,1680562670580,17.14,17.05
2809893.59,32593865.63,377232.31,334242.12,1680562673998,17.14,17.05
2809893.56,32593416.73,377232.30,334216.00,1680562676583,17.14,17.05
2806983.46,32588879.46,377061.89,333948.94,1680562679614,17.14,17.05
2815282.32,32593722.45,377546.43,334231.05,1680562682622,17.14,17.05
2816036.31,32593835.70,377589.12,334237.50,1680562685741,17.14,17.05
2816540.08,32592634.42,377618.32,334167.50,1680562688570,17.14,17.05
2816546.59,32593746.13,377618.32,334232.37,1680562691589,17.14,17.05
2816546.72,32593495.73,377618.33,334217.80,1680562694570,17.14,17.05
2811379.41,32594414.68,377316.50,334240.37,1680562697626,17.14,17.05
2812462.78,32594814.22,377338.33,334253.01,1680562700620,17.14,17.05
2812462.78,32594814.22,377338.33,334253.01,1680562703643,17.14,17.05
2813388.79,32594814.22,377393.54,334253.01,1680562706586,17.14,17.05
2810255.85,32601328.41,377210.83,334632.90,1680562709596,17.14,17.05
2806635.33,32601344.27,376999.94,334633.93,1680562712864,17.14,17.05
2806423.74,32600763.28,376988.06,334601.30,1680562715591,17.14,17.05
2806423.74,32600763.28,376988.06,334601.30,1680562718591,17.14,17.05
2807430.40,32600763.28,377046.96,334601.30,1680562721618,17.14,17.05
2810840.11,32600763.24,377245.99,334601.30,1680562724672,17.14,17.05
2809645.21,32601532.89,377173.21,334645.54,1680562727615,17.14,17.05
2809645.21,32601532.89,377173.21,334645.54,1680562730582,17.14,17.05
2806661.05,32598962.73,376999.03,334482.04,1680562733775,17.14,17.05
