mp,timeStamp,mean,skew
17.13,1680562640602,4854.609157148441,-4837.479157148441
17.13,1680562643587,4842.986797766238,-4825.856797766238
17.13,1680562646663,4852.6719264383555,-4835.541926438355
17.13,1680562649607,4831.320087383172,-4814.190087383172
17.14,1680562652654,4772.866325810629,-4755.726325810629
17.14,1680562655764,4723.700536685136,-4706.560536685136
17.14,1680562659019,4688.147408751205,-4671.007408751205
17.14,1680562661682,4661.841070653479,-4644.701070653478
17.14,1680562665073,4610.429910162159,-4593.289910162159
17.14,1680562667666,4588.1256437605,-4570.985643760499
17.14,1680562670657,4575.12194459961,-4557.98194459961
17.14,1680562674087,4561.736682424773,-4544.596682424773
17.14,1680562676683,4552.556403840256,-4535.416403840256
17.14,1680562679728,4552.046996421263,-4534.906996421263
17.14,1680562682750,4541.5480821128085,-4524.408082112808
17.14,1680562685885,4544.723045820629,-4527.583045820628
17.14,1680562688734,4551.075556661034,-4533.935556661034
17.14,1680562691769,4553.541872651763,-4536.4018726517625
17.14,1680562694770,4555.655842880403,-4538.5158428804025
17.14,1680562697848,4560.354538833284,-4543.214538833284
17.14,1680562700862,4563.66779930657,-4546.527799306569
17.14,1680562703910,4566.685485214839,-4549.545485214839
17.14,1680562706873,4569.418290037693,-4552.278290037692
17.14,1680562709905,4572.7072493977885,-4555.567249397788
17.14,1680562713200,4578.237055416926,-4561.097055416925
17.14,1680562715951,4584.563919779716,-4567.423919779716
17.14,1680562718986,4590.44153933568,-4573.30153933568
17.14,1680562722032,4594.95692110103,-4577.81692110103
17.14,1680562725115,4595.412807735725,-4578.272807735725
17.14,1680562728088,4594.308262088704,-4577.168262088704
17.14,1680562731088,4593.275695740763,-4576.1356957407625
17.14,1680562734322,4594.973934364941,-4577.83393436494
17.14,1680562737185,4595.479637774375,-4578.339637774375
17.14,1680562740632,4594.0464049230695,-4576.906404923069
17.14,1680562743344,4593.21739459002,-4576.07739459002
17.14,1680562746279,4592.643143858756,-4575.503143858756
17.15,1680562749332,4580.068550388568,-4562.918550388568
17.15,1680562752384,4567.77436386028,-4550.62436386028
17.15,1680562755433,4556.1321973420345,-4538.982197342035
17.15,1680562758469,4542.939849744732,-4525.789849744732
17.15,1680562761550,4530.4136528803665,-4513.263652880367
17.15,1680562764576,4519.70877802725,-4502.558778027251
17.15,1680562767608,4509.6260870451,-4492.4760870451
17.15,1680562770744,4501.0366958419845,-4483.886695841985
17.15,1680562773833,4492.83625908962,-4475.686259089621
17.15,1680562776675,4485.396572893728,-4468.246572893729
17.15,1680562779740,4478.27918954073,-4461.12918954073
17.15,1680562782835,4471.463550602939,-4454.313550602939
17.15,1680562785903,4465.494985452827,-4448.344985452827
17.15,1680562788840,4459.606329252654,-4442.4563292526545
17.14,1680562792232,4456.591120697433,-4439.451120697433
17.14,1680562795015,4451.895492074918,-4434.755492074918
17.14,1680562797981,4447.769113606827,-4430.629113606827
17.14,1680562801071,4444.173975653651,-4427.0339756536505
17.14,1680562804164,4443.768360349059,-4426.628360349058
17.14,1680562807158,4445.122640989698,-4427.982640989698
17.14,1680562810266,4447.179412483196,-4430.0394124831955
17.14,1680562813353,4448.132979328102,-4430.992979328102
17.14,1680562816376,4448.614287646854,-4431.474287646854
17.14,1680562819398,4448.564415756267,-4431.424415756267
17.14,1680562822520,4461.064795063074,-4443.924795063073
17.14,1680562825585,4463.217558528248,-4446.077558528248
17.14,1680562829003,4464.131817034395,-4446.991817034394
17.14,1680562831628,4476.356720110284,-4459.216720110284
