bc,ac,tbv,tav,time,mp,minBid
4211677.73,10981298.60,446522.11,195659.63,1675705284669,20.29,20.21
4223630.15,10974318.10,447113.36,195317.85,1675705287720,20.29,20.21
4223630.00,10974318.10,447113.35,195317.85,1675705290265,20.29,20.21
4225126.70,10973543.12,447186.28,195279.38,1675705293189,20.29,20.21
4222738.50,10972396.23,447068.55,195222.95,1675705296253,20.29,20.21
4221167.64,10973524.19,446990.70,195278.44,1675705299150,20.29,20.21
4223576.90,10974837.20,447109.89,195341.36,1675705302311,20.29,20.21
4217388.52,10974289.77,446803.87,195313.55,1675705305177,20.29,20.21
4217182.66,10974289.77,446793.72,195313.55,1675705308683,20.29,20.21
4221957.91,10976176.69,447029.02,195406.53,1675705311234,20.29,20.21
4224897.72,10975164.62,447173.98,195356.53,1675705314157,20.29,20.21
4226100.96,10975208.60,447232.77,195357.28,1675705317177,20.29,20.21
4226101.69,10976864.74,447232.77,195438.83,1675705320324,20.29,20.21
4226102.32,10976867.52,447232.77,195438.83,1675705323295,20.29,20.21
4222138.67,10971619.53,447034.95,195170.56,1675705326207,20.3,20.21
4219979.27,10981138.48,446929.39,195638.41,1675705329274,20.3,20.21
4211329.97,10977240.04,446504.76,195447.65,1675705332308,20.29,20.21
4202623.63,10975292.93,446077.45,195360.74,1675705335378,20.28,20.2
4208539.55,10988772.05,446371.38,196031.35,1675705338715,20.28,20.2
4208537.60,10992471.82,446371.39,196213.68,1675705341290,20.28,20.2
4210083.66,10985821.61,446446.65,195885.66,1675705344199,20.28,20.2
4198724.89,10981047.04,445885.59,195650.65,1675705347376,20.28,20.2
4203563.42,10980918.54,446124.90,195644.16,1675705350298,20.28,20.2
4210295.56,10978992.12,446456.98,195549.15,1675705353405,20.28,20.2
4204967.76,10980568.96,446193.96,195626.64,1675705356287,20.28,20.2
4187760.65,10980568.71,445343.30,195626.64,1675705359407,20.28,20.2
4189652.20,10980952.34,445437.17,195645.98,1675705362246,20.28,20.2
4200366.89,10971897.28,445970.96,195207.27,1675705365397,20.28,20.19
4202744.50,10980179.52,446088.07,195615.16,1675705368328,20.28,20.19
4200177.10,10977386.07,445960.87,195477.45,1675705371294,20.28,20.19
4202717.64,10971124.54,446086.46,195168.65,1675705374300,20.28,20.19
4202283.35,10982582.32,446065.09,195734.34,1675705377368,20.27,20.19
4197493.62,10985573.36,445835.78,195889.49,1675705380331,20.27,20.19
4182795.71,10993363.20,445111.18,196273.83,1675705383682,20.27,20.19
4166800.60,10979831.61,444331.74,195648.77,1675705386377,20.26,20.18
4208134.40,10977451.62,446376.81,195531.82,1675705389644,20.26,20.18
4197667.31,10981452.41,445859.82,195729.20,1675705392418,20.26,20.18
4206783.03,10977910.44,446309.70,195554.57,1675705395316,20.26,20.18
4199510.48,10977910.44,445950.69,195554.57,1675705398339,20.26,20.18
4168158.13,10989792.13,444411.00,196149.69,1675705401300,20.25,20.17
4187751.15,10986533.01,445397.83,195990.73,1675705404440,20.25,20.17
4174472.96,10989416.33,444745.05,196133.94,1675705407324,20.25,20.16
4192674.67,10989423.74,445654.26,196137.23,1675705410711,20.25,20.16
4186078.26,10982069.26,445326.34,195773.92,1675705413413,20.25,20.16
4206000.01,10981646.73,446305.79,195751.71,1675705416388,20.25,20.16
4203254.68,10979604.64,446194.94,195651.26,1675705419465,20.25,20.16
4188805.83,10980616.91,445479.84,195701.27,1675705422416,20.25,20.16
4193349.74,10977146.83,445707.70,195535.15,1675705425308,20.25,20.16
4192716.63,10982596.35,445676.34,195804.17,1675705428391,20.25,20.16
4196564.19,10991254.05,445866.92,196232.40,1675705431779,20.24,20.16
4204550.52,10962509.58,446249.04,194798.96,1675705434638,20.27,20.16
4193364.14,10987480.24,445694.28,196028.53,1675705437627,20.26,20.16
4210066.01,10986224.27,446521.53,195966.76,1675705440737,20.26,20.16
4209373.12,10983041.96,446485.93,195809.13,1675705443835,20.26,20.16
4202376.83,10978964.42,446135.81,195608.46,1675705447026,20.26,20.16
4205022.02,10978964.16,446266.80,195608.46,1675705450362,20.26,20.16
4196198.90,10980800.26,445840.05,195705.36,1675705453864,20.26,20.16
4190497.54,10981049.78,445557.92,195717.72,1675705457542,20.26,20.16
4193208.80,10995729.61,445694.86,196444.05,1675705461340,20.25,20.16
4185602.04,10994930.13,445318.63,196405.77,1675705464270,20.25,20.16
4193138.08,10978421.27,445690.70,195590.48,1675705468381,20.25,20.16
4190230.13,10978466.23,445546.62,195592.69,1675705472378,20.25,20.16
4180005.37,10980334.40,445048.95,195689.86,1675705476707,20.25,20.16
4190431.46,10982072.05,445564.84,195776.75,1675705480171,20.24,20.16
4185801.66,10976008.49,445334.34,195476.88,1675705482571,20.25,20.16
4197419.66,10970883.98,445935.16,195225.14,1675705485607,20.24,20.16
4207871.93,10978178.84,446436.57,195582.47,1675705488696,20.25,20.16
4203974.50,10974860.20,446243.18,195417.22,1675705491661,20.25,20.16
4181282.91,10985864.91,445121.89,195972.55,1675705494565,20.25,20.16
4192844.28,10993012.56,445694.20,196326.98,1675705497555,20.25,20.16
4197401.10,10986854.24,445919.16,196022.88,1675705503110,20.25,20.16
4187206.77,10986571.94,445413.96,196007.82,1675705508497,20.25,20.16
4206731.47,10976758.60,446378.49,195521.54,1675705513923,20.25,20.16
4216377.49,10978106.07,446854.90,195587.52,1675705519459,20.26,20.16
4214216.29,10973029.86,446740.65,195331.81,1675705525574,20.26,20.16
4199511.77,10995875.93,446016.28,196464.80,1675705531436,20.25,20.16
4204052.54,10994153.70,446289.87,196398.53,1675705537738,20.25,20.16
4223230.97,10978808.62,447230.78,195635.25,1675705544015,20.26,20.16
4221254.66,10985554.67,447133.31,195969.06,1675705550398,20.26,20.16
4219125.79,10987752.99,447028.47,196078.59,1675705556994,20.26,20.16
4228665.43,10960053.21,447486.79,194715.71,1675705563674,20.27,20.16
4238857.38,10975308.76,447990.10,195451.90,1675705570716,20.27,20.16
4225815.66,10974622.19,447329.41,195400.91,1675705577734,20.28,20.16
4231944.17,10977225.70,447593.79,195515.03,1675705585264,20.29,20.16
4219447.01,10975231.19,446930.71,195409.08,1675705592747,20.29,20.16
4218146.23,10967719.34,446863.46,195037.86,1675705600513,20.3,20.16
4242805.80,10974828.16,448072.42,195360.69,1675705608747,20.3,20.16
4214636.38,10975375.14,446680.89,195387.17,1675705616829,20.3,20.16
4229255.26,10973877.90,447402.67,195313.73,1675705624719,20.3,20.16
4229651.85,10982487.27,447425.22,195711.82,1675705632768,20.3,20.16
4215103.07,10973971.71,446709.95,195296.98,1675705641126,20.29,20.16
4220450.37,10984733.31,446977.68,195831.63,1675705649611,20.29,20.16
4213222.34,10980892.85,446595.19,195667.80,1675705658070,20.28,20.16
4245766.52,10962904.61,448199.31,194777.89,1675705666866,20.29,20.16
4228478.41,10979117.78,447348.17,195577.03,1675705675952,20.29,20.16
4216426.74,10983090.38,446756.96,195776.19,1675705685131,20.28,20.16
4207915.49,10972878.42,446333.93,195269.98,1675705694598,20.29,20.16
4211372.30,10973134.61,446504.10,195282.60,1675705704056,20.29,20.16
4218672.54,10971554.21,446850.40,195207.16,1675705714091,20.29,20.16
4203122.13,10982602.17,446082.24,195750.80,1675705724085,20.29,20.16
4184679.47,10979619.06,445177.10,195606.53,1675705734171,20.28,20.16
4206345.26,10980690.66,446245.48,195658.14,1675705744930,20.28,20.16
4195242.22,10982640.99,445697.31,195754.79,1675705756050,20.28,20.16
4205749.70,10986136.14,446217.56,195927.58,1675705766597,20.28,20.16
4203791.05,10979833.02,446120.00,195615.75,1675705777331,20.28,20.16
4209425.54,10974992.47,446397.39,195377.57,1675705788612,20.28,20.16
4219886.27,10974591.96,446897.97,195355.45,1675705799869,20.29,20.16
4233706.89,10970134.25,447578.86,195135.24,1675705811543,20.29,20.16
4217656.18,10961829.86,446785.79,194727.83,1675705823189,20.3,20.16
4188805.74,10974291.22,445366.43,195344.09,1675705836395,20.28,20.16
4180608.79,10969851.54,444961.70,195125.19,1675705848436,20.28,20.16
4198110.02,10977779.31,445825.74,195515.11,1675705860915,20.28,20.16
4197812.59,10973725.47,445832.99,195322.76,1675705873313,20.28,20.16
4198133.43,10985900.28,445849.30,195923.84,1675705886180,20.28,20.16
4194201.21,10979575.83,445662.45,195612.02,1675705888888,20.28,20.16
4197317.69,10976722.02,445816.16,195471.08,1675705891827,20.28,20.16
4205356.34,10974029.75,446163.90,195321.84,1675705894906,20.28,20.16
4190844.44,10966305.99,445452.98,194944.60,1675705908698,20.27,20.16
4203304.69,10964116.80,446067.21,194836.48,1675705911793,20.28,20.16
4202860.25,10962789.97,446044.97,194772.91,1675705914884,20.28,20.16
4197851.15,10968747.05,445794.53,195060.70,1675705929374,20.28,20.16
4196057.46,10980882.64,445710.60,195663.11,1675705944328,20.28,20.16
4202469.34,10971705.54,446026.60,195210.57,1675705946925,20.28,20.16
4196178.73,10967285.06,445726.07,195002.01,1675705962773,20.27,20.16
4193755.02,10972206.32,445606.29,195257.31,1675705965355,20.26,20.16
4203708.73,10952667.94,446100.29,194312.85,1675705981094,20.27,20.16
4203708.73,10960113.10,446100.29,194679.97,1675705984135,20.27,20.16
4203708.73,10968002.89,446100.29,195069.01,1675705987134,20.27,20.16
4201819.84,10962794.99,446002.19,194812.86,1675706004250,20.28,20.16
4201354.15,10962794.99,445979.19,194812.86,1675706006732,20.28,20.16
4201819.88,10962794.99,446002.19,194812.86,1675706009684,20.28,20.16
4215251.01,10955747.45,446661.96,194462.96,1675706012760,20.28,20.16
4207833.98,10960799.23,446295.15,194711.21,1675706015687,20.28,20.16
4199550.11,10964803.05,445890.52,194909.43,1675706034376,20.28,20.16
4212890.55,10952727.11,446546.50,194311.38,1675706052664,20.29,20.16
4208499.05,10963808.33,446319.84,194840.41,1675706071347,20.29,20.16
4212323.53,10974870.79,446507.83,195363.53,1675706090476,20.29,20.16
4203667.99,10971823.84,446080.80,195213.72,1675706109955,20.29,20.16
4216371.24,10971537.69,446706.45,195220.79,1675706129454,20.28,20.16
4208447.91,10972468.81,446326.24,195272.25,1675706149418,20.28,20.16
4206163.36,10970461.99,446213.36,195173.50,1675706152551,20.28,20.16
4201508.56,10959474.41,445967.27,194615.47,1675706175923,20.28,20.16
4193790.93,10971449.30,445584.64,195208.82,1675706197204,20.27,20.16
4192344.37,10981596.29,445511.97,195701.48,1675706218582,20.28,20.16
4202113.92,10975827.54,445994.35,195417.24,1675706240263,20.28,20.16
4197224.01,10969555.79,445780.31,195115.86,1675706262112,20.27,20.16
4194689.55,10980266.67,445656.45,195644.72,1675706284318,20.27,20.16
4195014.90,10980266.67,445672.62,195644.72,1675706287426,20.27,20.16
4193863.26,10981311.82,445616.12,195710.35,1675706309864,20.26,20.16
4199381.21,10974093.23,445882.90,195354.08,1675706332824,20.27,20.16
4207368.90,10971901.81,446283.15,195241.92,1675706356429,20.27,20.16
4187806.72,10972833.23,445358.22,195326.00,1675706379823,20.25,20.16
4187369.36,10979781.12,445336.69,195668.70,1675706383483,20.25,20.16
4197643.64,10958964.59,445843.96,194641.38,1675706385882,20.25,20.16
4190794.07,10980439.49,445493.90,195687.36,1675706410485,20.26,20.16
4208514.78,10970854.33,446369.24,195218.84,1675706413472,20.27,20.16
4205231.42,11068971.97,446206.54,199528.46,1675706438937,20.27,20.16
4201452.04,11069375.54,446019.53,199548.46,1675706441607,20.27,20.16
4186950.01,11076588.04,445373.99,199916.00,1675706468386,20.24,20.16
4184430.02,11063728.36,445221.47,199273.28,1675706494520,20.27,20.16
4184429.58,11063728.36,445221.45,199273.28,1675706497511,20.27,20.16
4192630.75,11062493.37,445628.76,199214.94,1675706524608,20.26,20.16
4195892.24,11062465.07,445790.66,199214.90,1675706551897,20.26,20.16
4197553.90,11062173.38,445872.57,199199.47,1675706554976,20.26,20.16
4202442.45,11067515.28,446114.41,199462.73,1675706557991,20.26,20.16
4201181.96,11072152.15,446051.85,199690.80,1675706560878,20.27,20.16
4184055.77,11073126.63,445207.75,199738.41,1675706593914,20.27,20.16
4188052.40,11072157.74,445404.99,199690.43,1675706596899,20.27,20.16
4182963.18,11076622.47,445127.01,199902.95,1675706600034,20.27,20.16
4181620.92,11074973.78,445070.78,199829.98,1675706602919,20.27,20.16
4203795.11,11062961.87,446166.21,199241.05,1675706633546,20.27,20.16
4199112.78,11080845.20,445933.35,200122.35,1675706664263,20.27,20.16
4193994.94,11078054.33,445679.02,199986.11,1675706695479,20.27,20.16
4192099.76,11084727.10,445587.00,200315.97,1675706727024,20.26,20.16
4194459.54,11078967.83,445691.54,200025.11,1675706758890,20.27,20.16
4210911.47,11058314.37,446497.26,199000.32,1675706791421,20.28,20.16
4177657.19,11063298.18,444856.91,199254.30,1675706824997,20.27,20.16
4200994.27,11072138.90,446032.16,199703.33,1675706857764,20.26,20.16
4199490.30,11073481.92,445956.96,199787.25,1675706891265,20.25,20.16
4185786.50,11074803.66,445279.14,199852.53,1675706894444,20.26,20.16
4187152.55,11069889.32,445345.94,199613.86,1675706929270,20.25,20.16
4203024.21,11065832.10,446133.44,199408.87,1675706964488,20.27,20.16
4178639.30,11066937.65,444904.88,199447.64,1675706999561,20.29,20.16
4201366.80,11070694.13,446033.38,199601.30,1675707034635,20.28,20.16
4187536.65,11067781.19,445323.15,199452.49,1675707070334,20.28,20.16
