mp,timeStamp,mean,skew
20.28,1675705372193,6537.705561493599,-6517.425561493599
20.28,1675705375197,6530.865190145743,-6510.585190145744
20.27,1675705378302,6528.614835762292,-6508.344835762292
20.26,1675705387691,6578.345989389021,-6558.085989389021
20.26,1675705396659,6713.956837712758,-6693.696837712758
20.26,1675705399812,6753.366349781508,-6733.106349781508
20.25,1675705405997,6769.928645115558,-6749.678645115558
20.25,1675705415223,6776.13780051147,-6755.88780051147
20.25,1675705418377,6774.172058355072,-6753.922058355072
20.25,1675705421447,6775.932269396117,-6755.682269396117
20.25,1675705424512,6779.3305789258675,-6759.0805789258675
20.25,1675705427530,6788.194058338555,-6767.944058338555
20.24,1675705434162,6799.07236448914,-6778.832364489141
20.27,1675705437144,6822.227814405457,-6801.957814405457
20.26,1675705440133,6836.595180249101,-6816.335180249101
20.26,1675705443424,6853.42639019475,-6833.1663901947495
20.26,1675705446603,6871.668298688328,-6851.408298688328
20.26,1675705449879,6893.892611876928,-6873.6326118769275
20.26,1675705453351,6914.025099582284,-6893.765099582284
20.26,1675705456987,6933.400905820308,-6913.140905820308
20.26,1675705460762,6953.076925060799,-6932.816925060799
20.25,1675705467852,6956.706593080297,-6936.456593080297
20.25,1675705471942,6958.312614550175,-6938.062614550175
20.25,1675705476119,6961.0536575435635,-6940.8036575435635
20.25,1675705502563,6918.85948272432,-6898.60948272432
20.25,1675705508031,6906.422770405819,-6886.172770405819
20.25,1675705513492,6898.055259121812,-6877.805259121812
20.25,1675705519024,6890.054279122963,-6869.804279122963
20.26,1675705524699,6899.405621331169,-6879.1456213311685
20.26,1675705530953,6911.043992631947,-6890.783992631947
20.25,1675705537169,6905.590738429213,-6885.340738429213
20.25,1675705543596,6896.455027944092,-6876.205027944092
20.26,1675705549871,6887.547318703028,-6867.287318703028
20.26,1675705556552,6879.274558037401,-6859.014558037401
20.26,1675705563254,6872.583457303935,-6852.323457303934
20.27,1675705570152,6868.632648917696,-6848.362648917696
20.27,1675705577286,6865.161248807139,-6844.891248807138
20.28,1675705584426,6857.146366947623,-6836.866366947624
20.29,1675705592269,6867.997272912002,-6847.707272912002
20.29,1675705599910,6878.544602488856,-6858.254602488856
20.3,1675705607846,6888.493471225408,-6868.193471225408
20.3,1675705616392,6898.482063590379,-6878.182063590379
20.3,1675705624299,6907.7289771238065,-6887.428977123806
20.3,1675705632317,6916.6294220369955,-6896.329422036995
20.3,1675705640666,6911.467563662649,-6891.167563662649
20.29,1675705649133,6889.182010527243,-6868.892010527243
20.29,1675705657674,6883.870110208216,-6863.580110208216
20.28,1675705666449,6893.806375009918,-6873.526375009918
20.29,1675705675527,6886.326008976388,-6866.036008976388
20.29,1675705684664,6883.662333996921,-6863.372333996921
20.28,1675705694183,6895.995467036275,-6875.715467036275
20.29,1675705703619,6892.227886110481,-6871.9378861104815
20.29,1675705713508,6889.727668947697,-6869.437668947697
20.29,1675705723642,6887.382383126765,-6867.092383126765
20.29,1675705733604,6899.438762862584,-6879.148762862584
20.28,1675705743995,6908.849857132743,-6888.569857132743
20.28,1675705755221,6916.13267230473,-6895.85267230473
20.28,1675705766084,6922.990776420037,-6902.710776420037
20.28,1675705776855,6929.243159095845,-6908.963159095845
20.28,1675705788117,6933.612488337707,-6913.332488337707
20.28,1675705799443,6940.097697039438,-6919.817697039438
20.29,1675705810971,6938.746491131199,-6918.456491131199
20.29,1675705822715,6935.139004502663,-6914.849004502663
20.3,1675705835823,6931.701267348696,-6911.401267348696
20.28,1675705848034,6940.8814527862405,-6920.601452786241
20.28,1675705860351,6950.9115695110195,-6930.63156951102
20.28,1675705872742,6958.462001515327,-6938.182001515327
20.28,1675705885263,6960.456366081267,-6940.176366081268
20.28,1675705908248,6969.28578584748,-6949.00578584748
20.28,1675705928895,6974.509215363849,-6954.229215363849
20.28,1675705943407,6976.412947426478,-6956.1329474264785
20.28,1675705961870,6990.245005401081,-6969.965005401081
20.26,1675705980687,7016.133316595713,-6995.873316595713
20.27,1675706003250,7026.263563162531,-7005.99356316253
20.28,1675706033820,7043.061868873782,-7022.7818688737825
20.28,1675706052256,7047.904058528119,-7027.624058528119
20.29,1675706070921,7052.686817496057,-7032.396817496057
20.29,1675706089978,7044.205201539311,-7023.915201539311
20.29,1675706109401,7026.676738362585,-7006.386738362585
20.29,1675706128793,7009.669555819833,-6989.379555819833
20.28,1675706148891,7011.673317099223,-6991.393317099223
20.28,1675706175514,7018.860343567532,-6998.5803435675325
20.28,1675706196632,7023.388063212073,-7003.108063212073
20.27,1675706217965,7017.9810244141845,-6997.711024414184
20.28,1675706239324,7022.603839162666,-7002.323839162666
20.28,1675706261280,7026.313776851483,-7006.033776851484
20.27,1675706283779,7020.6415758953935,-7000.371575895393
20.27,1675706309429,7026.3104724382065,-7006.040472438206
20.26,1675706332408,7041.745831234732,-7021.485831234731
20.27,1675706355833,7046.426937175006,-7026.156937175006
20.27,1675706379414,7050.317527528053,-7030.047527528052
20.25,1675706409995,7069.322371081184,-7049.072371081184
20.27,1675706438105,7100.636632300972,-7080.366632300972
20.27,1675706467905,7130.928654014091,-7110.658654014091
20.24,1675706494102,7128.904648161693,-7108.664648161694
20.27,1675706524141,7132.0676314365555,-7111.797631436555
20.26,1675706551443,7135.652590519152,-7115.392590519152
20.27,1675706593486,7146.0159147711065,-7125.745914771106
20.27,1675706633014,7142.257148233059,-7121.987148233058
20.27,1675706663744,7138.237565618614,-7117.967565618614
20.27,1675706694983,7141.355713208262,-7121.085713208262
20.27,1675706726436,7145.449947589097,-7125.179947589097
20.26,1675706758481,7149.31727403723,-7129.05727403723
20.27,1675706790540,7142.967588171881,-7122.697588171881
20.28,1675706824004,7137.98899302381,-7117.70899302381
20.27,1675706857315,7143.30618879674,-7123.036188796739
20.26,1675706890791,7147.725603186411,-7127.465603186411
20.26,1675706928687,7151.791605130053,-7131.531605130052
20.25,1675706963907,7150.060967494991,-7129.810967494991
20.27,1675706999102,7146.215226247112,-7125.945226247111
20.29,1675707034098,7154.039148085338,-7133.749148085338
20.28,1675707069799,7155.084984087953,-7134.804984087953
20.28,1675707105973,7157.859585403778,-7137.579585403778
20.24,1675707142452,7155.114765609315,-7134.874765609316
20.25,1675707179484,7150.73755092055,-7130.48755092055
20.25,1675707216727,7145.044895315002,-7124.794895315002
20.28,1675707254633,7139.96698450112,-7119.686984501121
20.28,1675707292697,7134.092674147787,-7113.812674147787
20.28,1675707331116,7135.239744862925,-7114.959744862926
20.28,1675707369996,7139.2450147560785,-7118.965014756079
20.28,1675707409205,7134.321927401956,-7114.041927401956
20.28,1675707448828,7136.1443270248255,-7115.864327024826
20.28,1675707489510,7139.752232460319,-7119.472232460319
20.29,1675707530000,7136.019703626116,-7115.729703626116
20.29,1675707571167,7131.230722994921,-7110.940722994921
20.28,1675707612576,7131.614356775761,-7111.334356775761
20.31,1675707654255,7135.248711939359,-7114.938711939359
20.3,1675707695798,7136.910254095738,-7116.610254095738
20.31,1675707738605,7144.332809028275,-7124.022809028274
20.31,1675707780957,7151.383435815301,-7131.0734358153
20.31,1675707866509,7147.017193359144,-7126.707193359143
20.33,1675707913378,7128.863332319145,-7108.533332319145
20.32,1675707957494,7126.116903968598,-7105.796903968599
20.32,1675708001815,7122.961087059984,-7102.641087059984
20.3,1675708060538,7111.2415537196675,-7090.941553719667
20.28,1675708114925,7117.317745192352,-7097.037745192352
20.25,1675708163243,7114.729999243953,-7094.479999243953
20.23,1675708215092,7109.294892086552,-7089.064892086552
20.23,1675708265022,7104.681975183911,-7084.451975183912
20.25,1675708318756,7095.037992510723,-7074.787992510723
20.22,1675708369412,7086.8037324255665,-7066.583732425566
20.22,1675708420228,7077.59180084862,-7057.371800848619
20.2,1675708471218,7071.61710543864,-7051.41710543864
20.22,1675708540074,7016.8069398631305,-6996.58693986313
20.24,1675708598066,7015.350269401871,-6995.110269401871
20.21,1675708656273,7007.181161927554,-6986.971161927554
20.18,1675708712271,6996.715260586532,-6976.535260586532
20.17,1675708771413,6983.0082284407845,-6962.838228440784
20.18,1675708828093,6986.959839552431,-6966.7798395524305
20.17,1675708917400,6968.000483328032,-6947.830483328032
20.2,1675709046028,6967.139832947379,-6946.939832947379
20.22,1675709113592,6975.163995534938,-6954.943995534938
20.24,1675709175235,6980.761939228094,-6960.521939228094
20.22,1675709237113,6978.195362993161,-6957.975362993161
20.21,1675709299989,6978.241356802465,-6958.031356802465
20.21,1675709364261,6977.350860698657,-6957.140860698657
20.21,1675709427755,6981.347634214872,-6961.137634214872
20.25,1675709491029,6987.471030011416,-6967.221030011416
20.26,1675709554652,6982.267550261728,-6962.007550261727
20.25,1675709625700,6998.986601497114,-6978.736601497114
20.26,1675709691261,6994.487900460675,-6974.227900460674
20.26,1675709764422,6977.964618858782,-6957.704618858782
20.27,1675709832886,6976.673541486857,-6956.403541486857
20.28,1675709901295,6976.70878504036,-6956.428785040361
20.28,1675709970179,6978.495286342991,-6958.215286342991
20.28,1675710039662,6979.04626480067,-6958.76626480067
20.27,1675710109567,6979.955134648218,-6959.685134648217
20.28,1675710180229,6980.194682369283,-6959.914682369284
20.29,1675710261834,6986.290603413701,-6966.000603413701
20.3,1675710336820,6984.55963447206,-6964.25963447206
20.3,1675710417940,6983.029524548912,-6962.729524548912
20.3,1675710490705,6981.610945460845,-6961.310945460845
20.31,1675710564114,6980.464765243622,-6960.154765243622
20.31,1675710637633,6979.678018543916,-6959.368018543915
20.31,1675710715501,6975.7171476516705,-6955.40714765167
20.31,1675710790899,6974.552153300577,-6954.242153300576
20.31,1675710867241,6975.033397371203,-6954.723397371203
20.33,1675710943591,6974.0009373083,-6953.6709373083
20.33,1675711020029,6974.605527867029,-6954.275527867029
20.39,1675711097478,6978.0504882408795,-6957.660488240879
20.39,1675711175874,6982.342302749595,-6961.952302749594
20.38,1675711258115,6975.4080732680995,-6955.028073268099
20.39,1675711340955,6975.311760007388,-6954.921760007388
20.38,1675711425004,6977.898390165254,-6957.518390165254
20.38,1675711507196,6980.5050285288635,-6960.125028528863
20.37,1675711596222,6988.177239189142,-6967.807239189142
20.37,1675711681322,6991.9701884986325,-6971.600188498633
20.4,1675711765064,6977.4410579152745,-6957.041057915275
20.39,1675711864384,6975.5221938442,-6955.1321938442
20.38,1675711956624,6972.823329206653,-6952.443329206653
20.39,1675712056819,6969.545182899278,-6949.155182899278
20.36,1675712148081,6969.326841118225,-6948.966841118226
20.32,1675712240030,6966.2898051288,-6945.9698051288005
20.33,1675712349988,6973.561238877333,-6953.231238877333
20.3,1675712446721,6979.742764293154,-6959.442764293154
20.31,1675712541756,6975.91262350791,-6955.60262350791
20.36,1675712637652,6968.021233883491,-6947.661233883491
20.38,1675712733212,6969.862293877745,-6949.482293877745
20.36,1675712832936,6980.708433878483,-6960.348433878484
20.36,1675712934642,6970.674711305027,-6950.314711305027
20.34,1675713033986,6970.409082298161,-6950.0690822981605
20.33,1675713144345,6969.9333560313025,-6949.603356031303
20.31,1675713249098,6969.745435857167,-6949.435435857166
20.29,1675713358200,6967.083308998616,-6946.793308998616
20.31,1675713468457,6985.473392876458,-6965.163392876458
20.3,1675713573145,6989.210656728166,-6968.910656728166
20.31,1675713679157,6988.866451831789,-6968.556451831789
20.28,1675713786099,6989.376446017778,-6969.096446017778
20.28,1675713896470,6997.274780956368,-6976.994780956368
20.26,1675714016684,6996.308860520169,-6976.048860520169
20.24,1675714132031,7002.248315126034,-6982.008315126034
20.25,1675714249097,6988.6901657497565,-6968.4401657497565
