bc,ac,tbv,tav,time,mp,minBid
1778095.41,9611531.09,456850.68,169893.17,1673291449533,12.4,12.35
1766618.51,9608481.89,455923.63,169647.29,1673291452479,12.4,12.35
1776569.33,9608480.80,456736.64,169647.21,1673291455625,12.4,12.35
1776569.33,9608481.13,456736.64,169647.21,1673291458630,12.4,12.35
1772271.05,9605817.47,456382.93,169432.66,1673291461626,12.4,12.35
1777899.51,9609648.33,456824.03,169742.66,1673291464504,12.39,12.34
1781626.04,9605829.45,457121.99,169434.84,1673291467655,12.39,12.34
1785118.90,9608330.46,457404.12,169636.53,1673291470639,12.39,12.34
1785122.74,9606095.70,457404.09,169456.14,1673291473506,12.4,12.34
1780987.10,9612428.98,457070.04,169966.02,1673291476551,12.39,12.34
1780986.50,9611494.48,457070.04,169891.02,1673291479555,12.39,12.34
1782439.09,9612721.33,457615.69,169994.86,1673291482607,12.39,12.34
1786969.72,9614010.37,457981.32,170098.54,1673291485659,12.39,12.34
1794509.67,9603467.39,458274.63,169244.49,1673291488611,12.4,12.34
1794812.21,9606647.20,458298.91,169499.61,1673291491490,12.4,12.34
1795743.57,9605889.58,458373.27,169438.96,1673291494661,12.4,12.34
1790547.48,9612236.91,457952.95,169950.24,1673291497528,12.4,12.34
1793989.47,9612340.36,458233.26,169960.17,1673291500750,12.39,12.34
1783771.81,9616315.58,457381.71,170284.28,1673291503518,12.39,12.34
1789845.31,9613161.71,457872.99,170031.01,1673291506914,12.39,12.34
1792550.71,9614759.71,458095.52,170158.26,1673291509640,12.39,12.34
1792119.44,9623996.29,458096.14,170903.43,1673291512609,12.39,12.34
1792119.44,9620708.14,458096.14,170640.90,1673291515690,12.39,12.34
1784301.18,9620710.00,457464.45,170640.87,1673291518532,12.39,12.34
1782725.84,9621663.11,457336.31,170717.48,1673291521490,12.39,12.34
1784036.50,9613674.44,457442.40,170077.23,1673291524613,12.39,12.34
1784036.50,9626647.65,457442.40,171042.56,1673291527688,12.39,12.34
1741668.90,9599316.82,454034.67,168851.00,1673291530587,12.38,12.33
1781895.07,9636420.12,457602.26,171850.28,1673291533580,12.37,12.32
1782150.27,9622803.47,457622.95,170752.17,1673291536584,12.37,12.32
1792542.84,9619350.97,458461.25,170485.18,1673291539652,12.37,12.32
1768928.68,9624361.71,456554.87,170904.20,1673291542727,12.37,12.32
1778505.94,9639435.89,457333.24,172123.77,1673291545734,12.37,12.32
1779689.41,9639435.09,457429.07,172123.77,1673291548633,12.37,12.32
