mp,timeStamp,mean,skew
12.4,1673291452493,2939.6136127898576,-2927.2136127898575
12.4,1673291455645,2949.4568228087173,-2937.0568228087172
12.4,1673291458657,2954.396907018182,-2941.996907018182
12.39,1673291467724,2843.5534656680566,-2831.1634656680567
12.39,1673291470708,2807.5932964357316,-2795.2032964357318
12.4,1673291473585,2830.103387027461,-2817.703387027461
12.39,1673291482725,2782.8053056291774,-2770.4153056291775
12.4,1673291494845,2837.670544888175,-2825.2705448881748
12.39,1673291500974,2838.2249076820344,-2825.8349076820346
12.39,1673291516080,2788.1710114254306,-2775.7810114254307
12.39,1673291525101,2767.1807378227127,-2754.790737822713
12.39,1673291528200,2761.1030687979724,-2748.7130687979725
12.38,1673291647746,2658.275101421631,-2645.895101421631
12.38,1673291651243,2648.709543389538,-2636.329543389538
12.38,1673291654959,2645.9139687819948,-2633.5339687819946
12.38,1673291658921,2644.8469893825154,-2632.4669893825153
12.38,1673291662661,2643.534612557384,-2631.154612557384
12.38,1673291669654,2640.426338910809,-2628.046338910809
12.39,1673291679854,2646.566088370636,-2634.176088370636
12.39,1673291684297,2652.3063710653832,-2639.9163710653834
12.39,1673291688574,2657.799271036536,-2645.409271036536
12.38,1673291692885,2655.66820052668,-2643.2882005266797
12.38,1673291697331,2654.337246976765,-2641.957246976765
12.38,1673291707962,2665.0257267237075,-2652.6457267237074
12.38,1673291712947,2662.648824060404,-2650.268824060404
12.38,1673291743997,2648.5404886672895,-2636.1604886672894
12.38,1673291749470,2646.919560281931,-2634.539560281931
12.38,1673291754833,2643.955164599592,-2631.575164599592
12.38,1673291763555,2641.73900970784,-2629.35900970784
12.4,1673291775384,2654.9336794419805,-2642.5336794419804
12.4,1673291781218,2659.296563633864,-2646.896563633864
12.4,1673291787145,2662.6153759183176,-2650.2153759183175
12.4,1673291793134,2665.9198206539163,-2653.519820653916
12.4,1673291799183,2667.446119774918,-2655.0461197749178
12.4,1673291805402,2670.951696489853,-2658.551696489853
12.41,1673291811641,2680.930038450771,-2668.520038450771
12.4,1673291821081,2695.30129672623,-2682.9012967262297
12.42,1673291827892,2697.6181012824172,-2685.198101282417
12.43,1673291853470,2680.7178634002053,-2668.2878634002054
12.43,1673291863822,2680.315864913473,-2667.885864913473
12.43,1673291871679,2679.5917426802835,-2667.1617426802836
12.43,1673291879163,2678.32591010214,-2665.89591010214
12.43,1673291886707,2678.1534507398696,-2665.72345073987
12.42,1673291894290,2679.2912968066075,-2666.8712968066075
12.42,1673291902070,2680.2274224755342,-2667.807422475534
12.42,1673291911147,2680.8156328835084,-2668.3956328835084
12.42,1673291919143,2681.2983456273096,-2668.8783456273095
12.41,1673291927219,2683.1049015817134,-2670.6949015817136
12.41,1673291938485,2685.361870460664,-2672.951870460664
12.41,1673291956472,2694.7777630267205,-2682.3677630267207
12.42,1673291965513,2695.2064098585306,-2682.7864098585305
12.42,1673291974582,2695.7311890648784,-2683.3111890648784
12.42,1673291990211,2696.94736530712,-2684.52736530712
12.43,1673292006196,2701.1827383577456,-2688.752738357746
12.43,1673292019420,2702.7508104260323,-2690.3208104260325
12.43,1673292039386,2705.4847386938145,-2693.0547386938147
12.43,1673292050539,2707.5503380160794,-2695.1203380160796
12.43,1673292061666,2709.585831525289,-2697.155831525289
12.43,1673292076222,2715.146551081547,-2702.716551081547
12.42,1673292091105,2715.169855862058,-2702.7498558620578
12.42,1673292106239,2721.8281862426516,-2709.4081862426515
12.42,1673292124852,2731.791492613677,-2719.3714926136768
12.41,1673292137799,2734.340859809832,-2721.9308598098323
12.41,1673292157376,2744.1117402094787,-2731.701740209479
12.41,1673292170847,2746.876266355117,-2734.466266355117
12.41,1673292191290,2753.2507463731345,-2740.8407463731346
12.41,1673292205633,2755.292279685136,-2742.882279685136
12.41,1673292220037,2757.430965020023,-2745.020965020023
12.41,1673292234713,2759.616292281891,-2747.2062922818914
12.41,1673292249457,2761.6011134750843,-2749.1911134750844
12.41,1673292264752,2763.5097845597506,-2751.099784559751
12.41,1673292279708,2765.5075475894714,-2753.0975475894716
12.42,1673292294809,2767.9301088359152,-2755.510108835915
12.42,1673292325560,2777.954770836572,-2765.534770836572
12.41,1673292357494,2785.888401705461,-2773.4784017054612
12.41,1673292378019,2787.821590626149,-2775.411590626149
12.39,1673292399408,2783.979434015483,-2771.589434015483
12.39,1673292417616,2783.2544900587914,-2770.8644900587915
12.39,1673292435751,2782.487116425478,-2770.097116425478
12.37,1673292460733,2779.271253904852,-2766.901253904852
12.39,1673292479764,2781.245016771292,-2768.855016771292
12.4,1673292502768,2785.313024656142,-2772.9130246561417
12.4,1673292522443,2784.864642204295,-2772.4646422042947
12.4,1673292544860,2787.602020949521,-2775.202020949521
12.4,1673292564996,2791.2111010451654,-2778.8111010451653
12.4,1673292588531,2802.250949196188,-2789.8509491961877
12.4,1673292609349,2807.391084139409,-2794.991084139409
12.4,1673292630790,2812.2188694246497,-2799.8188694246496
12.41,1673292651797,2813.7884054967,-2801.3784054967
12.41,1673292672940,2815.4224109101556,-2803.0124109101557
12.41,1673292697575,2818.859619171496,-2806.449619171496
12.42,1673292735991,2828.3677420515073,-2815.9477420515072
12.42,1673292762941,2828.5237440468595,-2816.1037440468594
12.42,1673292787047,2828.320923458564,-2815.9009234585637
12.43,1673292811555,2830.660398783379,-2818.2303987833793
12.43,1673292839529,2834.5296170428337,-2822.099617042834
12.43,1673292864755,2836.477540496106,-2824.047540496106
12.42,1673292896938,2842.136490803962,-2829.7164908039617
12.43,1673292926585,2845.469737051093,-2833.039737051093
12.42,1673292953486,2847.841967621327,-2835.421967621327
12.42,1673292980733,2849.8495806183805,-2837.4295806183804
12.43,1673293008674,2851.352304247476,-2838.922304247476
12.42,1673293043180,2855.9085040819828,-2843.4885040819827
12.42,1673293075155,2860.003691990751,-2847.583691990751
12.42,1673293111154,2864.3988834929623,-2851.9788834929623
12.41,1673293154513,2878.5126900070045,-2866.1026900070046
12.4,1673293199435,2883.4217331573022,-2871.021733157302
12.4,1673293236027,2886.6029419434376,-2874.2029419434375
