bc,ac,tbv,tav,time,mp,minBid
1284147.33,11260745.90,307935.13,282352.94,1688417180580,13.23,13.18
1288001.70,11258561.90,308226.38,282187.82,1688417183446,13.23,13.18
1285501.70,11258470.44,308035.54,282181.52,1688417186348,13.23,13.18
1288799.58,11259270.14,308286.78,282241.92,1688417189590,13.23,13.18
1294607.90,11258722.08,308725.79,282200.40,1688417192316,13.23,13.18
1288574.14,11258507.59,308269.54,282184.70,1688417195503,13.23,13.18
1286872.03,11259307.28,308139.10,282245.10,1688417198528,13.23,13.18
1286872.03,11259307.28,308139.10,282245.10,1688417201717,13.23,13.18
1288574.21,11258507.59,308268.94,282184.70,1688417204407,13.23,13.18
1286872.03,11259406.58,308139.10,282251.90,1688417207756,13.23,13.18
1286889.24,11259261.14,308140.65,282240.93,1688417210383,13.23,13.18
1286100.25,11258461.45,308080.99,282180.53,1688417213360,13.23,13.18
1286100.25,11256214.76,308080.99,282011.58,1688417216362,13.23,13.18
1288600.70,11256360.09,308271.25,282022.55,1688417219458,13.23,13.18
1286255.26,11256712.24,308094.09,282049.51,1688417222449,13.23,13.18
1286674.04,11256693.07,308125.75,282048.09,1688417225372,13.23,13.18
1285876.32,11255893.38,308065.35,281987.69,1688417228433,13.23,13.18
1284173.70,11256458.95,307935.48,282030.39,1688417231772,13.23,13.18
1286673.62,11256458.95,308125.75,282030.39,1688417234375,13.23,13.18
1284173.54,11256458.95,307935.48,282030.39,1688417237470,13.23,13.18
1286722.81,11256458.95,308129.46,282030.39,1688417240517,13.23,13.18
1279542.54,11253322.96,307587.57,281794.98,1688417243829,13.23,13.18
1278745.26,11252524.57,307527.17,281734.58,1688417246349,13.23,13.18
1277042.59,11253323.66,307397.30,281794.98,1688417249669,13.23,13.18
1279466.31,11253322.96,307581.90,281794.98,1688417252411,13.23,13.18
1290266.79,11259185.85,308422.05,282240.39,1688417255417,13.22,13.17
1290820.54,11257552.77,308463.07,282116.73,1688417258493,13.22,13.17
1301759.79,11249777.08,309282.10,281532.18,1688417261578,13.23,13.17
1286543.85,11252225.02,308128.91,281717.35,1688417264373,13.23,13.17
1295530.43,11253488.56,308810.20,281813.81,1688417267511,13.23,13.17
1281727.20,11254404.89,307765.73,281883.48,1688417270836,13.23,13.17
1280881.28,11253605.66,307702.03,281823.08,1688417273368,13.23,13.17
1283426.37,11253605.79,307895.63,281823.08,1688417276389,13.23,13.17
1277957.51,11257884.15,307485.31,282147.75,1688417279338,13.22,13.17
1273577.37,11259816.04,307154.34,282294.80,1688417282571,13.22,13.17
1280984.26,11261744.58,307715.92,282441.16,1688417285414,13.22,13.17
1277528.25,11261743.97,307453.26,282441.16,1688417288481,13.22,13.17
1277496.22,11262030.07,307451.43,282462.60,1688417291364,13.22,13.17
1280029.77,11261752.30,307643.64,282441.74,1688417294495,13.22,13.17
1286094.85,11262039.80,308102.59,282463.15,1688417297376,13.22,13.17
1284418.35,11258169.61,307975.68,282171.19,1688417300600,13.22,13.17
1285344.23,11258169.61,308045.80,282171.19,1688417303384,13.22,13.17
1282843.90,11258169.61,307855.40,282171.19,1688417306524,13.22,13.17
1281751.07,11258968.70,307773.75,282231.59,1688417309369,13.22,13.17
1281015.43,11258169.61,307718.02,282171.19,1688417312487,13.22,13.17
1281263.83,11258368.92,307736.84,282189.16,1688417315546,13.22,13.17
1282060.95,11259168.01,307797.24,282249.56,1688417318428,13.22,13.17
1288228.00,11258372.36,308264.01,282189.16,1688417321378,13.22,13.17
1288228.00,11259048.87,308264.01,282240.40,1688417324392,13.22,13.17
1285887.25,11258855.34,308085.25,282225.58,1688417327377,13.22,13.17
1282220.25,11258851.89,307808.95,282225.58,1688417330646,13.22,13.17
1279719.70,11258198.02,307618.53,282176.15,1688417333394,13.22,13.17
1279719.70,11258993.01,307618.53,282236.55,1688417336494,13.22,13.17
1280279.42,11251365.13,307662.11,281663.11,1688417339734,13.22,13.17
1280278.88,11253865.13,307662.39,281852.22,1688417342490,13.22,13.17
1284266.83,11254195.60,307963.70,281876.79,1688417345459,13.22,13.17
1282450.32,11254193.25,307826.19,281876.79,1688417348443,13.22,13.17
1274093.56,11253081.09,307192.49,281797.50,1688417351412,13.22,13.17
1274092.39,11253087.81,307192.49,281798.12,1688417354443,13.22,13.17
1279470.69,11253885.73,307601.05,281858.52,1688417357423,13.22,13.17
1276970.31,11253885.00,307410.63,281858.52,1688417360831,13.22,13.17
1276970.31,11253885.00,307410.63,281858.52,1688417363422,13.22,13.17
1276172.86,11253085.75,307350.23,281798.12,1688417366529,13.22,13.17
1279470.87,11253862.89,307601.05,281857.14,1688417369404,13.22,13.17
