bc,ac,tbv,tav,time,mp,minBid
1275640.24,12138905.97,308864.94,319332.15,1687799395351,13.15,13.09
1267703.39,12097884.92,308264.01,316219.71,1687799398083,13.14,13.09
1270920.09,12137111.33,308508.08,319201.42,1687799401099,13.14,13.09
1282048.34,12141356.00,309351.50,319516.54,1687799404161,13.15,13.09
1260986.27,12113876.36,307751.83,317434.74,1687799407107,13.14,13.09
1273617.25,12143602.28,308704.11,319690.48,1687799410163,13.14,13.09
1272447.35,12149757.90,308614.36,320158.91,1687799413377,13.14,13.09
1273948.96,12137419.40,308727.63,319219.02,1687799416249,13.15,13.09
1269403.46,12135499.53,308371.20,319055.87,1687799419094,13.16,13.09
1273196.56,12140729.29,308656.27,319453.96,1687799422091,13.16,13.09
1280194.13,12139687.13,309192.21,319375.65,1687799425251,13.15,13.09
1270500.71,12113895.75,308455.52,317426.67,1687799428113,13.15,13.09
1260126.98,12148072.10,307663.96,320025.14,1687799431466,13.14,13.09
1260438.78,12157121.13,307691.73,320717.20,1687799434084,13.14,13.09
1262583.22,12151723.20,307848.02,320305.99,1687799437137,13.15,13.09
1254060.26,12131453.37,307204.51,318771.34,1687799440184,13.14,13.09
1249322.02,12124447.66,306840.88,318239.02,1687799443150,13.14,13.09
1248831.06,12145449.55,306805.55,319836.84,1687799446132,13.14,13.09
1254567.39,12151547.63,307232.23,320300.62,1687799449061,13.14,13.09
1274366.88,12144022.30,308732.89,319721.61,1687799452107,13.15,13.09
1279275.63,12155244.70,309107.16,320574.38,1687799455251,13.14,13.09
1274916.80,12161359.41,308774.16,321039.11,1687799458140,13.15,13.09
1279462.07,12155022.18,309117.94,320557.25,1687799461209,13.15,13.09
1284142.89,12102579.72,309471.74,316561.23,1687799464263,13.16,13.09
1267925.29,12087986.61,308235.69,315459.34,1687799467068,13.15,13.09
1255961.47,12151499.83,307324.04,320288.84,1687799470174,13.14,13.09
1255880.00,12141081.13,307327.37,319501.81,1687799473086,13.14,13.09
1260637.17,12134546.46,307688.10,319006.04,1687799476236,13.14,13.09
1261391.48,12133589.74,307736.50,318927.13,1687799479106,13.15,13.09
1267166.96,12129810.29,308173.42,318637.00,1687799482114,13.15,13.09
1269003.25,12142611.39,308308.29,319594.05,1687799485238,13.16,13.09
1269675.19,12144523.10,308360.09,319740.67,1687799488436,13.16,13.09
1270972.07,12143152.86,308458.61,319636.37,1687799491141,13.16,13.09
1268114.01,12147311.26,308244.60,319954.88,1687799494125,13.15,13.09
1255753.67,12158621.21,307305.52,320824.29,1687799497076,13.15,13.09
1256656.00,12156233.35,307375.71,320644.47,1687799500299,13.14,13.09
1254461.90,12160478.36,307207.01,320967.85,1687799503109,13.15,13.09
1257094.79,12158170.83,307409.38,320792.20,1687799506238,13.15,13.09
1258084.16,12148734.96,307480.96,320074.78,1687799509077,13.15,13.09
1266464.50,12143382.04,308119.99,319666.87,1687799512179,13.15,13.09
1257603.56,12144659.09,307444.11,319764.22,1687799515105,13.15,13.09
1253507.84,12149186.27,307132.28,320107.75,1687799518440,13.15,13.09
1248619.55,12139965.07,306759.74,319405.31,1687799521134,13.15,13.09
1261686.66,12145671.74,307755.17,319839.55,1687799524172,13.15,13.09
1263142.85,12148737.14,307867.57,320072.87,1687799527257,13.15,13.09
1264297.63,12151581.77,307947.53,320287.84,1687799530295,13.15,13.09
1263623.92,12152503.81,307895.82,320351.95,1687799533283,13.16,13.09
1261241.72,12153212.50,307714.62,320405.80,1687799536265,13.15,13.09
1266869.21,12149501.57,308141.40,320123.63,1687799539197,13.16,13.09
1269218.01,12142777.42,308318.00,319611.93,1687799542185,13.16,13.09
1265195.43,12121907.27,308008.06,318000.04,1687799545164,13.16,13.09
1267828.21,12126651.02,308204.19,318356.40,1687799548105,13.17,13.09
1265004.18,12128789.52,307988.55,318518.51,1687799551144,13.17,13.09
1267286.27,12132063.87,308160.86,318767.08,1687799554121,13.17,13.09
1262796.35,12124344.88,307816.82,318179.23,1687799557240,13.17,13.09
1253294.29,12018182.31,307083.79,310096.59,1687799560100,13.19,13.09
1274231.68,12092569.11,308665.91,315721.56,1687799563116,13.19,13.09
1274786.69,12116691.33,308712.55,317549.75,1687799566242,13.18,13.09
1278103.17,12127962.49,308963.79,318403.29,1687799569118,13.19,13.09
1284474.87,12123141.20,309435.39,318038.64,1687799572231,13.19,13.09
1275188.55,12123714.99,308730.55,318083.70,1687799575190,13.19,13.09
1274152.26,12110624.65,308653.93,317106.09,1687799578134,13.18,13.09
1274303.54,12129318.16,308660.87,318524.61,1687799581126,13.18,13.09
1275783.30,12133015.21,308775.99,318805.40,1687799584149,13.18,13.09
1265454.35,12087655.20,307994.01,315379.97,1687799587121,13.18,13.09
1272825.95,12105755.56,308556.39,316755.93,1687799590286,13.17,13.09
1278690.61,12137933.66,309005.58,319198.65,1687799593166,13.17,13.09
1275265.87,12128142.72,308736.64,318455.78,1687799596151,13.17,13.09
1277057.42,12128205.66,308874.57,318460.52,1687799599167,13.17,13.09
1272998.06,12121880.71,308566.35,317981.34,1687799602118,13.17,13.09
1279234.41,12122046.79,309046.23,318007.51,1687799605165,13.16,13.09
1270623.27,12134249.69,308392.44,318934.79,1687799608126,13.16,13.09
1270973.50,12131041.96,308424.14,318702.15,1687799611108,13.15,13.09
1268652.99,12138337.66,308243.95,319252.15,1687799614219,13.16,13.09
1262552.31,12104205.95,307779.69,316662.86,1687799617235,13.16,13.09
1264784.40,12136385.95,307951.17,319106.95,1687799620321,13.16,13.09
1270312.89,12147521.91,308372.96,319955.13,1687799623550,13.15,13.09
1278157.48,12131283.19,308998.06,318733.12,1687799626874,13.15,13.09
1274503.60,12140552.02,308714.30,319433.11,1687799630402,13.15,13.09
1274467.68,12142626.40,308710.36,319591.31,1687799633828,13.14,13.09
1271243.43,12141770.28,308468.31,319529.73,1687799636848,13.15,13.09
1272783.86,12135462.88,308583.89,319050.45,1687799639819,13.15,13.09
1268391.82,12147427.63,308256.21,319958.95,1687799643890,13.14,13.09
1261510.35,12147083.06,307732.76,319933.87,1687799646577,13.14,13.09
1267462.08,12138440.05,308184.18,319277.05,1687799649627,13.14,13.09
1257355.20,12142938.36,307415.46,319620.54,1687799652677,13.14,13.09
1272710.14,12133476.30,308578.46,318898.01,1687799656775,13.15,13.09
1262554.54,12144330.77,307809.33,319724.13,1687799659774,13.14,13.09
1269869.46,12151848.21,308366.87,320297.04,1687799664161,13.14,13.09
1245574.85,12142917.78,306509.16,319618.25,1687799667141,13.14,13.09
1272843.90,12137358.58,308585.47,319202.08,1687799672349,13.15,13.09
1274037.62,12140489.56,308677.26,319439.80,1687799675325,13.15,13.09
1274150.33,12142169.59,308686.47,319567.66,1687799678638,13.15,13.09
1271683.62,12152219.34,308501.14,320334.85,1687799683606,13.14,13.09
1277420.15,12134081.49,308932.86,318952.97,1687799688493,13.15,13.09
1267170.72,12152463.27,308157.44,320357.66,1687799691496,13.14,13.09
1278993.27,12144885.88,309055.06,319779.59,1687799696614,13.15,13.09
1279253.72,12140807.12,309072.58,319469.31,1687799699621,13.15,13.09
1275666.46,12139433.35,308799.80,319364.48,1687799702666,13.15,13.09
1270413.65,12150040.71,308399.50,320169.93,1687799708320,13.15,13.09
1260116.86,12156810.56,307620.35,320687.67,1687799713876,13.14,13.09
1269431.88,12167468.16,308331.59,321499.16,1687799716950,13.14,13.09
1272343.97,12167854.55,308556.11,321529.03,1687799722703,13.14,13.09
1282323.81,12155844.76,309309.89,320612.93,1687799725727,13.15,13.09
1283391.46,12145417.98,309388.75,319818.99,1687799728788,13.15,13.09
1277352.23,12142109.57,308926.45,319566.35,1687799731726,13.15,13.09
1278811.99,12133042.34,309030.86,318878.96,1687799734699,13.15,13.09
1275754.62,12104274.59,308793.64,316679.25,1687799737707,13.16,13.09
1279311.26,12133444.81,309061.79,318879.14,1687799744377,13.16,13.09
1279160.14,12141034.34,309047.44,319455.31,1687799747350,13.17,13.09
1279282.93,12126642.05,309058.65,318362.54,1687799750400,13.16,13.09
1271071.55,12124537.13,308435.63,318204.26,1687799753420,13.16,13.09
1275316.13,12150107.49,308761.25,320161.41,1687799760713,13.16,13.09
1264645.07,12149680.54,307961.47,320142.18,1687799768013,13.15,13.09
1258779.87,12149654.24,307520.01,320144.96,1687799775358,13.14,13.09
1260721.64,12166510.84,307679.82,321427.47,1687799783150,13.14,13.08
1256003.12,12149175.87,307357.85,320120.50,1687799790792,13.12,13.07
1246403.45,12114928.16,306712.11,317529.02,1687799798490,13.11,13.06
1268374.91,12132134.20,308271.04,318733.85,1687799806107,13.18,13.06
1211972.18,12110376.61,304078.74,317168.28,1687799813868,13.1,13.05
1239625.12,12124547.86,306178.59,318254.88,1687799821710,13.12,13.05
1250101.18,12114308.79,306939.74,317470.96,1687799829609,13.13,13.05
1251190.14,12142649.57,307001.21,319599.10,1687799837615,13.15,13.05
1252762.26,12143152.56,307118.95,319640.44,1687799840591,13.15,13.05
1251078.94,12141948.18,306971.61,319534.80,1687799848743,13.16,13.05
1253415.44,12143503.28,307152.62,319666.93,1687799856958,13.15,13.05
1223026.61,12112740.64,304838.88,317339.20,1687799865297,13.14,13.05
1265019.75,12106548.69,308038.07,316863.28,1687799868294,13.15,13.05
1272384.13,12088998.50,308583.49,315516.25,1687799877077,13.16,13.05
1266874.30,12115225.12,308163.51,317504.82,1687799879941,13.16,13.05
1268835.21,12137733.95,308310.07,319188.83,1687799883231,13.16,13.05
1276593.68,12120567.64,308893.95,317872.45,1687799885947,13.17,13.05
1263918.25,12149649.04,307927.61,320075.40,1687799888987,13.18,13.05
1260003.07,12135165.83,307632.24,318992.52,1687799898381,13.16,13.05
1253268.15,12143129.69,307118.31,319592.77,1687799901378,13.17,13.05
1279566.15,12144275.17,309084.79,319678.91,1687799911017,13.17,13.05
1265065.02,12135658.29,307979.60,319026.31,1687799914005,13.16,13.05
1264673.16,12144118.05,307946.70,319676.80,1687799923913,13.16,13.05
1251716.02,12148894.70,306961.65,320039.26,1687799926926,13.16,13.05
1260222.48,12128287.94,307601.64,318471.10,1687799936911,13.17,13.05
1265128.55,12160364.49,307973.72,320896.15,1687799946900,13.17,13.05
1276653.92,12146772.46,308850.22,319865.95,1687799949939,13.17,13.05
1256574.74,12146920.38,307322.15,319876.09,1687799952946,13.17,13.05
1266152.89,12152852.36,308050.86,320326.22,1687799956089,13.17,13.05
1279686.70,12147639.16,309062.38,319894.43,1687799966702,13.19,13.05
1277825.32,12145889.86,308914.95,319760.89,1687799977496,13.19,13.05
1274621.24,12145225.16,308661.67,319706.11,1687799988440,13.19,13.05
1274726.03,12153435.67,308665.41,320322.50,1687799999527,13.2,13.05
1272857.88,12153474.60,308522.07,320325.33,1687800002445,13.2,13.05
1281857.77,12163202.09,309207.65,321061.17,1687800005581,13.2,13.05
1269949.55,12158725.31,308286.27,320689.05,1687800017135,13.2,13.05
1265090.16,12132366.96,307898.72,318720.03,1687800028815,13.19,13.05
1271156.51,12162628.18,308354.11,321007.84,1687800040718,13.2,13.05
1272914.31,12163529.71,308479.73,321079.10,1687800052606,13.19,13.05
1277212.62,12162619.72,308798.24,321007.02,1687800064869,13.2,13.05
1281260.80,12151019.87,309101.72,320118.92,1687800077220,13.2,13.05
1276527.49,12129944.26,308741.47,318520.97,1687800089575,13.2,13.05
1272988.45,12156360.92,308465.17,320516.62,1687800092523,13.21,13.05
1294302.94,12155991.34,310084.71,320492.53,1687800105493,13.2,13.05
1280173.18,12155114.03,309003.22,320428.21,1687800118538,13.2,13.05
1292129.49,12155801.90,309909.21,320475.43,1687800121476,13.21,13.05
1285319.14,12144334.96,309387.84,319606.77,1687800134952,13.21,13.05
1295598.36,12142695.75,310163.51,319481.03,1687800148775,13.21,13.05
1292471.45,12133508.50,309926.36,318762.26,1687800162564,13.21,13.05
1279132.05,12147160.93,308906.18,319789.97,1687800176528,13.22,13.05
1278430.04,12124898.98,308855.88,318108.71,1687800191009,13.21,13.05
1288007.69,12156378.58,309576.37,320489.48,1687800205284,13.21,13.05
1287496.28,12151314.14,309531.36,320100.99,1687800219606,13.22,13.05
1284177.46,12155272.83,309277.89,320387.42,1687800234311,13.22,13.05
1280602.43,12155795.69,308995.11,320425.70,1687800249412,13.22,13.05
1279598.83,12160944.72,308915.74,320814.36,1687800264490,13.23,13.05
1293400.28,12159906.08,309962.72,320734.95,1687800279787,13.23,13.05
1285813.44,12161690.68,309389.27,320873.78,1687800295245,13.22,13.05
1282909.73,12160827.86,309159.56,320810.16,1687800310951,13.22,13.05
1285898.97,12159956.46,309402.15,320767.72,1687800326984,13.21,13.05
1283165.91,12165670.20,309190.16,321192.56,1687800343259,13.21,13.05
1279394.96,12166131.50,308906.96,321229.93,1687800359699,13.2,13.05
1286700.39,12153960.90,309456.11,320311.75,1687800376567,13.2,13.05
1283170.45,12152671.32,309194.47,320217.68,1687800393243,13.2,13.05
1289720.23,12150293.11,309687.26,320036.58,1687800410243,13.2,13.05
1271907.44,12146489.23,308330.24,319753.28,1687800427443,13.21,13.05
1288212.53,12162821.12,309558.75,320969.81,1687800444848,13.22,13.05
1286584.82,12152194.04,309436.63,320172.68,1687800462459,13.22,13.05
1296175.23,12149694.66,310158.62,319980.97,1687800480435,13.22,13.05
1290256.90,12158637.22,309704.99,320644.17,1687800498811,13.23,13.05
1287973.11,12150410.60,309528.39,320020.18,1687800517252,13.23,13.05
1292899.53,12152149.16,309890.15,320151.22,1687800535646,13.23,13.05
1288155.64,12154326.15,309534.84,320323.87,1687800554505,13.22,13.05
1290143.50,12159023.27,309685.62,320679.09,1687800573837,13.22,13.05
1288256.41,12160456.65,309538.32,320788.44,1687800592889,13.22,13.05
1277230.33,12158376.43,308715.88,320644.86,1687800612262,13.21,13.05
1289167.73,12155960.75,309615.48,320459.75,1687800631785,13.22,13.05
1284531.09,12151269.85,309250.03,320091.25,1687800651543,13.23,13.05
1285517.35,12137409.88,309316.47,319042.07,1687800671877,13.23,13.05
1277350.79,12150908.34,308701.19,320064.05,1687800692141,13.23,13.05
1285421.48,12155117.92,309304.21,320348.95,1687800712601,13.24,13.05
1265764.81,12159226.56,307820.61,320667.98,1687800733304,13.23,13.05
1269447.32,12159550.24,308098.91,320693.15,1687800736265,13.23,13.05
1286329.07,12146789.94,309353.33,319712.42,1687800757233,13.24,13.05
1286525.50,12158682.14,309365.02,320612.42,1687800778454,13.24,13.05
1290594.46,12125506.66,309664.26,318101.74,1687800799860,13.24,13.05
1294350.79,12149477.02,309949.04,319909.16,1687800802717,13.24,13.05
1272215.68,12151787.15,308260.37,320081.77,1687800824651,13.25,13.05
1281643.58,12146403.94,308971.02,319678.62,1687800846460,13.24,13.05
1276039.35,12143425.13,308543.87,319450.89,1687800849473,13.25,13.05
1281883.88,12146197.93,308984.38,319659.18,1687800871581,13.25,13.05
1285676.80,12141093.64,309269.21,319274.61,1687800893882,13.25,13.05
1275590.62,12162980.06,308512.46,320930.89,1687800916489,13.24,13.05
1277644.98,12157190.83,308709.56,320520.53,1687800939548,13.22,13.05
1267952.56,12155155.85,307980.21,320373.08,1687800962477,13.22,13.05
1281519.56,12149557.72,309011.51,319950.80,1687800965553,13.22,13.05
1272958.28,12146408.07,308359.83,319717.24,1687800988710,13.21,13.05
1279108.73,12150719.95,308832.05,320044.57,1687800991760,13.21,13.05
1280899.59,12146305.21,308959.92,319704.40,1687801015421,13.22,13.05
1273619.19,12147133.98,308414.31,319780.09,1687801039174,13.22,13.05
1277223.42,12147302.24,308682.45,319793.96,1687801063147,13.22,13.05
1279208.78,12152475.61,308831.67,320184.37,1687801087309,13.22,13.05
1280259.83,12152121.61,308912.58,320157.67,1687801090463,13.22,13.05
1278588.57,12143522.09,308788.46,319514.47,1687801114931,13.22,13.05
1280128.57,12163870.13,308925.64,321065.59,1687801139730,13.21,13.05
1285950.22,12161021.16,309363.02,320849.09,1687801142565,13.21,13.05
1286655.63,12151515.76,309413.71,320128.55,1687801145508,13.21,13.05
1285573.58,12152336.70,309331.29,320191.00,1687801170859,13.21,13.05
1290870.35,12148995.33,309734.65,319939.31,1687801196470,13.21,13.05
1290871.28,12148995.42,309734.65,319939.30,1687801199340,13.21,13.05
1290322.42,12148607.69,309691.88,319909.97,1687801202325,13.21,13.05
1283591.67,12150603.15,309181.70,320061.59,1687801205687,13.21,13.05
1284592.47,12149728.87,309257.50,319999.83,1687801208321,13.21,13.05
1297500.17,12151929.98,310243.16,320168.33,1687801235084,13.21,13.05
1299367.31,12145801.11,310380.77,319702.70,1687801262209,13.21,13.05
1278765.67,12157120.72,308825.60,320567.29,1687801289443,13.2,13.05
1269993.81,12163300.67,308206.61,321038.30,1687801317112,13.2,13.05
1275192.03,12155521.74,308595.44,320446.98,1687801344724,13.2,13.05
1267563.66,12155360.04,308026.35,320443.54,1687801372515,13.19,13.05
1287114.53,12162386.24,309512.50,320980.59,1687801400767,13.19,13.05
1275590.75,12154774.81,308631.99,320404.89,1687801428856,13.2,13.05
1268181.97,12156690.42,308073.84,320549.55,1687801457314,13.19,13.05
1283261.46,12157340.29,309220.19,320600.18,1687801460540,13.19,13.05
1279320.72,12159120.06,308920.53,320734.36,1687801463209,13.2,13.05
1279695.42,12155756.04,308947.82,320479.93,1687801466290,13.2,13.05
1275267.35,12159528.92,308606.85,320762.96,1687801469247,13.2,13.05
1270885.52,12158327.56,308277.68,320672.80,1687801498976,13.2,13.05
1274991.00,12156785.81,308590.48,320557.49,1687801501951,13.19,13.05
1279170.06,12159263.90,308902.13,320742.62,1687801504952,13.2,13.05
1270577.43,12153278.27,308253.47,320290.89,1687801508075,13.19,13.05
1272286.58,12153526.44,308383.71,320309.86,1687801511038,13.19,13.05
1289676.17,12150426.34,309692.68,320069.13,1687801542225,13.2,13.05
1290708.04,12149590.31,309770.67,320005.95,1687801545347,13.2,13.05
1277187.24,12161662.52,308722.90,320890.85,1687801577303,13.22,13.05
1275172.19,12161127.18,308570.22,320851.18,1687801580377,13.22,13.05
1275170.47,12161741.35,308570.14,320897.50,1687801583343,13.22,13.05
1271314.84,12160689.57,308277.01,320818.05,1687801586209,13.22,13.05
1247087.50,12131632.50,306436.01,318615.33,1687801589255,13.22,13.05
1277269.19,12168734.36,308723.63,321419.65,1687801592333,13.22,13.05
1277336.23,12168416.02,308729.88,321395.62,1687801595316,13.22,13.05
1284011.84,12153494.69,309211.49,320232.41,1687801629431,13.24,13.05
1277778.29,12153069.74,308733.59,320199.98,1687801632584,13.24,13.05
1280534.34,12149634.50,308918.25,319940.25,1687801667406,13.24,13.05
1262416.89,12159693.21,307556.75,320720.80,1687801702277,13.22,13.05
1274403.57,12160695.09,308452.59,320792.57,1687801737697,13.23,13.05
1273541.14,12160511.99,308389.14,320779.54,1687801740722,13.22,13.05
1273174.72,12166944.18,308366.38,321269.54,1687801776594,13.22,13.05
1271886.81,12172639.43,308314.89,321725.24,1687801812709,13.2,13.05
1266641.68,12156121.92,307920.59,320480.62,1687801849165,13.2,13.05
1267870.89,12172654.93,308027.45,321751.70,1687801885534,13.19,13.05
1276386.07,12160123.47,308713.09,320816.34,1687801922182,13.18,13.05
1263942.03,12170412.07,307770.21,321604.35,1687801959634,13.18,13.05
1265540.16,12166108.91,307888.20,321280.88,1687801962254,13.18,13.05
1269350.70,12166783.36,308176.41,321331.01,1687801965300,13.19,13.05
1271267.29,12161382.06,308318.04,320920.88,1687801968254,13.19,13.05
1269313.02,12151960.61,308173.49,320215.02,1687802006424,13.18,13.05
1276820.94,12157898.08,308739.19,320662.69,1687802009527,13.19,13.05
1280404.14,12158838.86,309011.32,320733.76,1687802012409,13.19,13.05
1280439.43,12153035.26,309013.34,320293.76,1687802015529,13.19,13.05
1273054.50,12171075.93,308462.85,321663.89,1687802055273,13.18,13.05
1273917.74,12170527.68,308528.15,321622.27,1687802057771,13.18,13.05
1274714.71,12172156.22,308588.71,321746.45,1687802060772,13.18,13.05
1276532.67,12172135.38,308725.37,321744.79,1687802063795,13.18,13.05
