mp,timeStamp,mean,skew
16.74,1679925275403,4267.573828709677,-4250.833828709678
16.75,1679925284410,4347.952442237197,-4331.202442237197
16.75,1679925296437,4423.075820148443,-4406.325820148443
16.75,1679925299470,4416.726730143707,-4399.976730143707
16.75,1679925305638,4569.434647028343,-4552.684647028343
16.75,1679925311460,4717.998852371471,-4701.248852371471
16.75,1679925317636,4811.108723577056,-4794.358723577056
16.75,1679925320522,4850.300264647408,-4833.550264647408
16.75,1679925332558,4969.048040159736,-4952.298040159736
16.76,1679925338551,5025.51156751086,-5008.75156751086
16.77,1679925347629,5144.654017565379,-5127.884017565379
16.77,1679925350733,5185.856227801193,-5169.086227801193
16.76,1679925359697,5241.3290059062565,-5224.569005906256
16.76,1679925362708,5260.332496442852,-5243.572496442852
16.76,1679925368847,5281.939210491877,-5265.179210491877
16.76,1679925374833,5335.027886646936,-5318.267886646936
16.75,1679925377886,5331.425208981542,-5314.675208981542
16.75,1679925380869,5326.586576333709,-5309.836576333709
16.75,1679925392921,5326.2501829562925,-5309.5001829562925
16.76,1679925396057,5341.938288436856,-5325.178288436856
16.77,1679925399351,5364.560921386016,-5347.790921386016
16.77,1679925402002,5387.069148779888,-5370.299148779887
16.78,1679925408121,5420.924630709086,-5404.144630709086
16.76,1679925417179,5398.862642391778,-5382.102642391777
16.74,1679925423282,5360.462346385033,-5343.722346385033
16.74,1679925432318,5320.327253715337,-5303.587253715337
16.73,1679925438388,5257.986990786672,-5241.256990786673
16.74,1679925441458,5248.7831863948295,-5232.04318639483
16.73,1679925447477,5202.446490699762,-5185.716490699762
16.73,1679925459724,5171.910004870109,-5155.18000487011
16.73,1679925462717,5166.051419409641,-5149.321419409642
16.74,1679925468852,5151.738329172306,-5134.9983291723065
16.73,1679925475040,5145.385315628521,-5128.655315628522
16.73,1679925490299,5109.508674201213,-5092.778674201213
16.73,1679925496997,5079.173628369825,-5062.443628369825
16.73,1679925499567,5063.009589408914,-5046.279589408914
16.73,1679925508718,5034.1313135289565,-5017.401313528957
16.73,1679925511901,5026.129913732389,-5009.399913732389
16.73,1679925514837,5013.286514518127,-4996.556514518127
16.73,1679925517898,4999.6506176629355,-4982.920617662936
16.74,1679925520961,4983.246445063249,-4966.506445063249
16.74,1679925527253,4968.720803555181,-4951.980803555181
16.74,1679925536456,4944.549625653923,-4927.809625653923
16.74,1679925539781,4939.206870953727,-4922.466870953727
16.74,1679925543131,4925.618241781569,-4908.878241781569
16.75,1679925549706,4912.857778637552,-4896.107778637552
16.75,1679925556332,4919.2752389252355,-4902.5252389252355
16.74,1679925559900,4910.14156140263,-4893.40156140263
16.74,1679925566726,4890.1438507944895,-4873.40385079449
16.74,1679925573788,4863.990186312272,-4847.2501863122725
16.74,1679925577893,4852.393847792794,-4835.653847792794
16.74,1679925581998,4849.370996738836,-4832.630996738836
16.74,1679925589227,4846.453923578467,-4829.713923578467
16.75,1679925596533,4843.947220683022,-4827.197220683022
16.75,1679925604059,4838.082153686119,-4821.332153686119
16.76,1679925611638,4844.460049273079,-4827.700049273079
16.75,1679925622526,4846.978045647245,-4830.228045647245
16.75,1679925627573,4841.991862091141,-4825.241862091141
16.75,1679925635696,4852.943993104564,-4836.193993104564
16.74,1679925640972,4862.955363020274,-4846.215363020274
16.74,1679925646225,4871.064622178515,-4854.324622178515
16.75,1679925664081,4903.38961703626,-4886.63961703626
16.74,1679925673748,4918.30735255805,-4901.5673525580505
16.75,1679925679854,4920.826190386112,-4904.076190386112
16.75,1679925701672,4955.539370273984,-4938.789370273984
16.75,1679925708556,4958.5605269355565,-4941.8105269355565
16.75,1679925718722,4971.0005334020725,-4954.2505334020725
16.74,1679925732145,4992.987734218808,-4976.247734218809
16.75,1679925746451,5006.045485885255,-4989.295485885255
16.76,1679925754434,5004.226923315408,-4987.466923315408
16.76,1679925765739,4999.803282002309,-4983.043282002309
16.77,1679925786540,5008.35460539817,-4991.5846053981695
16.77,1679925798521,5021.881878494617,-5005.111878494617
16.77,1679925807572,5007.0143691275025,-4990.244369127502
16.78,1679925816642,5002.360704545857,-4985.580704545857
16.78,1679925835334,5007.370884692047,-4990.590884692047
16.79,1679925854572,5006.692371236931,-4989.902371236931
16.79,1679925864781,5003.51380900622,-4986.72380900622
16.79,1679925875546,5003.420332618066,-4986.630332618066
16.79,1679925889352,5007.600681148958,-4990.810681148958
16.78,1679925903194,5003.919974596897,-4987.139974596897
16.78,1679925919165,4997.739397764094,-4980.959397764094
16.77,1679925936668,4987.538861384094,-4970.768861384094
16.77,1679925957931,4986.979957843282,-4970.209957843282
16.76,1679925976621,4977.165503701469,-4960.405503701469
16.76,1679926008696,4948.448525491952,-4931.688525491952
16.75,1679926029126,4933.177719182216,-4916.427719182216
16.76,1679926047292,4905.16136074227,-4888.401360742269
16.75,1679926078409,4866.510942718483,-4849.760942718483
16.76,1679926094552,4864.778207355486,-4848.018207355486
16.78,1679926110748,4857.610509029451,-4840.830509029452
16.77,1679926127137,4853.7298604489215,-4836.959860448921
16.76,1679926143678,4851.194624862121,-4834.4346248621205
16.77,1679926160454,4846.502171826255,-4829.732171826255
16.76,1679926177506,4842.910984550554,-4826.150984550553
16.76,1679926198184,4837.690537200468,-4820.930537200467
16.78,1679926218844,4831.587054932012,-4814.807054932012
16.78,1679926236911,4832.916644986319,-4816.136644986319
16.79,1679926254906,4837.991761235336,-4821.201761235336
16.77,1679926283222,4845.053075713612,-4828.283075713612
16.78,1679926305387,4845.979471739083,-4829.1994717390835
16.78,1679926327845,4850.450563736512,-4833.670563736512
16.77,1679926353842,4853.060253910669,-4836.290253910669
16.76,1679926374018,4849.182789088133,-4832.422789088133
16.76,1679926404139,4839.090362745469,-4822.330362745469
16.76,1679926428061,4834.9518010362735,-4818.191801036273
16.77,1679926449660,4835.564585257852,-4818.794585257851
16.74,1679926477679,4830.8903903019755,-4814.150390301976
16.73,1679926499775,4829.639463684079,-4812.909463684079
16.74,1679926522150,4817.654334597336,-4800.914334597336
16.76,1679926544463,4810.84742793854,-4794.08742793854
16.76,1679926573691,4807.556539039458,-4790.7965390394575
16.74,1679926603381,4789.077715771275,-4772.337715771275
16.71,1679926636915,4761.947286177153,-4745.237286177153
16.68,1679926671258,4723.551187708726,-4706.871187708725
16.68,1679926700009,4710.505716405896,-4693.825716405896
16.69,1679926725940,4704.1953846941415,-4687.505384694142
16.65,1679926761856,4679.624325661329,-4662.974325661329
16.65,1679926819331,4648.682848352768,-4632.032848352768
16.65,1679926856511,4608.332720018669,-4591.682720018669
16.3,1679929459246,4281.596273515869,-4265.296273515869
16.31,1679929670014,4226.261445918727,-4209.951445918727
16.31,1679929719173,4222.051728785843,-4205.7417287858425
16.3,1679930292336,4164.956867241771,-4148.656867241771
16.31,1679930396730,4154.6436665260835,-4138.333666526083
16.31,1679930449423,4150.514915483037,-4134.2049154830365
16.38,1679930556287,4145.698226192599,-4129.318226192599
16.38,1679930716630,4132.3980211571325,-4116.018021157132
16.36,1679930770776,4127.698497406601,-4111.338497406601
16.34,1679930825066,4126.245100627969,-4109.905100627969
16.38,1679930934864,4120.834820009276,-4104.454820009276
16.4,1679930990115,4117.480104287336,-4101.080104287336
16.41,1679931045338,4115.614329244219,-4099.2043292442195
16.41,1679931100688,4112.933004693807,-4096.523004693807
16.39,1679931156291,4111.768026794467,-4095.378026794467
16.39,1679931212271,4112.724104556412,-4096.334104556412
16.38,1679931274857,4108.989897151162,-4092.609897151162
16.39,1679931338365,4106.97010478987,-4090.58010478987
16.41,1679931396223,4107.164666801296,-4090.7546668012965
16.38,1679931454086,4106.063920381165,-4089.683920381165
16.4,1679931533530,4104.354011066973,-4087.9540110669727
16.4,1679931591678,4105.905767828365,-4089.505767828365
16.43,1679931650264,4103.763986259614,-4087.3339862596144
16.44,1679931709201,4102.77720669703,-4086.33720669703
16.44,1679931768412,4101.716003047247,-4085.276003047247
16.44,1679931827899,4099.851201562925,-4083.411201562925
16.47,1679931897428,4098.884989961751,-4082.414989961751
16.48,1679931957392,4100.503801012687,-4084.0238010126873
16.46,1679932017645,4099.194778913888,-4082.7347789138876
16.44,1679932078400,4098.854845661454,-4082.4148456614544
16.45,1679932139641,4098.38345585673,-4081.93345585673
16.46,1679932201095,4098.708168172861,-4082.2481681728614
16.47,1679932263029,4100.49411995484,-4084.0241199548404
16.46,1679932325649,4102.069415320576,-4085.609415320576
16.48,1679932388159,4101.966851909075,-4085.4868519090746
16.49,1679932450863,4101.441116187945,-4084.9511161879454
16.48,1679932513737,4101.9143416239085,-4085.4343416239085
16.47,1679932577031,4104.084181202087,-4087.6141812020874
16.46,1679932640618,4103.0649521190035,-4086.6049521190034
16.45,1679932704603,4104.853946533578,-4088.403946533578
16.45,1679932768922,4105.022688376708,-4088.5726883767084
16.45,1679932833536,4104.7936025195195,-4088.3436025195197
16.43,1679932898305,4103.103132290337,-4086.6731322903374
16.43,1679932963271,4100.0417993828805,-4083.6117993828807
16.42,1679933029270,4102.059065004648,-4085.639065004648
16.44,1679933098744,4100.6272606477305,-4084.1872606477305
16.51,1679933165660,4098.825409747388,-4082.315409747388
16.51,1679933236267,4096.344231961144,-4079.834231961144
16.55,1679933303762,4090.982655622127,-4074.4326556221267
16.56,1679933371715,4085.1053659642685,-4068.5453659642685
16.55,1679933440134,4082.057951128287,-4065.507951128287
16.56,1679933508235,4078.431746220184,-4061.871746220184
16.54,1679933576669,4078.746459641809,-4062.206459641809
16.54,1679933645366,4077.4579959664693,-4060.9179959664693
16.53,1679933714415,4077.5863459831853,-4061.056345983185
16.53,1679933784306,4073.789840758269,-4057.2598407582686
16.54,1679933854418,4075.28897816231,-4058.74897816231
16.59,1679933927971,4069.958516268103,-4053.3685162681027
16.59,1679934005600,4060.163476909271,-4043.573476909271
16.58,1679934081187,4059.151234630114,-4042.571234630114
16.56,1679934154027,4058.7975142954874,-4042.2375142954875
16.55,1679934227413,4058.2830447484525,-4041.7330447484524
16.57,1679934301450,4059.43081908578,-4042.86081908578
16.56,1679934375424,4057.0080926620685,-4040.4480926620686
16.53,1679934452867,4054.545123283101,-4038.015123283101
16.56,1679934527855,4053.895280123555,-4037.335280123555
16.56,1679934603042,4054.1450114207873,-4037.5850114207874
16.56,1679934678654,4053.7719482503453,-4037.2119482503454
16.56,1679934754760,4053.5611214474998,-4037.0011214475
16.56,1679934831463,4054.1453398197355,-4037.5853398197355
16.55,1679934908213,4054.8831633016794,-4038.333163301679
16.54,1679934985360,4055.8388139328945,-4039.2988139328945
16.5,1679935062651,4055.1748716005154,-4038.6748716005154
16.49,1679935140394,4055.5468096993586,-4039.056809699359
16.5,1679935218281,4057.2820304650872,-4040.7820304650872
16.5,1679935299548,4056.737045499418,-4040.237045499418
16.49,1679935378123,4056.0438427321687,-4039.553842732169
16.47,1679935463790,4050.661087638139,-4034.1910876381394
16.47,1679935547488,4051.863007907655,-4035.3930079076554
16.47,1679935638613,4054.223800074503,-4037.753800074503
16.47,1679935724710,4059.773585948079,-4043.303585948079
16.45,1679935808086,4060.233529666509,-4043.7835296665094
16.45,1679935895405,4063.765145397262,-4047.3151453972623
16.44,1679935980056,4062.373613219475,-4045.933613219475
16.41,1679936065103,4062.149627919665,-4045.739627919665
16.41,1679936150289,4061.61856190023,-4045.20856190023
16.42,1679936235780,4062.2820912032475,-4045.8620912032475
16.41,1679936339165,4073.665408620569,-4057.255408620569
16.41,1679936431495,4074.8797397979833,-4058.4697397979835
16.4,1679936531486,4079.291910976312,-4062.891910976312
16.44,1679936630329,4082.1896745934105,-4065.7496745934104
16.47,1679936730045,4086.190258129649,-4069.720258129649
16.47,1679936831221,4082.8677638686986,-4066.397763868699
16.44,1679936926562,4084.511742383559,-4068.071742383559
