bc,ac,tbv,tav,time,mp,minBid
3523332.27,10550522.69,430060.33,188783.56,1682171958546,17.15,17.08
3523789.19,10554524.17,430086.99,189016.76,1682171961299,17.15,17.08
3520821.89,10553230.20,429873.05,188935.48,1682171964235,17.15,17.08
3520821.62,10554243.98,429873.05,188994.68,1682171967325,17.15,17.08
3520675.28,10550283.70,429864.55,188764.93,1682171970276,17.15,17.08
3520696.29,10547316.93,429864.55,188593.77,1682171973248,17.15,17.08
3521790.27,10551326.63,429918.55,188827.28,1682171976256,17.15,17.08
3521790.27,10551326.63,429918.55,188827.28,1682171979372,17.15,17.08
3518700.93,10551230.28,429737.22,188821.66,1682171982244,17.15,17.08
3520885.33,10553684.88,429865.72,188965.22,1682171985220,17.15,17.08
3520885.33,10553684.88,429865.72,188965.22,1682171988633,17.15,17.08
3520885.33,10553029.27,429865.72,188926.03,1682171991237,17.15,17.08
3520888.26,10550900.09,429865.26,188801.88,1682171994614,17.15,17.08
3520888.26,10557830.68,429865.26,189205.80,1682171997636,17.15,17.08
3520888.26,10557830.68,429865.26,189205.80,1682172000296,17.15,17.08
3521422.94,10538019.39,429896.86,188051.03,1682172003249,17.15,17.08
3520132.82,10547168.30,429821.72,188584.46,1682172006204,17.15,17.08
3520591.21,10547168.30,429848.43,188584.46,1682172009217,17.15,17.08
3520591.21,10547168.30,429848.43,188584.46,1682172012224,17.15,17.08
3518815.47,10559116.47,429745.12,189281.26,1682172015236,17.15,17.08
3519938.22,10534438.83,429810.66,187843.49,1682172018233,17.15,17.08
3519728.25,10542967.24,429798.34,188340.74,1682172021208,17.15,17.08
3514927.32,10545335.35,429499.10,188478.87,1682172024231,17.15,17.08
3521623.31,10541367.88,429890.25,188248.09,1682172027230,17.14,17.07
3518671.69,10538061.94,429716.36,188054.86,1682172030405,17.15,17.07
3521591.63,10545562.08,429887.64,188491.79,1682172033237,17.15,17.07
3521592.10,10544196.35,429887.64,188412.16,1682172036240,17.15,17.07
3522468.75,10538284.52,429938.09,188067.15,1682172039233,17.15,17.07
3522683.89,10538934.88,429950.73,188105.22,1682172042268,17.15,17.07
3522683.89,10538934.88,429950.73,188105.22,1682172045271,17.15,17.07
3521841.87,10547730.92,429901.60,188617.97,1682172048246,17.15,17.07
3521842.54,10543652.26,429901.60,188380.35,1682172051242,17.15,17.07
3521842.54,10543652.26,429901.60,188380.35,1682172054333,17.15,17.07
3508139.53,10529061.00,429095.46,187534.77,1682172057352,17.15,17.07
3522312.63,10542342.09,429928.61,188303.67,1682172060290,17.15,17.07
3522311.69,10545316.92,429928.61,188477.31,1682172063243,17.15,17.07
3522311.69,10545316.92,429928.61,188477.31,1682172066338,17.15,17.07
3523215.97,10536522.64,429981.72,187964.52,1682172069273,17.15,17.07
3517788.87,10527025.45,429655.28,187411.55,1682172072222,17.15,17.07
3517788.87,10535486.97,429655.28,187904.66,1682172075260,17.15,17.07
3517788.87,10535486.97,429655.28,187904.66,1682172078312,17.15,17.07
3517788.87,10536117.62,429655.28,187941.91,1682172081316,17.15,17.07
3517788.87,10536117.34,429655.28,187941.92,1682172084365,17.15,17.07
3516837.48,10535910.70,429599.77,187929.92,1682172087277,17.15,17.07
3498876.57,10536431.60,428541.52,187960.29,1682172090365,17.15,17.07
3516635.60,10536430.29,429587.24,187960.22,1682172093284,17.15,17.07
3524590.41,10542874.68,430051.88,188335.28,1682172096259,17.15,17.07
3524590.41,10542821.72,430051.88,188332.37,1682172099287,17.15,17.07
3522877.37,10548578.46,429951.95,188668.07,1682172102392,17.15,17.07
