mp,timeStamp,mean,skew
12.33,1691256290041,3999.472604749023,-3987.142604749023
12.33,1691256292592,3998.9659752135535,-3986.6359752135536
12.33,1691256295575,3998.8094266441135,-3986.4794266441136
12.33,1691256298635,3997.5948984438573,-3985.2648984438574
12.33,1691256301648,3996.2801661522362,-3983.9501661522363
12.33,1691256304693,3997.665198665888,-3985.335198665888
12.33,1691256307650,3996.491920628075,-3984.161920628075
12.33,1691256310828,3997.5215109408614,-3985.1915109408615
12.33,1691256313652,4025.8811691345722,-4013.5511691345723
12.33,1691256319710,4039.0517917980537,-4026.721791798054
12.33,1691256322829,4043.6943448585994,-4031.3643448585995
12.33,1691256328805,4073.8341111866976,-4061.5041111866976
12.33,1691256331847,4099.200011130237,-4086.870011130237
12.33,1691256334826,4121.33486917818,-4109.00486917818
12.32,1691256337877,4121.572343379287,-4109.252343379288
12.32,1691256344084,4124.4085100949505,-4112.088510094951
12.32,1691256346969,4125.179272738025,-4112.8592727380255
12.33,1691256349991,4140.736729643769,-4128.406729643769
12.33,1691256365292,4204.570296669092,-4192.2402966690925
12.33,1691256368237,4215.911926485887,-4203.581926485887
12.33,1691256371354,4226.071121728907,-4213.741121728907
12.33,1691256374511,4236.223231355215,-4223.893231355215
12.33,1691256377339,4244.74004575414,-4232.41004575414
12.33,1691256380396,4252.844955539221,-4240.514955539221
12.33,1691256383454,4259.461167939518,-4247.1311679395185
12.33,1691256386562,4265.771952669496,-4253.4419526694965
12.33,1691256392785,4278.638255918471,-4266.308255918471
12.33,1691256395906,4285.608050976193,-4273.278050976193
12.33,1691256398760,4292.290837127293,-4279.960837127293
12.33,1691256401841,4297.259566686869,-4284.929566686869
12.33,1691256404882,4302.441635535804,-4290.111635535804
12.33,1691256407820,4307.41886866157,-4295.08886866157
12.33,1691256417304,4320.695917868712,-4308.365917868712
12.33,1691256420239,4326.5431162370305,-4314.213116237031
12.33,1691256423155,4332.184059238891,-4319.854059238891
12.33,1691256426235,4336.6069419363475,-4324.276941936348
12.33,1691256429216,4330.98349241599,-4318.6534924159905
12.33,1691256432344,4326.833842406779,-4314.503842406779
12.33,1691256441635,4337.969016362887,-4325.639016362887
12.33,1691256444651,4341.186679947408,-4328.856679947408
12.33,1691256447997,4337.162132936837,-4324.832132936837
12.33,1691256450646,4333.277128048774,-4320.947128048774
12.33,1691256453702,4329.510573279051,-4317.180573279051
12.33,1691256456829,4325.85713282167,-4313.52713282167
12.33,1691256459832,4322.311786611341,-4309.981786611341
12.33,1691256462823,4318.869807309403,-4306.539807309403
12.33,1691256465958,4315.040838371048,-4302.710838371048
12.33,1691256469037,4311.319635412131,-4298.989635412131
12.33,1691256472959,4307.701547803973,-4295.371547803973
12.33,1691256475966,4304.158046351218,-4291.828046351218
12.33,1691256488380,4290.646408401938,-4278.316408401938
12.33,1691256491759,4286.54529127731,-4274.21529127731
12.33,1691256510884,4263.346324182267,-4251.016324182267
12.33,1691256515091,4259.410028665124,-4247.080028665124
12.33,1691256519330,4255.688123031859,-4243.358123031859
12.33,1691256526788,4262.350336863976,-4250.020336863976
12.33,1691256531415,4265.63408406142,-4253.30408406142
12.33,1691256539877,4271.882002081204,-4259.552002081204
12.33,1691256544861,4269.731737023581,-4257.4017370235815
12.33,1691256549797,4267.310254113751,-4254.9802541137515
12.34,1691256554931,4259.02965993475,-4246.68965993475
12.33,1691256560203,4251.667070457767,-4239.337070457767
12.33,1691256565484,4244.629569967678,-4232.2995699676785
12.33,1691256570717,4237.738585002712,-4225.408585002712
12.34,1691256579799,4223.021574705499,-4210.681574705499
12.34,1691256585553,4215.5492062630365,-4203.209206263036
12.34,1691256591424,4208.162518819475,-4195.822518819475
12.34,1691256597387,4200.936710088055,-4188.596710088055
12.34,1691256603802,4193.743969954357,-4181.403969954357
12.34,1691256609828,4186.453213695063,-4174.113213695063
12.34,1691256616043,4179.437203824922,-4167.097203824922
12.34,1691256622315,4172.501159062626,-4160.161159062626
12.34,1691256628576,4166.370864565132,-4154.030864565132
12.34,1691256634994,4161.022461652642,-4148.682461652642
12.33,1691256644651,4157.790866709606,-4145.460866709606
12.34,1691256667609,4148.634293648518,-4136.294293648518
12.34,1691256675528,4143.326938257451,-4130.986938257451
12.33,1691256683440,4142.54258249218,-4130.21258249218
12.33,1691256691273,4141.773297868928,-4129.443297868928
12.33,1691256699486,4141.073868095949,-4128.743868095949
12.33,1691256707734,4140.385734059183,-4128.055734059183
12.33,1691256716031,4139.67580008634,-4127.34580008634
12.34,1691256724445,4135.649710575747,-4123.309710575747
12.34,1691256732832,4134.614581060086,-4122.274581060085
12.34,1691256741277,4133.595838833081,-4121.255838833081
12.34,1691256749866,4132.607609214941,-4120.26760921494
12.34,1691256759153,4131.635488300208,-4119.295488300208
12.34,1691256768982,4130.668912557978,-4118.328912557978
12.34,1691256778385,4129.71327599319,-4117.37327599319
12.34,1691256787847,4128.871549468353,-4116.531549468353
12.34,1691256797439,4128.380463412706,-4116.040463412706
12.34,1691256807122,4127.561742534636,-4115.221742534636
12.34,1691256816653,4126.745817654065,-4114.405817654065
12.34,1691256826369,4125.942517051339,-4113.6025170513385
12.34,1691256836020,4125.151593134703,-4112.811593134703
12.34,1691256846777,4124.719893029713,-4112.379893029713
12.34,1691256857506,4124.455537264152,-4112.1155372641515
12.34,1691256867465,4124.03496953898,-4111.694969538979
12.34,1691256877647,4120.20714473762,-4107.86714473762
12.34,1691256887797,4116.360559083943,-4104.020559083943
12.34,1691256898149,4112.56691973982,-4100.22691973982
12.34,1691256908558,4111.888082203424,-4099.548082203424
12.33,1691256919443,4112.961138854462,-4100.631138854462
12.32,1691256930165,4109.754851969825,-4097.434851969825
12.33,1691256940837,4110.365994965626,-4098.035994965626
12.33,1691256951611,4110.750843808711,-4098.420843808711
12.33,1691256962661,4111.11853211097,-4098.78853211097
12.33,1691256979998,4111.500887561975,-4099.170887561975
12.33,1691256991719,4111.430363444389,-4099.100363444389
12.33,1691257003458,4111.339962462121,-4099.009962462121
12.33,1691257015374,4111.146763863276,-4098.816763863276
12.33,1691257027448,4110.449501020805,-4098.119501020805
12.33,1691257039392,4110.322443484728,-4097.992443484728
12.33,1691257051389,4109.913613537038,-4097.583613537038
12.33,1691257063590,4110.297712443349,-4097.967712443349
12.33,1691257076067,4110.976114424131,-4098.646114424131
12.33,1691257088555,4111.594943715909,-4099.264943715909
12.33,1691257101221,4112.236211432842,-4099.906211432842
12.33,1691257114202,4112.6078849310625,-4100.2778849310625
12.33,1691257127160,4113.054649233729,-4100.724649233729
12.33,1691257140357,4113.496001092832,-4101.166001092832
12.33,1691257153804,4113.867520530539,-4101.537520530539
12.33,1691257167513,4114.234568778811,-4101.904568778811
12.33,1691257181083,4114.601403253527,-4102.271403253527
12.33,1691257194843,4114.987669331973,-4102.657669331973
