mp,timeStamp,mean,skew
10.99,1672512348165,2873.1786777435314,-2862.1886777435316
10.99,1672512362844,2874.7119378429893,-2863.7219378429895
10.99,1672512378087,2876.2059349441633,-2865.2159349441636
10.98,1672512393363,2877.820865746785,-2866.840865746785
10.99,1672512415290,2882.8677459695773,-2871.8777459695775
10.98,1672512431406,2884.465348902757,-2873.485348902757
10.98,1672512447424,2886.199193088875,-2875.219193088875
10.98,1672512463553,2887.782086916975,-2876.802086916975
10.99,1672512479864,2889.2967235005863,-2878.3067235005865
10.99,1672512496382,2891.0729830640466,-2880.082983064047
10.99,1672512512878,2892.8018678305953,-2881.8118678305955
10.99,1672512529713,2894.8995906987834,-2883.9095906987836
10.99,1672512546519,2897.0644903694465,-2886.0744903694467
10.99,1672512563600,2899.2705056421264,-2888.2805056421266
10.99,1672512580708,2901.267722119146,-2890.2777221191463
10.99,1672512598158,2902.5407704629406,-2891.550770462941
10.99,1672512617385,2903.42826067144,-2892.4382606714403
10.98,1672512638619,2906.2473689349467,-2895.2673689349467
10.98,1672512672956,2915.567985683018,-2904.587985683018
10.98,1672512695799,2918.0840249015487,-2907.1040249015487
10.98,1672512719226,2920.342437728301,-2909.362437728301
10.98,1672512739850,2920.7824818126583,-2909.8024818126582
10.98,1672512764282,2921.2882642863033,-2910.3082642863033
10.98,1672512785690,2921.435951140453,-2910.455951140453
10.98,1672512807433,2921.5808568032608,-2910.6008568032607
10.98,1672512829498,2922.0842205740646,-2911.1042205740646
10.98,1672512852174,2922.286653580385,-2911.306653580385
10.98,1672512878014,2923.1759066298373,-2912.1959066298373
10.98,1672512927692,2924.6794196094997,-2913.6994196094997
10.98,1672512957034,2925.0307627921165,-2914.0507627921165
10.98,1672512983502,2924.719352638195,-2913.7393526381948
10.98,1672513030268,2924.0097491483557,-2913.0297491483557
10.98,1672513062794,2923.7447984329933,-2912.7647984329933
10.98,1672513095797,2924.95297170063,-2913.97297170063
10.96,1672513129342,2925.395877331058,-2914.435877331058
10.96,1672513169874,2927.505035768731,-2916.545035768731
10.96,1672513201713,2927.6753530035603,-2916.7153530035603
10.96,1672513237144,2927.6637539661274,-2916.7037539661274
10.97,1672513273289,2928.820188886573,-2917.850188886573
10.97,1672513320269,2930.7170826680913,-2919.7470826680915
10.97,1672513355683,2930.99817502448,-2920.0281750244803
10.97,1672513391545,2930.919050554538,-2919.949050554538
10.97,1672513427742,2931.0015312721143,-2920.0315312721145
10.97,1672513463646,2930.9267606623575,-2919.9567606623577
10.97,1672513507309,2930.85689489246,-2919.88689489246
10.96,1672513548814,2931.013127525075,-2920.053127525075
10.96,1672513597267,2931.1803002862443,-2920.2203002862443
10.96,1672513635023,2930.733898742508,-2919.7738987425078
10.96,1672513673446,2930.5587466631837,-2919.5987466631836
10.96,1672513714861,2929.981933660418,-2919.0219336604177
10.96,1672513753452,2929.406419102284,-2918.446419102284
10.96,1672513792103,2928.899754926511,-2917.939754926511
10.96,1672513830995,2928.290643475705,-2917.330643475705
10.96,1672513870290,2927.7864190060614,-2916.8264190060613
10.96,1672513916497,2926.33393865656,-2915.37393865656
10.96,1672513960259,2925.485235574276,-2914.525235574276
10.96,1672514001716,2925.4547504761845,-2914.4947504761844
10.96,1672514043193,2925.022215104583,-2914.062215104583
10.96,1672514084998,2924.6014028788936,-2913.6414028788936
10.97,1672514137151,2926.596064674175,-2915.6260646741753
10.97,1672514180499,2927.1170107314824,-2916.1470107314826
10.97,1672514224031,2927.1526252367476,-2916.1826252367478
10.98,1672514267812,2925.805970892341,-2914.825970892341
10.98,1672514311994,2925.137091240214,-2914.157091240214
10.98,1672514356246,2923.8455098915947,-2912.8655098915947
10.98,1672514400738,2922.4117658338982,-2911.431765833898
10.97,1672514445634,2923.098548108431,-2912.128548108431
10.97,1672514491084,2923.3184902750913,-2912.3484902750915
10.97,1672514539468,2924.2618771233547,-2913.291877123355
10.97,1672514593278,2924.9128831508697,-2913.94288315087
10.97,1672514639179,2925.2482260355437,-2914.278226035544
10.96,1672514685843,2925.5907112685472,-2914.630711268547
10.96,1672514732416,2925.6532418573124,-2914.6932418573124
10.96,1672514779389,2925.5172431281862,-2914.557243128186
10.96,1672514830097,2925.0324416079256,-2914.0724416079256
10.97,1672514877926,2924.8987530316967,-2913.928753031697
10.97,1672514929197,2924.686936880715,-2913.7169368807154
10.98,1672514977819,2924.1023893238857,-2913.1223893238857
10.98,1672515032160,2923.486810922526,-2912.506810922526
10.98,1672515081086,2922.4871413925584,-2911.5071413925584
10.98,1672515130255,2921.516157283342,-2910.536157283342
10.98,1672515179774,2920.34631200177,-2909.36631200177
10.98,1672515230007,2918.955433912216,-2907.975433912216
10.98,1672515280143,2917.5479522901946,-2906.5679522901946
10.99,1672515330416,2916.3477176823776,-2905.357717682378
11,1672515380903,2914.5302086091906,-2903.5302086091906
11,1672515432306,2914.2740087902102,-2903.2740087902102
11,1672515483635,2914.124143051753,-2903.124143051753
10.99,1672515535276,2913.230127276465,-2902.240127276465
10.99,1672515590693,2910.3991933694297,-2899.40919336943
10.99,1672515643440,2909.1781562479237,-2898.188156247924
10.99,1672515696433,2907.8020526982555,-2896.8120526982557
10.98,1672515750032,2908.3533774954058,-2897.3733774954057
