mp,timeStamp,mean,skew
16.52,1673748130013,2966.3158398013265,-2949.7958398013266
16.52,1673748133032,2960.4299412211226,-2943.9099412211226
16.53,1673748138967,2742.0246662229583,-2725.494666222958
16.52,1673748142199,2783.2969032180813,-2766.7769032180813
16.54,1673748144961,2810.905472641505,-2794.365472641505
16.54,1673748150984,2836.2983357916646,-2819.7583357916646
16.53,1673748157378,2794.82260966733,-2778.29260966733
16.53,1673748166314,2747.6641193589803,-2731.13411935898
16.53,1673748175157,2733.520922230103,-2716.990922230103
16.55,1673748196546,2757.440857399655,-2740.890857399655
16.55,1673748202785,2727.3420847447264,-2710.7920847447263
16.54,1673748211569,2693.109869178185,-2676.569869178185
16.54,1673748218451,2672.7460983684377,-2656.206098368438
16.54,1673748220881,2667.8199909381765,-2651.2799909381765
16.55,1673748226850,2651.590134459628,-2635.040134459628
16.54,1673748236644,2633.584596392577,-2617.044596392577
16.54,1673748238999,2627.9389135420492,-2611.3989135420493
16.54,1673748245320,2617.6345551849445,-2601.0945551849445
16.55,1673748251300,2605.847829253959,-2589.2978292539588
16.55,1673748257335,2596.046866547027,-2579.496866547027
16.55,1673748260382,2593.1221003923993,-2576.572100392399
16.54,1673748263460,2590.2558023928664,-2573.7158023928664
16.53,1673748269942,2587.331029815282,-2570.8010298152817
16.52,1673748278731,2585.756787898901,-2569.236787898901
16.52,1673748281906,2580.9957728256886,-2564.4757728256886
16.52,1673748288037,2581.6013945672476,-2565.0813945672476
16.52,1673748291291,2582.6747546534943,-2566.1547546534944
16.51,1673748294073,2590.9591591807152,-2574.449159180715
16.51,1673748297277,2599.576634436671,-2583.066634436671
16.51,1673748303296,2613.013800561662,-2596.5038005616616
16.5,1673748309442,2607.083216971777,-2590.583216971777
16.55,1673748318767,2584.9860278855,-2568.4360278854997
16.55,1673748321908,2576.1826814863844,-2559.632681486384
16.55,1673748325111,2567.244612875224,-2550.694612875224
16.54,1673748328281,2561.578596163525,-2545.038596163525
16.54,1673748332008,2555.0993127256975,-2538.5593127256975
16.53,1673748335339,2550.8404816251223,-2534.310481625122
