bc,ac,tbv,tav,time,mp,minBid
1400971.88,12741309.23,317751.84,294191.94,1688862010440,13.75,13.69
1397165.61,12717062.07,317473.49,292456.41,1688862013237,13.74,13.69
1403809.45,12755220.31,317960.13,295212.15,1688862016319,13.74,13.69
1402859.02,12752441.39,317890.36,295010.44,1688862019371,13.74,13.69
1402009.47,12748976.34,317838.64,294767.17,1688862022332,13.73,13.68
1412564.41,12735469.01,318605.93,293791.42,1688862025391,13.74,13.68
1412304.92,12745006.59,318585.05,294484.53,1688862028246,13.74,13.68
1386503.76,12735860.11,316705.08,293825.06,1688862031216,13.73,13.68
1386513.86,12752183.75,316732.60,295020.59,1688862034232,13.72,13.67
1414166.38,12721671.25,318765.34,292804.34,1688862037224,13.73,13.67
1406880.05,12739404.13,318235.03,294095.57,1688862040272,13.73,13.67
1410984.51,12733342.01,318538.50,293659.94,1688862043219,13.73,13.67
1409041.73,12739396.72,318399.31,294101.47,1688862046623,13.72,13.67
1392768.73,12737801.16,317234.28,293996.92,1688862049560,13.7,13.65
1397616.87,12753117.05,317598.91,295115.79,1688862052233,13.7,13.65
1404319.25,12720068.62,318084.59,292717.66,1688862055375,13.7,13.65
1396959.78,12737127.51,317554.31,293978.54,1688862058307,13.7,13.65
1395607.58,12733247.24,317433.75,293733.88,1688862061390,13.71,13.65
1399210.00,12732819.53,317698.26,293701.72,1688862064265,13.71,13.65
1394041.00,12729720.69,317318.34,293477.20,1688862067217,13.71,13.65
1399990.92,12731380.18,317752.42,293599.07,1688862070347,13.71,13.65
1408277.32,12725475.22,318323.69,293167.94,1688862073357,13.72,13.65
1408527.07,12727762.79,318341.93,293333.92,1688862076386,13.72,13.65
1401900.38,12740259.46,317863.80,294253.72,1688862079369,13.71,13.65
1414909.38,12735730.33,318814.24,293922.31,1688862082265,13.71,13.65
1397346.48,12741245.53,317538.86,294334.70,1688862085466,13.7,13.65
1393444.47,12744761.78,317255.67,294605.48,1688862088340,13.7,13.65
1399031.64,12740254.54,317666.09,294277.56,1688862091309,13.7,13.65
1410108.19,12742374.27,318474.05,294429.98,1688862094332,13.71,13.65
1398309.21,12737531.76,317610.64,294079.25,1688862097215,13.7,13.65
1411381.35,12743566.86,318567.35,294518.40,1688862100333,13.7,13.65
