mp,timeStamp,mean,skew
16.84,1679760098273,4001.609747297296,-3984.769747297296
16.84,1679760101212,4344.05067004525,-4327.21067004525
16.82,1679760107233,4697.533052416107,-4680.7130524161075
16.82,1679760110186,4581.598547370303,-4564.778547370303
16.82,1679760113135,4539.654387189347,-4522.834387189348
16.81,1679760119160,4415.633232906078,-4398.8232329060775
16.82,1679760122292,4229.761836402738,-4212.941836402738
16.82,1679760128249,3961.7645414864855,-3944.9445414864854
16.81,1679760131233,3847.170729007247,-3830.360729007247
16.81,1679760134237,3775.5425656008038,-3758.732565600804
16.82,1679760140235,3657.408941344055,-3640.588941344055
16.82,1679760143365,3653.6357242252,-3636.8157242252
16.81,1679760146245,3652.5702299798386,-3635.7602299798386
16.81,1679760149243,3636.70773125831,-3619.89773125831
16.81,1679760152356,3622.9218903854785,-3606.1118903854785
16.82,1679760158331,3609.419269858698,-3592.599269858698
16.82,1679760161330,3596.2831558696453,-3579.463155869645
16.82,1679760164388,3582.973628653416,-3566.153628653416
16.82,1679760176476,3543.363501445889,-3526.543501445889
16.82,1679760191859,3577.4692173285985,-3560.6492173285983
16.82,1679760194863,3598.9390929870065,-3582.1190929870063
16.81,1679760197920,3613.7708627708994,-3596.9608627708994
16.82,1679760200996,3637.143593149789,-3620.323593149789
16.82,1679760206999,3637.6352444755325,-3620.8152444755324
16.83,1679760213221,3651.1833947700234,-3634.3533947700234
16.83,1679760216118,3667.819100709318,-3650.989100709318
16.83,1679760219218,3684.488606917702,-3667.658606917702
16.83,1679760222235,3700.1402024619597,-3683.3102024619598
16.83,1679760225143,3716.4782094274988,-3699.648209427499
16.84,1679760228332,3744.678053739497,-3727.838053739497
16.83,1679760231374,3759.3153957416903,-3742.4853957416904
16.83,1679760234481,3772.783914903442,-3755.953914903442
16.83,1679760237383,3781.0572762408483,-3764.2272762408484
16.83,1679760240276,3796.3531280055563,-3779.5231280055564
16.83,1679760243588,3811.004081780143,-3794.1740817801433
16.82,1679760249784,3806.751287870254,-3789.931287870254
16.83,1679760256017,3816.0408665108666,-3799.2108665108667
16.83,1679760258863,3828.889993858155,-3812.059993858155
16.83,1679760262011,3842.034556848954,-3825.204556848954
16.83,1679760265007,3852.6253372834067,-3835.7953372834068
16.83,1679760268079,3867.4212724163945,-3850.5912724163945
16.82,1679760274376,3850.0254186442558,-3833.2054186442556
16.82,1679760277020,3845.3319281094737,-3828.5119281094735
16.83,1679760280297,3854.511189880844,-3837.681189880844
16.83,1679760283225,3863.1687668138125,-3846.3387668138125
16.83,1679760286294,3871.538400882835,-3854.708400882835
16.83,1679760289308,3879.2088852271613,-3862.3788852271614
16.83,1679760292553,3884.884752052738,-3868.054752052738
16.83,1679760296247,3893.095635527092,-3876.265635527092
16.83,1679760299180,3900.187714724341,-3883.357714724341
16.83,1679760302281,3907.0631189080277,-3890.233118908028
16.83,1679760305303,3912.093401881755,-3895.2634018817553
16.83,1679760308537,3915.8826472337996,-3899.0526472337997
16.83,1679760311720,3920.0965691356005,-3903.2665691356005
16.83,1679760315099,3925.354283313749,-3908.524283313749
16.82,1679760318506,3920.1414040691016,-3903.3214040691014
16.82,1679760321871,3915.409481607223,-3898.5894816072228
16.81,1679760325366,3922.7560562266053,-3905.9460562266054
16.81,1679760329397,3929.238552677754,-3912.428552677754
16.81,1679760336017,3941.0670885895534,-3924.2570885895534
16.81,1679760340431,3959.906827408423,-3943.096827408423
16.8,1679760356628,4033.5885750326615,-4016.7885750326614
16.8,1679760363942,4031.797419377545,-4014.9974193775447
16.8,1679760368469,4017.524681966191,-4000.724681966191
16.8,1679760376030,3993.780245613877,-3976.980245613877
16.8,1679760383756,3971.152273333973,-3954.352273333973
16.8,1679760391709,3957.9675640243086,-3941.1675640243084
16.8,1679760399959,3943.5087536696474,-3926.708753669647
16.81,1679760408594,3952.54515527877,-3935.73515527877
16.81,1679760417123,3960.615532365796,-3943.805532365796
16.81,1679760432014,3976.399756447758,-3959.589756447758
16.81,1679760441593,3982.1497049092877,-3965.339704909288
16.81,1679760451575,3990.393282060434,-3973.583282060434
16.81,1679760461236,3998.6660970771954,-3981.8560970771955
16.81,1679760467876,4001.8404482169867,-3985.0304482169868
16.8,1679760474554,3994.8474519038755,-3978.0474519038753
16.79,1679760484534,3989.6450079905035,-3972.8550079905035
16.8,1679760491467,3993.0504372651617,-3976.2504372651615
16.79,1679760498635,3994.4108772485215,-3977.6208772485215
16.78,1679760505999,3997.006907673653,-3980.226907673653
16.77,1679760519432,4003.8556848049166,-3987.0856848049166
16.78,1679760528081,4005.8516965013173,-3989.071696501317
16.79,1679760548708,4033.2118950617287,-4016.4218950617287
16.78,1679760563383,4055.126809555293,-4038.346809555293
16.79,1679760588251,4079.1140061251854,-4062.3240061251854
16.78,1679760607741,4088.321827016765,-4071.5418270167647
16.78,1679760621367,4089.482158386833,-4072.7021583868327
16.79,1679760631860,4091.8539289897726,-4075.0639289897726
16.79,1679760658156,4108.24174268234,-4091.4517426823404
16.79,1679760669611,4115.067117360901,-4098.277117360901
16.79,1679760681460,4121.720311009219,-4104.930311009219
16.79,1679760696240,4133.416065143088,-4116.626065143088
16.79,1679760711238,4145.003513335895,-4128.213513335895
16.8,1679760723530,4153.43366761593,-4136.63366761593
16.79,1679760738804,4167.779043059772,-4150.9890430597725
16.79,1679760751121,4172.57025332309,-4155.78025332309
16.78,1679760763902,4174.03493179255,-4157.25493179255
16.79,1679760776730,4180.9988849120045,-4164.208884912005
16.8,1679760789687,4187.66102825179,-4170.86102825179
16.8,1679760825010,4243.169688703282,-4226.369688703282
16.8,1679760842954,4255.237106992491,-4238.437106992491
16.8,1679760857870,4261.318052456006,-4244.5180524560055
16.8,1679760872938,4266.472489549395,-4249.672489549394
16.8,1679760894506,4285.841934283664,-4269.041934283664
16.8,1679760910371,4293.400503169091,-4276.600503169091
16.8,1679760941167,4340.145497799734,-4323.3454977997335
16.8,1679760961071,4355.105979106642,-4338.305979106642
16.8,1679760981439,4365.245225684948,-4348.445225684948
16.79,1679760998976,4369.0590088465815,-4352.2690088465815
16.78,1679761016659,4369.485148140663,-4352.705148140663
16.78,1679761041065,4376.366643449195,-4359.586643449195
16.77,1679761062900,4390.393670653692,-4373.623670653692
16.78,1679761081767,4396.106705069848,-4379.326705069849
16.77,1679761110485,4419.539802463372,-4402.769802463372
16.77,1679761133370,4434.617502540584,-4417.847502540583
16.77,1679761156511,4437.50461328793,-4420.734613287929
16.77,1679761224346,4438.430012186948,-4421.660012186948
16.77,1679761251885,4449.727672319414,-4432.957672319413
16.78,1679761276929,4457.491764634073,-4440.711764634073
16.78,1679761299033,4460.929361461764,-4444.149361461764
16.78,1679761328563,4468.251406126833,-4451.471406126833
16.77,1679761355139,4471.034813605476,-4454.264813605476
16.77,1679761397957,4492.772440062915,-4476.0024400629145
16.77,1679761423050,4495.797548469968,-4479.027548469968
16.77,1679761448484,4496.284748164408,-4479.514748164407
16.77,1679761474577,4497.139959823406,-4480.369959823405
16.78,1679761507524,4496.933198125686,-4480.153198125687
16.78,1679761537834,4499.409322964002,-4482.629322964002
16.79,1679761564386,4501.011532047219,-4484.221532047219
16.79,1679761590954,4503.1665473477915,-4486.3765473477915
16.8,1679761623896,4494.764279099092,-4477.964279099092
16.8,1679761651058,4494.627526037567,-4477.827526037567
16.81,1679761681684,4492.7538579727525,-4475.943857972752
16.81,1679761713064,4493.46459240623,-4476.654592406229
16.81,1679761744601,4494.146164076572,-4477.336164076572
16.81,1679761779319,4496.268321551921,-4479.458321551921
16.82,1679761811455,4502.948204252206,-4486.128204252206
16.82,1679761841005,4507.003045014545,-4490.183045014545
16.83,1679761870537,4512.948758773185,-4496.118758773185
16.81,1679761910933,4518.501835123135,-4501.691835123134
16.82,1679761941335,4522.022542628432,-4505.202542628433
16.83,1679761971957,4526.50360273592,-4509.67360273592
16.82,1679762011160,4533.333591664387,-4516.513591664388
16.81,1679762045366,4532.53415995801,-4515.724159958009
16.81,1679762077849,4532.662447113353,-4515.852447113352
16.81,1679762110202,4532.256123885646,-4515.446123885646
16.81,1679762142566,4534.641778450306,-4517.831778450306
16.8,1679762175177,4534.208427891793,-4517.408427891793
16.81,1679762208307,4534.9440499109205,-4518.13404991092
16.81,1679762244780,4540.958425139117,-4524.148425139117
16.8,1679762285808,4544.9560917186,-4528.1560917186
16.81,1679762319956,4546.310849912341,-4529.5008499123405
16.83,1679762354433,4544.977262153245,-4528.147262153245
16.82,1679762392102,4536.25303168658,-4519.43303168658
16.83,1679762427349,4536.901797550854,-4520.071797550854
16.83,1679762463153,4538.994852218201,-4522.164852218201
16.83,1679762503449,4541.820830645802,-4524.990830645802
16.82,1679762541781,4540.324108252708,-4523.504108252709
16.81,1679762578337,4541.778553893473,-4524.968553893473
