mp,timeStamp,mean,skew
14.63,1684646405232,3332.46626392857,-3317.8362639285697
14.63,1684646408103,3338.4237471810075,-3323.7937471810073
14.63,1684646410991,3325.083018774703,-3310.4530187747027
14.63,1684646414036,3317.503942640948,-3302.873942640948
14.63,1684646420360,3316.7983475691685,-3302.1683475691684
14.63,1684646423127,3318.4521653859183,-3303.822165385918
14.64,1684646438263,3278.7422688911,-3264.1022688911003
14.63,1684646441262,3271.9297752946677,-3257.2997752946676
14.63,1684646444327,3266.0937968956887,-3251.4637968956886
14.63,1684646453717,3252.1455997461007,-3237.5155997461006
14.63,1684646456422,3249.6169666185283,-3234.986966618528
14.63,1684646462432,3244.1970138620372,-3229.567013862037
14.64,1684646465546,3243.1437857086803,-3228.5037857086804
14.64,1684646468609,3242.1870235511583,-3227.5470235511584
14.64,1684646471718,3240.222806924263,-3225.582806924263
14.64,1684646480746,3234.6594692936146,-3220.0194692936147
14.64,1684646486901,3230.982072771386,-3216.342072771386
14.64,1684646496003,3225.355492960239,-3210.7154929602393
14.63,1684646508339,3221.0971937258464,-3206.4671937258463
14.63,1684646517956,3220.865077345589,-3206.2350773455887
14.63,1684646520657,3221.956341271636,-3207.326341271636
14.63,1684646533020,3223.750215318106,-3209.1202153181057
14.63,1684646536159,3224.708765287742,-3210.078765287742
14.63,1684646539211,3225.62451511678,-3210.99451511678
14.63,1684646542331,3226.500268803323,-3211.8702688033227
14.63,1684646551721,3227.7646889236125,-3213.1346889236124
14.63,1684646557856,3228.707497263721,-3214.077497263721
14.63,1684646564163,3229.5785197374344,-3214.9485197374343
14.63,1684646567564,3229.6777253838595,-3215.0477253838594
14.63,1684646580580,3228.9471161422293,-3214.317116142229
14.63,1684646597343,3229.581013796382,-3214.951013796382
14.63,1684646602033,3230.1041012222763,-3215.474101222276
14.63,1684646606897,3230.611409113333,-3215.981409113333
14.63,1684646611909,3231.104131562621,-3216.474131562621
14.63,1684646623388,3231.607736722605,-3216.9777367226047
14.64,1684646635312,3231.0936523942632,-3216.4536523942634
14.64,1684646641496,3230.43744527596,-3215.79744527596
14.63,1684646647599,3229.805998011251,-3215.175998011251
14.63,1684646653889,3229.1917932898705,-3214.5617932898704
14.63,1684646660281,3228.9987458868677,-3214.3687458868676
14.63,1684646667008,3228.4113031210027,-3213.7813031210026
14.63,1684646683393,3227.8407568310568,-3213.2107568310566
14.63,1684646703773,3228.041082834263,-3213.4110828342627
14.63,1684646712319,3228.061430041907,-3213.431430041907
14.63,1684646720921,3228.2362557004735,-3213.6062557004734
14.63,1684646732944,3229.5101991648985,-3214.8801991648984
14.63,1684646742045,3230.2693761388005,-3215.6393761388003
14.63,1684646754482,3230.8993881448955,-3216.2693881448954
14.63,1684646764185,3231.095489364048,-3216.4654893640477
14.63,1684646773869,3231.7613828163844,-3217.1313828163843
14.63,1684646786854,3232.5078935997,-3217.8778935996997
14.63,1684646797051,3232.6586621779957,-3218.0286621779956
14.63,1684646810583,3233.590635037486,-3218.960635037486
14.63,1684646821771,3233.7898832537694,-3219.1598832537693
14.63,1684646832974,3234.420500266684,-3219.790500266684
14.63,1684646847300,3235.417623776854,-3220.7876237768537
14.63,1684646858819,3236.2120296129137,-3221.5820296129136
14.63,1684646870626,3237.7672336220176,-3223.1372336220174
14.63,1684646885793,3239.0516903569896,-3224.4216903569895
14.63,1684646904979,3242.2486255747212,-3227.618625574721
14.63,1684646918007,3243.627050047945,-3228.997050047945
14.63,1684646931193,3245.3085694248853,-3230.678569424885
14.63,1684646944674,3246.5690805991376,-3231.9390805991375
14.63,1684646958434,3247.418149476057,-3232.788149476057
14.63,1684646972251,3248.4912877414986,-3233.8612877414985
14.63,1684646986123,3249.8181105301514,-3235.1881105301513
14.63,1684647003580,3251.5776004507184,-3236.9476004507183
14.63,1684647021471,3253.372819370601,-3238.742819370601
14.63,1684647036418,3254.1396130785984,-3239.5096130785982
14.63,1684647061592,3256.0230369548885,-3241.3930369548884
14.63,1684647077882,3257.067913764239,-3242.437913764239
14.63,1684647107677,3260.7872913183737,-3246.1572913183736
14.63,1684647125469,3260.7381473363394,-3246.1081473363392
14.63,1684647143429,3261.2438441074128,-3246.6138441074127
14.63,1684647161534,3261.741874130853,-3247.111874130853
14.63,1684647186760,3262.362531672892,-3247.732531672892
14.64,1684647206371,3262.5372082679223,-3247.8972082679225
14.64,1684647229091,3263.1254273799755,-3248.4854273799756
14.64,1684647249350,3263.459017306098,-3248.819017306098
14.64,1684647272860,3264.4220510881646,-3249.7820510881647
14.64,1684647297327,3265.370248815952,-3250.730248815952
14.63,1684647318688,3265.661751836763,-3251.031751836763
14.64,1684647340227,3265.86445432074,-3251.2244543207403
14.64,1684647361943,3266.380904489655,-3251.7409044896553
14.64,1684647383682,3267.0055545517284,-3252.3655545517286
14.64,1684647405733,3267.1661838578984,-3252.5261838578986
14.64,1684647427871,3267.4472515160987,-3252.807251516099
14.64,1684647457157,3268.1450467809427,-3253.505046780943
14.64,1684647480476,3268.442833601157,-3253.802833601157
14.64,1684647507840,3268.995905462944,-3254.355905462944
14.64,1684647542323,3270.0817055345406,-3255.4417055345407
14.64,1684647571476,3269.7797694958103,-3255.1397694958105
14.64,1684647608162,3270.5252240978457,-3255.885224097846
14.64,1684647636015,3270.8025460763315,-3256.1625460763316
14.64,1684647664038,3271.529165427282,-3256.889165427282
14.63,1684647695921,3271.6113544474024,-3256.9813544474023
14.63,1684647724899,3271.6078348896986,-3256.9778348896984
14.63,1684647754392,3272.0412650307244,-3257.4112650307243
14.63,1684647794173,3275.840919108793,-3261.210919108793
14.63,1684647838878,3276.9390693033984,-3262.3090693033982
14.63,1684647875106,3276.9436859268812,-3262.313685926881
14.63,1684647908621,3277.046900981303,-3262.416900981303
14.64,1684647942196,3277.1924939070045,-3262.5524939070046
14.63,1684647986320,3277.0017644328423,-3262.371764432842
14.63,1684648025322,3276.926115095978,-3262.2961150959777
14.64,1684648061644,3276.940450259149,-3262.3004502591493
14.64,1684648103605,3276.9417109834612,-3262.3017109834614
14.63,1684648140291,3276.637137135913,-3262.0071371359127
14.63,1684648189612,3276.720247667666,-3262.090247667666
14.63,1684648227671,3277.154827986885,-3262.5248279868847
14.63,1684648290182,3280.7785942428454,-3266.1485942428453
14.63,1684648349294,3281.8384728680253,-3267.208472868025
14.63,1684648393420,3282.0668235000826,-3267.4368235000825
14.63,1684648437921,3282.25385780397,-3267.6238578039697
14.63,1684648489451,3282.355377945279,-3267.725377945279
14.63,1684648534522,3282.593842033358,-3267.963842033358
