bc,ac,tbv,tav,time,mp,minBid
1538600.32,12652535.91,326954.07,333652.79,1685242545655,14.7,14.64
1530466.53,12652385.16,326398.48,333642.59,1685242548661,14.7,14.64
1539692.63,12655504.66,327028.63,333854.90,1685242552004,14.7,14.64
1539765.65,12652535.14,327033.58,333652.81,1685242554666,14.7,14.64
1537263.10,12652384.55,326862.50,333642.59,1685242557853,14.7,14.64
1538130.24,12652535.14,326922.18,333652.81,1685242560672,14.7,14.64
1535191.57,12650295.55,326721.29,333500.67,1685242563705,14.7,14.64
1537688.14,12646514.39,326891.92,333243.98,1685242566763,14.7,14.64
1538053.65,12650431.30,326916.84,333509.89,1685242569701,14.7,14.64
1535553.82,12650280.70,326745.94,333499.66,1685242572750,14.7,14.64
1541388.10,12629060.85,327141.80,332051.12,1685242576070,14.71,14.64
1538938.58,12647706.57,326974.41,333317.81,1685242578635,14.71,14.64
1543088.42,12650406.64,327257.06,333501.34,1685242581751,14.71,14.64
1531038.62,12652470.11,326435.39,333641.32,1685242584672,14.71,14.64
1541943.99,12652356.81,327178.45,333633.62,1685242587761,14.71,14.64
1544026.63,12654446.77,327320.41,333775.60,1685242590695,14.71,14.64
1537341.94,12649930.95,326863.77,333468.97,1685242594039,14.71,14.64
1538206.87,12646257.38,326923.34,333219.09,1685242596707,14.71,14.64
1537186.38,12646395.24,326852.59,333228.27,1685242599639,14.71,14.64
1533191.08,12645659.74,326580.61,333178.27,1685242602677,14.71,14.64
1539682.79,12641878.69,327023.19,332921.57,1685242605755,14.71,14.64
1533096.08,12645662.41,326574.19,333178.27,1685242608656,14.71,14.64
1529449.91,12650689.01,326326.64,333519.93,1685242611640,14.71,14.64
1527809.41,12650689.01,326214.96,333519.93,1685242614782,14.71,14.64
1530372.11,12655056.30,326389.42,333816.33,1685242617717,14.71,14.64
1527862.71,12654905.61,326217.88,333806.10,1685242620735,14.71,14.64
1538982.39,12650879.14,326974.33,333532.36,1685242623782,14.71,14.64
