bc,ac,tbv,tav,time,mp,minBid
2938012.08,9058904.89,397851.99,174246.30,1682268336048,16.95,16.88
2942177.58,9064285.71,398099.09,174563.02,1682268338997,16.96,16.88
2944262.09,9064285.71,398222.36,174563.02,1682268342081,16.96,16.88
2944259.13,9064287.58,398222.18,174563.02,1682268345404,16.96,16.88
2943356.50,9049957.32,398167.63,173718.55,1682268347999,16.96,16.88
2952900.45,9070506.39,398729.18,174920.24,1682268350979,16.96,16.88
2952901.69,9070506.39,398729.21,174920.24,1682268353996,16.96,16.88
2952901.69,9071178.09,398729.21,174959.67,1682268356982,16.96,16.88
2950339.61,9066288.87,398592.15,174648.39,1682268359966,16.96,16.88
2950322.04,9070433.90,398591.53,174892.31,1682268362987,16.96,16.88
2939328.64,9076988.55,397927.24,175292.24,1682268366116,16.96,16.88
2941250.08,9082760.69,398041.98,175632.80,1682268369030,16.96,16.88
2943670.96,9078252.46,398183.32,175367.30,1682268371988,16.96,16.88
2952117.80,9067656.78,398678.39,174740.76,1682268374999,16.96,16.88
2954042.74,9072395.92,398748.80,175019.51,1682268378156,16.96,16.88
2951380.78,9078215.86,398591.77,175362.09,1682268380991,16.96,16.88
2951832.63,9079051.94,398618.43,175411.39,1682268383971,16.96,16.88
2946020.14,9073061.01,398273.94,175057.92,1682268387160,16.96,16.88
2946558.13,9074421.51,398301.03,175137.92,1682268389980,16.96,16.88
2953259.14,9078645.41,398698.57,175386.13,1682268393095,16.97,16.88
2953846.24,9073102.56,398732.32,175060.69,1682268396005,16.97,16.88
2957552.41,9079497.76,398950.99,175437.45,1682268399022,16.97,16.88
2956405.27,9079498.02,398883.19,175437.45,1682268402100,16.97,16.88
2956405.27,9079498.02,398883.19,175437.45,1682268405263,16.97,16.88
2951808.02,9075510.35,398595.83,175202.58,1682268408018,16.97,16.88
2951808.02,9073113.84,398595.83,175061.29,1682268411169,16.97,16.88
2951319.45,9069229.65,398565.40,174832.20,1682268414024,16.97,16.88
2932816.63,9053005.73,397462.38,173876.98,1682268417102,16.97,16.88
2942037.36,9074274.80,398011.95,175124.11,1682268420154,16.97,16.88
2934085.37,9074828.34,397550.94,175156.33,1682268423015,16.97,16.88
2938115.60,9074835.45,397788.96,175156.89,1682268426031,16.97,16.88
2938660.40,9077930.98,397820.50,175340.07,1682268429131,16.97,16.88
2916529.21,9051014.25,396500.99,173764.97,1682268432036,16.97,16.88
2939304.10,9072067.60,397856.62,174998.16,1682268435408,16.96,16.88
2936091.76,9071192.46,397668.70,174947.98,1682268438034,16.96,16.88
2944721.11,9054613.15,398178.68,173976.32,1682268441559,16.96,16.88
2946129.40,9080980.58,398261.45,175529.32,1682268444014,16.96,16.88
2949471.64,9077378.67,398458.32,175316.46,1682268447033,16.96,16.88
2942760.38,9077998.67,398061.62,175353.32,1682268450031,16.97,16.88
2928282.52,9065362.22,397201.40,174613.71,1682268453097,16.97,16.88
2942514.49,9078025.80,398047.55,175354.90,1682268456019,16.97,16.88
2952894.80,9068678.43,398654.27,174803.50,1682268459132,16.96,16.88
2950881.70,9080817.49,398535.29,175516.49,1682268462051,16.96,16.88
2950881.87,9080817.49,398535.29,175516.49,1682268465204,16.96,16.88
2941335.54,9076341.19,397971.32,175253.09,1682268468096,16.96,16.88
2941335.54,9076341.19,397971.32,175253.09,1682268471123,16.96,16.88
2939997.30,9072657.89,397892.15,175036.33,1682268474111,16.96,16.88
2948312.27,9066091.35,398381.02,174646.92,1682268477137,16.97,16.88
2950867.14,9068368.10,398527.14,174773.84,1682268480058,16.98,16.88
2943584.00,9066747.56,398100.47,174677.52,1682268483094,16.97,16.88
2944211.33,9065996.33,398137.50,174632.90,1682268486250,16.97,16.88
2946294.45,9063683.44,398260.54,174496.34,1682268489149,16.98,16.88
2946294.51,9063683.44,398260.54,174496.34,1682268492157,16.98,16.88
2946892.68,9063117.82,398296.75,174463.28,1682268495055,16.98,16.88
2949964.72,9070882.97,398474.55,174919.64,1682268498104,16.98,16.88
2934154.67,9070238.32,397541.23,174884.46,1682268501125,16.97,16.88
2940887.86,9072178.56,397940.55,174998.86,1682268504129,16.97,16.88
2940835.41,9080707.36,397937.45,175501.83,1682268507174,16.97,16.88
2942084.87,9081067.71,398009.95,175523.51,1682268510105,16.97,16.88
2942084.87,9081067.71,398009.95,175523.51,1682268513179,16.97,16.88
2942086.35,9055348.80,398009.95,174011.98,1682268516158,16.98,16.88
2943732.63,9077906.01,398105.78,175336.14,1682268519140,16.98,16.88
2940306.83,9073157.53,397903.88,175056.77,1682268522126,16.98,16.88
2937604.71,9060647.00,397732.25,174319.65,1682268525855,16.99,16.88
2948567.46,9066543.74,398376.49,174647.13,1682268528082,16.99,16.88
2949052.79,9071844.44,398404.95,174958.99,1682268531141,16.99,16.88
2949093.20,9069899.97,398407.31,174844.09,1682268534468,16.99,16.88
2934118.33,9074396.92,397528.66,175109.67,1682268537114,16.98,16.88
2935986.89,9071533.64,397638.78,174940.98,1682268540188,16.98,16.88
2937603.69,9073119.63,397731.87,175040.86,1682268543185,16.98,16.88
2938888.26,9075012.84,397809.47,175152.78,1682268546457,16.98,16.88
2938888.26,9074559.92,397809.47,175126.12,1682268549551,16.98,16.88
2935667.72,9069251.81,397619.65,174814.57,1682268552087,16.97,16.88
2945756.59,9080511.08,398219.87,175479.06,1682268555254,16.97,16.88
2945990.78,9085810.42,398233.63,175791.65,1682268558205,16.97,16.88
2947289.67,9080356.73,398310.00,175470.13,1682268561197,16.97,16.88
