mp,timeStamp,mean,skew
16.96,1682268339001,4406.38034185022,-4389.42034185022
16.96,1682268342087,4402.402338070174,-4385.442338070174
16.96,1682268350999,4421.3794528655035,-4404.419452865503
16.96,1682268354020,4419.433874713227,-4402.473874713227
16.96,1682268357014,4413.919742757885,-4396.959742757885
16.96,1682268363028,4045.9354912620674,-4028.9754912620674
16.96,1682268375091,3845.276688159719,-3828.316688159719
16.96,1682268381087,3743.6969667230273,-3726.7369667230273
16.96,1682268387274,3664.9230565002586,-3647.9630565002585
16.96,1682268390099,3646.992341309156,-3630.032341309156
16.97,1682268393229,3674.394808791463,-3657.4248087914634
16.97,1682268396146,3695.0415414991794,-3678.0715414991796
16.97,1682268399172,3713.3789329244214,-3696.4089329244216
16.97,1682268402268,3731.0435612438573,-3714.0735612438575
16.97,1682268405437,3747.1993758523317,-3730.229375852332
16.97,1682268408203,3784.4013432799393,-3767.4313432799395
16.97,1682268417343,3890.1065647066116,-3873.136564706612
16.97,1682268420409,3913.9550073195783,-3896.9850073195785
16.97,1682268423287,3931.4383184554404,-3914.4683184554406
16.97,1682268426364,3950.056399350343,-3933.086399350343
16.97,1682268429439,3974.0984763601305,-3957.1284763601307
16.97,1682268432372,3994.768438893321,-3977.7984388933214
16.96,1682268435758,3993.9061750568935,-3976.9461750568935
16.96,1682268438408,4009.6770114199576,-3992.7170114199575
16.96,1682268447502,4025.0741705347973,-4008.1141705347973
16.97,1682268450523,4042.3644253723533,-4025.3944253723535
16.97,1682268453613,4067.2009947306083,-4050.2309947306085
16.97,1682268456572,4083.5524697608803,-4066.5824697608805
16.96,1682268462680,4081.3045359487455,-4064.3445359487455
16.96,1682268465844,4081.6697810093365,-4064.7097810093364
16.96,1682268468754,4081.6733353711625,-4064.7133353711624
16.96,1682268471810,4081.676736988023,-4064.716736988023
16.96,1682268474821,4080.7452328034287,-4063.7852328034287
16.97,1682268477978,4092.0022888453163,-4075.0322888453165
16.98,1682268480820,4115.3347872651,-4098.354787265101
16.97,1682268483875,4120.970364685812,-4104.000364685811
16.97,1682268487074,4127.070718651115,-4110.100718651115
16.98,1682268493053,4163.9821244778195,-4147.00212447782
16.98,1682268495966,4180.731848905983,-4163.751848905983
16.98,1682268499047,4183.327019345938,-4166.347019345939
16.97,1682268502110,4189.135352283586,-4172.165352283586
16.97,1682268505133,4190.1996188715475,-4173.229618871547
16.97,1682268508217,4193.130380174449,-4176.160380174449
16.97,1682268511190,4200.885092754814,-4183.9150927548135
16.97,1682268514301,4208.3696847228,-4191.3996847228
16.98,1682268517338,4226.003817236031,-4209.023817236031
16.98,1682268520345,4244.662144161889,-4227.6821441618895
16.98,1682268523399,4261.570181500705,-4244.5901815007055
16.99,1682268527159,4262.5898476684015,-4245.599847668402
16.99,1682268529392,4252.921908937182,-4235.931908937182
16.99,1682268535869,4231.713422668757,-4214.723422668757
16.98,1682268538561,4221.746235890779,-4204.766235890779
16.98,1682268541665,4210.5178617131905,-4193.537861713191
16.98,1682268544683,4200.543108759149,-4183.563108759149
16.98,1682268551119,4211.004318269197,-4194.0243182691975
16.97,1682268553705,4218.3577051851535,-4201.387705185153
16.97,1682268556899,4223.761153079091,-4206.791153079091
16.97,1682268559891,4230.119041649752,-4213.149041649752
16.97,1682268562961,4236.31021358257,-4219.34021358257
16.97,1682268565891,4242.387173211684,-4225.417173211684
16.97,1682268568958,4247.681116604968,-4230.711116604968
16.97,1682268572134,4253.954167804531,-4236.98416780453
16.97,1682268575125,4260.256749003564,-4243.286749003564
16.97,1682268578095,4267.636412961022,-4250.666412961022
16.97,1682268581088,4274.4383865899945,-4257.468386589994
16.97,1682268584296,4280.285037227141,-4263.315037227141
16.97,1682268587240,4285.894919402489,-4268.924919402489
16.97,1682268590270,4290.532518232056,-4273.5625182320555
16.98,1682268593355,4295.343584920055,-4278.3635849200555
16.97,1682268599745,4303.799974921422,-4286.829974921422
16.97,1682268605395,4311.695538341642,-4294.725538341641
16.96,1682268608533,4316.1873996914965,-4299.227399691496
16.96,1682268611558,4318.796551978223,-4301.836551978223
16.96,1682268614627,4319.919898558572,-4302.959898558572
16.96,1682268617681,4321.017494483768,-4304.057494483768
16.96,1682268620733,4322.1262469259345,-4305.1662469259345
16.95,1682268623839,4316.682208289225,-4299.732208289225
16.96,1682268630113,4304.810159399525,-4287.850159399525
16.96,1682268633349,4301.127507062555,-4284.167507062555
16.95,1682268637012,4302.821448637616,-4285.871448637617
16.95,1682268640388,4304.613123303858,-4287.663123303858
16.95,1682268643937,4305.105226395463,-4288.155226395464
16.95,1682268647553,4306.522204749384,-4289.572204749385
16.95,1682268651216,4309.769379056816,-4292.819379056817
16.95,1682268673505,4315.290575123733,-4298.340575123733
16.94,1682268677889,4309.5320436241345,-4292.592043624135
16.94,1682268682365,4302.944403585608,-4286.004403585608
16.94,1682268686925,4293.29260590582,-4276.35260590582
16.94,1682268691848,4283.919795846539,-4266.97979584654
16.94,1682268699812,4269.017190908918,-4252.077190908918
16.95,1682268704859,4266.805971514589,-4249.855971514589
16.95,1682268713127,4260.18449749791,-4243.2344974979105
16.94,1682268718497,4251.293888416408,-4234.353888416408
16.94,1682268743283,4219.527348168133,-4202.587348168134
16.94,1682268752921,4203.888031686888,-4186.9480316868885
16.94,1682268759723,4196.309460710202,-4179.3694607102025
16.92,1682268772825,4171.635667177412,-4154.715667177412
16.92,1682268783348,4156.4638429923925,-4139.5438429923925
16.92,1682268790868,4147.892078290251,-4130.972078290251
16.92,1682268798531,4138.836728104137,-4121.916728104137
16.92,1682268809486,4123.073955758687,-4106.153955758687
16.92,1682268818285,4115.671037614054,-4098.7510376140535
16.92,1682268828055,4108.44905658276,-4091.52905658276
16.91,1682268839320,4117.3924822900035,-4100.482482290004
16.92,1682268850743,4124.802264953199,-4107.8822649531985
16.92,1682268863622,4110.557905651773,-4093.6379056517726
16.92,1682268886299,4104.771867774241,-4087.8518677742413
16.92,1682268899513,4116.859901191339,-4099.939901191339
16.91,1682268909639,4124.4591537296365,-4107.549153729637
16.91,1682268922833,4138.0762092428695,-4121.16620924287
16.92,1682268936135,4132.650011115099,-4115.730011115099
16.92,1682268946535,4129.898823056527,-4112.978823056527
16.92,1682268957083,4127.727688669553,-4110.807688669553
16.92,1682268967658,4135.639824423543,-4118.719824423543
16.92,1682268981508,4132.698558479183,-4115.778558479183
16.9,1682268995603,4140.5332176913635,-4123.633217691364
16.9,1682269010388,4140.27501498398,-4123.375014983981
16.89,1682269025077,4148.919423255108,-4132.029423255108
16.9,1682269039918,4149.2403819394785,-4132.340381939479
16.91,1682269058206,4132.167753274944,-4115.257753274944
16.9,1682269070607,4130.022028654667,-4113.122028654668
16.9,1682269083064,4131.754549410425,-4114.8545494104255
16.91,1682269095623,4133.502151415671,-4116.592151415671
16.91,1682269117904,4141.020072159815,-4124.110072159815
16.91,1682269140868,4142.656996748205,-4125.746996748205
16.92,1682269158114,4142.40040498831,-4125.48040498831
16.92,1682269175642,4146.2835835769565,-4129.363583576956
16.91,1682269190234,4150.795765695631,-4133.885765695632
16.91,1682269240235,4184.86866733392,-4167.95866733392
16.91,1682269257462,4185.7708935545015,-4168.860893554502
16.9,1682269284411,4191.5345738568385,-4174.634573856839
16.92,1682269305812,4195.703250922816,-4178.783250922816
16.92,1682269324541,4195.243458953665,-4178.323458953665
16.93,1682269343594,4195.4269706787345,-4178.496970678734
16.93,1682269362386,4195.9625466788075,-4179.032546678807
16.93,1682269384407,4199.106629832673,-4182.176629832673
16.93,1682269406809,4202.949894022428,-4186.019894022428
16.93,1682269432684,4208.4182635476,-4191.4882635476
16.93,1682269452808,4210.112744615382,-4193.182744615382
16.9,1682269473219,4204.490706001928,-4187.590706001928
16.9,1682269493520,4201.301838374008,-4184.401838374009
16.9,1682269513934,4197.8294833226555,-4180.929483322656
16.92,1682269537704,4196.234157121408,-4179.314157121408
16.92,1682269559002,4195.064669251108,-4178.144669251108
16.92,1682269580302,4194.038960886932,-4177.118960886932
16.9,1682269601371,4193.182753680847,-4176.282753680847
16.91,1682269622598,4195.061040481642,-4178.151040481642
16.91,1682269650041,4198.753314736179,-4181.843314736179
16.92,1682269672106,4197.397794014685,-4180.477794014685
16.91,1682269694375,4198.813412560171,-4181.903412560171
16.91,1682269716390,4201.706984098935,-4184.796984098935
16.9,1682269738659,4201.698624998939,-4184.798624998939
16.9,1682269761252,4201.347642392669,-4184.447642392669
16.91,1682269784042,4204.037457102836,-4187.127457102836
16.91,1682269806906,4206.677905015586,-4189.767905015586
16.9,1682269829526,4205.898057503183,-4188.998057503183
16.9,1682269852200,4204.684948544456,-4187.784948544457
16.91,1682269875107,4205.021347058872,-4188.1113470588725
16.92,1682269901644,4201.771990535564,-4184.851990535564
16.92,1682269934673,4191.710207426563,-4174.790207426563
16.91,1682269958963,4192.710724063588,-4175.800724063588
16.9,1682269983379,4190.002026749108,-4173.1020267491085
16.91,1682270014475,4193.340583780983,-4176.430583780983
16.92,1682270040071,4190.615748957186,-4173.695748957186
16.92,1682270065437,4187.8715095331645,-4170.951509533164
16.92,1682270107374,4178.118263986007,-4161.198263986007
16.92,1682270134550,4176.288596582482,-4159.368596582482
16.92,1682270161774,4174.231989594939,-4157.3119895949385
16.9,1682270192634,4170.910887051514,-4154.010887051514
16.9,1682270224195,4166.855601784311,-4149.9556017843115
16.89,1682270256044,4175.624506990561,-4158.7345069905605
16.9,1682270291608,4182.134879053587,-4165.234879053587
16.9,1682270327912,4185.6899323875305,-4168.789932387531
16.91,1682270358358,4187.334927826277,-4170.424927826277
16.91,1682270388949,4184.850252759854,-4167.940252759854
16.91,1682270423504,4179.627844924364,-4162.717844924364
