bc,ac,tbv,tav,time,mp,minBid
1220245.13,12591640.55,303717.00,237831.64,1691346802918,12.57,12.52
1225247.06,12591602.97,304117.54,237828.57,1691346805441,12.57,12.52
1220247.69,12591563.39,303717.01,237825.27,1691346808446,12.57,12.52
1225247.16,12591604.90,304117.54,237828.57,1691346811550,12.57,12.52
1223166.44,12590172.18,303951.62,237715.02,1691346814427,12.57,12.52
1220247.05,12590170.25,303716.96,237715.02,1691346817436,12.57,12.52
1220246.12,12590011.36,303716.96,237702.46,1691346820606,12.57,12.52
1219358.07,12589535.37,303646.17,237664.67,1691346823492,12.57,12.52
1225156.28,12590241.31,304110.37,237720.73,1691346826499,12.57,12.52
1220141.58,12585534.72,303710.65,237347.08,1691346829627,12.57,12.52
1214335.97,12586336.30,303248.62,237410.75,1691346832504,12.57,12.52
1213536.30,12585534.72,303184.95,237347.08,1691346835483,12.57,12.52
1218551.92,12587188.09,303584.67,237478.42,1691346838677,12.57,12.52
1217752.25,12589438.98,303521.00,237657.01,1691346841552,12.57,12.52
1213553.99,12590570.88,303184.13,237746.88,1691346844855,12.57,12.52
1213553.61,12590411.20,303184.13,237734.26,1691346847494,12.57,12.52
1221629.87,12589550.41,303827.04,237665.65,1691346850487,12.57,12.52
1226864.72,12591401.32,304246.25,237812.92,1691346853472,12.57,12.52
1221865.25,12590767.23,303845.71,237762.55,1691346856569,12.57,12.52
1221865.25,12590792.84,303845.71,237764.37,1691346859671,12.57,12.52
1221865.25,12590792.84,303845.71,237764.37,1691346862481,12.57,12.52
1221865.25,12590984.08,303845.71,237779.80,1691346865867,12.57,12.52
1226864.72,12590984.08,304246.25,237779.80,1691346868574,12.57,12.52
1221865.25,12590984.08,303845.71,237779.80,1691346871582,12.57,12.52
1226864.72,12590984.08,304246.25,237779.80,1691346874614,12.57,12.52
1221865.25,12590983.91,303845.71,237779.71,1691346877487,12.57,12.52
1221865.25,12590983.91,303845.71,237779.71,1691346880472,12.57,12.52
1221865.25,12590983.91,303845.71,237779.71,1691346883490,12.57,12.52
1221865.25,12590983.91,303845.71,237779.71,1691346886490,12.57,12.52
1224397.58,12590948.69,304047.11,237776.91,1691346889501,12.57,12.52
1224397.58,12612566.16,304047.11,239499.33,1691346892617,12.57,12.52
1224980.49,12612501.22,304094.14,239494.17,1691346895514,12.57,12.52
1224980.49,12612501.22,304094.14,239494.17,1691346898585,12.57,12.52
1224980.49,12612501.22,304094.14,239494.17,1691346901542,12.57,12.52
1224180.82,12611406.80,304030.47,239408.75,1691346904517,12.57,12.52
1229180.29,12611282.64,304431.00,239398.95,1691346907556,12.57,12.52
1224980.49,12612071.55,304094.14,239461.61,1691346910526,12.57,12.52
1224980.49,12612173.18,304094.14,239469.62,1691346913595,12.57,12.52
1224980.49,12611557.71,304094.14,239420.83,1691346916546,12.57,12.52
1228633.63,12610893.78,304387.41,239368.04,1691346919887,12.57,12.52
1223631.84,12610893.78,303986.87,239368.04,1691346922640,12.57,12.52
1223634.15,12610893.78,303986.87,239368.04,1691346925888,12.57,12.52
1223631.84,12610893.78,303986.87,239368.04,1691346928526,12.57,12.52
1224433.83,12611916.57,304050.54,239448.85,1691346931527,12.57,12.52
1219754.22,12611699.34,303680.83,239431.74,1691346934510,12.57,12.52
1220553.89,12612500.92,303744.50,239495.41,1691346937526,12.57,12.52
1220553.89,12612500.92,303744.50,239495.41,1691346940567,12.57,12.52
1220353.87,12611787.03,303728.57,239438.64,1691346943478,12.57,12.52
1214364.80,12610555.65,303249.25,239340.74,1691346946723,12.57,12.52
1220394.68,12609272.88,303731.84,239238.83,1691346949568,12.57,12.52
1220394.68,12609272.88,303731.84,239238.83,1691346952517,12.57,12.52
1216194.88,12610074.46,303394.98,239302.49,1691346955512,12.57,12.52
1221394.37,12610274.96,303811.44,239318.42,1691346958506,12.57,12.52
1216394.90,12610274.96,303410.90,239318.42,1691346961539,12.57,12.52
1221393.16,12609956.96,303811.44,239293.65,1691346964534,12.57,12.52
1216393.69,12610470.35,303410.90,239334.50,1691346967543,12.57,12.52
1205858.26,12610146.75,302572.20,239309.66,1691346970567,12.57,12.52
1206657.93,12611448.56,302635.87,239413.08,1691346973544,12.57,12.52
1214555.60,12609202.74,303267.15,239233.07,1691346976523,12.57,12.52
1223581.48,12609570.30,303987.51,239263.59,1691346979558,12.57,12.52
1224381.15,12610371.88,304051.18,239327.25,1691346982534,12.57,12.52
1224381.15,12611402.37,304051.18,239409.23,1691346985530,12.57,12.52
1214884.20,12611319.11,303292.56,239402.71,1691346988546,12.57,12.52
1219882.66,12611644.93,303693.10,239427.09,1691346991536,12.57,12.52
1215680.51,12611859.10,303356.23,239442.35,1691346994526,12.57,12.52
1220679.91,12613682.64,303756.77,239589.09,1691346997646,12.57,12.52
1216987.46,12621440.64,303463.02,240206.84,1691347000882,12.57,12.52
1215662.47,12621440.64,303357.52,240206.84,1691347004182,12.57,12.52
1211133.96,12620643.57,302994.49,240143.18,1691347007536,12.57,12.52
1213512.40,12621178.02,303186.74,240187.38,1691347010826,12.57,12.52
1206361.68,12624996.22,302615.21,240490.81,1691347013742,12.57,12.52
1207410.86,12625792.52,302698.78,240553.92,1691347017510,12.57,12.52
1207410.86,12625792.69,302698.78,240553.92,1691347020953,12.57,12.52
1212410.33,12624902.09,303099.32,240483.26,1691347024527,12.57,12.52
1206611.83,12624100.80,302635.11,240419.59,1691347028222,12.57,12.52
1212410.33,12624901.74,303099.32,240483.26,1691347031338,12.57,12.52
1226753.33,12618274.40,304298.47,239967.19,1691347034374,12.56,12.51
1230955.69,12617473.46,304635.65,239903.52,1691347037255,12.56,12.51
1228405.11,12619626.99,304430.70,240075.64,1691347041360,12.56,12.51
