mp,timeStamp,mean,skew
11.59,1671986633537,3328.7369037229437,-3317.1469037229435
11.59,1671986636906,3318.243778432955,-3306.653778432955
11.59,1671986639442,3311.999575760309,-3300.409575760309
11.59,1671986642430,3307.870499142552,-3296.280499142552
11.59,1671986645511,3302.3593394683794,-3290.7693394683793
11.59,1671986648623,3298.2425164291453,-3286.652516429145
11.59,1671986651475,3295.0502818621208,-3283.4602818621206
11.59,1671986654551,3294.28844441816,-3282.69844441816
11.59,1671986657478,3293.6656057873333,-3282.075605787333
11.59,1671986660933,3292.504671545018,-3280.914671545018
11.59,1671986663516,3303.2759226962953,-3291.685922696295
11.59,1671986666625,3300.7520193950486,-3289.1620193950484
11.59,1671986669546,3298.708353390336,-3287.118353390336
11.59,1671986675567,3295.084842411321,-3283.494842411321
11.59,1671986678580,3291.9770929401298,-3280.3870929401296
11.59,1671986681581,3289.196695877788,-3277.606695877788
11.59,1671986687669,3287.5101447537513,-3275.920144753751
11.59,1671986690653,3287.8606503009973,-3276.270650300997
11.59,1671986696724,3293.763616522445,-3282.1736165224447
11.59,1671986705960,3294.038854155912,-3282.4488541559117
11.59,1671986712066,3292.4775427905483,-3280.887542790548
11.59,1671986715394,3291.071135286122,-3279.481135286122
11.59,1671986718039,3290.954775661372,-3279.364775661372
11.59,1671986720925,3291.031920000008,-3279.441920000008
11.59,1671986723968,3297.017450562583,-3285.4274505625826
11.59,1671986726978,3296.846128790271,-3285.256128790271
11.59,1671986730029,3296.646566671027,-3285.0565666710268
11.59,1671986733231,3296.457789737045,-3284.867789737045
11.59,1671986736049,3296.7239397597737,-3285.1339397597735
11.59,1671986742349,3294.1415530796503,-3282.55155307965
11.59,1671986745212,3290.7832435647992,-3279.193243564799
11.59,1671986748383,3287.7040121551695,-3276.1140121551693
11.59,1671986751201,3284.773774511294,-3273.183774511294
11.59,1671986754447,3285.900064959009,-3274.3100649590087
11.59,1671986757303,3283.2105594837117,-3271.6205594837115
11.59,1671986760298,3280.644261275766,-3269.054261275766
11.59,1671986763424,3277.953961759072,-3266.363961759072
11.59,1671986766631,3276.1895600693674,-3264.5995600693673
11.59,1671986769776,3274.9227527656803,-3263.33275276568
11.59,1671986772480,3273.224857763357,-3261.6348577633566
11.59,1671986778518,3270.130013611156,-3258.5400136111557
11.59,1671986781580,3268.4778637088375,-3256.8878637088374
11.59,1671986784674,3269.850168606494,-3258.260168606494
11.59,1671986787784,3268.27031277836,-3256.68031277836
11.59,1671986790705,3266.305173817438,-3254.715173817438
11.59,1671986793787,3264.589278415801,-3252.9992784158007
11.59,1671986796809,3263.0694725148387,-3251.4794725148386
11.59,1671986799972,3261.4711515464223,-3249.881151546422
11.59,1671986802910,3260.0094079690957,-3248.4194079690956
11.59,1671986806106,3258.8294849121266,-3247.2394849121265
11.59,1671986809228,3257.519771662657,-3245.929771662657
11.59,1671986812087,3256.2542934901003,-3244.6642934901
11.59,1671986818233,3254.6084137699863,-3243.018413769986
11.59,1671986824358,3250.8139640708027,-3239.2239640708026
11.59,1671986827409,3248.88218315927,-3237.29218315927
11.59,1671986830491,3247.0093292516685,-3235.4193292516684
11.59,1671986839717,3243.6697355784772,-3232.079735578477
11.6,1671986845909,3249.153032058102,-3237.553032058102
11.6,1671986849354,3250.1973247390965,-3238.5973247390966
11.6,1671986852543,3251.2129815760686,-3239.6129815760687
11.6,1671986861791,3252.82118620843,-3241.22118620843
11.6,1671986864916,3253.2309024390393,-3241.6309024390393
11.6,1671986868422,3254.0628180868002,-3242.4628180868003
11.6,1671986871688,3254.445064068105,-3242.845064068105
11.6,1671986875107,3254.7594754015404,-3243.1594754015405
11.6,1671986878509,3254.7351981461356,-3243.1351981461357
11.6,1671986881946,3254.5329160028014,-3242.9329160028014
11.6,1671986885552,3253.263463723998,-3241.663463723998
11.6,1671986889182,3251.5990128289527,-3239.999012828953
11.6,1671986892877,3249.7678856459997,-3238.167885646
11.6,1671986896806,3250.266313320256,-3238.666313320256
11.6,1671986900865,3249.275202381539,-3237.6752023815393
11.6,1671986905006,3248.15190016884,-3236.55190016884
11.6,1671986909189,3246.9900690042605,-3235.3900690042606
11.6,1671986913242,3245.8541282277497,-3234.25412822775
11.6,1671986917385,3246.5468748487683,-3234.9468748487684
11.6,1671986930986,3246.0196463690068,-3234.419646369007
11.61,1671986935625,3245.3076597822906,-3233.6976597822904
11.61,1671986946772,3232.0257589603707,-3220.4157589603706
11.61,1671986951971,3228.1762964196114,-3216.5662964196113
11.61,1671986960242,3218.8360311469864,-3207.2260311469863
11.61,1671986966059,3214.075998420163,-3202.465998420163
11.61,1671986974686,3203.6358330284233,-3192.025833028423
11.61,1671986980322,3198.494561512301,-3186.884561512301
11.61,1671986986209,3193.454003110111,-3181.844003110111
11.61,1671986992039,3188.8121757340564,-3177.2021757340563
11.61,1671987001215,3179.477913569023,-3167.8679135690227
11.61,1671987007326,3174.938632607586,-3163.328632607586
11.61,1671987013559,3170.3712881999504,-3158.7612881999503
11.61,1671987019980,3167.6642614961324,-3156.0542614961323
11.61,1671987026483,3163.930021504209,-3152.320021504209
11.61,1671987033035,3159.7281866703006,-3148.1181866703005
11.61,1671987042756,3153.387575263885,-3141.777575263885
11.61,1671987052773,3146.0383843181244,-3134.4283843181242
11.61,1671987060282,3143.7094040479446,-3132.0994040479445
11.61,1671987067366,3140.4345310784456,-3128.8245310784455
11.61,1671987074561,3137.092377097161,-3125.4823770971607
11.61,1671987081872,3133.9012936249737,-3122.2912936249736
11.61,1671987093377,3128.437758276835,-3116.827758276835
11.61,1671987100999,3126.5383284045156,-3114.9283284045155
11.61,1671987108629,3123.803470451602,-3112.193470451602
11.61,1671987116404,3120.877709806399,-3109.2677098063987
11.61,1671987124322,3117.9705613323717,-3106.3605613323716
11.61,1671987132405,3115.1851659838203,-3103.57516598382
11.61,1671987140501,3112.3453594924645,-3100.7353594924643
11.61,1671987148971,3109.491173573176,-3097.881173573176
11.61,1671987157306,3103.8181021474616,-3092.2081021474614
11.61,1671987178826,3106.708869759449,-3095.098869759449
11.61,1671987191477,3105.6776441548604,-3094.0676441548603
11.61,1671987201148,3105.3359705536313,-3093.725970553631
11.61,1671987210985,3105.26816859267,-3093.65816859267
11.61,1671987220878,3105.0007988667353,-3093.390798866735
11.61,1671987231296,3104.85771872427,-3093.24771872427
11.61,1671987241434,3104.7025881421014,-3093.0925881421012
11.61,1671987251785,3104.7211113425356,-3093.1111113425354
11.61,1671987262270,3104.6394926722905,-3093.0294926722904
11.61,1671987273234,3105.430457316857,-3093.820457316857
11.61,1671987283830,3107.191447283688,-3095.581447283688
11.61,1671987294661,3109.08383708484,-3097.47383708484
11.61,1671987305526,3109.418969758804,-3097.808969758804
11.61,1671987319546,3110.537697395526,-3098.9276973955257
11.61,1671987338992,3110.511315905298,-3098.901315905298
11.61,1671987350791,3109.3940503173944,-3097.7840503173943
11.61,1671987362708,3109.888427155932,-3098.2784271559317
11.61,1671987374723,3110.437636683489,-3098.827636683489
11.61,1671987386837,3111.036773450494,-3099.426773450494
11.61,1671987402365,3112.477910501498,-3100.867910501498
11.61,1671987414922,3112.670666033005,-3101.060666033005
11.61,1671987431127,3112.9580030921315,-3101.3480030921314
11.61,1671987445056,3113.3198881646385,-3101.7098881646384
11.61,1671987458381,3113.6137489016996,-3102.0037489016995
11.61,1671987471659,3114.81031048677,-3103.20031048677
11.61,1671987485007,3115.363825816824,-3103.753825816824
11.61,1671987501738,3114.7241041471675,-3103.1141041471674
11.61,1671987518650,3115.1482902490875,-3103.5382902490874
11.61,1671987532583,3114.9364090058534,-3103.3264090058533
11.61,1671987546768,3114.452912949752,-3102.8429129497517
11.61,1671987567564,3115.591992646136,-3103.981992646136
11.61,1671987582299,3116.0001914810955,-3104.3901914810954
11.61,1671987597243,3116.3132899761376,-3104.7032899761375
11.61,1671987618011,3116.9527721720715,-3105.3427721720714
11.61,1671987633539,3117.582907380183,-3105.9729073801827
11.61,1671987649137,3119.121553660388,-3107.511553660388
11.61,1671987664896,3119.780875482428,-3108.170875482428
11.6,1671987684275,3121.1646323615837,-3109.564632361584
11.6,1671987704143,3124.3115986968423,-3112.7115986968424
11.6,1671987721278,3126.5844196476223,-3114.9844196476224
11.6,1671987741563,3129.1656914278738,-3117.565691427874
11.6,1671987762097,3132.398451521407,-3120.798451521407
11.6,1671987779887,3133.2689485809615,-3121.6689485809616
11.6,1671987800301,3134.854616736706,-3123.254616736706
11.6,1671987818484,3136.13054850494,-3124.5305485049403
11.6,1671987844043,3138.045341281637,-3126.445341281637
11.6,1671987863208,3138.883546913908,-3127.283546913908
11.6,1671987884987,3139.4577551368334,-3127.8577551368335
11.6,1671987904344,3140.304778557576,-3128.704778557576
11.59,1671987923966,3142.9371057552503,-3131.34710575525
11.59,1671987947530,3148.5565856291537,-3136.9665856291535
11.6,1671987967815,3149.5945167194795,-3137.9945167194796
11.6,1671987988417,3150.2652659089895,-3138.6652659089896
11.6,1671988015991,3151.7268267271374,-3140.1268267271375
11.6,1671988043394,3153.0932931823913,-3141.4932931823914
11.6,1671988071888,3154.1821472938345,-3142.5821472938346
11.6,1671988097315,3157.4769556404517,-3145.876955640452
11.61,1671988119938,3160.796587720875,-3149.1865877208747
11.61,1671988149499,3168.5767822209837,-3156.9667822209835
11.61,1671988176683,3173.292470925524,-3161.682470925524
11.61,1671988204629,3177.27662696853,-3165.6666269685297
11.61,1671988239434,3183.610420812136,-3172.000420812136
11.61,1671988272157,3188.185204195536,-3176.5752041955357
11.61,1671988306085,3192.6305778064257,-3181.0205778064255
