mp,timeStamp,mean,skew
17.67,1676249015113,7412.079168303886,-7394.409168303886
17.67,1676249018023,7413.490819408983,-7395.820819408983
17.67,1676249021453,7495.790561113108,-7478.120561113108
17.67,1676249024303,7458.489819189193,-7440.819819189193
17.67,1676249027818,7440.963268761794,-7423.293268761794
17.67,1676249033530,7306.460578484846,-7288.790578484846
17.67,1676249036139,7321.5368059761895,-7303.866805976189
17.67,1676249039141,7340.005351262556,-7322.335351262556
17.68,1676249042494,7217.8430306266355,-7200.163030626635
17.68,1676249045247,7134.89062625451,-7117.210626254509
17.68,1676249057252,6895.4575942396905,-6877.77759423969
17.69,1676249066258,6770.390522793571,-6752.7005227935715
17.69,1676249075297,6670.8065866633715,-6653.116586663372
17.69,1676249081337,6624.695222205006,-6607.005222205006
17.68,1676249090466,6575.32684497834,-6557.64684497834
17.69,1676249093502,6556.40692794043,-6538.716927940431
17.69,1676249096597,6542.86225265592,-6525.172252655921
17.69,1676249102562,6521.047196014641,-6503.357196014641
17.69,1676249111608,6482.821043882968,-6465.131043882969
17.68,1676249117654,6450.654388745737,-6432.974388745737
17.69,1676249120926,6431.390454496407,-6413.7004544964075
17.7,1676249127387,6388.115544154971,-6370.415544154971
17.7,1676249135998,6318.815927154094,-6301.115927154095
17.7,1676249138976,6294.7359032028235,-6277.035903202824
17.71,1676249145091,6282.362224382832,-6264.652224382832
17.72,1676249157348,6304.258507394145,-6286.538507394145
17.72,1676249164026,6278.705202447157,-6260.985202447157
17.73,1676249169664,6227.299343180298,-6209.569343180298
17.73,1676249172685,6189.361152128018,-6171.631152128019
17.73,1676249175888,6159.68743370004,-6141.95743370004
17.74,1676249181791,6098.865164172159,-6081.125164172159
17.74,1676249197195,5960.823569418373,-5943.083569418373
17.74,1676249200847,5935.83334471019,-5918.093344710191
17.73,1676249206664,5899.405140749918,-5881.675140749919
17.73,1676249209636,5881.824795269523,-5864.094795269523
17.74,1676249218886,5823.358388006776,-5805.6183880067765
17.74,1676249225575,5765.0613019475395,-5747.32130194754
17.76,1676249241235,5639.894069702251,-5622.134069702251
17.77,1676249251155,5591.963735711531,-5574.19373571153
17.77,1676249255166,5587.618541962808,-5569.848541962808
17.76,1676249262258,5557.9998601099815,-5540.239860109981
17.76,1676249266564,5536.12089739973,-5518.36089739973
17.77,1676249274072,5534.668480967436,-5516.898480967436
17.77,1676249287969,5527.301755828989,-5509.531755828989
17.78,1676249292953,5526.434356649236,-5508.654356649236
17.78,1676249298165,5520.596943803767,-5502.816943803768
17.79,1676249315862,5496.235718817303,-5478.445718817303
17.8,1676249321736,5478.369045644225,-5460.569045644224
17.8,1676249340330,5388.339872432017,-5370.539872432017
17.8,1676249346862,5366.493251245645,-5348.693251245645
17.8,1676249353714,5345.2763511513385,-5327.476351151338
17.81,1676249361122,5338.132995898232,-5320.322995898232
17.8,1676249368002,5324.476774402736,-5306.676774402736
17.8,1676249375020,5312.330608253834,-5294.530608253834
17.8,1676249382187,5304.666423933747,-5286.866423933747
17.8,1676249393224,5303.725992852662,-5285.925992852662
17.81,1676249402415,5312.129894142341,-5294.319894142341
17.81,1676249413394,5328.4874089380755,-5310.677408938075
17.81,1676249421352,5324.706749884733,-5306.896749884732
17.82,1676249429590,5316.426005058123,-5298.606005058124
17.81,1676249437892,5307.9174623547615,-5290.107462354761
17.81,1676249446366,5296.62229616217,-5278.812296162169
17.81,1676249455407,5288.457574199023,-5270.6475741990225
17.82,1676249464150,5293.058403402361,-5275.238403402362
17.84,1676249472947,5284.018057744369,-5266.178057744369
17.83,1676249481979,5272.881529033716,-5255.051529033716
17.84,1676249492467,5264.516812563578,-5246.676812563578
17.84,1676249503068,5248.513433404855,-5230.673433404855
