bc,ac,tbv,tav,time,mp,minBid
5406565.28,10903611.39,525128.40,202654.80,1675017722337,20.9,20.81
5393923.11,10919916.45,524510.01,203439.36,1675017725086,20.89,20.8
5395018.85,10888015.35,524543.40,201906.41,1675017728054,20.9,20.8
5490087.37,10995037.18,529096.85,206969.74,1675017731057,20.92,20.8
5445031.36,10988356.96,526932.19,206600.29,1675017734032,20.93,20.8
5405623.37,10962601.18,525035.99,205391.65,1675017737154,20.92,20.8
5470821.31,11002031.63,528168.56,207278.01,1675017740040,20.92,20.8
5472381.64,11001244.48,528242.98,207244.49,1675017743091,20.92,20.8
5477206.97,10987611.92,528472.75,206590.76,1675017746282,20.92,20.8
5464261.59,11000627.95,527853.65,207214.48,1675017749053,20.91,20.8
5462225.51,10978170.18,527771.11,206183.98,1675017752064,20.91,20.8
5477601.63,10990742.94,528511.95,206801.59,1675017755032,20.9,20.8
5492373.47,10975815.62,529212.83,206087.02,1675017758057,20.91,20.8
5469878.28,10998109.61,528137.61,207153.97,1675017761085,20.9,20.8
5473802.31,10992916.70,528335.85,206911.25,1675017764669,20.89,20.8
5468252.20,10999219.10,528073.21,207222.34,1675017767061,20.88,20.8
5481020.83,11004257.93,528686.46,207464.49,1675017770116,20.88,20.8
5486158.13,11009878.33,528951.09,207741.44,1675017773359,20.88,20.8
5492804.92,10985695.88,529266.05,206579.60,1675017776239,20.89,20.8
5478347.25,11005914.88,528575.10,207549.13,1675017779129,20.88,20.8
5475807.97,11010249.05,528456.04,207772.71,1675017782449,20.88,20.79
5481634.97,11003501.38,528739.44,207440.47,1675017785223,20.88,20.79
5479030.78,11004104.08,528617.45,207467.96,1675017788572,20.88,20.79
5483566.15,11003491.41,528834.72,207439.06,1675017791110,20.88,20.79
5479545.82,11013889.26,528642.16,207937.51,1675017794175,20.88,20.79
5477811.56,11016614.74,528558.90,208068.15,1675017797601,20.88,20.79
5483752.52,11012277.78,528843.67,207860.31,1675017800196,20.88,20.79
5480106.02,11022936.51,528672.80,208376.41,1675017803285,20.88,20.79
5490536.72,11009362.07,529170.59,207726.05,1675017806295,20.88,20.79
5489088.87,11016421.56,529100.80,208063.93,1675017809073,20.88,20.79
5480656.76,11005212.20,528693.43,207532.11,1675017812221,20.88,20.79
5483163.03,11004788.81,528813.74,207511.72,1675017815188,20.88,20.79
5491263.41,11013525.88,529196.49,207928.99,1675017818258,20.89,20.79
5470093.48,11027327.13,528183.35,208591.50,1675017821144,20.88,20.79
5486900.35,11018488.50,528989.43,208168.45,1675017824104,20.88,20.79
5478542.74,10961106.81,528578.10,205402.72,1675017827104,20.9,20.79
5481787.19,10996215.73,528732.89,207079.96,1675017830143,20.9,20.79
5483604.64,11010711.38,528819.54,207772.54,1675017833081,20.9,20.79
5481626.84,11011433.85,528724.82,207810.01,1675017836090,20.9,20.79
5480127.20,11007430.58,528652.73,207618.56,1675017839175,20.9,20.79
5488823.95,11004536.19,529068.71,207479.47,1675017842353,20.9,20.79
5489596.57,10995937.21,529103.41,207068.62,1675017845093,20.9,20.79
5502758.83,10984015.21,529729.91,206466.10,1675017848635,20.91,20.79
5484924.96,10997242.59,528843.75,207101.38,1675017851223,20.91,20.79
5413017.49,10882353.58,525314.24,201576.06,1675017854110,20.93,20.79
5397501.95,10924039.33,524573.40,203567.87,1675017857157,20.92,20.79
5403628.88,10913469.38,524879.31,203071.44,1675017860109,20.91,20.79
5396367.30,10925362.61,524538.40,203646.14,1675017863108,20.91,20.79
5408449.11,10922027.44,525114.26,203489.07,1675017866121,20.91,20.79
5404462.75,10925829.27,524915.54,203670.16,1675017869253,20.92,20.79
5412119.41,10923997.33,525281.60,203582.67,1675017872100,20.92,20.79
5392016.98,10924765.02,524321.27,203621.65,1675017875725,20.91,20.79
5400427.53,10923882.86,524720.44,203579.90,1675017878832,20.91,20.79
5401122.21,10926312.92,524753.81,203695.91,1675017881813,20.91,20.79
5398029.05,10930973.95,524606.10,203919.16,1675017885012,20.9,20.79
5397279.21,10702696.09,524585.24,193053.81,1675017888138,20.89,20.79
5383722.84,10899357.40,523974.26,202452.68,1675017892507,20.89,20.79
5402072.20,10913924.70,524860.81,203138.81,1675017895587,20.89,20.79
5412934.53,10923077.37,525380.19,203575.43,1675017898532,20.89,20.79
5483402.84,10910174.42,528744.08,202935.94,1675017901951,20.9,20.79
5470606.58,10920619.72,528134.97,203437.73,1675017905755,20.9,20.79
5460624.23,10932815.80,527654.55,204027.57,1675017909606,20.9,20.79
5550611.13,11007741.57,531987.02,207593.33,1675017913565,20.9,20.79
5551546.20,10999313.96,532030.51,207190.82,1675017917642,20.9,20.79
5559029.24,11011885.84,532388.69,207792.39,1675017921833,20.9,20.79
5536379.19,10998319.74,531298.78,207137.33,1675017926114,20.91,20.79
5556700.68,10996177.51,532263.63,207025.11,1675017930514,20.92,20.79
5542178.68,11011964.50,531569.17,207783.57,1675017935014,20.91,20.79
5541378.24,10988143.99,531519.75,206654.53,1675017939552,20.91,20.79
5514378.09,11005979.41,530231.52,207508.06,1675017944291,20.91,20.79
5527563.19,11020352.74,530868.84,208193.12,1675017948993,20.91,20.79
5531140.91,11019722.09,531033.39,208161.61,1675017953938,20.91,20.79
5533482.70,11018282.72,531145.72,208092.98,1675017958883,20.91,20.79
5539484.82,11005068.41,531432.71,207485.69,1675017963966,20.91,20.79
5507150.04,11011940.06,529886.64,207815.42,1675017969092,20.91,20.79
5501277.11,11010552.76,529605.25,207749.21,1675017974338,20.91,20.79
5526717.58,10996331.08,530823.17,207070.68,1675017979598,20.91,20.79
5502381.64,10994968.20,529650.32,207005.85,1675017985170,20.91,20.79
5507704.78,10997322.86,529911.28,207117.64,1675017990699,20.91,20.79
5504050.44,11000806.33,529735.81,207284.15,1675017996283,20.91,20.79
5508078.95,10994666.16,529929.10,206990.92,1675018001913,20.91,20.79
5509134.42,10992096.34,529979.24,206868.08,1675018007805,20.91,20.79
5499498.55,10987116.86,529515.27,206638.08,1675018013632,20.91,20.79
5422616.92,10895269.24,525845.66,202267.20,1675018019610,20.89,20.79
5427734.86,10899962.77,526082.52,202488.08,1675018025827,20.9,20.79
5427566.52,10894994.19,526073.17,202250.08,1675018032036,20.9,20.79
5392389.13,10912772.43,524333.77,203080.37,1675018038335,20.91,20.79
5413622.64,10910263.91,525348.33,202962.80,1675018044787,20.91,20.79
5414220.68,10900906.10,525369.54,202516.34,1675018051413,20.91,20.79
5414630.61,10915798.98,525388.72,203229.28,1675018058579,20.91,20.79
5427402.07,10902009.53,526002.73,202570.11,1675018065414,20.91,20.79
5432660.19,10900063.09,526253.40,202477.00,1675018072435,20.91,20.79
5489798.54,10988966.93,529006.88,206717.44,1675018079601,20.91,20.79
5506845.69,10972664.14,529828.67,205943.37,1675018087886,20.9,20.79
5507443.59,10986037.07,529853.89,206579.40,1675018095120,20.91,20.79
5503505.85,10972886.55,529663.81,205950.21,1675018102460,20.91,20.79
5483876.57,10987610.91,528726.75,206647.20,1675018105612,20.9,20.79
5509028.89,10985584.70,529928.81,206549.68,1675018113380,20.91,20.79
5501326.07,10997169.25,529561.51,207104.45,1675018121309,20.9,20.79
5504108.22,10994802.93,529695.34,206991.92,1675018124337,20.9,20.79
5505409.02,10987990.76,529760.53,206666.67,1675018133794,20.9,20.79
5507772.46,11003195.43,529888.84,207406.72,1675018142502,20.89,20.79
5486425.69,10990139.47,528867.29,206796.15,1675018151215,20.89,20.79
5483073.99,10982972.62,528708.66,206457.98,1675018154353,20.88,20.79
5499004.29,10989187.15,529472.43,206769.24,1675018165116,20.88,20.79
5386108.38,10903978.55,524102.38,202720.44,1675018174418,20.86,20.78
5401876.91,10897812.91,524939.59,202430.53,1675018177796,20.85,20.77
5418868.35,10902570.94,525785.21,202660.15,1675018187400,20.86,20.77
5404838.83,10899711.84,525096.15,202522.18,1675018190477,20.87,20.77
5423031.63,10905408.48,525972.71,202790.99,1675018193483,20.87,20.77
5190732.99,10832865.57,514776.72,199313.73,1675018196565,20.89,20.77
5420462.13,10901606.06,525797.20,202597.86,1675018199438,20.89,20.77
5407729.30,10887344.26,525186.95,201897.20,1675018210023,20.9,20.77
5414036.62,10895850.13,525488.73,202303.68,1675018213068,20.9,20.77
5404750.80,10876782.16,525047.36,201406.85,1675018224106,20.88,20.77
5414719.35,10904504.61,525525.81,202724.76,1675018227106,20.88,20.77
5411854.35,10902430.08,525392.21,202631.29,1675018230240,20.88,20.77
5485706.05,10991210.20,528944.63,206874.92,1675018233316,20.88,20.77
5485719.20,10974103.56,528944.67,206063.31,1675018236160,20.88,20.77
5486282.84,10989802.07,528972.77,206813.67,1675018248617,20.88,20.77
5510118.36,10994671.57,530110.96,207047.75,1675018261431,20.89,20.77
5493175.48,10994458.96,529302.67,207038.53,1675018274141,20.88,20.77
5500201.18,10981948.64,529626.61,206419.15,1675018287286,20.9,20.77
5465110.00,10990385.10,527948.52,206826.05,1675018290263,20.89,20.77
5497659.00,10974386.73,529499.53,206069.65,1675018303937,20.9,20.77
5501695.62,10989116.02,529696.98,206775.70,1675018317721,20.89,20.77
5491264.46,10963931.20,529180.32,205529.79,1675018336436,20.91,20.77
5497837.88,10979345.03,529491.13,206271.03,1675018350768,20.91,20.77
5501769.41,10983344.73,529679.60,206460.44,1675018353615,20.91,20.77
5504362.93,10976218.39,529801.76,206121.94,1675018368378,20.91,20.77
5503930.95,10977354.31,529781.07,206176.23,1675018371438,20.91,20.77
5493772.04,10979812.58,529247.16,206294.06,1675018374542,20.91,20.77
5497405.39,10980005.19,529427.13,206306.83,1675018390201,20.9,20.77
5500183.09,10974391.08,529556.51,205951.68,1675018406542,20.91,20.77
5514084.93,10983835.53,530181.35,206402.47,1675018424866,20.91,20.77
5521976.73,10976781.49,530560.13,206065.76,1675018441186,20.91,20.77
5519709.82,10982279.18,530450.83,206327.88,1675018457759,20.91,20.77
5207890.44,10688668.89,515464.79,192299.35,1675018461062,20.92,20.77
5433910.01,10915078.36,526298.85,203105.84,1675018478239,20.91,20.77
5427345.41,10911027.21,525975.63,202913.51,1675018495649,20.91,20.77
5402710.10,10908226.95,524839.30,202815.14,1675018513207,20.89,20.77
5503165.34,10996752.29,529699.78,207039.68,1675018531593,20.87,20.77
5502453.21,10978113.58,529787.85,206182.01,1675018555899,20.87,20.77
5493358.28,10981218.22,529350.03,206327.03,1675018574612,20.88,20.77
5489538.10,10988680.11,529089.02,206680.83,1675018593429,20.89,20.77
5494096.21,10982347.62,529306.58,206377.57,1675018612592,20.89,20.77
5499449.42,10993350.45,529562.67,206917.33,1675018632504,20.89,20.77
5490055.37,10990399.28,529133.56,206779.20,1675018652173,20.88,20.77
5491042.30,11007824.59,529177.40,207615.57,1675018672298,20.88,20.77
5494827.23,10981944.61,529363.86,206383.63,1675018692827,20.88,20.77
5507561.61,10995729.96,529975.17,207058.90,1675018713565,20.88,20.77
5484264.94,10971991.36,528833.16,205888.75,1675018734670,20.9,20.77
5493029.16,10997948.92,529244.42,207147.72,1675018755923,20.88,20.77
5480821.41,11016726.34,528660.96,208048.02,1675018777449,20.88,20.77
5508412.20,11013649.20,529981.01,207903.57,1675018802364,20.88,20.77
5500318.62,11011901.21,529594.06,207820.53,1675018805427,20.88,20.77
5512336.66,10998155.42,530171.05,207163.30,1675018827992,20.88,20.77
5515989.86,11007375.36,530345.92,207604.83,1675018850974,20.88,20.77
5497906.24,11003343.42,529479.52,207422.97,1675018854079,20.88,20.77
5504663.41,11004890.19,529823.05,207536.68,1675018877698,20.86,20.77
5495946.68,11001406.60,529406.21,207370.05,1675018880790,20.86,20.77
5504545.41,11006221.38,529846.96,207617.02,1675018905475,20.86,20.77
5499834.46,11006289.99,529621.11,207620.34,1675018908386,20.86,20.77
5495158.12,10998516.58,529445.36,207251.78,1675018911307,20.85,20.77
5473502.98,10989646.78,528438.70,206825.95,1675018936955,20.86,20.77
5485823.22,11000704.40,529030.00,207363.10,1675018939494,20.86,20.77
5487178.09,10996809.14,529095.52,207174.29,1675018942551,20.86,20.77
5473218.01,11007535.13,528417.78,207685.54,1675018968801,20.87,20.77
5474237.62,10995519.00,528466.47,207109.59,1675018971838,20.87,20.77
5473124.40,11011352.58,528418.03,207866.99,1675018998837,20.87,20.77
5478282.21,11025965.28,528667.13,208569.07,1675019026515,20.86,20.77
5475231.26,11018207.59,528491.50,208180.15,1675019054486,20.88,20.77
5491380.73,11022317.37,529265.35,208359.35,1675019092340,20.88,20.77
5478918.60,11018420.77,528668.02,208164.80,1675019095415,20.88,20.77
5465515.36,11033211.95,528056.47,208886.80,1675019098406,20.87,20.77
5464770.20,11025395.23,528021.88,208513.81,1675019101456,20.87,20.77
5485070.74,11012908.93,528896.11,207872.75,1675019131369,20.9,20.77
5482988.77,11002879.77,528796.15,207392.35,1675019134342,20.9,20.77
5468508.18,11022118.86,528086.01,208301.34,1675019164871,20.9,20.77
5487671.38,11024992.00,528986.77,208444.44,1675019199850,20.9,20.77
5498447.08,11024657.54,529506.22,208429.58,1675019231159,20.89,20.77
5497270.28,11013525.20,529426.47,207757.96,1675019262789,20.92,20.77
5516032.75,11011611.83,530235.89,207585.34,1675019294899,20.96,20.77
5503249.19,11021289.62,529562.22,207935.62,1675019327012,20.98,20.77
5482996.41,11016237.55,528537.71,207696.29,1675019330234,20.97,20.77
5491836.23,11010215.19,528963.70,207412.11,1675019333111,20.96,20.77
5420558.10,10937447.70,525367.90,203891.01,1675019366973,20.99,20.77
5413945.72,10917623.09,524986.00,203001.29,1675019400635,20.95,20.77
5424283.27,10935117.57,525469.95,203825.50,1675019403482,20.96,20.77
5484802.69,11025178.16,528389.01,208129.83,1675019438187,20.94,20.77
5483308.03,11012417.86,528317.63,207521.16,1675019440962,20.94,20.77
5485837.93,10981428.88,528258.60,205890.35,1675019476153,20.98,20.77
5503264.31,10985062.83,529097.64,206075.84,1675019479156,20.98,20.77
5501351.36,10993606.50,529000.97,206503.95,1675019515066,20.98,20.77
5494708.13,10992418.46,528486.95,206427.44,1675019551506,20.96,20.77
5498463.48,10995810.03,528666.64,206589.14,1675019554601,20.96,20.77
5485312.56,10981272.84,528055.08,205942.43,1675019592026,20.97,20.77
5478145.54,10990125.38,527678.65,206332.09,1675019629590,20.98,20.77
5476280.94,11004488.84,527591.10,207017.65,1675019632565,20.98,20.77
5495823.48,10987847.24,528522.71,206225.83,1675019635697,20.98,20.77
5494182.57,10987274.82,528443.06,206197.51,1675019638718,20.99,20.77
5392373.90,10814603.44,523502.48,197943.97,1675019678762,20.99,20.77
5362079.91,10909290.72,522010.09,202256.95,1675019718620,21.01,20.77
5366973.91,10914984.92,522213.13,202544.34,1675019721540,21.02,20.77
5402699.78,10671830.51,523932.85,191117.49,1675019762020,21,20.77
5409328.18,10911210.89,524245.67,202469.98,1675019765122,21.01,20.77
5408044.55,10922297.74,524188.78,202993.44,1675019768170,21.01,20.77
5436875.69,10972115.16,525949.79,205122.27,1675019809778,20.96,20.77
5334905.64,10913619.40,520919.26,202589.86,1675019852257,20.96,20.77
5387293.85,10911260.36,523435.77,202481.38,1675019854729,20.95,20.77
5391424.67,10935860.00,523666.32,203661.48,1675019857806,20.93,20.77
5486584.80,10997529.23,528204.00,206650.81,1675019901220,20.94,20.77
5404155.40,10933623.53,524212.47,203646.80,1675019945191,20.95,20.77
5400709.75,10924151.25,524042.89,203196.75,1675019948194,20.95,20.77
5404871.06,10919355.56,524248.84,202974.92,1675019992771,20.96,20.77
5483393.69,10998685.28,528019.53,206749.44,1675019995818,20.96,20.77
5476654.63,11007578.41,527700.75,207178.86,1675019998942,20.96,20.77
5476608.42,11003785.48,527699.56,206998.90,1675020001768,20.96,20.77
5476068.07,11003457.44,527673.51,206983.83,1675020004738,20.95,20.77
5481143.91,10991334.90,527914.90,206376.38,1675020008243,20.96,20.77
5487240.75,11009552.88,528205.22,207243.19,1675020010738,20.97,20.77
5486197.06,11020616.87,528147.51,207771.29,1675020013749,20.96,20.77
5483389.90,11001334.96,528013.18,206852.09,1675020016762,20.96,20.77
5480262.31,11000191.64,527841.15,206852.35,1675020064975,20.96,20.77
5490275.59,11007896.67,528367.84,207299.04,1675020113481,20.93,20.77
5490092.20,11007712.48,528358.82,207290.23,1675020116420,20.93,20.77
5473021.63,10993545.90,527553.72,206622.74,1675020119600,20.92,20.77
5446387.64,10957296.26,526485.58,204990.27,1675020169771,20.92,20.77
5465014.60,11002029.37,527389.92,207114.03,1675020172393,20.91,20.77
5476144.50,10999704.58,527912.24,207000.94,1675020175409,20.92,20.77
5476606.96,10992874.44,527871.92,206631.64,1675020226334,20.94,20.77
5373237.44,10929783.52,522990.43,203662.92,1675020286433,20.9,20.77
5460796.82,10999058.03,527537.71,207064.55,1675020337853,20.84,20.76
5356380.31,10906602.46,522391.20,202669.04,1675020390077,20.89,20.76
5452481.22,10995810.28,527012.90,206921.76,1675020442395,20.89,20.76
5397413.79,10918631.01,524191.18,203032.88,1675020495065,20.95,20.76
5496832.04,10982990.79,528757.09,206085.66,1675020548097,20.96,20.76
5396431.12,10896313.31,523932.33,201950.69,1675020551154,20.97,20.76
5396573.12,10917158.06,523948.27,202966.59,1675020605424,20.94,20.76
5393339.00,10905982.73,523798.54,202438.70,1675020608376,20.94,20.76
5385353.66,10896254.13,523310.54,201840.31,1675020663377,20.98,20.76
5583767.83,11010885.07,532772.95,207306.30,1675020718734,20.98,20.76
5608807.88,11009103.73,533879.99,207140.33,1675020774525,21,20.76
5592473.16,10962249.06,532872.37,204397.11,1675020830778,21.12,20.76
5584070.91,10978692.37,532233.84,205243.37,1675020887436,21.05,20.76
5596579.18,10970448.01,532830.29,204852.16,1675020890388,21.05,20.76
5604036.81,10831248.03,533128.96,198435.14,1675020947831,21.08,20.76
5528395.09,10769574.31,529445.53,195522.58,1675021005740,21.07,20.76
5528130.08,10748431.02,529435.57,194520.98,1675021008702,21.06,20.76
5603887.30,10833095.24,533003.19,198522.19,1675021067585,21.07,20.76
5517429.31,10880991.17,529220.06,200988.80,1675021127056,20.99,20.76
5518643.95,10887362.63,529277.90,201292.26,1675021130010,20.99,20.76
5596870.93,10947104.15,533130.03,204185.59,1675021190728,20.99,20.76
5501873.40,10879458.95,528842.14,201102.64,1675021251377,20.99,20.76
5570660.41,10849330.08,532058.71,199704.53,1675021312598,21.01,20.76
5591201.05,10943675.52,532962.45,204197.67,1675021374563,21.02,20.76
5522440.46,10867383.81,529597.78,200519.27,1675021436977,21.04,20.76
5531773.51,10862587.02,530042.39,200292.55,1675021439952,21.04,20.76
5702409.81,10950075.02,538954.60,204361.17,1675021503824,21.05,20.76
5717476.11,10938920.71,539687.91,203871.49,1675021567863,21.03,20.76
5723739.60,10929190.61,539983.66,203408.83,1675021570815,21.03,20.76
5654579.47,10863090.91,536482.05,200129.64,1675021635886,21.08,20.76
5542613.93,10855920.86,530269.63,199923.70,1675021701928,21.05,20.76
5625414.74,10942882.43,534214.09,204056.17,1675021767809,21.03,20.76
5602420.86,10945558.78,533259.84,204303.29,1675021834244,21,20.76
5613944.35,10951020.96,533809.92,204564.17,1675021837111,20.99,20.76
5622533.80,10941076.15,534219.45,204090.43,1675021840285,21,20.76
5558394.17,10850400.57,531079.27,199740.24,1675021908508,21.03,20.76
5600478.72,10950109.33,533203.73,204546.84,1675021977744,20.99,20.76
5623501.17,10943661.04,534298.53,204235.12,1675021980189,21,20.76
5621004.15,10943669.97,534179.52,204235.40,1675021983156,21,20.76
5612003.45,10943153.95,533750.11,204211.00,1675021986161,21,20.76
5620562.96,10943153.95,534159.12,204211.00,1675021989190,21,20.76
5644256.72,10946926.73,535295.64,204456.43,1675022070510,20.99,20.76
5628437.61,10830974.86,534600.65,198934.18,1675022143139,20.98,20.76
