bc,ac,tbv,tav,time,mp,minBid
1779963.82,12372861.73,338870.21,262973.83,1689534079559,14.39,14.33
1779164.66,12373567.15,338814.60,263022.82,1689534082406,14.39,14.33
1774963.82,12375466.94,338519.58,263155.30,1689534085427,14.39,14.33
1779164.66,12374918.04,338814.60,263116.45,1689534088385,14.4,14.33
1775038.95,12377119.83,338524.67,263269.25,1689534091397,14.39,14.33
1767819.11,12383634.56,338022.69,263722.11,1689534094486,14.39,14.33
1758974.20,12380650.49,337412.11,263517.00,1689534097400,14.38,14.32
1752911.07,12390120.31,336987.40,264174.78,1689534100802,14.39,14.32
1758369.14,12385702.02,337369.38,263868.22,1689534103542,14.39,14.32
1753726.32,12387502.38,337044.34,263993.24,1689534106441,14.39,14.32
1757927.16,12387290.30,337339.61,263978.59,1689534109420,14.39,14.32
1753724.47,12387271.14,337044.21,263977.26,1689534112414,14.39,14.32
1748895.85,12382354.18,336708.13,263635.68,1689534115447,14.39,14.32
1758392.77,12385461.81,337371.47,263852.02,1689534118488,14.39,14.32
1753643.19,12385697.06,337038.92,263868.61,1689534121506,14.39,14.32
1750724.89,12382645.98,336835.21,263656.04,1689534124466,14.39,14.32
1751043.31,12384640.58,336856.70,263794.55,1689534127415,14.39,14.32
1750170.74,12384156.66,336796.22,263760.96,1689534130429,14.39,14.32
1755969.89,12387795.96,337202.71,264013.83,1689534133798,14.39,14.32
1758966.36,12337118.08,337414.19,260502.33,1689534136487,14.39,14.32
1759557.97,12336317.25,337455.45,260446.72,1689534139454,14.39,14.32
1746956.71,12371126.90,336576.87,262864.25,1689534142485,14.38,14.32
1749522.22,12392362.13,336758.00,264341.81,1689534145441,14.38,14.32
1755320.81,12393163.64,337164.49,264397.51,1689534148526,14.38,14.32
1749775.04,12385450.81,336775.40,263861.21,1689534151478,14.38,14.32
1756929.03,12382040.99,337276.27,263624.58,1689534154427,14.38,14.32
1751920.82,12390985.62,336925.02,264246.60,1689534157424,14.38,14.32
1755646.47,12386980.52,337185.90,263968.66,1689534160866,14.38,14.32
1766250.91,12366620.83,337919.36,262550.12,1689534163537,14.39,14.32
1762201.74,12363431.51,337637.34,262329.80,1689534166433,14.39,14.32
1759172.58,12361668.79,337429.80,262208.71,1689534169428,14.38,14.32
1754786.78,12364091.76,337121.83,262377.11,1689534172468,14.38,14.32
1763579.38,12365252.60,337736.96,262458.31,1689534175562,14.38,14.32
1768049.92,12363164.75,338047.90,262312.81,1689534178471,14.38,14.32
1765194.96,12368542.08,337849.08,262686.37,1689534181495,14.38,14.32
1760194.97,12367740.49,337498.20,262630.67,1689534184626,14.38,14.32
