bc,ac,tbv,tav,time,mp,minBid
1201010.90,12668167.95,324924.69,313057.81,1686517267320,11.74,11.69
1203688.77,12668331.46,325153.11,313076.81,1686517270312,11.74,11.69
1209948.81,12668546.86,325686.39,313095.12,1686517273395,11.74,11.69
1207446.76,12668711.11,325471.05,313109.12,1686517276363,11.74,11.69
1209944.47,12665857.85,325686.19,312869.64,1686517279440,11.74,11.69
1206647.53,12666298.52,325402.80,312912.45,1686517282760,11.74,11.69
1202069.01,12666298.27,325011.98,312912.45,1686517285484,11.74,11.69
1201274.12,12666327.59,324943.92,312920.45,1686517288340,11.74,11.69
1201517.85,12665944.66,324964.72,312888.32,1686517291643,11.74,11.69
1201517.85,12665180.91,324964.72,312823.32,1686517294272,11.74,11.69
1201958.10,12672147.47,325001.95,313412.47,1686517297433,11.75,11.69
1211438.03,12668941.86,325810.81,313142.95,1686517300419,11.74,11.69
1208587.35,12668856.89,325566.48,313135.95,1686517303316,11.74,11.69
1209616.96,12668856.89,325654.53,313135.95,1686517306351,11.74,11.69
1211319.78,12668739.18,325800.70,313125.95,1686517309281,11.74,11.69
1211319.78,12668739.18,325800.70,313125.95,1686517312417,11.74,11.69
1201664.40,12672672.77,324977.83,313461.07,1686517315334,11.74,11.69
1204395.83,12671382.79,325212.06,313350.98,1686517318339,11.74,11.69
1204939.92,12670676.34,325258.31,313291.31,1686517321317,11.74,11.69
1213382.58,12667923.73,325969.95,313051.55,1686517324287,11.75,11.69
1194876.97,12646121.68,324397.15,311201.25,1686517327361,11.74,11.69
1205459.43,12667134.49,325299.09,312989.14,1686517330435,11.74,11.69
1207290.65,12674901.99,325456.88,313655.39,1686517333289,11.74,11.69
1205583.06,12674901.99,325310.71,313655.39,1686517336750,11.74,11.69
1208179.78,12674913.74,325532.80,313656.39,1686517339300,11.74,11.69
1205679.35,12679163.95,325318.58,314017.70,1686517342412,11.74,11.69
1207741.79,12677075.07,325495.35,313839.73,1686517345318,11.74,11.69
1208540.97,12677075.33,325563.40,313839.73,1686517348412,11.74,11.69
1213426.81,12677752.72,325980.14,313901.70,1686517351332,11.74,11.69
1213151.43,12677910.03,325956.18,313915.09,1686517354339,11.74,11.69
1210651.00,12677910.03,325741.95,313915.09,1686517357462,11.74,11.69
1207841.25,12680350.25,325504.14,314123.08,1686517360540,11.74,11.69
1205337.22,12679964.00,325289.91,314090.08,1686517363734,11.74,11.69
1207837.65,12679987.50,325504.14,314092.08,1686517366338,11.74,11.69
