mp,timeStamp,mean,skew
11.72,1686517790339,3050.2454022348525,-3038.5254022348527
11.72,1686517796299,3024.622575453403,-3012.902575453403
11.72,1686517799354,3026.4698028369567,-3014.749802836957
11.72,1686517808448,3030.92009739862,-3019.20009739862
11.72,1686517811775,3035.1098479094053,-3023.3898479094055
11.72,1686517814379,3031.4989865325633,-3019.7789865325635
11.72,1686517817775,3030.957801333328,-3019.237801333328
11.72,1686517820720,3027.8279042990075,-3016.1079042990077
11.72,1686517823431,3024.8851192437323,-3013.1651192437325
11.72,1686517826414,3022.296049252864,-3010.5760492528643
11.72,1686517829460,3019.010668954945,-3007.290668954945
11.72,1686517832509,3019.69696180773,-3007.9769618077303
11.72,1686517835556,3021.3311846311844,-3009.6111846311846
11.71,1686517847493,3169.910992043151,-3158.200992043151
11.71,1686517850622,3203.375872203829,-3191.665872203829
11.71,1686517853568,3234.850927712768,-3223.140927712768
11.71,1686517856596,3263.1468903952978,-3251.4368903952977
11.71,1686517859671,3288.7714276988136,-3277.0614276988135
11.71,1686517862618,3313.0090702477582,-3301.299070247758
11.71,1686517865690,3314.3953950804166,-3302.6853950804166
11.71,1686517868698,3315.3905104383575,-3303.6805104383575
11.71,1686517871747,3316.247674121431,-3304.537674121431
11.71,1686517874682,3315.9292804175134,-3304.2192804175133
11.72,1686517878135,3338.258315102752,-3326.538315102752
11.72,1686517880805,3359.613025653832,-3347.8930256538324
11.72,1686517886773,3399.0602757394877,-3387.340275739488
11.72,1686517892942,3434.569982752948,-3422.849982752948
11.72,1686517898907,3464.6662993558484,-3452.9462993558486
11.72,1686517902007,3477.682242375352,-3465.962242375352
11.72,1686517908079,3499.8266714646375,-3488.1066714646377
11.72,1686517917123,3523.5308152875236,-3511.810815287524
11.72,1686517920514,3530.5532374587315,-3518.8332374587317
11.72,1686517923148,3538.6910786092626,-3526.971078609263
11.72,1686517926221,3546.3953605039897,-3534.67536050399
11.72,1686517929211,3554.2138277653776,-3542.493827765378
11.72,1686517932256,3562.07740283786,-3550.3574028378603
11.72,1686517935409,3568.6850169536947,-3556.965016953695
11.72,1686517938468,3574.952972249293,-3563.232972249293
11.72,1686517941378,3580.344382767193,-3568.6243827671933
11.72,1686517956623,3604.1921470784237,-3592.472147078424
11.72,1686517959853,3607.646659603805,-3595.926659603805
11.72,1686517962879,3611.3335220361937,-3599.613522036194
11.72,1686517965886,3614.5802080978724,-3602.8602080978726
11.72,1686517968691,3618.352191220566,-3606.6321912205663
11.72,1686517974932,3625.186042687478,-3613.4660426874784
11.72,1686517978021,3627.9891387924004,-3616.2691387924006
11.72,1686517990058,3643.872519789122,-3632.1525197891224
11.72,1686517993076,3648.3329555605214,-3636.6129555605216
11.72,1686518011536,3669.260555676347,-3657.540555676347
11.71,1686518020735,3670.7324937638714,-3659.0224937638714
11.71,1686518023763,3669.948878789842,-3658.238878789842
11.71,1686518035967,3664.3891880209485,-3652.6791880209485
11.71,1686518042123,3661.5045860753353,-3649.7945860753352
11.71,1686518061153,3662.6568063683885,-3650.9468063683885
11.71,1686518064867,3662.0373559322875,-3650.3273559322874
11.71,1686518068615,3661.4301124710723,-3649.7201124710723
11.71,1686518072418,3661.715577590338,-3650.005577590338
11.71,1686518076413,3661.8271372430745,-3650.1171372430745
11.71,1686518081104,3662.0277053824457,-3650.3177053824456
11.71,1686518085120,3661.958962713671,-3650.248962713671
11.71,1686518099452,3657.0183343153712,-3645.308334315371
11.71,1686518103832,3655.3101531637217,-3643.6001531637216
11.71,1686518111335,3651.361532084521,-3639.651532084521
11.72,1686518122131,3658.4602144824994,-3646.7402144824996
