bc,ac,tbv,tav,time,mp,minBid
2848161.52,9893563.66,428790.41,226178.02,1683502371238,16.57,16.51
2848201.88,9897694.97,428792.79,226427.13,1683502374466,16.57,16.51
2848201.88,9897694.97,428792.79,226427.13,1683502377164,16.57,16.51
2848201.97,9897243.43,428792.79,226399.93,1683502380305,16.57,16.51
2848201.97,9897694.97,428792.79,226427.13,1683502383183,16.57,16.51
2848201.97,9887923.13,428792.79,225838.40,1683502386141,16.57,16.51
2848201.97,9897694.83,428792.79,226427.12,1683502389192,16.57,16.51
2837912.42,9890435.55,428166.39,225973.97,1683502392137,16.58,16.51
2840413.16,9894433.58,428317.40,226214.96,1683502395603,16.58,16.51
2830010.06,9918009.88,427685.63,227636.24,1683502398173,16.58,16.51
2830451.51,9911508.81,427712.29,227245.04,1683502401247,16.58,16.51
2831193.64,9903507.29,427758.93,226762.91,1683502404137,16.58,16.51
2835657.35,9911991.32,428028.52,227281.04,1683502407175,16.57,16.51
2829941.37,9911026.44,427683.09,227222.76,1683502410601,16.58,16.51
2829941.73,9915501.36,427683.11,227492.46,1683502413178,16.58,16.51
2829941.73,9915500.04,427683.11,227492.40,1683502416513,16.58,16.51
2829941.73,9915500.04,427683.11,227492.40,1683502419534,16.58,16.51
2829943.58,9914773.65,427683.11,227448.46,1683502422134,16.57,16.51
2829943.58,9915292.29,427683.11,227479.76,1683502425239,16.57,16.51
2830511.33,9901369.36,427714.60,226638.96,1683502428217,16.58,16.51
2834965.30,9921049.46,427985.07,227824.75,1683502431172,16.58,16.51
2837215.36,9918232.03,428121.16,227655.12,1683502434205,16.58,16.51
2836542.96,9918232.03,428081.13,227655.12,1683502437212,16.58,16.51
2836542.96,9918135.98,428081.13,227649.33,1683502440234,16.58,16.51
2837042.84,9920869.01,428111.32,227814.17,1683502443188,16.58,16.51
2837045.65,9916207.65,428111.32,227533.53,1683502446456,16.58,16.51
2837045.65,9920869.01,428111.32,227814.17,1683502449314,16.58,16.51
2837049.16,9912535.87,428111.32,227312.46,1683502452253,16.58,16.51
2837046.83,9920869.01,428111.18,227814.17,1683502455367,16.58,16.51
2837734.29,9920869.01,428152.36,227814.17,1683502458308,16.58,16.51
2829403.14,9916716.03,427650.16,227565.73,1683502461182,16.58,16.51
2835349.48,9919820.74,428014.14,227753.65,1683502464266,16.57,16.51
2837366.97,9919760.99,428136.15,227750.02,1683502467233,16.57,16.51
2838778.66,9915391.23,428221.16,227488.63,1683502470204,16.57,16.51
2839570.60,9914997.28,428269.07,227464.94,1683502473206,16.57,16.51
2839570.79,9912438.34,428269.07,227310.43,1683502476671,16.57,16.51
2839570.79,9917526.48,428269.07,227616.91,1683502479211,16.57,16.51
2839775.61,9920538.53,428280.05,227796.34,1683502482205,16.58,16.51
2842545.37,9917559.19,428447.63,227616.81,1683502485268,16.58,16.51
2838520.83,9930615.91,428204.13,228402.92,1683502488240,16.58,16.51
