time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1676562309546,19.93,9,3598821.86,33100181.21,36416,1676562277167,1676562313583,19.92

1676562600847,19.97,6,3715310.05,33263475.89,47828,1676562562252,1676562610080,19.96
1676562600847,19.97,7,3715310.05,33263475.89,56885,1676562553195,1676562610080,19.96
1676562600847,19.97,8,3715310.05,33263475.89,65916,1676562544164,1676562610080,19.96
1676562600847,19.97,9,3715310.05,33263475.89,65916,1676562544164,1676562610080,19.96
1676562600847,19.97,10,3715310.05,33263475.89,85209,1676562524871,1676562610080,19.96
1676562600847,19.97,11,3715310.05,33263475.89,85210,1676562524871,1676562610081,19.96
1676562600847,19.97,12,3715310.05,33263475.89,102594,1676562507487,1676562610081,19.96
1676562600847,19.97,4,3715310.05,33263475.89,29166,1676562580914,1676562610080,19.96
1676562600847,19.97,15,3715310.05,33263475.89,122265,1676562487816,1676562610081,19.96
1676562600847,19.97,16,3715310.05,33263475.89,130210,1676562479871,1676562610081,19.96
1676562600847,19.97,18,3715310.05,33263475.89,130210,1676562479871,1676562610081,19.96
1676562600847,19.97,19,3715310.05,33263475.89,153331,1676562456750,1676562610081,19.96
1676562600847,19.97,20,3715310.05,33263475.89,161016,1676562449065,1676562610081,19.96
1676562600847,19.97,21,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562600847,19.97,22,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562600847,19.97,23,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562600847,19.97,24,3715310.05,33263475.89,181231,1676562428850,1676562610081,19.96
1676562600847,19.97,25,3715310.05,33263475.89,181231,1676562428850,1676562610081,19.96
1676562600847,19.97,14,3715310.05,33263475.89,102594,1676562507487,1676562610081,19.96
1676562600847,19.97,31,3715310.05,33263475.89,181231,1676562428850,1676562610081,19.96
1676562600847,19.97,34,3715310.05,33263475.89,244856,1676562365225,1676562610081,19.96
1676562600847,19.97,5,3715310.05,33263475.89,29166,1676562580914,1676562610080,19.96
1676562600847,19.97,36,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562600847,19.97,35,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562600847,19.97,30,3715310.05,33263475.89,181231,1676562428850,1676562610081,19.96
1676562600847,19.97,48,3715310.05,33263475.89,121675,1676562488406,1676562610081,19.96
1676562863154,20.03,9,3635963.36,33290470.02,103774,1676562773859,1676562877633,20.01
1676562863154,20.03,12,3635963.36,33290470.02,143585,1676562734048,1676562877633,20.01
1676562863154,20.03,13,3635963.36,33290470.02,156513,1676562721120,1676562877633,20.01
1676562863154,20.03,14,3635963.36,33290470.02,171620,1676562706013,1676562877633,20.01
1676562863154,20.03,15,3635963.36,33290470.02,171620,1676562706013,1676562877633,20.01
1676562863154,20.03,16,3635963.36,33290470.02,175193,1676562702440,1676562877633,20.01
1676562863154,20.03,19,3635963.36,33290470.02,211910,1676562665723,1676562877633,20.01
