bc,ac,tbv,tav,time,mp,minBid
3644712.73,9697273.86,552612.59,169342.01,1673565920028,15.37,15.31
3635803.56,9700797.42,552029.91,169568.44,1673565923004,15.37,15.31
3613931.44,9710639.31,550604.01,170173.97,1673565926552,15.37,15.31
3622790.86,9721600.87,551180.99,170886.72,1673565928928,15.37,15.31
3622034.48,9724783.60,551129.62,171084.28,1673565931974,15.37,15.31
3624059.43,9723991.28,551260.27,171031.80,1673565934972,15.38,15.31
3626373.27,9723714.04,551413.00,171014.70,1673565937944,15.37,15.31
3616274.88,9725752.16,550745.00,171148.52,1673565941177,15.37,15.31
3621453.75,9726161.73,551076.53,171174.53,1673565943959,15.37,15.31
3629580.94,9725163.59,551606.89,171109.53,1673565946940,15.37,15.31
3628442.30,9725162.82,551531.89,171109.54,1673565950001,15.37,15.31
3626990.71,9722786.52,551437.62,170955.14,1673565953019,15.37,15.31
3629775.76,9725262.47,551619.17,171115.69,1673565955977,15.37,15.31
3628192.18,9722622.24,551515.87,170946.23,1673565959025,15.37,15.31
3639745.49,9720305.87,552267.21,170794.96,1673565962012,15.38,15.31
3643548.69,9718895.53,552514.72,170703.31,1673565965020,15.38,15.31
3630514.27,9715530.58,551670.23,170483.44,1673565969080,15.37,15.31
3575692.56,9704587.80,548092.71,169787.58,1673565972044,15.36,15.3
3599015.29,9730475.13,549618.11,171469.52,1673565974375,15.36,15.3
3605579.16,9745927.58,550059.92,172480.68,1673565976963,15.36,15.3
3601608.95,9743348.13,549800.02,172312.62,1673565979956,15.36,15.29
3588585.51,9739811.75,548947.58,172097.04,1673565982968,15.35,15.29
3583737.26,9732507.61,548639.47,171636.39,1673565985970,15.34,15.28
3579132.58,9706669.83,548361.66,169965.36,1673565989001,15.34,15.27
3618437.05,9735708.29,550920.96,171853.10,1673565992392,15.35,15.27
3621125.43,9710467.07,551097.06,170190.28,1673565995047,15.35,15.27
3606212.18,9703741.66,550126.01,169755.64,1673565998070,15.35,15.27
3606682.02,9718289.30,550153.43,170712.20,1673566001013,15.35,15.27
3607757.40,9708806.54,550223.65,170094.02,1673566004046,15.35,15.27
3608516.80,9706270.10,550272.91,169929.05,1673566006985,15.35,15.27
3607560.32,9707472.71,550207.00,170006.55,1673566010136,15.35,15.27
3591362.79,9735712.22,549154.83,171848.05,1673566013161,15.34,15.27
3587299.90,9727567.08,548895.04,171330.65,1673566016017,15.33,15.27
3596359.10,9731581.33,549486.32,171591.76,1673566019032,15.33,15.27
3592762.79,9711150.02,549254.07,170250.50,1673566022634,15.34,15.27
3600724.77,9714273.96,549783.95,170457.91,1673566025193,15.33,15.27
3604718.75,9726617.64,550044.68,171262.57,1673566027991,15.33,15.27
3564300.46,9725424.46,547415.07,171197.00,1673566031037,15.33,15.26
3578745.88,9726880.24,548428.80,171297.36,1673566034060,15.32,15.26
3585732.46,9717477.61,548916.13,170688.93,1673566037098,15.31,15.25
3610797.49,9714537.65,550551.10,170495.51,1673566040037,15.32,15.25
3616735.75,9699913.47,550938.31,169616.15,1673566042970,15.32,15.25
3602289.96,9718830.96,549993.88,170849.46,1673566046014,15.32,15.25
3610735.82,9723929.28,550536.40,171182.15,1673566049122,15.32,15.25
3598063.37,9728216.14,549707.86,171462.04,1673566052085,15.32,15.25
3598803.43,9723161.35,549756.60,171133.14,1673566055699,15.32,15.25
3605210.67,9724468.33,550175.04,171218.38,1673566058068,15.32,15.25
3600621.77,9698525.14,549874.95,169527.29,1673566061039,15.32,15.25
3605794.52,9698178.08,550214.45,169505.31,1673566064053,15.32,15.25
3608933.46,9695078.87,550418.76,169302.34,1673566067074,15.32,15.25
3615668.66,9695645.55,550858.73,169340.08,1673566070191,15.32,15.25
3608920.10,9702139.47,550416.55,169763.43,1673566073055,15.32,15.25
3596286.61,9702007.74,549591.52,169754.94,1673566076235,15.32,15.25
3617003.55,9702009.60,550945.10,169754.94,1673566079063,15.32,15.25
3616868.06,9720039.94,550935.54,170943.85,1673566082292,15.32,15.25
3603853.21,9716115.57,550085.54,170687.92,1673566085245,15.32,15.25
3603198.36,9734382.52,550051.68,171890.55,1673566088064,15.31,15.25
3594869.65,9748376.98,549508.05,172803.92,1673566091570,15.31,15.25
3596033.22,9746784.42,549584.30,172700.30,1673566094221,15.31,15.25
3596033.22,9746771.37,549584.98,172700.30,1673566097346,15.31,15.25
3610866.97,9716656.60,550548.83,170732.29,1673566100031,15.32,15.25
3600891.10,9722023.42,549893.83,171081.03,1673566103538,15.32,15.25
3613956.33,9710192.07,550744.69,170312.67,1673566106322,15.32,15.25
3611932.46,9708728.69,550612.18,170216.34,1673566109276,15.32,15.25
3611520.25,9707903.08,550585.21,170162.38,1673566112705,15.32,15.25
3606932.40,9707311.16,550284.84,170123.98,1673566115349,15.32,15.25
3550452.90,9677667.54,546593.97,168193.64,1673566118418,15.32,15.25
3594703.74,9709853.48,549489.30,170295.06,1673566121616,15.31,15.25
3603728.09,9709777.11,550083.66,170290.45,1673566124840,15.31,15.25
3602042.72,9709445.49,549973.73,170269.12,1673566128242,15.31,15.25
3607416.42,9714796.70,550323.29,170617.89,1673566131620,15.32,15.25
3609478.07,9716176.39,550534.53,170707.85,1673566135093,15.31,15.25
3612902.62,9715110.13,550757.68,170638.18,1673566138101,15.32,15.25
3605867.75,9715313.01,550294.32,170650.26,1673566141102,15.32,15.25
3607871.28,9702354.16,550435.99,169803.64,1673566144800,15.32,15.25
3608253.63,9725611.09,550460.63,171313.30,1673566150643,15.32,15.25
3605761.47,9734085.71,550300.67,171869.15,1673566154539,15.31,15.25
3604165.11,9735615.18,550199.00,171968.67,1673566158667,15.31,15.25
3597108.17,9728071.31,549741.72,171482.29,1673566164185,15.31,15.25
3599587.45,9734895.43,549905.69,171928.20,1673566168602,15.31,15.25
3619145.40,9724584.09,551183.46,171254.48,1673566171439,15.31,15.25
3615764.47,9726940.76,550961.08,171400.36,1673566175856,15.31,15.25
3612796.96,9726126.03,550767.79,171350.94,1673566180867,15.31,15.25
3609196.03,9727597.99,550532.48,171447.58,1673566183464,15.31,15.25
3609188.14,9735121.50,550532.48,171938.69,1673566186515,15.31,15.25
3598331.38,9732823.22,549821.60,171791.97,1673566191401,15.31,15.25
3613075.54,9731431.92,550786.12,171700.62,1673566196423,15.31,15.25
3612222.33,9730919.60,550730.87,171668.60,1673566199564,15.31,15.25
3604844.59,9736115.63,550251.17,172008.89,1673566204960,15.31,15.25
3606967.42,9737102.18,550393.25,172074.07,1673566207746,15.31,15.24
3606981.38,9736837.66,550405.18,172059.39,1673566210894,15.31,15.24
3601235.02,9754999.28,550030.57,173247.25,1673566213808,15.3,15.24
3622936.46,9712656.11,551471.35,170483.25,1673566216820,15.3,15.24
3629404.77,9717045.91,551893.85,170770.05,1673566219769,15.3,15.24
3637167.49,9723260.04,552382.91,171175.62,1673566225776,15.3,15.24
3637212.22,9728238.25,552418.91,171500.87,1673566229632,15.3,15.24
3626364.18,9729575.19,551708.03,171588.57,1673566231738,15.3,15.24
3612768.01,9727973.65,550805.82,171484.23,1673566234771,15.3,15.24
3623538.14,9702708.59,551511.65,169855.28,1673566237775,15.3,15.24
3611942.66,9720930.89,550755.68,171048.82,1673566244681,15.3,15.24
3610537.77,9720200.25,550663.63,171000.47,1673566247501,15.3,15.24
3613771.07,9700853.41,550878.97,169737.25,1673566254465,15.3,15.24
3609312.53,9726968.41,550585.36,171432.36,1673566258007,15.3,15.24
3577443.09,9721527.35,548483.54,171076.75,1673566265361,15.3,15.24
3616290.08,9728365.99,551035.39,171522.93,1673566272733,15.3,15.24
3608517.41,9729779.30,550526.39,171617.23,1673566280429,15.3,15.24
3615183.64,9725594.70,550963.67,171401.48,1673566288206,15.3,15.24
3628758.55,9710062.34,551842.86,170380.67,1673566296200,15.31,15.24
3627121.29,9718593.77,551720.40,170929.11,1673566299109,15.32,15.24
3622308.14,9719658.50,551406.93,170994.76,1673566307067,15.32,15.24
3640018.27,9729178.51,552523.00,171577.31,1673566315207,15.34,15.24
3627459.90,9715494.22,551699.75,170686.59,1673566323504,15.34,15.24
3611232.30,9719258.81,550628.97,170916.76,1673566332032,15.35,15.24
3623665.25,9720036.81,551445.80,170966.77,1673566340725,15.35,15.24
3613623.77,9723364.94,550793.12,171186.32,1673566349499,15.35,15.24
3617081.99,9722067.88,551017.66,171101.65,1673566358443,15.35,15.24
3619163.77,9724080.16,551153.58,171232.57,1673566361442,15.35,15.24
3621968.32,9722977.86,551329.75,171143.79,1673566364589,15.36,15.24
3623084.46,9723523.21,551402.90,171177.50,1673566367487,15.36,15.24
3615892.07,9718303.45,550830.44,170831.34,1673566377193,15.36,15.24
3599306.57,9728694.39,549757.05,171527.88,1673566386970,15.34,15.24
3624470.37,9713645.72,551395.52,170545.16,1673566396925,15.35,15.24
3602513.79,9730038.73,549962.86,171611.65,1673566407089,15.35,15.24
3607472.23,9716579.82,550293.48,170740.63,1673566417472,15.34,15.24
3607973.22,9733476.56,550284.17,171856.01,1673566428095,15.33,15.24
3610086.08,9731941.38,550421.91,171756.01,1673566431007,15.33,15.24
