mp,timeStamp,mean,skew
15.36,1673566376669,2960.3780890648304,-2945.0180890648303
15.36,1673566386552,2959.411147801822,-2944.051147801822
15.34,1673566396507,2956.9624928942912,-2941.622492894291
15.35,1673566406678,2958.1809740809176,-2942.8309740809177
15.35,1673566417025,2959.3006551145154,-2943.9506551145155
15.34,1673566427605,2956.39657371355,-2941.05657371355
15.33,1673566441499,2967.8611613706844,-2952.5311613706845
15.33,1673566453019,2973.516599357186,-2958.186599357186
15.34,1673566464887,2974.163447991855,-2958.8234479918547
15.34,1673566476406,2975.1811858879846,-2959.8411858879845
15.35,1673566488221,2975.415532276923,-2960.065532276923
15.35,1673566500708,2977.037469626195,-2961.6874696261953
15.35,1673566512856,2977.317522308998,-2961.967522308998
15.35,1673566525320,2973.9828127378255,-2958.6328127378256
15.37,1673566537989,2972.263655343256,-2956.893655343256
15.38,1673566551019,2967.17503295844,-2951.79503295844
15.38,1673566563980,2965.7322879531835,-2950.3522879531833
15.38,1673566576994,2964.3748927671954,-2948.9948927671953
15.38,1673566590065,2962.9302142273223,-2947.550214227322
15.39,1673566603286,2962.746257473965,-2947.3562574739653
15.39,1673566618304,2962.294812960503,-2946.904812960503
15.4,1673566631743,2958.170190568447,-2942.770190568447
15.4,1673566673787,2951.610500551036,-2936.2105005510357
15.41,1673566716538,2949.5539844667524,-2934.1439844667525
15.44,1673566734171,2941.073279966458,-2925.633279966458
15.43,1673566748953,2938.304734733863,-2922.874734733863
15.42,1673566764087,2936.2142446090043,-2920.794244609004
15.42,1673566779214,2930.9991690052166,-2915.5791690052165
15.42,1673566794572,2925.401230049608,-2909.981230049608
15.43,1673566810201,2922.3120546738496,-2906.88205467385
15.4,1673566826092,2919.927590955103,-2904.527590955103
15.4,1673566842166,2917.527803219521,-2902.127803219521
15.4,1673566858470,2917.104634888687,-2901.704634888687
15.4,1673566875053,2916.2707860807004,-2900.8707860807003
15.4,1673566892010,2913.9387280845294,-2898.5387280845293
15.41,1673566909130,2916.553028279497,-2901.1430282794972
15.42,1673566926438,2918.2671492500876,-2902.8471492500876
15.42,1673566943983,2914.5339673390135,-2899.1139673390135
15.42,1673566961682,2910.92210868883,-2895.50210868883
15.42,1673566979564,2908.864306574421,-2893.444306574421
15.43,1673566997731,2907.561357295748,-2892.1313572957483
15.43,1673567015965,2906.603622688632,-2891.1736226886323
15.43,1673567034448,2905.1379735711216,-2889.707973571122
15.43,1673567053111,2902.869672893811,-2887.4396728938113
15.44,1673567071988,2907.017716878447,-2891.577716878447
15.45,1673567113245,2902.744474445762,-2887.2944744457623
15.43,1673567132812,2903.4130588740654,-2887.9830588740656
15.44,1673567152712,2902.131819541466,-2886.691819541466
15.44,1673567172811,2901.715568583896,-2886.275568583896
15.43,1673567193312,2901.8744840691684,-2886.4444840691685
15.43,1673567213857,2902.547352920324,-2887.1173529203243
15.43,1673567234605,2901.8937496697176,-2886.463749669718
15.43,1673567256127,2902.778344575524,-2887.348344575524
15.43,1673567277353,2903.9326047221443,-2888.5026047221445
15.43,1673567299173,2904.893344563321,-2889.4633445633212
15.43,1673567320979,2904.7474663953235,-2889.3174663953237
15.41,1673567352949,2904.6580321016518,-2889.248032101652
15.41,1673567376171,2904.4639274126616,-2889.053927412662
15.39,1673567402698,2910.614050651425,-2895.224050651425
15.39,1673567433016,2916.5395599059593,-2901.1495599059594
15.4,1673567457816,2914.973811770081,-2899.5738117700807
15.4,1673567482545,2913.8478033676884,-2898.4478033676883
15.43,1673567511325,2909.3254990113264,-2893.8954990113266
15.44,1673567536853,2910.4945281055357,-2895.0545281055356
15.44,1673567563177,2910.6594320336408,-2895.2194320336407
15.43,1673567589469,2908.4858061467985,-2893.0558061467987
15.42,1673567619565,2909.359509918276,-2893.939509918276
15.44,1673567646495,2910.402826617825,-2894.962826617825
15.45,1673567673536,2909.7385085418086,-2894.288508541809
15.45,1673567704715,2909.729277868473,-2894.2792778684734
15.44,1673567760410,2906.9678309311253,-2891.527830931125
15.46,1673567792259,2907.765840287758,-2892.3058402877577
15.48,1673567821162,2906.2016133325637,-2890.7216133325637
15.5,1673567850346,2906.403977084715,-2890.903977084715
15.49,1673567879820,2904.2453378035034,-2888.7553378035036
15.47,1673567909744,2903.5509525093325,-2888.0809525093327
15.48,1673567940191,2905.1734994833223,-2889.6934994833223
15.46,1673567970490,2906.440866435153,-2890.980866435153
