bc,ac,tbv,tav,time,mp,minBid
1327019.48,12694512.81,330889.14,286766.82,1689280607126,14.02,13.96
1324528.09,12694504.17,330710.65,286766.20,1689280610289,14.02,13.96
1324330.78,12694114.27,330695.73,286738.43,1689280613103,14.02,13.96
1329686.42,12694094.51,331078.68,286736.80,1689280616135,14.02,13.96
1308310.46,12687245.78,329527.65,286237.88,1689280619157,14.03,13.96
1310856.82,12684709.87,329710.49,286057.06,1689280622494,14.03,13.96
1310861.18,12688525.29,329710.92,286328.43,1689280625570,14.03,13.96
1308690.57,12687404.10,329555.20,286248.96,1689280628099,14.03,13.96
1308596.71,12685526.99,329546.59,286115.09,1689280631070,14.03,13.96
1308346.70,12687218.63,329529.95,286235.44,1689280634113,14.03,13.96
1312174.11,12690805.12,329801.20,286491.00,1689280637098,14.03,13.96
1310008.79,12690805.12,329647.16,286491.00,1689280640072,14.03,13.96
1315309.07,12687241.72,330023.57,286237.76,1689280643059,14.03,13.96
1318306.52,12696117.58,330238.74,286869.82,1689280646114,14.03,13.96
1315802.40,12694433.22,330058.93,286749.77,1689280649079,14.03,13.96
1316645.03,12693764.86,330120.96,286702.20,1689280652193,14.03,13.96
1316648.20,12693765.18,330121.13,286702.20,1689280655110,14.03,13.96
1324838.41,12694265.56,330704.99,286737.81,1689280658092,14.03,13.96
1322338.10,12694361.72,330525.53,286744.67,1689280661067,14.03,13.96
1322167.44,12690767.22,330512.69,286488.66,1689280664246,14.03,13.96
1324427.65,12687681.97,330671.65,286267.68,1689280667222,14.03,13.96
1321421.21,12689494.39,330459.34,286397.33,1689280670179,14.03,13.96
1313678.41,12693340.43,329906.20,286670.97,1689280673162,14.03,13.96
1311264.43,12693799.58,329732.90,286704.29,1689280676087,14.03,13.96
1315670.40,12693552.65,330048.39,286686.72,1689280679105,14.03,13.96
1316488.95,12714479.02,330105.76,288177.14,1689280682157,14.03,13.96
1313343.12,12714464.00,329881.47,288176.14,1689280685256,14.03,13.96
1309810.06,12714464.00,329627.87,288176.14,1689280688148,14.03,13.96
1304672.39,12709628.26,329263.10,287832.11,1689280691160,14.03,13.96
1306660.98,12714031.23,329405.04,288145.49,1689280694161,14.03,13.96
1306660.98,12714031.23,329405.04,288145.49,1689280697232,14.03,13.96
1306647.85,12714031.23,329403.96,288145.49,1689280700176,14.03,13.96
1317204.82,12714503.57,330155.36,288178.75,1689280703129,14.03,13.96
1317366.11,12714503.57,330167.01,288178.75,1689280706197,14.03,13.96
1311104.85,12714142.74,329720.46,288153.77,1689280709214,14.03,13.96
1308373.21,12710955.28,329525.87,287927.28,1689280712161,14.03,13.96
1310336.01,12710955.28,329665.87,287927.28,1689280715239,14.03,13.96
1314064.91,12712542.96,329930.68,288039.61,1689280718216,14.03,13.96
1313065.62,12713910.05,329859.11,288136.94,1689280721155,14.03,13.96
1310984.98,12713859.04,329710.42,288133.38,1689280724242,14.03,13.96
1313063.65,12707223.87,329858.97,287660.72,1689280727114,14.03,13.96
1311143.12,12713356.63,329724.34,288097.76,1689280730331,14.03,13.96
1311230.39,12711102.36,329730.88,287937.61,1689280733150,14.03,13.96
1311257.74,12711352.54,329731.60,287955.40,1689280736315,14.03,13.96
1315080.65,12710543.50,330005.47,287897.97,1689280739132,14.03,13.96
1316577.06,12710543.32,330111.99,287898.10,1689280742297,14.03,13.96
1298819.87,12706195.97,328844.23,287588.75,1689280745279,14.02,13.96
1305681.61,12711082.52,329335.31,287936.60,1689280748171,14.03,13.96
1290146.18,12709590.56,328232.68,287838.18,1689280751163,14.02,13.96
1315506.10,12710953.63,330045.90,287935.34,1689280754155,14.02,13.96
1310475.28,12721234.40,329686.47,288667.90,1689280757325,14.02,13.96
1316270.87,12720593.40,330102.02,288622.52,1689280760170,14.02,13.96
1320836.34,12707108.67,330426.84,287661.93,1689280763258,14.02,13.96
1323336.39,12707105.26,330606.36,287661.93,1689280766188,14.02,13.96
1321540.54,12704416.12,330477.49,287470.35,1689280769177,14.03,13.96
1312515.92,12721452.88,329826.17,288678.95,1689280772173,14.03,13.96
1309635.65,12720816.45,329619.03,288633.44,1689280775207,14.03,13.96
1311244.76,12721453.97,329734.87,288678.83,1689280778175,14.03,13.96
1313909.57,12684671.39,329931.68,286064.05,1689280781193,14.03,13.96
1317789.70,12719953.51,330209.71,288576.82,1689280784204,14.03,13.96
1315291.22,12719954.89,330030.13,288576.85,1689280787251,14.03,13.96
1323074.96,12724966.91,330587.37,288933.64,1689280790231,14.03,13.96
1315470.47,12685010.56,330035.55,286084.02,1689280793232,14.03,13.96
1317973.44,12720364.26,330215.75,288600.49,1689280796212,14.03,13.96
1323673.34,12729093.75,330625.71,289228.40,1689280799225,14.02,13.96
1324260.46,12729093.69,330667.61,289228.40,1689280802198,14.02,13.96
1323776.06,12688836.91,330627.98,286357.56,1689280805204,14.03,13.96
1323183.99,12717428.10,330586.47,288394.21,1689280808219,14.03,13.96
1326168.54,12717428.10,330799.80,288394.21,1689280811185,14.03,13.96
1325912.30,12717428.51,330781.33,288394.20,1689280814173,14.03,13.96
1328167.86,12715726.14,330941.13,288271.99,1689280817171,14.03,13.96
1326694.94,12717109.33,330835.85,288370.51,1689280820183,14.03,13.96
1307056.74,12699188.07,329428.33,287093.85,1689280823218,14.03,13.96
1316134.82,12710857.32,330080.53,287924.17,1689280826307,14.03,13.96
1307863.88,12702435.94,329490.37,287326.12,1689280829273,14.03,13.96
1311376.38,12702435.94,329742.13,287326.12,1689280832302,14.03,13.96
1311333.30,12702438.69,329737.73,287326.12,1689280835255,14.03,13.96
1316637.55,12702438.69,330117.20,287326.12,1689280838694,14.03,13.96
1324548.74,12706256.10,330679.42,287596.45,1689280841313,14.03,13.96
1305554.26,12701492.23,329326.07,287258.65,1689280844726,14.03,13.96
1309342.61,12701491.51,329596.57,287258.65,1689280847994,14.03,13.96
1302729.75,12701491.51,329123.61,287258.65,1689280851766,14.03,13.96
