bc,ac,tbv,tav,time,mp,minBid
1277181.15,11668281.73,305174.48,317651.07,1686247729674,13.88,13.83
1278178.99,11668281.59,305246.58,317651.07,1686247732551,13.88,13.83
1273055.06,11644112.57,304875.92,315912.68,1686247735928,13.88,13.83
1275957.12,11650924.43,305081.73,316397.96,1686247738544,13.89,13.83
1277953.48,11650920.92,305225.66,316397.97,1686247741560,13.89,13.83
1281674.23,11655064.98,305494.42,316695.79,1686247744537,13.89,13.83
1277766.03,11655064.98,305212.07,316695.79,1686247747620,13.89,13.83
1275273.52,11652498.08,305031.91,316510.74,1686247750513,13.89,13.83
1267290.37,11652308.87,304456.13,316497.11,1686247753509,13.89,13.83
1274625.00,11651074.85,304985.24,316408.27,1686247756537,13.89,13.83
1271144.01,11648779.90,304732.15,316242.66,1686247759543,13.89,13.83
1271144.01,11650533.84,304732.15,316368.94,1686247762500,13.89,13.83
1274674.87,11650533.84,304986.30,316368.94,1686247765594,13.89,13.83
1275700.31,11653179.56,305061.18,316559.46,1686247768702,13.89,13.83
1274705.69,11653179.56,304989.42,316559.46,1686247771518,13.89,13.83
1275624.82,11653231.11,305055.70,316563.17,1686247774537,13.89,13.83
1275628.21,11645505.87,305055.70,316007.96,1686247777519,13.89,13.83
1275628.21,11653234.22,305055.70,316563.17,1686247780548,13.89,13.83
1272137.56,11649447.77,304803.75,316290.56,1686247783540,13.89,13.83
1277388.65,11649703.48,305182.95,316308.97,1686247786573,13.89,13.83
1279962.95,11649703.48,305367.75,316308.97,1686247789522,13.89,13.83
1277085.96,11649447.77,305160.04,316290.56,1686247792596,13.89,13.83
1277055.90,11649447.77,305157.87,316290.56,1686247795546,13.89,13.83
1278051.13,11649447.77,305229.67,316290.56,1686247798529,13.89,13.83
1274858.80,11651531.64,304999.62,316440.58,1686247801568,13.89,13.83
1279444.01,11651531.64,305330.44,316440.58,1686247804730,13.89,13.83
1279450.68,11651531.64,305330.92,316440.58,1686247807559,13.89,13.83
1272131.66,11663266.11,304800.61,317286.09,1686247810666,13.89,13.83
1276124.28,11663293.87,305088.68,317288.22,1686247813596,13.89,13.83
1275735.55,11658376.67,305060.85,316934.93,1686247816648,13.89,13.83
1276121.17,11663292.93,305088.72,317288.38,1686247819558,13.89,13.83
1274224.82,11663292.93,304951.80,317288.38,1686247822648,13.89,13.83
1276550.66,11670472.81,305121.93,317805.75,1686247825548,13.89,13.83
1276888.40,11670471.43,305146.26,317805.79,1686247828911,13.89,13.83
1281455.36,11670471.25,305474.17,317805.79,1686247831560,13.89,13.83
1283871.92,11670471.25,305649.13,317805.79,1686247834610,13.89,13.83
1280380.03,11666302.89,305396.43,317505.55,1686247837564,13.89,13.83
1285985.71,11666305.08,305802.16,317505.75,1686247840548,13.89,13.83
1284479.67,11666304.82,305692.15,317505.75,1686247843591,13.89,13.83
1285984.35,11666071.57,305802.16,317488.93,1686247846623,13.89,13.83
1286978.52,11666071.57,305873.89,317488.93,1686247849556,13.89,13.83
1286978.52,11666071.57,305873.89,317488.93,1686247852649,13.89,13.83
1285457.56,11666070.52,305763.59,317488.93,1686247855575,13.89,13.83
1285642.49,11666071.57,305776.95,317488.93,1686247858599,13.89,13.83
1286639.24,11666070.52,305848.10,317488.93,1686247861890,13.89,13.83
1285414.92,11671984.72,305760.74,317915.86,1686247864639,13.88,13.83
1281791.62,11675981.89,305500.27,318203.63,1686247867576,13.88,13.83
1281606.69,11675955.34,305486.91,318201.73,1686247870776,13.88,13.83
1277327.79,11676569.23,305176.78,318245.88,1686247873640,13.89,13.83
1275245.85,11676569.23,305026.45,318245.88,1686247876607,13.89,13.83
1279901.21,11676816.86,305363.94,318263.69,1686247879591,13.89,13.83
1280352.62,11676124.47,305394.85,318213.88,1686247882743,13.89,13.83
1277233.02,11676124.47,305169.30,318213.88,1686247885628,13.89,13.83
1282783.86,11646931.37,305568.43,316110.77,1686247888567,13.89,13.83
1292171.53,11654587.64,306245.72,316661.77,1686247891611,13.89,13.83
1289920.89,11654587.64,306082.72,316661.77,1686247894586,13.89,13.83
1292421.25,11654587.64,306263.75,316661.77,1686247897643,13.89,13.83
1283931.83,11648574.93,305650.76,316229.66,1686247900867,13.89,13.83
