bc,ac,tbv,tav,time,mp,minBid
3208156.74,35230088.39,402841.28,374372.94,1679576957534,17.36,17.29
3208169.94,35230088.39,402841.28,374372.94,1679576960468,17.36,17.29
3205978.08,35222824.82,402714.97,373955.10,1679576963560,17.36,17.28
3201329.49,35236359.99,402448.02,374735.33,1679576966552,17.35,17.28
3204770.15,35233671.64,402649.75,374581.18,1679576969532,17.35,17.28
3202525.47,35231839.33,402553.81,374475.70,1679576972447,17.35,17.28
3202525.47,35231839.33,402553.81,374475.70,1679576975490,17.35,17.28
3198321.88,35232943.88,402326.85,374548.26,1679576978941,17.35,17.27
3198780.17,35230454.55,402353.52,374404.71,1679576981518,17.35,17.27
3198762.81,35228622.25,402352.50,374299.23,1679576984912,17.35,17.27
3197331.46,35235423.65,402269.25,374690.96,1679576987451,17.35,17.27
3201869.28,35226652.67,402533.64,374185.25,1679576990605,17.35,17.27
3201836.23,35234769.81,402533.64,374652.89,1679576993508,17.35,17.27
3201836.23,35236603.44,402533.64,374758.37,1679576996564,17.35,17.27
3199819.17,35234570.41,402417.33,374641.36,1679576999490,17.35,17.27
3202160.33,35234570.41,402552.18,374641.36,1679577002469,17.35,17.27
3208398.72,35231434.75,402910.62,374460.23,1679577005471,17.35,17.27
3204583.66,35232519.75,402690.62,374522.71,1679577008456,17.35,17.27
3196585.19,35236162.13,402229.46,374732.67,1679577011955,17.35,17.27
3206275.21,35234578.16,402810.70,374647.67,1679577014542,17.35,17.27
3196143.79,35226443.10,402240.53,374180.49,1679577017560,17.34,17.27
3205388.90,35224957.36,402775.32,374095.07,1679577020481,17.34,17.27
3209753.02,35225531.20,403025.03,374128.93,1679577023494,17.35,17.27
3206795.51,35223371.14,402854.34,374004.81,1679577026477,17.35,17.27
3207375.78,35226029.95,402885.33,374156.88,1679577029630,17.35,17.27
3197760.23,35233943.05,402330.50,374611.92,1679577032521,17.35,17.27
3194083.30,35234096.28,402115.26,374620.63,1679577035687,17.35,17.27
3211201.92,35230544.38,403103.41,374415.92,1679577038500,17.36,17.27
3204052.14,35231258.52,402690.44,374455.87,1679577041483,17.36,17.27
3201864.68,35231273.24,402563.95,374456.72,1679577044469,17.35,17.27
3205856.28,35231273.24,402794.41,374456.72,1679577047897,17.35,17.27
3203808.15,35226037.94,402676.09,374155.89,1679577050642,17.35,17.27
3210752.70,35227524.86,403077.07,374241.16,1679577053591,17.35,17.27
3210752.70,35226848.21,403077.07,374202.16,1679577056505,17.35,17.27
3214408.46,35227524.86,403287.88,374241.16,1679577059538,17.35,17.27
3218400.09,35226848.21,403518.31,374202.16,1679577062531,17.35,17.27
3217502.01,35228363.16,403461.52,374287.66,1679577065699,17.36,17.27
3217502.01,35228310.72,403461.52,374284.66,1679577068505,17.36,17.27
3206102.77,35230805.67,402810.02,374428.30,1679577071623,17.35,17.27
3207424.76,35230952.45,402886.32,374436.96,1679577074689,17.35,17.27
3209013.39,35230362.55,402978.28,374402.96,1679577077521,17.35,17.27
3216063.49,35229419.32,403381.11,374349.55,1679577080859,17.35,17.27
3208076.06,35228246.82,402920.10,374282.17,1679577083522,17.35,17.27
3212066.52,35226903.27,403150.49,374205.15,1679577086513,17.35,17.27
3213656.28,35228575.22,403242.49,374301.34,1679577089961,17.35,17.27
3212067.41,35228075.09,403150.49,374272.53,1679577092542,17.35,17.27
3214746.39,35228569.97,403302.92,374301.10,1679577095528,17.36,17.27
3214746.39,35228569.97,403302.92,374301.10,1679577098571,17.36,17.27
3211804.83,35226250.03,403154.64,374189.75,1679577101491,17.36,17.27
3208384.01,35215078.09,402956.08,373552.83,1679577104466,17.36,17.27
3205128.78,35215241.60,402766.71,373563.04,1679577107496,17.36,17.27
3195917.04,35220362.55,402234.56,373858.02,1679577110639,17.36,17.27
3212970.84,35207536.66,403203.04,373113.76,1679577113702,17.37,17.27
3210031.07,35220268.47,403032.42,373838.21,1679577116533,17.37,17.27
3210687.25,35217956.20,403070.79,373705.81,1679577119535,17.37,17.27
3210525.38,35212707.43,403058.32,373405.61,1679577122540,17.37,17.27
3206494.37,35209934.78,402834.47,373245.88,1679577125560,17.36,17.27
3201115.11,35210412.61,402524.04,373273.41,1679577128489,17.36,17.27
3200769.66,35209945.88,402500.75,373249.76,1679577131532,17.36,17.27
3198903.54,35212845.83,402382.74,373418.54,1679577134692,17.36,17.27
3203359.97,35213529.90,402639.88,373458.66,1679577137531,17.36,17.27
3203359.97,35218591.06,402639.88,373749.64,1679577140731,17.36,17.27
3196919.39,35219057.29,402284.09,373785.88,1679577143661,17.35,17.27
3190654.32,35219518.56,401922.69,373812.62,1679577146595,17.35,17.27
3191116.30,35219719.92,401949.35,373824.15,1679577149638,17.35,17.27
3191366.10,35221237.12,401963.78,373911.61,1679577152734,17.35,17.27
3198857.64,35219013.80,402396.65,373784.36,1679577155618,17.35,17.27
