mp,timeStamp,mean,skew
17.36,1679576957542,4968.574376640624,-4951.214376640624
17.36,1679576960480,4968.625954140622,-4951.265954140622
17.35,1679576966572,5222.746468003878,-5205.396468003878
17.35,1679576979009,5318.980919828087,-5301.630919828087
17.35,1679576985005,5395.272479086112,-5377.922479086112
17.35,1679576999667,5377.41322452084,-5360.06322452084
17.35,1679577008701,5345.864971931609,-5328.514971931609
17.35,1679577012210,5328.300002319556,-5310.950002319556
17.35,1679577014817,5311.18912078134,-5293.839120781339
17.35,1679577023896,5284.793877679359,-5267.443877679359
17.35,1679577030038,5288.989832783629,-5271.639832783629
17.35,1679577032946,5296.463377695447,-5279.113377695447
17.36,1679577042010,5317.60071593421,-5300.24071593421
17.35,1679577048493,5315.792648212059,-5298.442648212059
17.35,1679577051268,5319.35775101909,-5302.0077510190895
17.36,1679577066542,5309.414861279878,-5292.054861279878
17.36,1679577069383,5295.501063125149,-5278.141063125149
17.36,1679577096923,5283.469163408962,-5266.109163408963
17.36,1679577106033,5245.508208541396,-5228.148208541396
17.37,1679577115466,5233.28283604296,-5215.91283604296
17.37,1679577124507,5248.014829964717,-5230.644829964717
17.36,1679577130596,5252.888940419968,-5235.528940419968
17.35,1679577146175,5247.735726489673,-5230.385726489672
17.35,1679577149164,5235.081687769062,-5217.731687769062
17.35,1679577158436,5194.14792271965,-5176.797922719649
17.35,1679577171159,5156.7015209846,-5139.3515209846
17.35,1679577174903,5148.448319233945,-5131.0983192339445
17.35,1679577184874,5155.380744196695,-5138.030744196694
17.35,1679577189056,5144.405691679317,-5127.055691679317
17.36,1679577193251,5137.2359153009065,-5119.875915300907
17.35,1679577204052,5111.293492079868,-5093.943492079868
17.35,1679577208491,5101.388044785208,-5084.038044785208
17.35,1679577219256,5071.586303820091,-5054.236303820091
17.35,1679577224178,5061.63472724869,-5044.28472724869
17.35,1679577229077,5051.784903479364,-5034.434903479364
17.34,1679577234473,5052.25331849597,-5034.91331849597
17.35,1679577239524,5045.877216250316,-5028.527216250316
17.35,1679577254188,5057.6086665531,-5040.2586665531
17.35,1679577259821,5051.201481482133,-5033.851481482133
17.35,1679577278255,5016.847668748546,-4999.497668748546
17.37,1679577291020,5006.628578006821,-4989.258578006821
17.36,1679577297745,5009.72075288175,-4992.36075288175
17.35,1679577307700,5013.660713763806,-4996.310713763805
17.35,1679577317966,5021.78520547775,-5004.43520547775
17.34,1679577328440,4998.888739434475,-4981.548739434475
17.33,1679577339242,4988.137922423463,-4970.807922423463
17.34,1679577346922,4978.815541211697,-4961.4755412116965
17.35,1679577361059,4970.952563646156,-4953.602563646155
17.35,1679577375598,4971.412082959775,-4954.062082959775
17.34,1679577384250,4956.66152053823,-4939.32152053823
17.32,1679577392917,4949.505449400815,-4932.185449400816
17.34,1679577401635,4944.142278432591,-4926.802278432591
17.34,1679577410473,4934.505962115461,-4917.165962115461
17.35,1679577428555,4923.525533480975,-4906.175533480975
17.35,1679577437900,4921.87095355014,-4904.52095355014
17.35,1679577447363,4922.12800017191,-4904.778000171909
17.36,1679577457104,4921.732722912585,-4904.372722912585
17.36,1679577466740,4927.128180967833,-4909.768180967833
17.35,1679577482844,4944.588589641678,-4927.238589641677
17.34,1679577496312,4934.419553526986,-4917.079553526986
17.33,1679577506697,4930.467232303905,-4913.137232303905
17.33,1679577517687,4923.806644415324,-4906.476644415324
17.31,1679577528342,4922.57443398278,-4905.264433982779
17.32,1679577542718,4905.056656239516,-4887.736656239516
17.32,1679577560149,4894.9249174356755,-4877.604917435676
17.3,1679577571675,4889.136995304291,-4871.836995304291
17.32,1679577583795,4883.405257402809,-4866.0852574028095
17.32,1679577601993,4866.862694121173,-4849.542694121174
17.33,1679577617865,4868.477630249291,-4851.147630249291
17.33,1679577633864,4874.361921154543,-4857.031921154543
17.34,1679577646873,4874.992940524488,-4857.652940524488
17.31,1679577660034,4867.119556067184,-4849.809556067184
17.33,1679577673466,4860.4435482182635,-4843.1135482182635
17.32,1679577690067,4873.758028967885,-4856.438028967886
17.33,1679577704315,4878.65559754687,-4861.32559754687
17.33,1679577721526,4895.953831828029,-4878.623831828029
17.33,1679577739043,4914.263629202662,-4896.933629202662
17.32,1679577756786,4932.990494019755,-4915.670494019755
17.33,1679577778203,4959.710542151293,-4942.380542151293
17.34,1679577793608,4964.701521666571,-4947.361521666571
17.33,1679577809213,4969.3916213113,-4952.0616213113
17.35,1679577828390,4984.354516746885,-4967.004516746884
17.34,1679577844479,4993.06747867371,-4975.72747867371
17.34,1679577860800,5002.049865434799,-4984.709865434799
17.34,1679577877049,5009.17501276977,-4991.8350127697695
17.32,1679577896823,5017.071757456101,-4999.751757456102
17.31,1679577913635,5021.132220457281,-5003.82222045728
17.31,1679577930517,5024.684834565445,-5007.374834565445
17.33,1679577947564,5024.170541783508,-5006.840541783508
17.32,1679577977829,5051.472704972208,-5034.152704972208
17.32,1679578002610,5064.99542478734,-5047.6754247873405
17.32,1679578021444,5070.405687379226,-5053.085687379226
17.32,1679578043786,5080.750703582278,-5063.4307035822785
17.34,1679578063299,5083.39724734636,-5066.05724734636
17.32,1679578099022,5112.054222144387,-5094.734222144387
17.31,1679578123224,5119.935046903376,-5102.625046903376
17.31,1679578144865,5130.885597357059,-5113.5755973570585
17.31,1679578169599,5152.4268906936595,-5135.116890693659
17.31,1679578191397,5162.511765524374,-5145.2017655243735
17.32,1679578232855,5156.250335836289,-5138.9303358362895
17.34,1679578259671,5163.188751016949,-5145.848751016949
17.36,1679578283639,5166.354461898727,-5148.994461898727
17.4,1679578314507,5142.482877993038,-5125.082877993038
17.41,1679578342660,5136.617860919518,-5119.207860919518
17.39,1679578368043,5126.7229413575815,-5109.332941357581
17.37,1679578396793,5134.467575985968,-5117.097575985968
17.38,1679578429670,5122.709607320369,-5105.329607320369
17.37,1679578459466,5132.537260335516,-5115.167260335516
17.39,1679578486951,5130.526091367173,-5113.136091367172
17.39,1679578514203,5130.629798711995,-5113.239798711995
17.38,1679578545062,5122.582052907133,-5105.202052907133
17.38,1679578576338,5112.908325899028,-5095.528325899028
17.37,1679578608204,5114.992995592709,-5097.622995592709
17.39,1679578637138,5113.026364832494,-5095.636364832494
17.4,1679578666283,5109.192025546606,-5091.792025546606
17.4,1679578695703,5108.56994282403,-5091.16994282403
17.39,1679578728532,5105.444409025832,-5088.054409025832
17.39,1679578758640,5098.5333412530945,-5081.143341253094
17.41,1679578795565,5104.987087815827,-5087.577087815827
17.39,1679578833449,5102.74558619447,-5085.35558619447
17.39,1679578865836,5099.211019851234,-5081.821019851233
17.36,1679578898011,5098.49573644096,-5081.1357364409605
17.35,1679578937082,5090.704810398083,-5073.354810398083
17.31,1679578970156,5082.735401925321,-5065.42540192532
17.32,1679579003474,5078.638692851225,-5061.318692851225
17.38,1679579037115,5075.472292158337,-5058.092292158337
17.39,1679579077364,5068.081595250208,-5050.691595250208
17.36,1679579124773,5063.837212009571,-5046.477212009571
17.35,1679579167066,5042.696483773626,-5025.346483773626
17.37,1679579203493,5042.619495909056,-5025.249495909056
17.37,1679579243928,5045.069109447382,-5027.699109447382
17.35,1679579284505,5035.162370386017,-5017.8123703860165
17.3,1679579335669,5023.2488191098055,-5005.948819109805
17.29,1679579384894,5004.214251479204,-4986.924251479204
17.29,1679579425377,5002.590721831734,-4985.300721831734
17.31,1679579472606,5000.189677473964,-4982.879677473964
17.29,1679579514247,4992.886834255008,-4975.596834255008
17.3,1679579555738,4990.670653410019,-4973.370653410019
17.3,1679579597456,4991.4080106240735,-4974.108010624073
17.3,1679579642815,4992.54666951931,-4975.24666951931
17.3,1679579685410,4994.38412668235,-4977.08412668235
17.31,1679579738569,4990.61607227181,-4973.306072271809
17.3,1679579792451,4987.8688447879795,-4970.568844787979
17.28,1679579841621,4982.4636965516875,-4965.183696551688
17.29,1679579894176,4973.585570175081,-4956.295570175081
17.28,1679579940850,4970.274420598984,-4952.994420598984
17.3,1679579991448,4969.749356397488,-4952.4493563974875
17.31,1679580052624,4966.9101677186145,-4949.600167718614
17.34,1679580101355,4965.690526663494,-4948.350526663494
17.34,1679580150274,4967.64220418233,-4950.30220418233
17.32,1679580202736,4978.779987978958,-4961.459987978958
17.32,1679580255792,4989.949769804742,-4972.629769804742
17.32,1679580309570,4996.864774592965,-4979.544774592965
17.29,1679580368974,4989.00024011581,-4971.71024011581
17.29,1679580427110,4971.371569357917,-4954.081569357917
17.3,1679580479304,4965.376297911208,-4948.076297911208
17.3,1679580538458,4959.814272623368,-4942.514272623368
17.27,1679580595314,4957.6982726558945,-4940.428272655894
17.25,1679580656212,4956.1689706005345,-4938.9189706005345
17.3,1679580717948,4964.473219203384,-4947.173219203384
17.33,1679580777339,4967.192965797666,-4949.862965797666
17.33,1679580834223,4968.994719652715,-4951.664719652715
17.33,1679580894255,4971.971871937994,-4954.641871937994
17.38,1679580951714,4971.654924234327,-4954.274924234327
17.42,1679581009786,4969.374637302743,-4951.954637302743
17.4,1679581067835,4967.841761463189,-4950.441761463189
17.39,1679581138812,4963.8682521402525,-4946.478252140252
17.39,1679581204291,4959.183331570973,-4941.793331570972
17.36,1679581264027,4957.384361170783,-4940.024361170784
17.36,1679581331355,4957.842876776962,-4940.482876776962
17.33,1679581392352,4955.315333683922,-4937.985333683922
17.31,1679581453589,4953.69696902175,-4936.38696902175
17.31,1679581515179,4954.690331121053,-4937.380331121052
17.33,1679581576925,4955.465594215145,-4938.135594215145
17.32,1679581639024,4955.465529693128,-4938.145529693128
17.35,1679581701662,4953.898824112286,-4936.548824112286
17.35,1679581767720,4953.073949119814,-4935.723949119813
17.33,1679581834351,4947.388738997702,-4930.058738997702
17.32,1679581898228,4944.864981872516,-4927.5449818725165
17.31,1679581962428,4942.535747629429,-4925.225747629429
17.29,1679582033779,4945.626351382219,-4928.336351382219
17.28,1679582109729,4943.098649268466,-4925.818649268466
17.27,1679582180523,4945.437432585316,-4928.1674325853155
17.28,1679582259167,4948.08039992826,-4930.80039992826
17.28,1679582328744,4949.297495458949,-4932.017495458949
17.31,1679582398758,4949.914977931352,-4932.604977931352
17.32,1679582482443,4954.608063348715,-4937.288063348716
17.32,1679582553048,4957.522852317511,-4940.202852317511
17.31,1679582627558,4961.503692159643,-4944.1936921596425
17.32,1679582699378,4962.154766516333,-4944.834766516334
17.3,1679582781875,4963.620478188543,-4946.320478188542
17.38,1679582855774,4961.610199687691,-4944.230199687691
17.43,1679582930479,4958.914679254786,-4941.484679254786
17.44,1679583005499,4954.578308809745,-4937.1383088097455
17.43,1679583155362,4945.368795543883,-4927.938795543882
17.43,1679583230638,4943.247357204145,-4925.817357204145
17.43,1679583306159,4942.319523737368,-4924.889523737368
17.42,1679583385435,4939.6058289376715,-4922.185828937671
17.5,1679583560014,4915.591423674296,-4898.091423674296
17.53,1679583639435,4911.479923869977,-4893.949923869977
17.86,1679584727284,4863.406357785752,-4845.546357785753
17.8,1679584811178,4860.086716391229,-4842.286716391229
17.79,1679584898557,4854.61370679713,-4836.82370679713
17.75,1679584983238,4851.616733527759,-4833.866733527759
17.72,1679585068175,4850.292971569284,-4832.572971569284
17.68,1679585153443,4849.206399584915,-4831.5263995849145
17.7,1679585259094,4842.139490395022,-4824.439490395022
17.7,1679585345656,4842.409381390203,-4824.709381390203
17.68,1679585453475,4828.392516262069,-4810.712516262069
17.73,1679585554125,4818.327471786696,-4800.597471786697
17.73,1679585646069,4817.888066043969,-4800.1580660439695
17.72,1679585738236,4818.592159822442,-4800.872159822442
17.74,1679585840937,4824.820979133511,-4807.080979133511
17.74,1679585935152,4823.776612946447,-4806.036612946447
17.72,1679586036469,4827.929179241902,-4810.209179241901
17.72,1679586132782,4825.579707086281,-4807.859707086281
17.7,1679586228971,4825.1828899933025,-4807.482889993303
17.71,1679586325335,4827.36445596199,-4809.65445596199
17.69,1679586432425,4825.714832908655,-4808.024832908655
17.72,1679586530949,4826.412227491573,-4808.692227491572
17.72,1679586633055,4828.3598140457325,-4810.639814045732
17.74,1679586732556,4829.673067203649,-4811.933067203649
17.77,1679586843153,4826.029206007041,-4808.25920600704
17.77,1679586963438,4826.6987124522575,-4808.928712452257
17.77,1679587069365,4829.677970689115,-4811.907970689114
17.75,1679587176299,4836.688161519782,-4818.938161519782
17.7,1679587287852,4832.628573248573,-4814.928573248573
17.74,1679587393434,4829.383484753664,-4811.643484753664
17.71,1679587502955,4821.791998118284,-4804.081998118284
17.7,1679587610234,4823.160853930401,-4805.460853930401
17.78,1679587717504,4824.802501985076,-4807.022501985076
17.77,1679587832139,4825.752759868586,-4807.982759868585
17.73,1679587944561,4828.886088371185,-4811.156088371185
17.74,1679588054394,4829.980686749084,-4812.2406867490845
17.73,1679588164306,4827.748873807458,-4810.0188738074585
17.71,1679588274747,4825.640282286718,-4807.930282286718
17.74,1679588385492,4826.134829965286,-4808.394829965287
17.66,1679588499900,4821.451903257996,-4803.791903257996
17.64,1679588611748,4821.93715831858,-4804.29715831858
17.64,1679588727443,4821.407419374126,-4803.767419374126
17.64,1679588840735,4819.6160360833555,-4801.976036083355
17.62,1679588958023,4821.8712914748985,-4804.251291474899
17.64,1679589072553,4821.729444436602,-4804.089444436601
17.65,1679589190722,4823.5920427905085,-4805.942042790509
17.65,1679589306601,4824.223079692328,-4806.573079692328
17.66,1679589422475,4826.161061158374,-4808.501061158374
17.64,1679589539073,4827.176319528564,-4809.536319528564
17.63,1679589659300,4826.112606115806,-4808.4826061158055
17.62,1679589780567,4825.638617824761,-4808.018617824761
17.61,1679589899362,4827.385008004881,-4809.775008004881
17.6,1679590021366,4826.651336578296,-4809.051336578295
17.61,1679590141005,4825.087117983998,-4807.477117983998
17.58,1679590267977,4824.342031747856,-4806.762031747856
17.58,1679590389361,4824.5455957021995,-4806.9655957022
17.59,1679590517972,4822.635732698788,-4805.045732698788
17.61,1679590645827,4822.4689292553685,-4804.858929255369
17.61,1679590771206,4823.31247791039,-4805.70247791039
17.62,1679590896998,4822.876970550619,-4805.256970550619
17.63,1679591024111,4820.846025241537,-4803.216025241537
17.68,1679591158501,4816.069588610838,-4798.389588610838
17.72,1679591285508,4813.93658269652,-4796.21658269652
17.69,1679591414750,4812.244592414003,-4794.554592414003
17.58,1679591544605,4807.824273685913,-4790.244273685913
17.54,1679591678912,4801.1172474398945,-4783.577247439895
17.56,1679591808659,4800.97792218303,-4783.41792218303
17.53,1679591938421,4797.9298445071945,-4780.399844507195
17.55,1679592072269,4796.204989395449,-4778.654989395449
17.56,1679592203274,4794.4973746665755,-4776.937374666575
17.58,1679592338324,4789.406033979863,-4771.8260339798635
17.52,1679592470628,4787.03280135726,-4769.512801357259
17.5,1679592606818,4788.679169179469,-4771.179169179469
17.53,1679592747810,4782.718969284989,-4765.188969284989
17.55,1679592882921,4782.457764386559,-4764.9077643865585
17.56,1679593021563,4782.92191527041,-4765.36191527041
17.56,1679593164680,4781.042638542801,-4763.4826385428005
17.58,1679593302278,4781.183166221402,-4763.603166221402
17.61,1679593443929,4784.232214945863,-4766.622214945864
17.63,1679593582810,4782.739997732532,-4765.109997732532
17.61,1679593722012,4785.173839648589,-4767.563839648589
17.6,1679593865286,4784.084955423496,-4766.484955423495
17.58,1679594009310,4782.267306716416,-4764.687306716416
17.55,1679594305145,4783.0411930426435,-4765.491193042643
17.54,1679594742417,4780.843128055605,-4763.303128055605
17.53,1679594903149,4772.655676477334,-4755.125676477334
17.53,1679595052832,4772.238910579199,-4754.708910579199
17.54,1679595202853,4771.069209370865,-4753.529209370865
17.58,1679595356993,4770.3062091661795,-4752.72620916618
17.56,1679595670864,4772.065981022808,-4754.505981022808
17.54,1679595828027,4773.102554629441,-4755.562554629441
17.51,1679595989653,4777.221001382466,-4759.711001382466
17.49,1679596145943,4776.488699129664,-4758.998699129665
17.49,1679596302514,4775.574126671219,-4758.08412667122
17.46,1679596463332,4776.69448424449,-4759.23448424449
17.46,1679596625214,4775.619208580885,-4758.159208580885
17.46,1679596784561,4776.6122109990265,-4759.1522109990265
17.56,1679596944422,4774.605126648493,-4757.045126648492
17.54,1679597104251,4771.699688430248,-4754.159688430248
17.63,1679597264494,4768.453180705239,-4750.823180705239
17.6,1679597425731,4767.843894389887,-4750.243894389887
17.44,1679597590464,4762.93284023556,-4745.492840235561
17.46,1679597756170,4758.935966982197,-4741.475966982197
17.39,1679597923133,4755.116790933742,-4737.7267909337415
17.38,1679598087270,4752.487475560421,-4735.107475560421
17.51,1679598252064,4750.924190317942,-4733.414190317942
17.43,1679598416829,4748.858977690954,-4731.428977690954
17.39,1679598589183,4749.809942182052,-4732.419942182051
17.42,1679598755897,4750.5318257158915,-4733.111825715891
17.42,1679598922816,4751.482856287488,-4734.062856287488
17.42,1679599090041,4751.793116628835,-4734.373116628835
17.42,1679599261438,4749.067820369934,-4731.647820369934
17.37,1679599458935,4749.939213581559,-4732.569213581559
17.39,1679599628078,4749.719132115459,-4732.329132115458
17.39,1679599831902,4752.119534669166,-4734.729534669165
17.39,1679600006637,4752.697718388223,-4735.307718388222
17.42,1679600178590,4751.258745049296,-4733.8387450492955
17.46,1679600350621,4751.259160496238,-4733.799160496238
17.48,1679600530275,4753.213368665353,-4735.733368665354
17.45,1679600704516,4751.592048331751,-4734.1420483317515
17.5,1679600879231,4752.685388805866,-4735.185388805866
17.53,1679601054270,4752.826223458002,-4735.296223458002
17.56,1679601229608,4752.567843525543,-4735.007843525543
17.56,1679601405697,4751.752700462709,-4734.192700462709
17.56,1679601759999,4748.777681916748,-4731.217681916748
17.52,1679601941275,4749.391353038814,-4731.871353038813
