mp,timeStamp,mean,skew
17.33,1680616795351,4389.411392645835,-4372.081392645835
17.33,1680616799049,4268.130593769103,-4250.800593769103
17.33,1680616801654,4186.7799136872345,-4169.449913687235
17.35,1680616804691,3879.734950706034,-3862.384950706034
17.34,1680616807109,3638.01821412844,-3620.67821412844
17.35,1680616810144,3417.254353846948,-3399.904353846948
17.35,1680616813096,3223.6359253040205,-3206.2859253040206
17.35,1680616816084,3070.9179895115653,-3053.5679895115654
17.35,1680616825105,2739.0530424285685,-2721.7030424285686
17.35,1680616828132,2757.7320125998694,-2740.3820125998695
17.35,1680616834155,2881.3104104692698,-2863.96041046927
17.35,1680616837629,2932.7154099262334,-2915.3654099262335
17.35,1680616840457,2975.3297110662625,-2957.9797110662626
17.35,1680616843204,3015.33766127659,-2997.98766127659
17.35,1680616846255,3132.5161359262524,-3115.1661359262525
17.35,1680616852184,3253.118925455651,-3235.7689254556512
17.35,1680616855294,3312.6626088097014,-3295.3126088097015
17.36,1680616861351,3415.1060973128383,-3397.746097312838
17.35,1680616867386,3424.3648468617625,-3407.0148468617626
17.37,1680616870457,3433.8215909105775,-3416.4515909105776
17.37,1680616876603,3447.06213195554,-3429.69213195554
17.37,1680616879381,3454.6969654502623,-3437.3269654502624
17.37,1680616882401,3460.4777179742596,-3443.1077179742597
17.38,1680616894563,3527.3546140963394,-3509.9746140963393
17.38,1680616898276,3542.6683152747137,-3525.2883152747136
17.38,1680616900699,3556.7729806471875,-3539.3929806471874
17.38,1680616903679,3570.2324599043554,-3552.8524599043553
17.37,1680616909642,3597.1612470877803,-3579.7912470877804
17.36,1680616931146,3642.675789801375,-3625.3157898013746
17.38,1680616939999,3670.7384850142666,-3653.3584850142665
17.37,1680616949117,3691.497930674851,-3674.127930674851
17.37,1680616952178,3704.3910653162598,-3687.02106531626
17.37,1680616955239,3716.54226252431,-3699.17226252431
17.37,1680616964413,3750.8490818875644,-3733.4790818875645
17.37,1680616967345,3761.172475078468,-3743.802475078468
17.37,1680616973811,3782.176224050807,-3764.806224050807
17.36,1680616985660,3817.8638137213675,-3800.5038137213674
17.36,1680616991854,3832.953414989335,-3815.593414989335
17.36,1680617000981,3866.274122676015,-3848.914122676015
17.36,1680617007053,3884.1828580004913,-3866.822858000491
17.36,1680617010110,3889.52982973194,-3872.16982973194
17.36,1680617013175,3894.73094607388,-3877.37094607388
17.36,1680617016146,3902.4485378992445,-3885.0885378992443
17.36,1680617019293,3909.554376153661,-3892.194376153661
17.36,1680617034619,3984.242804526036,-3966.8828045260357
17.36,1680617037607,4001.948484103363,-3984.588484103363
17.35,1680617046965,4047.882101331356,-4030.532101331356
17.36,1680617053128,4076.593043843458,-4059.233043843458
17.35,1680617059419,4100.140775818959,-4082.790775818959
17.36,1680617065893,4119.997875231804,-4102.637875231804
17.37,1680617084907,4141.859607957584,-4124.489607957584
17.38,1680617102106,4134.377042267219,-4116.997042267219
17.38,1680617109742,4131.546273720127,-4114.166273720127
17.39,1680617114717,4135.641821612715,-4118.251821612715
17.39,1680617119776,4139.947121796115,-4122.557121796115
17.39,1680617125063,4150.82864715006,-4133.438647150059
17.38,1680617130207,4157.984709908284,-4140.604709908283
17.38,1680617135374,4165.970417909899,-4148.590417909899
17.37,1680617150001,4172.270541233692,-4154.900541233692
17.38,1680617177830,4205.267700555008,-4187.8877005550075
17.39,1680617194130,4233.295074246878,-4215.905074246878
17.37,1680617214500,4244.883908301617,-4227.513908301617
17.38,1680617225858,4244.395164301973,-4227.015164301973
17.37,1680617234349,4241.771402592262,-4224.4014025922625
17.37,1680617242911,4238.71907440738,-4221.34907440738
17.38,1680617256135,4241.001614960997,-4223.621614960997
17.36,1680617274637,4249.606985927196,-4232.246985927196
17.37,1680617287524,4263.918176252483,-4246.548176252483
17.37,1680617297544,4268.91320396984,-4251.54320396984
17.37,1680617307630,4277.856027242755,-4260.486027242755
17.37,1680617321096,4283.714296659878,-4266.344296659878
17.36,1680617331638,4291.486275220113,-4274.126275220114
17.36,1680617342300,4299.155583990743,-4281.795583990744
17.37,1680617353066,4302.705363090566,-4285.335363090566
17.38,1680617365800,4305.453631178293,-4288.073631178293
17.38,1680617379914,4309.523299166542,-4292.1432991665415
17.38,1680617400732,4325.2699195701525,-4307.889919570152
17.37,1680617415991,4328.668966416599,-4311.298966416599
17.37,1680617435786,4332.092346869411,-4314.722346869411
17.37,1680617454824,4329.240073651001,-4311.870073651001
17.38,1680617484228,4336.742981724531,-4319.362981724531
17.38,1680617501221,4338.801825273821,-4321.421825273821
17.36,1680617515737,4344.444057775031,-4327.084057775031
17.37,1680617532673,4345.293028246399,-4327.9230282464
17.38,1680617547476,4345.669355482322,-4328.289355482322
17.38,1680617565725,4345.775870560239,-4328.395870560239
17.38,1680617581023,4346.827784531588,-4329.447784531588
17.39,1680617596524,4343.121139702179,-4325.731139702179
17.41,1680617612290,4336.046617747505,-4318.636617747505
17.41,1680617631412,4329.435704675782,-4312.025704675782
17.41,1680617647925,4325.92925889268,-4308.51925889268
17.41,1680617664306,4320.55796369734,-4303.14796369734
17.42,1680617687368,4298.426651818406,-4281.006651818406
17.42,1680617704737,4291.65483475447,-4274.23483475447
17.42,1680617732111,4270.437369702844,-4253.017369702844
17.42,1680617756914,4255.786340239395,-4238.366340239395
17.42,1680617775927,4254.797249608995,-4237.377249608995
17.43,1680617795226,4250.348543699519,-4232.9185436995185
17.43,1680617814752,4245.4978051811,-4228.0678051811
17.43,1680617834382,4240.525368358337,-4223.095368358337
17.43,1680617854141,4235.813970046911,-4218.383970046911
17.43,1680617874080,4232.683760547201,-4215.253760547201
17.42,1680617894328,4229.396651072671,-4211.976651072671
17.43,1680617914848,4225.749952607213,-4208.319952607213
17.43,1680617935481,4221.415647142287,-4203.985647142286
17.43,1680617956269,4221.023949980869,-4203.593949980868
17.42,1680617977315,4218.3185487684805,-4200.89854876848
17.41,1680617998541,4219.826574118272,-4202.416574118272
17.41,1680618020331,4221.397598572459,-4203.987598572459
17.4,1680618045267,4217.506559502884,-4200.106559502884
17.4,1680618067259,4212.085761599051,-4194.685761599051
17.4,1680618096011,4206.1757199529675,-4188.775719952968
17.39,1680618118844,4207.607815989965,-4190.217815989965
17.39,1680618141921,4205.348635436362,-4187.958635436362
17.38,1680618165348,4203.833679893652,-4186.4536798936515
17.38,1680618198859,4199.170626549226,-4181.790626549226
17.36,1680618230124,4195.661307041344,-4178.301307041344
17.35,1680618261241,4192.788196707609,-4175.438196707609
17.36,1680618289777,4185.224673712251,-4167.864673712252
17.36,1680618315597,4184.479022283426,-4167.119022283427
17.38,1680618344549,4183.344839229803,-4165.964839229803
17.4,1680618370876,4177.150937185733,-4159.750937185733
17.39,1680618397459,4174.215455917361,-4156.825455917361
17.37,1680618427505,4178.372506401249,-4161.002506401249
17.39,1680618457976,4181.071576535128,-4163.6815765351275
17.39,1680618495493,4163.617228313168,-4146.227228313168
17.41,1680618524166,4161.273296616248,-4143.863296616249
17.4,1680618553138,4163.919793783493,-4146.519793783494
17.41,1680618582428,4161.865430982422,-4144.4554309824225
17.41,1680618612041,4159.004916990567,-4141.594916990567
17.42,1680618641873,4157.119647348874,-4139.699647348874
17.42,1680618672355,4156.786495866696,-4139.366495866696
17.42,1680618702925,4159.482086326836,-4142.062086326836
17.43,1680618733550,4160.5647708033075,-4143.134770803307
17.44,1680618764385,4156.454216638173,-4139.014216638174
17.45,1680618802313,4144.205458076465,-4126.755458076465
17.44,1680618834378,4139.934955300519,-4122.494955300519
17.44,1680618880297,4116.97150173362,-4099.531501733621
17.44,1680618914445,4114.598485296861,-4097.158485296862
17.44,1680618948946,4111.627121786311,-4094.1871217863113
17.44,1680618983784,4109.025124672889,-4091.5851246728894
17.45,1680619027873,4104.297511136766,-4086.847511136766
17.46,1680619063420,4102.268619390097,-4084.808619390097
