mp,timeStamp,mean,skew
17.91,1676389032673,2475.934881069184,-2458.024881069184
17.91,1676389038635,2320.566471709957,-2302.6564717099573
17.92,1676389045159,2665.7983984176367,-2647.8783984176366
17.91,1676389047765,2765.6457811087375,-2747.7357811087377
17.9,1676389056647,3008.0123827015777,-2990.1123827015776
17.88,1676389068736,3293.8416037013876,-3275.9616037013875
17.88,1676389071958,3324.8008608847144,-3306.9208608847143
17.9,1676389074799,3336.4572939221375,-3318.5572939221374
17.89,1676389077797,3354.473403460323,-3336.583403460323
17.88,1676389083863,3320.5813759063876,-3302.7013759063875
17.89,1676389089966,3257.4773425969047,-3239.587342596905
17.9,1676389093164,3262.1531005985416,-3244.2531005985416
17.91,1676389096092,3245.738827627209,-3227.828827627209
17.9,1676389099043,3222.741097783988,-3204.841097783988
17.9,1676389102027,3229.814939997304,-3211.914939997304
17.9,1676389105385,3230.1463549442215,-3212.2463549442214
17.88,1676389120211,3203.2175230473813,-3185.337523047381
17.88,1676389123264,3234.9042046945196,-3217.0242046945195
17.87,1676389126299,3261.493845971245,-3243.623845971245
17.86,1676389129387,3289.4328675273646,-3271.5728675273645
17.87,1676389135450,3343.1187883934535,-3325.2487883934537
17.88,1676389138443,3362.631175205622,-3344.751175205622
17.87,1676389141475,3378.519871945181,-3360.649871945181
17.86,1676389144489,3381.383532202354,-3363.523532202354
17.86,1676389151137,3390.4987024971056,-3372.6387024971054
17.86,1676389156661,3404.3476787667064,-3386.4876787667063
17.86,1676389159734,3408.923245308652,-3391.063245308652
17.86,1676389165831,3417.1220723637034,-3399.2620723637033
17.85,1676389178148,3444.7006993701707,-3426.850699370171
17.85,1676389181257,3446.4211820484165,-3428.5711820484166
17.85,1676389184171,3447.4222680922594,-3429.5722680922595
17.85,1676389190419,3448.1682435835232,-3430.3182435835233
17.84,1676389196423,3472.3803647722443,-3454.540364772244
17.84,1676389199641,3484.170894930405,-3466.330894930405
17.84,1676389233416,3521.7600686725864,-3503.9200686725862
17.84,1676389335263,3492.525902173739,-3474.6859021737387
17.85,1676389341045,3482.406154169762,-3464.556154169762
17.86,1676389347084,3474.9750553223967,-3457.1150553223965
17.88,1676389353054,3471.3294688584324,-3453.4494688584323
17.87,1676389359633,3476.2301244879122,-3458.3601244879123
17.86,1676389365815,3476.6066405869337,-3458.7466405869336
17.87,1676389372127,3490.226581181483,-3472.3565811814833
17.88,1676389378565,3505.341561566945,-3487.461561566945
17.86,1676389388182,3506.5292680155194,-3488.6692680155193
17.87,1676389401123,3498.8663407356507,-3480.996340735651
17.87,1676389408066,3493.4658939646174,-3475.5958939646175
17.89,1676389415107,3506.3211740374136,-3488.4311740374137
17.89,1676389422544,3516.0431028827156,-3498.1531028827158
17.89,1676389429980,3537.5797437518377,-3519.689743751838
17.89,1676389437699,3559.1520276482565,-3541.2620276482567
17.9,1676389445657,3567.84362759472,-3549.94362759472
17.9,1676389453602,3567.7299500271497,-3549.8299500271496
17.9,1676389461802,3570.660685058674,-3552.760685058674
17.9,1676389470107,3572.5788191227675,-3554.6788191227674
17.9,1676389478410,3573.446959842735,-3555.546959842735
17.92,1676389487007,3592.2577810069315,-3574.3377810069314
17.92,1676389495666,3611.2421248988667,-3593.3221248988666
17.93,1676389504492,3635.0343020292694,-3617.1043020292695
17.93,1676389513458,3638.877692992375,-3620.9476929923753
17.89,1676389523606,3655.520779428963,-3637.6307794289633
17.9,1676389532706,3662.7496759460973,-3644.8496759460972
17.89,1676389541896,3682.557821613276,-3664.667821613276
17.89,1676389551422,3709.4933600642044,-3691.6033600642045
17.88,1676389560988,3726.4976592159705,-3708.6176592159704
17.87,1676389572005,3757.8570205915194,-3739.9870205915195
17.86,1676389581867,3757.8248628089154,-3739.9648628089153
17.87,1676389592358,3762.0554460746557,-3744.185446074656
17.89,1676389602789,3789.410032711706,-3771.5200327117063
17.88,1676389613303,3805.10049633636,-3787.2204963363597
17.9,1676389624113,3827.2087820919855,-3809.3087820919854
17.9,1676389634953,3832.526608483106,-3814.626608483106
17.89,1676389645958,3847.300526547376,-3829.4105265473763
17.89,1676389657053,3860.623395745155,-3842.733395745155
17.9,1676389668459,3864.157006211056,-3846.257006211056
17.92,1676389680061,3878.926585379139,-3861.006585379139
17.94,1676389691770,3888.237351934816,-3870.297351934816
17.95,1676389703623,3899.5356965512597,-3881.58569655126
17.97,1676389715624,3895.791470506329,-3877.821470506329
17.97,1676389727874,3894.4454108853406,-3876.475410885341
17.96,1676389740350,3891.8172877623747,-3873.8572877623747
17.97,1676389753003,3895.596298715945,-3877.6262987159453
17.99,1676389765689,3891.360872743557,-3873.3708727435574
18.01,1676389791769,3891.1277903981713,-3873.117790398171
18,1676389818293,3894.9388979618593,-3876.9388979618593
17.99,1676389845361,3905.274224613483,-3887.2842246134833
17.98,1676389859195,3910.106213986023,-3892.126213986023
17.99,1676389873182,3921.38956133061,-3903.39956133061
17.97,1676389887486,3931.954246742432,-3913.9842467424323
17.97,1676389901929,3951.6561796571664,-3933.6861796571666
17.96,1676389916434,3955.033339327053,-3937.073339327053
17.97,1676389940878,3977.4316980963604,-3959.4616980963606
17.96,1676389956358,3987.7676083503925,-3969.8076083503925
17.97,1676389972115,3989.6805435079095,-3971.7105435079097
17.96,1676389988561,3991.111534561279,-3973.151534561279
17.95,1676390007923,4005.419280553548,-3987.4692805535483
17.94,1676390030901,4029.2466497511036,-4011.3066497511036
17.95,1676390048006,4039.448631445437,-4021.4986314454372
17.94,1676390065382,4051.4876655757535,-4033.5476655757534
17.92,1676390086170,4046.669823405261,-4028.749823405261
17.93,1676390103895,4047.696028269679,-4029.7660282696793
17.95,1676390121828,4058.9844190372933,-4041.0344190372934
17.93,1676390139967,4068.593916587858,-4050.6639165878582
17.96,1676390158249,4079.2736680676994,-4061.3136680676994
17.97,1676390176729,4094.9725813814416,-4077.002581381442
17.99,1676390195365,4102.825836159818,-4084.8358361598184
17.98,1676390214313,4111.620102638623,-4093.6401026386234
17.99,1676390233628,4116.487374070586,-4098.497374070586
18,1676390253384,4116.729900106736,-4098.729900106736
17.99,1676390273113,4116.7184610841605,-4098.728461084161
17.99,1676390293114,4115.828204566673,-4097.838204566673
17.99,1676390313318,4115.701495687189,-4097.711495687189
17.99,1676390333893,4115.310431076822,-4097.320431076822
18.01,1676390354520,4125.057399849625,-4107.0473998496245
17.99,1676390375433,4124.17989338211,-4106.18989338211
18.02,1676390396658,4126.300933668725,-4108.280933668724
18.02,1676390418038,4136.471988308236,-4118.451988308236
18.03,1676390439688,4132.6253176736245,-4114.595317673625
18.04,1676390461682,4132.319319827613,-4114.279319827613
18.07,1676390529223,4155.91978485425,-4137.84978485425
18.05,1676390554379,4160.7812291642895,-4142.731229164289
18.06,1676390577304,4161.7988795886495,-4143.738879588649
18.05,1676390600558,4170.066205481175,-4152.016205481174
18.05,1676390624007,4178.221663164213,-4160.171663164213
18.07,1676390647550,4187.4784197929475,-4169.408419792948
18.07,1676390698447,4204.45151385379,-4186.38151385379
18.05,1676390726008,4223.540212112637,-4205.490212112637
18.04,1676390754001,4239.687152444396,-4221.647152444396
18.03,1676390782319,4259.184102568938,-4241.1541025689385
18.02,1676390807963,4258.766129225604,-4240.746129225604
18.01,1676390837167,4260.585689541485,-4242.575689541485
