mp,timeStamp,mean,skew
12.75,1673378784639,3063.114453269532,-3050.364453269532
12.75,1673378787607,3047.4445105231916,-3034.6945105231916
12.77,1673378799699,2976.925808165451,-2964.155808165451
12.77,1673378802605,2960.1360062023928,-2947.366006202393
12.77,1673378805787,2943.485309195874,-2930.715309195874
12.77,1673378814765,2903.736824022544,-2890.966824022544
12.77,1673378817791,2891.5464135953457,-2878.7764135953457
12.77,1673378820917,2880.3706176203427,-2867.6006176203427
12.77,1673378824000,2871.1404902350487,-2858.3704902350487
12.77,1673378826894,2862.588997322281,-2849.818997322281
12.77,1673378830261,2854.0418382704406,-2841.2718382704406
12.77,1673378833341,2845.8741835945884,-2833.1041835945884
12.77,1673378836152,2837.8257075196934,-2825.0557075196934
12.77,1673378839154,2830.7165395802517,-2817.9465395802517
12.77,1673378842185,2823.6919735864526,-2810.9219735864526
12.77,1673378845300,2817.119197238288,-2804.349197238288
12.78,1673378848293,2809.587804383779,-2796.8078043837786
12.78,1673378851230,2810.2716344004625,-2797.4916344004623
12.78,1673378854339,2811.3711193585204,-2798.5911193585202
12.78,1673378857473,2809.5915313818196,-2796.8115313818193
12.78,1673378860345,2809.215643053097,-2796.435643053097
12.78,1673378863469,2808.8838813758607,-2796.1038813758605
12.78,1673378866563,2808.56943965546,-2795.78943965546
12.78,1673378869522,2809.3120846704896,-2796.5320846704894
12.78,1673378872675,2809.7438892593154,-2796.9638892593152
12.78,1673378876087,2810.854121837496,-2798.074121837496
12.78,1673378878789,2811.6354861154337,-2798.8554861154335
12.79,1673378881821,2808.321160192504,-2795.531160192504
12.79,1673378884901,2798.336116596579,-2785.546116596579
12.79,1673378887974,2789.2212899471056,-2776.4312899471056
12.78,1673378894421,2785.6316112131094,-2772.851611213109
12.78,1673378897196,2784.092257246561,-2771.312257246561
12.78,1673378900427,2782.719532055324,-2769.939532055324
12.78,1673378903270,2781.707075219064,-2768.9270752190637
12.78,1673378906433,2780.612655825289,-2767.832655825289
12.78,1673378909335,2779.4362119285634,-2766.656211928563
12.78,1673378912487,2780.228106570956,-2767.4481065709556
12.78,1673378915498,2780.633484080584,-2767.8534840805837
12.78,1673378918676,2781.0244572207603,-2768.24445722076
12.78,1673378921696,2781.401762819747,-2768.621762819747
12.78,1673378925058,2781.6297384609,-2768.8497384609
12.79,1673378931038,2781.6153487549204,-2768.8253487549205
12.78,1673378937557,2781.34055479554,-2768.5605547955397
12.79,1673378940844,2780.2366805565716,-2767.4466805565717
12.79,1673378944307,2778.896143798337,-2766.106143798337
12.78,1673378951862,2776.5129243897954,-2763.7329243897952
12.78,1673378961647,2777.4825628378035,-2764.7025628378033
12.79,1673378968510,2783.1624234664446,-2770.3724234664446
12.79,1673378972471,2782.4240299136377,-2769.6340299136377
12.79,1673378985945,2778.94533403389,-2766.15533403389
12.78,1673378993540,2778.032795068711,-2765.252795068711
12.79,1673379004592,2778.7169737835256,-2765.9269737835257
12.79,1673379009874,2778.0504105992322,-2765.2604105992323
12.79,1673379021491,2775.1094401060473,-2762.3194401060473
12.79,1673379030790,2773.058890758176,-2760.268890758176
12.79,1673379036892,2772.065531601473,-2759.275531601473
12.79,1673379043079,2771.3617035093152,-2758.5717035093153
12.79,1673379049288,2770.6753569644,-2757.8853569644
12.79,1673379055799,2769.936291662147,-2757.146291662147
12.78,1673379065530,2774.334116006951,-2761.5541160069506
12.78,1673379072208,2776.3659084409464,-2763.5859084409462
12.78,1673379079123,2779.2841002713653,-2766.504100271365
12.79,1673379089210,2781.7237564383486,-2768.9337564383486
12.79,1673379096533,2780.962048877875,-2768.172048877875
12.8,1673379104009,2782.213059681016,-2769.413059681016
12.79,1673379111509,2781.710821885496,-2768.920821885496
12.79,1673379119266,2785.085507533128,-2772.295507533128
12.79,1673379127072,2788.4384764646707,-2775.6484764646707
12.79,1673379135023,2786.6391926014153,-2773.8491926014153
12.79,1673379143242,2785.1990146519674,-2772.4090146519675
12.79,1673379154758,2782.4180470123124,-2769.6280470123124
12.79,1673379163309,2780.670432361787,-2767.880432361787
12.79,1673379172213,2778.9401528356993,-2766.1501528356994
12.78,1673379200292,2789.629111787647,-2776.849111787647
12.78,1673379213630,2793.4303822131933,-2780.650382213193
12.78,1673379224603,2796.339314150799,-2783.559314150799
12.79,1673379241758,2796.6655121550125,-2783.8755121550125
12.79,1673379256283,2796.301928749263,-2783.511928749263
12.79,1673379267847,2796.288273225709,-2783.498273225709
12.79,1673379279709,2796.828516630551,-2784.038516630551
12.78,1673379294765,2800.6733278571514,-2787.8933278571512
12.78,1673379306947,2801.8798444461836,-2789.0998444461834
12.78,1673379319303,2803.213757614647,-2790.4337576146468
12.79,1673379331834,2803.9034554831587,-2791.1134554831588
12.79,1673379344764,2804.6911233556475,-2791.9011233556475
12.79,1673379362406,2805.822834311403,-2793.032834311403
12.78,1673379379277,2807.8305777336864,-2795.050577733686
12.79,1673379392876,2808.92704906989,-2796.13704906989
12.79,1673379408355,2810.3525324241446,-2797.5625324241446
12.8,1673379422403,2812.8868830111337,-2800.0868830111335
12.8,1673379436417,2815.7290794679707,-2802.9290794679705
12.8,1673379450587,2815.3747965174884,-2802.5747965174883
12.81,1673379465016,2815.6656498983343,-2802.8556498983344
12.81,1673379479756,2815.9667880576985,-2803.1567880576986
12.81,1673379494719,2816.863295310814,-2804.053295310814
12.8,1673379509916,2816.861197920423,-2804.0611979204227
12.81,1673379525233,2817.6377994605086,-2804.8277994605087
12.81,1673379540694,2817.331887934683,-2804.521887934683
12.8,1673379556591,2818.277528923932,-2805.477528923932
12.79,1673379572599,2818.994090515911,-2806.204090515911
12.79,1673379591819,2824.4499725769865,-2811.6599725769865
12.79,1673379608742,2827.115944468422,-2814.325944468422
12.79,1673379625477,2829.256254170205,-2816.466254170205
12.79,1673379642376,2830.535259663645,-2817.745259663645
12.8,1673379659526,2831.5072367329844,-2818.7072367329843
12.8,1673379680233,2833.468342636179,-2820.6683426361787
12.79,1673379698159,2835.6644457838456,-2822.8744457838457
12.79,1673379729295,2846.064613489769,-2833.274613489769
12.78,1673379748710,2847.4307972553047,-2834.6507972553045
12.78,1673379781447,2848.973659460519,-2836.1936594605186
12.78,1673379802711,2849.2296715919138,-2836.4496715919136
12.79,1673379823811,2849.4900155950377,-2836.7000155950377
12.78,1673379845327,2849.3716107686946,-2836.5916107686944
12.79,1673379866852,2850.0101534737455,-2837.2201534737455
12.79,1673379888748,2850.0731850790553,-2837.2831850790553
12.78,1673379910829,2850.2891251768774,-2837.509125176877
12.78,1673379936383,2846.878760911487,-2834.098760911487
12.77,1673379959197,2847.1785325399446,-2834.4085325399446
12.78,1673379982324,2847.1906597453617,-2834.4106597453615
12.78,1673380025503,2844.262262339172,-2831.482262339172
12.78,1673380050868,2844.0208431805936,-2831.2408431805934
12.79,1673380076408,2843.680766912887,-2830.890766912887
12.79,1673380102063,2843.2345354012446,-2830.4445354012446
12.8,1673380131328,2840.6208243173674,-2827.820824317367
12.8,1673380157849,2842.227748752795,-2829.4277487527947
12.81,1673380189118,2843.826155202846,-2831.016155202846
12.81,1673380216295,2843.3643109802397,-2830.5543109802397
12.81,1673380243762,2840.6750624018337,-2827.8650624018337
12.81,1673380271667,2837.752579995842,-2824.942579995842
12.81,1673380299909,2834.8405264079524,-2822.0305264079525
12.81,1673380328676,2832.081482478861,-2819.271482478861
12.8,1673380357504,2832.45161729476,-2819.65161729476
12.81,1673380386611,2832.2968329082246,-2819.4868329082246
12.8,1673380422675,2833.3336577347645,-2820.5336577347643
12.81,1673380453282,2834.5547935829527,-2821.7447935829528
12.81,1673380487352,2833.75856994483,-2820.94856994483
12.8,1673380518686,2833.2787138553476,-2820.4787138553475
12.81,1673380550593,2831.7802949344596,-2818.9702949344596
12.82,1673380582733,2831.313598552252,-2818.493598552252
12.81,1673380615314,2832.3086951947303,-2819.4986951947303
12.79,1673380652279,2835.9090940345654,-2823.1190940345655
12.79,1673380689108,2836.436143733763,-2823.646143733763
12.79,1673380722945,2836.72463312841,-2823.93463312841
12.81,1673380760576,2838.631687493782,-2825.821687493782
12.78,1673380812262,2841.6953065269936,-2828.9153065269934
12.81,1673380849204,2841.7036885160223,-2828.8936885160224
12.79,1673380889850,2842.312199866463,-2829.522199866463
12.79,1673380937919,2843.4194417205754,-2830.6294417205754
12.77,1673380985723,2844.571679279105,-2831.801679279105
12.77,1673381031883,2844.451079049858,-2831.681079049858
12.77,1673381072358,2844.6329742312455,-2831.8629742312455
12.78,1673381126566,2847.41927362505,-2834.63927362505
12.78,1673381172298,2847.3558100361997,-2834.5758100361995
12.76,1673381215295,2845.7648926449365,-2833.0048926449363
12.72,1673381258592,2849.386525978555,-2836.666525978555
12.73,1673381308060,2848.267223891211,-2835.537223891211
12.75,1673381359014,2847.4278095766263,-2834.6778095766263
12.77,1673381411072,2846.961542442209,-2834.191542442209
12.78,1673381481116,2842.220861886245,-2829.440861886245
12.78,1673381530344,2841.072104174801,-2828.292104174801
12.78,1673381579957,2841.2180135156027,-2828.4380135156025
12.77,1673381629966,2841.065909429119,-2828.295909429119
12.78,1673381680243,2841.366139289285,-2828.586139289285
12.78,1673381730567,2840.1682408683428,-2827.3882408683426
12.78,1673381794943,2833.384963554609,-2820.6049635546087
12.78,1673381847555,2832.097342819479,-2819.3173428194787
12.8,1673381900581,2832.253072029779,-2819.453072029779
12.79,1673381953806,2832.241570772955,-2819.451570772955
12.79,1673382007503,2833.441173469714,-2820.651173469714
12.8,1673382061527,2832.358649354593,-2819.558649354593
12.8,1673382123170,2831.4391473835576,-2818.6391473835574
12.79,1673382177956,2832.157965133236,-2819.367965133236
12.79,1673382233306,2833.0380275988114,-2820.2480275988114
12.79,1673382289456,2832.8815777577147,-2820.0915777577147
12.79,1673382345597,2832.8631691066503,-2820.0731691066503
12.77,1673382405569,2830.9295490705613,-2818.1595490705613
12.77,1673382463021,2830.156835709095,-2817.386835709095
12.78,1673382527691,2825.9762984520326,-2813.1962984520324
12.77,1673382593790,2825.314906597612,-2812.544906597612
12.76,1673382664564,2826.7134441981234,-2813.953444198123
12.78,1673382726998,2827.503886369069,-2814.7238863690686
12.77,1673382793295,2828.7320733859056,-2815.9620733859056
12.74,1673382856752,2827.4720439989833,-2814.7320439989835
12.75,1673382927673,2826.83008235545,-2814.08008235545
12.75,1673383001849,2827.0878408636518,-2814.3378408636518
12.74,1673383071073,2823.8699645756974,-2811.1299645756976
12.74,1673383141202,2825.6873582668527,-2812.947358266853
12.75,1673383215470,2821.2218090195197,-2808.4718090195197
12.75,1673383291442,2820.319695742178,-2807.569695742178
12.75,1673383364903,2820.1669257264716,-2807.4169257264716
12.76,1673383435644,2820.0052555073044,-2807.245255507304
12.76,1673383507183,2821.260822761408,-2808.5008227614076
12.77,1673383578656,2821.281897980452,-2808.511897980452
12.78,1673383650387,2821.256467352868,-2808.476467352868
12.78,1673383729408,2817.207725462635,-2804.427725462635
12.78,1673383812555,2815.9575379833914,-2803.177537983391
12.78,1673383886995,2814.636447664753,-2801.856447664753
12.79,1673383961625,2814.4404673708573,-2801.6504673708573
12.79,1673384036712,2814.710868890928,-2801.920868890928
12.8,1673384112274,2813.4107841172176,-2800.6107841172175
12.79,1673384188568,2813.18279160598,-2800.39279160598
12.8,1673384265073,2812.0098229438127,-2799.2098229438125
12.79,1673384342318,2811.87062039694,-2799.08062039694
12.78,1673384423436,2811.8279927580556,-2799.0479927580554
12.79,1673384501977,2811.7459596954645,-2798.9559596954646
12.77,1673384581090,2811.9405668231225,-2799.1705668231225
12.76,1673384660698,2812.363819828082,-2799.6038198280817
12.77,1673384740829,2811.204069034049,-2798.434069034049
12.75,1673384825041,2809.318589612166,-2796.568589612166
12.75,1673384906483,2807.5311368207767,-2794.7811368207767
12.75,1673384991991,2804.5081812804387,-2791.7581812804387
12.77,1673385074988,2804.6937721487593,-2791.9237721487593
12.75,1673385161929,2802.9929185096935,-2790.2429185096935
12.74,1673385246464,2802.618785430286,-2789.8787854302864
12.75,1673385338885,2800.529755982507,-2787.779755982507
12.74,1673385425327,2801.1634000372655,-2788.4234000372658
12.76,1673385519487,2805.9788831354235,-2793.2188831354233
12.75,1673385607849,2804.914570413802,-2792.164570413802
12.76,1673385696879,2805.805679807187,-2793.045679807187
12.76,1673385789864,2807.2571384232774,-2794.497138423277
12.76,1673385880352,2807.9512824122344,-2795.191282412234
12.75,1673385974845,2808.0046628661503,-2795.2546628661503
12.76,1673386077755,2808.552151144921,-2795.792151144921
12.76,1673386172108,2808.736462630999,-2795.976462630999
12.74,1673386266591,2808.7609373364976,-2796.020937336498
12.74,1673386365088,2808.7730208904704,-2796.0330208904707
12.77,1673386464457,2811.064365291565,-2798.294365291565
12.76,1673386576093,2810.945189839782,-2798.1851898397817
12.77,1673386676464,2810.7863581065417,-2798.0163581065417
12.76,1673386777869,2810.8725003958107,-2798.1125003958105
