time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1687913138707,13.11,64,1385043.62,12264534.17,310608,1687912828107,1687913138715,13.08

1687913381908,13.11,21,1380340.29,12264000.07,152299,1687913229615,1687913381914,13.07
1687913468466,13.10,29,1376054.16,12253363.48,244098,1687913242528,1687913486626,13.08
1687913468466,13.10,31,1376054.16,12253363.48,269946,1687913216680,1687913486626,13.08
1687913468466,13.10,73,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,74,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,75,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,76,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,77,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,78,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,28,1376054.16,12253363.48,227773,1687913258853,1687913486626,13.08
1687913468466,13.10,80,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,81,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,82,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,83,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,84,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,85,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,86,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,87,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,79,1376054.16,12253363.48,285372,1687913201254,1687913486626,13.08
1687913468466,13.10,89,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,88,1376054.16,12253363.48,285373,1687913201254,1687913486627,13.08
1687913468466,13.10,27,1376054.16,12253363.48,227773,1687913258853,1687913486626,13.08
1687913560388,13.14,43,1378838.55,12284685.46,394727,1687913185772,1687913580499,13.1
1687913560388,13.14,44,1378838.55,12284685.46,397682,1687913182817,1687913580499,13.1
1687913560388,13.14,45,1378838.55,12284685.46,398106,1687913182393,1687913580499,13.1
1687913560388,13.14,54,1378838.55,12284685.46,398106,1687913182393,1687913580499,13.1
1687913560388,13.14,55,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,56,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,57,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,64,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,65,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,66,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,67,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,69,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,70,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,71,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,72,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,73,1378838.55,12284685.46,588538,1687912991962,1687913580500,13.1
1687913560388,13.14,74,1378838.55,12284685.46,591887,1687912988613,1687913580500,13.1
1687913560388,13.14,75,1378838.55,12284685.46,594887,1687912985613,1687913580500,13.1
1687913560388,13.14,68,1378838.55,12284685.46,398107,1687913182393,1687913580500,13.1
1687913560388,13.14,77,1378838.55,12284685.46,603546,1687912976954,1687913580500,13.1
1687913560388,13.14,78,1378838.55,12284685.46,612978,1687912967522,1687913580500,13.1
1687913560388,13.14,79,1378838.55,12284685.46,616356,1687912964144,1687913580500,13.1
1687913560388,13.14,80,1378838.55,12284685.46,619327,1687912961173,1687913580500,13.1
1687913560388,13.14,81,1378838.55,12284685.46,619727,1687912960773,1687913580500,13.1
1687913560388,13.14,137,1378838.55,12284685.46,824388,1687912756112,1687913580500,13.1
1687913560388,13.14,138,1378838.55,12284685.46,828982,1687912751519,1687913580501,13.1
1687913560388,13.14,139,1378838.55,12284685.46,830151,1687912750350,1687913580501,13.1
1687913560388,13.14,140,1378838.55,12284685.46,833292,1687912747209,1687913580501,13.1
1687913560388,13.14,148,1378838.55,12284685.46,833292,1687912747209,1687913580501,13.1
1687913560388,13.14,149,1378838.55,12284685.46,862012,1687912718489,1687913580501,13.1
1687913560388,13.14,150,1378838.55,12284685.46,863784,1687912716717,1687913580501,13.1
1687913560388,13.14,151,1378838.55,12284685.46,868001,1687912712500,1687913580501,13.1
1687913560388,13.14,152,1378838.55,12284685.46,871021,1687912709480,1687913580501,13.1
1687913560388,13.14,153,1378838.55,12284685.46,871021,1687912709480,1687913580501,13.1
1687913560388,13.14,154,1378838.55,12284685.46,871021,1687912709480,1687913580501,13.1
1687913560388,13.14,155,1378838.55,12284685.46,871021,1687912709480,1687913580501,13.1
1687913560388,13.14,156,1378838.55,12284685.46,871021,1687912709480,1687913580501,13.1
