bc,ac,tbv,tav,time,mp,minBid
3201142.59,34052708.10,401970.76,313738.55,1678856408382,17.45,17.37
3198891.83,34040803.44,401842.13,313057.90,1678856411408,17.44,17.37
3196236.09,34045288.18,401691.51,313312.82,1678856414596,17.44,17.37
3200356.07,34044430.79,401926.98,313263.12,1678856417868,17.44,17.37
3196489.90,34046979.59,401704.28,313409.18,1678856420342,17.44,17.37
3198926.63,34046541.91,401844.08,313383.58,1678856423294,17.44,17.37
3196306.30,34044949.41,401684.82,313299.76,1678856426416,17.44,17.37
3193931.68,34045219.75,401548.86,313315.02,1678856429357,17.44,17.37
3195331.68,34044100.41,401629.15,313250.76,1678856432321,17.44,17.37
3200730.81,34045390.31,401938.63,313323.83,1678856435225,17.44,17.37
3197769.69,34045352.01,401768.83,313321.61,1678856438255,17.44,17.37
3197769.69,34045352.01,401768.83,313321.61,1678856441248,17.44,17.37
3189117.41,34045531.61,401273.59,313332.67,1678856444228,17.44,17.37
3196148.51,34046132.54,401677.63,313367.08,1678856447603,17.44,17.37
3199223.64,34042712.12,401853.41,313170.92,1678856450682,17.44,17.37
3192630.21,34045889.61,401474.92,313353.15,1678856453432,17.44,17.37
3197207.84,34045244.24,401738.05,313317.16,1678856456616,17.44,17.37
3195749.47,34041772.65,401654.35,313118.00,1678856459247,17.44,17.37
3191112.64,34042023.28,401355.43,313132.32,1678856462286,17.44,17.37
3194550.91,34045602.17,401551.16,313335.85,1678856465377,17.44,17.37
3203211.92,34049193.52,402047.32,313539.83,1678856468686,17.45,17.37
3200667.42,34052208.14,401901.40,313712.20,1678856471616,17.45,17.37
3202972.50,34048684.82,402033.25,313510.21,1678856474274,17.45,17.37
3203798.45,34045069.70,402078.55,313303.39,1678856477660,17.45,17.37
3200283.71,34045108.41,401874.59,313294.74,1678856480449,17.45,17.37
3198690.41,34047047.94,401783.77,313405.54,1678856483246,17.45,17.37
3200353.85,34047247.50,401878.58,313416.95,1678856486269,17.45,17.37
3198031.54,34042558.89,401745.59,313149.05,1678856489363,17.45,17.37
3192518.84,34038142.78,401427.57,312894.36,1678856492250,17.45,17.37
3202468.96,34048533.11,401998.63,313489.35,1678856495545,17.45,17.37
3196558.53,34051119.49,401659.77,313637.59,1678856498366,17.45,17.37
3190808.78,34046222.74,401329.12,313356.99,1678856501344,17.45,17.37
3189475.50,34047362.46,401252.50,313422.01,1678856504420,17.45,17.37
3189865.26,34047362.46,401272.50,313422.01,1678856507388,17.45,17.37
3194641.66,34046210.48,401546.85,313355.90,1678856510343,17.45,17.37
3194641.66,34044315.03,401546.85,313247.75,1678856513274,17.45,17.37
3200522.92,34047589.47,401836.85,313422.01,1678856516269,17.45,17.37
3200418.40,34047589.47,401830.60,313422.01,1678856519349,17.45,17.37
3194261.43,34044452.42,401477.80,313243.29,1678856522328,17.45,17.37
3200314.14,34043042.03,401824.21,313162.11,1678856525631,17.45,17.37
3200434.08,34044436.93,401830.77,313241.68,1678856528491,17.45,17.37
3200434.57,34039389.41,401830.77,312952.89,1678856531304,17.46,17.37
3200464.57,34039389.41,401832.49,312952.89,1678856534440,17.46,17.37
3210244.42,34034205.78,402392.63,312653.37,1678856537385,17.46,17.37
3217905.85,34030843.36,402831.46,312459.75,1678856540609,17.46,17.37
