time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1678857071887,17.51,138,3206594.20,34037896.20,624280,1678856459391,1678857083671,17.5
1678857296577,17.51,130,3239004.09,34028466.44,748912,1678856547668,1678857296580,17.51
1678857296577,17.51,129,3239004.09,34028466.44,748912,1678856547668,1678857296580,17.51
1678857296577,17.51,128,3239004.09,34028466.44,746191,1678856550389,1678857296580,17.51
1678880438636,16.78,4,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,5,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,6,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,3,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,8,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,9,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,10,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,11,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678880438636,16.78,12,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,13,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,14,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,15,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,2,3011820.13,33984815.55,167656,1678880438203,1678880605859,16.81
1678880438636,16.78,17,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,18,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,19,3011820.13,33984815.55,1187851,1678879418010,1678880605861,16.81
1678880438636,16.78,20,3011820.13,33984815.55,1187851,1678879418010,1678880605861,16.81
1678880438636,16.78,21,3011820.13,33984815.55,1187851,1678879418010,1678880605861,16.81
1678880438636,16.78,22,3011820.13,33984815.55,1187852,1678879418010,1678880605862,16.81
1678880438636,16.78,23,3011820.13,33984815.55,1187852,1678879418010,1678880605862,16.81
1678880438636,16.78,24,3011820.13,33984815.55,1187852,1678879418010,1678880605862,16.81
1678880438636,16.78,16,3011820.13,33984815.55,689099,1678879916762,1678880605861,16.81
1678880438636,16.78,7,3011820.13,33984815.55,337520,1678880268341,1678880605861,16.81
1678881478729,16.89,32,3087163.59,34015788.16,706252,1678880942297,1678881648549,16.96
