bc,ac,tbv,tav,time,mp,minBid
3091372.25,32971403.11,389118.48,349794.65,1680736011379,17.97,17.9
3091372.25,32971403.11,389118.49,349794.65,1680736014330,17.97,17.9
3091372.25,32971403.11,389118.49,349794.65,1680736017350,17.97,17.9
3094010.92,32975252.24,389265.71,350008.89,1680736020463,17.97,17.9
3094897.22,32952436.69,389316.35,348749.57,1680736023394,17.97,17.9
3094909.48,32974965.30,389317.01,349993.72,1680736026316,17.97,17.9
3094909.48,32971338.86,389317.01,349849.43,1680736029329,17.97,17.9
3093935.16,32975571.49,389262.74,350084.84,1680736032649,17.97,17.9
3094922.72,32975571.22,389317.81,350084.84,1680736035692,17.97,17.9
3094911.20,32975571.22,389317.36,350084.84,1680736038305,17.97,17.9
3094911.20,32980409.48,389317.36,350353.98,1680736041335,17.97,17.9
3093265.85,32980409.48,389223.79,350353.98,1680736044289,17.97,17.89
3094163.46,32979988.50,389273.80,350330.55,1680736047345,17.97,17.89
3093294.34,32975120.33,389225.00,350059.47,1680736050341,17.97,17.89
3093235.11,32982616.44,389221.70,350476.62,1680736053298,17.97,17.89
3094824.61,32982616.81,389310.21,350476.62,1680736056337,17.97,17.89
3092481.20,32971293.44,389181.37,349846.41,1680736059467,17.97,17.89
3092980.70,32978791.66,389209.24,350263.67,1680736062312,17.97,17.89
3091756.83,32978789.68,389140.94,350263.56,1680736065342,17.97,17.89
3092503.53,32983853.62,389182.89,350545.38,1680736068328,17.97,17.89
3092981.27,32984348.34,389209.55,350572.93,1680736071317,17.97,17.89
3092361.65,32984348.34,389175.05,350572.93,1680736074326,17.97,17.89
3092361.65,32984348.34,389175.05,350572.93,1680736077375,17.97,17.89
3092362.42,32980499.47,389175.05,350359.10,1680736080387,17.97,17.89
3091164.17,32981901.42,389097.93,350437.28,1680736083424,17.97,17.89
3091164.17,32980805.01,389097.93,350376.99,1680736086339,17.97,17.89
3095780.82,32975244.76,389354.84,350067.65,1680736089318,17.97,17.89
