mp,timeStamp,mean,skew
21.52,1675299829460,6067.690080313726,-6046.1700803137255
21.54,1675299835100,5943.354475915218,-5921.814475915218
21.56,1675299838014,6065.8032960061855,-6044.243296006185
21.57,1675299841069,5761.535820641016,-5739.965820641016
21.56,1675299847056,5371.407792998021,-5349.847792998021
21.56,1675299850095,5235.91619094076,-5214.35619094076
21.56,1675299853138,5126.838097749215,-5105.278097749215
21.56,1675299856122,5027.178134410107,-5005.618134410107
21.56,1675299862126,4984.6562655714215,-4963.096265571421
21.56,1675299865333,4986.9578887659045,-4965.397888765904
21.56,1675299868196,4992.613898045498,-4971.053898045498
21.54,1675299880215,5236.602179301942,-5215.062179301942
21.53,1675299883389,5367.2282817054,-5345.6982817054
21.52,1675299886268,5411.374670548879,-5389.854670548879
21.52,1675299889326,5446.367460936166,-5424.847460936166
21.52,1675299892341,5487.574322141643,-5466.054322141643
21.52,1675299898318,5538.509243226739,-5516.989243226739
21.53,1675299910500,5392.075102445714,-5370.545102445714
21.52,1675299913573,5384.305836896824,-5362.785836896824
21.52,1675299916688,5368.237206523831,-5346.717206523831
21.51,1675299919568,5356.23947122454,-5334.729471224539
21.5,1675299925739,5237.337707407922,-5215.837707407922
21.5,1675299928745,5252.990479096631,-5231.490479096631
21.5,1675299931625,5282.492833256222,-5260.992833256222
21.5,1675299934752,5313.020325919799,-5291.520325919799
21.49,1675299937640,5387.60563160091,-5366.11563160091
21.48,1675299940697,5452.0389151296495,-5430.55891512965
21.48,1675299943753,5480.684521185943,-5459.204521185943
21.49,1675299946914,5497.38204697799,-5475.8920469779905
21.46,1675300190308,5013.614777108923,-4992.154777108923
21.46,1675300330678,5020.529054781159,-4999.069054781159
21.47,1675300642077,5375.963881991237,-5354.493881991237
21.47,1675300661232,5380.4519218768055,-5358.981921876805
21.48,1675300677498,5407.791480623663,-5386.311480623664
21.46,1675300693821,5422.3805439890275,-5400.9205439890275
21.47,1675300710281,5440.049862334661,-5418.579862334661
