bc,ac,tbv,tav,time,mp,minBid
4113118.85,32692570.06,459328.72,272372.91,1676488294405,18.82,18.75
4118656.34,32692304.00,459622.14,272358.79,1676488297502,18.83,18.75
4116533.27,32694392.46,459506.81,272482.73,1676488300405,18.82,18.75
4110523.68,32693765.27,459179.11,272449.34,1676488303486,18.82,18.75
4110764.97,32693680.45,459191.87,272444.79,1676488306331,18.82,18.75
4104012.61,32700617.86,458836.37,272819.18,1676488309482,18.82,18.75
4101056.25,32702441.11,458678.47,272916.29,1676488312568,18.82,18.75
4095401.21,32701652.14,458378.97,272875.25,1676488315452,18.81,18.74
4103407.81,32691142.25,458802.12,272316.52,1676488318425,18.82,18.74
4103843.48,32716067.01,458825.57,273582.17,1676488321565,18.82,18.74
4099258.97,32718692.94,458617.68,273714.95,1676488324529,18.82,18.74
4100070.74,32719854.03,458657.58,273779.15,1676488327500,18.82,18.74
4100434.33,32716707.22,458677.13,273611.92,1676488330541,18.82,18.74
4189291.38,32805767.33,463432.35,278330.49,1676488333582,18.82,18.74
4203813.09,32802518.65,464140.94,278156.98,1676488336839,18.82,18.74
4197906.25,32806649.18,463827.32,278376.82,1676488339459,18.82,18.74
4200553.36,32802512.29,463966.67,278156.48,1676488342368,18.82,18.74
4199090.81,32803599.16,463889.00,278214.14,1676488345429,18.82,18.74
4199378.13,32799841.20,463879.56,278014.65,1676488349092,18.83,18.74
4197757.62,32797803.61,463795.84,277896.83,1676488351452,18.83,18.74
4194177.76,32804674.23,463604.80,278261.21,1676488354385,18.83,18.74
4189933.89,32805197.34,463377.62,278288.67,1676488357542,18.83,18.74
4192055.72,32809802.58,463492.08,278533.92,1676488360429,18.83,18.74
4194321.60,32804861.10,463612.67,278271.81,1676488363816,18.83,18.74
4195417.42,32799022.75,463670.54,277961.48,1676488366462,18.83,18.74
4197933.48,32802534.63,463804.03,278147.70,1676488369403,18.83,18.74
4198445.81,32783362.80,463823.93,277122.78,1676488372563,18.84,18.74
4194237.08,32802038.43,463600.32,278113.94,1676488375465,18.84,18.74
4200086.57,32800739.81,463896.75,278044.51,1676488378369,18.84,18.74
4202493.18,32809560.31,464025.28,278511.76,1676488381619,18.84,18.74
4190992.10,32809662.24,463412.31,278517.07,1676488384459,18.84,18.74
4207266.13,32800460.00,464278.83,278028.82,1676488387523,18.84,18.74
4208076.92,32790149.75,464320.82,277482.62,1676488390504,18.84,18.74
4208394.45,32799483.54,464334.99,277962.87,1676488393539,18.84,18.74
4213187.33,32806290.39,464589.77,278325.20,1676488396379,18.84,18.74
4210941.36,32807259.83,464470.27,278376.56,1676488399538,18.84,18.74
4196856.34,32805721.05,463721.72,278295.04,1676488402607,18.84,18.74
4210711.19,32794281.73,464457.40,277687.65,1676488405448,18.85,18.74
4209075.44,32794979.79,464314.87,277722.37,1676488408454,18.85,18.74
4211071.76,32803753.88,464421.08,278185.20,1676488411555,18.85,18.74
4204414.99,32804569.78,464065.04,278228.29,1676488414359,18.85,18.74
4209125.53,32801873.46,464316.63,278085.23,1676488417489,18.85,18.74
4195304.23,32806054.62,463581.36,278307.00,1676488420558,18.85,18.74
4192875.48,32806092.71,463451.66,278309.07,1676488423489,18.85,18.74
4204871.81,32806686.03,464090.96,278340.62,1676488426510,18.85,18.74
4200348.87,32798215.70,463851.80,277894.67,1676488429890,18.84,18.74
4202501.12,32801710.89,463963.37,278079.50,1676488432505,18.85,18.74
4193558.44,32781470.96,463482.01,276999.88,1676488435629,18.86,18.74
4200305.84,32515418.07,463840.32,262926.10,1676488438546,18.87,18.74
4203342.54,32798822.76,464000.07,277851.07,1676488441550,18.87,18.74
4203127.13,32807646.08,463946.54,278314.77,1676488444606,18.86,18.74
4205686.24,32805533.29,464078.31,278173.03,1676488447460,18.87,18.74
4209471.27,32801612.08,464273.75,277963.79,1676488450574,18.87,18.74
4206416.20,32780599.35,464089.38,276841.78,1676488453609,18.88,18.74
4217154.34,32792553.65,464429.97,277410.51,1676488456625,18.89,18.74
4152106.31,32600720.34,461367.43,267176.04,1676488459712,18.9,18.74
4175981.45,32765935.15,462639.30,275882.35,1676488462662,18.89,18.74
4176919.11,32772477.10,462686.32,276228.17,1676488465448,18.89,18.74
4182328.47,32770115.34,462977.54,276105.91,1676488468413,18.9,18.74
4188614.55,32765427.59,463309.41,275857.55,1676488471631,18.9,18.74
4179494.99,32781361.59,462799.67,276667.01,1676488474497,18.9,18.74
4169046.08,32782841.42,462246.31,276744.97,1676488477590,18.9,18.74
4162741.82,32784484.32,461921.08,276864.41,1676488480931,18.9,18.74
4155406.67,32773713.11,461536.51,276304.20,1676488483510,18.89,18.74
4171034.74,32764783.36,462363.13,275829.88,1676488486866,18.89,18.74
4192673.19,32809531.11,463083.03,278273.33,1676488489587,18.89,18.74
4197751.04,32800140.42,463352.93,277777.12,1676488492501,18.89,18.74
4197034.44,32789569.91,463321.40,277236.52,1676488495577,18.9,18.74
4197496.20,32792520.24,463346.47,277392.83,1676488498497,18.9,18.74
4194111.68,32784405.19,463155.94,276945.49,1676488501953,18.91,18.74
4186071.20,32793132.09,462726.73,277405.64,1676488504642,18.9,18.74
4174256.40,32781157.26,462106.51,276781.99,1676488507441,18.9,18.74
4188734.69,32797477.42,462868.95,277645.16,1676488510443,18.91,18.74
4198141.00,32788434.01,463360.10,277126.98,1676488513666,18.91,18.74
4200486.23,32781899.35,463481.01,276778.55,1676488516439,18.92,18.74
4177162.81,32690470.64,462202.62,271928.78,1676488519540,18.92,18.74
4157391.20,32684800.85,461584.83,271532.73,1676488522626,18.92,18.74
4148724.44,32686373.34,461131.41,271627.77,1676488525621,18.92,18.74
4141775.60,32681837.60,460757.70,271375.25,1676488528447,18.91,18.74
4130129.08,32692229.90,460143.90,271972.85,1676488531536,18.9,18.74
4141120.95,32693136.74,460724.28,272039.74,1676488534502,18.89,18.74
4144245.61,32680921.14,460869.84,271392.28,1676488537476,18.9,18.74
4021868.31,32609726.71,454373.39,267625.64,1676488540557,18.92,18.74
4179388.55,32669546.03,462715.33,270780.62,1676488543990,18.93,18.74
4175094.92,32692047.18,462488.69,271971.43,1676488546993,18.92,18.74
