bc,ac,tbv,tav,time,mp,minBid
3281714.42,9752392.57,509868.72,196250.08,1674056259661,17,16.93
3289068.67,9757206.19,510301.78,196532.96,1674056262463,17,16.92
3283152.99,9753436.67,509956.37,196319.36,1674056265516,16.99,16.92
3238163.91,9714202.36,507304.24,194037.30,1674056268902,16.98,16.91
3275210.48,9743795.84,509520.41,195730.85,1674056271911,16.99,16.91
3283023.82,9738512.73,509981.22,195419.94,1674056274615,16.99,16.91
3272537.22,9746339.29,509363.82,195881.37,1674056277435,16.98,16.91
3274779.22,9750954.82,509497.99,196154.01,1674056280527,16.98,16.91
3277624.92,9723847.52,509672.55,194577.57,1674056283642,16.97,16.9
3284745.65,9726958.80,510149.91,194762.48,1674056286527,16.97,16.9
3297911.81,9713609.04,510921.54,193973.69,1674056290008,16.98,16.9
3296429.13,9716302.83,510841.55,194128.66,1674056292534,16.98,16.9
3296654.79,9718476.01,510855.14,194283.02,1674056295925,16.99,16.9
3298482.21,9729324.83,510963.27,194922.15,1674056298476,16.98,16.9
3320678.38,9713208.81,512269.97,194148.91,1674056301461,16.99,16.9
3281414.78,9714726.13,509949.38,194238.32,1674056304613,16.99,16.9
3294800.48,9719166.53,510733.74,194493.97,1674056307706,16.98,16.9
3292807.47,9718548.12,510622.49,194459.07,1674056310679,16.98,16.9
3272100.82,9725042.63,509411.22,194842.71,1674056313477,16.97,16.9
3292456.36,9748503.73,510641.83,196226.25,1674056316604,16.97,16.9
3282881.93,9750023.71,510075.35,196315.53,1674056319490,16.97,16.9
3279667.78,9739520.55,509885.81,195698.77,1674056322537,16.97,16.9
3277934.89,9741840.45,509807.49,195858.97,1674056325586,16.95,16.88
3284429.33,9739759.18,510190.74,195744.53,1674056328491,16.96,16.88
3293969.82,9737605.70,510752.92,195616.25,1674056331502,16.96,16.88
3276094.83,9745691.12,509698.20,196093.52,1674056334599,16.95,16.88
3278276.64,9735897.25,509838.87,195522.25,1674056337496,16.95,16.87
3261221.70,9735763.26,508856.42,195519.10,1674056340994,16.94,16.87
3283358.65,9717941.98,510256.54,194479.76,1674056343516,16.94,16.87
3278390.95,9741542.32,509965.19,195865.38,1674056346623,16.93,16.86
3258431.02,9740949.05,508812.72,195835.01,1674056349680,16.92,16.85
3266103.10,9730445.76,509290.42,195219.95,1674056352641,16.92,16.85
3294061.22,9721268.03,510947.37,194774.73,1674056355517,16.93,16.85
3236643.75,9641322.22,507525.88,190065.59,1674056358520,16.94,16.85
3194222.31,9633983.65,505003.73,189636.27,1674056361658,16.94,16.85
3293657.92,9719084.20,510907.63,194430.66,1674056364523,16.94,16.85
3295940.41,9721397.09,511042.38,194567.20,1674056367901,16.94,16.85
3292441.35,9725927.59,510835.65,194834.58,1674056370519,16.94,16.85
3288353.66,9724946.29,510594.28,194776.90,1674056373958,16.94,16.85
3288356.07,9733172.09,510592.46,195261.36,1674056376594,16.95,16.85
3295517.61,9736847.58,511003.71,195477.55,1674056379508,16.95,16.85
3289973.13,9739492.43,510675.77,195633.31,1674056382558,16.95,16.85
3287874.51,9747228.96,510549.74,196089.46,1674056385591,16.95,16.85
3275896.12,9741128.00,509842.14,195733.59,1674056388701,16.95,16.85
3296967.61,9734228.18,511044.86,195327.04,1674056391662,16.95,16.85
3300210.72,9731304.76,511235.99,195153.76,1674056394544,16.95,16.85
3305181.13,9727996.63,511527.57,194958.43,1674056397562,16.95,16.85
3301501.55,9692477.07,511310.26,193796.31,1674056401060,16.95,16.85
3322567.36,9705464.60,512562.69,194551.74,1674056403754,16.95,16.85
3325498.31,9688650.75,512735.50,193559.86,1674056406717,16.95,16.85
3304910.12,9699610.74,511521.45,194208.73,1674056409731,16.95,16.85
3296834.77,9691768.43,511047.45,193749.49,1674056412597,16.95,16.85
3304464.88,9686100.14,511497.94,193415.06,1674056415541,16.95,16.85
3305205.08,9683827.87,511539.59,193232.45,1674056418714,16.96,16.85
3307372.58,9693763.38,511668.20,193818.09,1674056421553,16.95,16.85
3305808.81,9691190.46,511574.82,193718.15,1674056424569,16.95,16.85
3299410.19,9687191.90,511195.62,193482.19,1674056427689,16.96,16.85
3299329.67,9692944.32,511189.09,193867.84,1674056430654,16.96,16.85
3306269.72,9694464.43,511598.56,193957.28,1674056433636,16.96,16.85
3306465.19,9694750.08,511605.04,193977.28,1674056436590,16.96,16.85
3306617.71,9695390.28,511613.60,194014.40,1674056439534,16.96,16.85
3292016.18,9624149.03,510751.49,189824.11,1674056442669,16.95,16.85
3301792.06,9674794.90,511330.24,192805.15,1674056445621,16.95,16.85
3310980.20,9687262.71,511872.47,193538.57,1674056448675,16.95,16.85
3299903.76,9683265.29,511217.98,193321.42,1674056451583,16.95,16.85
3303035.09,9696536.68,511407.74,194100.95,1674056454805,16.95,16.85
3308659.16,9697434.93,511740.98,194154.13,1674056457736,16.95,16.85
3290424.89,9696811.72,510667.62,194132.48,1674056460679,16.94,16.85
3287307.43,9697591.04,510489.75,194168.53,1674056463619,16.93,16.85
