time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1674057113531,16.66,22,3149544.19,9654460.32,56347,1674057072502,1674057128849,16.67
1674057442408,16.21,3,2627098.25,9654327.80,37216,1674057423344,1674057460560,16.31
1674057442408,16.21,4,2627098.25,9654327.80,56092,1674057404468,1674057460560,16.31
1674057687431,16.38,4,2685375.72,9754200.33,43831,1674057663438,1674057707269,16.31
1674057802674,16.39,2,2694968.94,9735066.43,21366,1674057802234,1674057823600,16.32
1674057802674,16.39,27,2694968.94,9735066.43,48147,1674057775454,1674057823601,16.32
1674058098920,16.38,5,2683577.44,9649580.80,78424,1674058045303,1674058123727,16.3
1674058560475,16.17,2,2644645.74,9592411.59,917,1674058559559,1674058560476,16.18
1674058560475,16.17,80,2644645.74,9592411.59,919,1674058559559,1674058560478,16.18
1674058598611,16.28,78,3533210.69,9602498.46,193477,1674058434230,1674058627707,16.22
1674058993052,15.89,3,3421947.72,9187675.90,3539,1674058989517,1674058993056,15.9
1674059125967,16.00,10,3309604.29,9593219.52,97792,1674059060366,1674059158158,15.93
1674059125967,16.00,11,3309604.29,9593219.52,97792,1674059060366,1674059158158,15.93
1674059125967,16.00,39,3309604.29,9593219.52,97792,1674059060366,1674059158158,15.93
1674059125967,16.00,40,3309604.29,9593219.52,97793,1674059060366,1674059158159,15.93
1674059125967,16.00,5,3309604.29,9593219.52,130210,1674059027948,1674059158158,15.93
1674059125967,16.00,9,3309604.29,9593219.52,97792,1674059060366,1674059158158,15.93
1674059435284,15.88,2,3439938.42,9865863.80,34208,1674059434831,1674059469039,15.96
1674059469510,16.00,15,3444309.15,9829365.06,176250,1674059327152,1674059503402,15.99
1674059469510,16.00,16,3444309.15,9829365.06,176250,1674059327152,1674059503402,15.99
1674060887794,16.29,56,3601388.04,9712576.05,631097,1674060300454,1674060931551,15.88
1674060887794,16.29,63,3601388.04,9712576.05,631097,1674060300454,1674060931551,15.88
1674060931956,15.97,20,3645015.09,9767619.10,178897,1674060796947,1674060975844,15.9
1674060931956,15.97,21,3645015.09,9767619.10,628537,1674060347307,1674060975844,15.9
1674060931956,15.97,22,3645015.09,9767619.10,451622,1674060524222,1674060975844,15.9
1674060931956,15.97,23,3645015.09,9767619.10,451622,1674060524222,1674060975844,15.9
1674060931956,15.97,24,3645015.09,9767619.10,451622,1674060524222,1674060975844,15.9
1674060931956,15.97,72,3645015.09,9767619.10,718025,1674060257820,1674060975845,15.9
1674060931956,15.97,74,3645015.09,9767619.10,718025,1674060257820,1674060975845,15.9
1674060931956,15.97,75,3645015.09,9767619.10,718025,1674060257820,1674060975845,15.9
1674060931956,15.97,14,3645015.09,9767619.10,409980,1674060565864,1674060975844,15.9
1674060931956,15.97,15,3645015.09,9767619.10,451622,1674060524222,1674060975844,15.9
1674061122590,16.02,36,3426083.12,9188902.24,1037700,1674060129736,1674061167436,15.98
1674061122590,16.02,37,3426083.12,9188902.24,1037700,1674060129736,1674061167436,15.98
1674061122590,16.02,38,3426083.12,9188902.24,1038114,1674060129322,1674061167436,15.98
1674061122590,16.02,39,3426083.12,9188902.24,1038114,1674060129322,1674061167436,15.98
1674061122590,16.02,40,3426083.12,9188902.24,1038114,1674060129322,1674061167436,15.98
1674061122590,16.02,41,3426083.12,9188902.24,1038114,1674060129322,1674061167436,15.98
1674061122590,16.02,42,3426083.12,9188902.24,1038114,1674060129322,1674061167436,15.98
