time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1678950547841,15.80,670,3106740.90,34367370.56,24568145,1678926179758,1678950747903,15.82
1678951386918,15.83,2,3135415.05,34377018.06,202930,1678951386494,1678951589424,15.85
1678959995093,15.81,28,3130178.53,34355549.35,2715910,1678957279190,1678959995100,15.88
1678959995093,15.81,29,3130178.53,34355549.35,2947991,1678957047109,1678959995100,15.88
1678959995093,15.81,30,3130178.53,34355549.35,2715910,1678957279190,1678959995100,15.88
1678959995093,15.81,31,3130178.53,34355549.35,3182063,1678956813037,1678959995100,15.88
1678959995093,15.81,32,3130178.53,34355549.35,2483128,1678957511972,1678959995100,15.88
1678959995093,15.81,26,3130178.53,34355549.35,2250212,1678957744888,1678959995100,15.88
1678959995093,15.81,34,3130178.53,34355549.35,2483128,1678957511972,1678959995100,15.88
1678959995093,15.81,35,3130178.53,34355549.35,2483128,1678957511972,1678959995100,15.88
1678959995093,15.81,36,3130178.53,34355549.35,3424109,1678956570991,1678959995100,15.88
1678959995093,15.81,37,3130178.53,34355549.35,3650072,1678956345029,1678959995101,15.88
1678959995093,15.81,38,3130178.53,34355549.35,3424110,1678956570991,1678959995101,15.88
1678959995093,15.81,39,3130178.53,34355549.35,3882006,1678956113095,1678959995101,15.88
1678959995093,15.81,40,3130178.53,34355549.35,3882435,1678956112666,1678959995101,15.88
1678959995093,15.81,41,3130178.53,34355549.35,3417703,1678956577398,1678959995101,15.88
1678959995093,15.81,42,3130178.53,34355549.35,3417703,1678956577398,1678959995101,15.88
1678959995093,15.81,43,3130178.53,34355549.35,4332007,1678955663094,1678959995101,15.88
1678959995093,15.81,44,3130178.53,34355549.35,4554203,1678955440898,1678959995101,15.88
1678959995093,15.81,45,3130178.53,34355549.35,4332007,1678955663094,1678959995101,15.88
1678959995093,15.81,46,3130178.53,34355549.35,4109122,1678955885979,1678959995101,15.88
1678959995093,15.81,47,3130178.53,34355549.35,4999495,1678954995606,1678959995101,15.88
1678959995093,15.81,48,3130178.53,34355549.35,4554203,1678955440898,1678959995101,15.88
1678959995093,15.81,49,3130178.53,34355549.35,4554203,1678955440898,1678959995101,15.88
1678959995093,15.81,50,3130178.53,34355549.35,4554203,1678955440898,1678959995101,15.88
1678959995093,15.81,51,3130178.53,34355549.35,4554203,1678955440898,1678959995101,15.88
1678959995093,15.81,52,3130178.53,34355549.35,5231611,1678954763491,1678959995102,15.88
1678959995093,15.81,54,3130178.53,34355549.35,5451426,1678954543676,1678959995102,15.88
1678959995093,15.81,55,3130178.53,34355549.35,5450919,1678954544183,1678959995102,15.88
1678959995093,15.81,56,3130178.53,34355549.35,5450919,1678954544183,1678959995102,15.88
1678959995093,15.81,57,3130178.53,34355549.35,5673348,1678954321754,1678959995102,15.88
1678959995093,15.81,58,3130178.53,34355549.35,5887058,1678954108044,1678959995102,15.88
1678959995093,15.81,59,3130178.53,34355549.35,6100429,1678953894673,1678959995102,15.88
1678959995093,15.81,61,3130178.53,34355549.35,6525248,1678953469854,1678959995102,15.88
1678959995093,15.81,65,3130178.53,34355549.35,6745870,1678953249232,1678959995102,15.88
1678959995093,15.81,66,3130178.53,34355549.35,6957689,1678953037413,1678959995102,15.88
1678959995093,15.81,67,3130178.53,34355549.35,6958244,1678953036858,1678959995102,15.88
1678959995093,15.81,68,3130178.53,34355549.35,7166163,1678952828939,1678959995102,15.88
1678959995093,15.81,69,3130178.53,34355549.35,7166163,1678952828939,1678959995102,15.88
1678959995093,15.81,70,3130178.53,34355549.35,7166163,1678952828939,1678959995102,15.88
1678959995093,15.81,73,3130178.53,34355549.35,5230692,1678954764410,1678959995102,15.88
1678959995093,15.81,74,3130178.53,34355549.35,5230692,1678954764410,1678959995102,15.88
1678959995093,15.81,75,3130178.53,34355549.35,5230693,1678954764410,1678959995103,15.88
1678959995093,15.81,76,3130178.53,34355549.35,5230693,1678954764410,1678959995103,15.88
1678959995093,15.81,78,3130178.53,34355549.35,6525249,1678953469854,1678959995103,15.88
1678959995093,15.81,79,3130178.53,34355549.35,6100429,1678953894674,1678959995103,15.88
1678959995093,15.81,80,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,81,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,82,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,33,3130178.53,34355549.35,2483128,1678957511972,1678959995100,15.88
1678959995093,15.81,86,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,87,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,2,3130178.53,34355549.35,445,1678959994653,1678959995098,15.88
1678959995093,15.81,91,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,92,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,84,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,95,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,98,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,101,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,102,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,109,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,110,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,27,3130178.53,34355549.35,2483128,1678957511972,1678959995100,15.88
1678959995093,15.81,112,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,113,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,114,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,115,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,116,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,94,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
1678959995093,15.81,124,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,128,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,129,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,130,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,131,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,138,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,139,3130178.53,34355549.35,4332011,1678955663094,1678959995105,15.88
1678959995093,15.81,145,3130178.53,34355549.35,4332011,1678955663094,1678959995105,15.88
1678959995093,15.81,146,3130178.53,34355549.35,4332011,1678955663094,1678959995105,15.88
1678959995093,15.81,147,3130178.53,34355549.35,4332011,1678955663094,1678959995105,15.88
1678959995093,15.81,111,3130178.53,34355549.35,4332010,1678955663094,1678959995104,15.88
1678959995093,15.81,90,3130178.53,34355549.35,4332009,1678955663094,1678959995103,15.88
