mp,timeStamp,mean,skew
15.73,1678919118433,3660.751340876193,-3645.021340876193
15.73,1678919121430,3646.17239230159,-3630.44239230159
15.73,1678926179750,3884.0917566901326,-3868.3617566901326
15.73,1678926250754,3882.3025095220214,-3866.5725095220214
15.73,1678926393904,3877.995238980732,-3862.265238980732
15.73,1678926474448,3877.297803713001,-3861.567803713001
15.32,1678929640215,3825.259492105129,-3809.939492105129
15.4,1678929733512,3823.6296771654243,-3808.229677165424
15.48,1678929827430,3820.8220166451715,-3805.3420166451715
15.47,1678929928765,3820.14516004743,-3804.6751600474304
15.5,1678930026695,3820.34549334987,-3804.84549334987
15.48,1678930123580,3820.25047586885,-3804.77047586885
15.48,1678930220220,3819.9684712419394,-3804.4884712419394
15.5,1678930316812,3819.749822485721,-3804.249822485721
15.5,1678930417633,3821.766595050537,-3806.266595050537
15.48,1678930514366,3822.8319511981463,-3807.3519511981463
15.51,1678930611494,3824.166501164583,-3808.656501164583
15.47,1678930708655,3824.7031751865925,-3809.2331751865927
15.45,1678930810077,3824.83549080304,-3809.3854908030403
15.46,1678930910012,3826.6889583583666,-3811.2289583583665
15.47,1678931009286,3826.6845379557567,-3811.214537955757
15.46,1678931109023,3825.5318764130725,-3810.0718764130725
15.5,1678931208961,3822.975370970366,-3807.475370970366
15.44,1678931309597,3823.0819496547656,-3807.6419496547655
15.46,1678931410822,3824.5627907942053,-3809.1027907942052
15.49,1678931512433,3826.2132286454184,-3810.7232286454187
15.5,1678931614484,3827.1220377709305,-3811.6220377709305
15.52,1678931716654,3825.8548799911227,-3810.3348799911228
15.53,1678931819316,3824.365034377173,-3808.8350343771726
15.52,1678931932651,3824.27202899487,-3808.75202899487
15.5,1678932038225,3824.0541590071684,-3808.5541590071684
15.5,1678932147048,3825.3212436038016,-3809.8212436038016
15.49,1678932264476,3832.6209073542004,-3817.1309073542006
15.49,1678932373063,3832.2503898468863,-3816.7603898468865
15.51,1678932481906,3832.877912071251,-3817.367912071251
15.56,1678932594244,3834.355072315036,-3818.795072315036
15.57,1678932709782,3833.635899163305,-3818.065899163305
15.57,1678932822146,3833.357220486572,-3817.7872204865716
15.58,1678932933417,3833.9370436999893,-3818.3570436999894
15.58,1678933057499,3835.1669877177837,-3819.586987717784
15.58,1678933169776,3834.788241376352,-3819.208241376352
15.59,1678933281947,3835.884005099211,-3820.294005099211
15.58,1678933394987,3835.938302411404,-3820.358302411404
15.61,1678933508821,3835.667918771257,-3820.057918771257
15.63,1678933623155,3833.9562820759984,-3818.3262820759983
15.65,1678933736879,3834.394918732616,-3818.744918732616
15.66,1678933851216,3835.29159030899,-3819.6315903089903
15.65,1678933966328,3835.81676905899,-3820.1667690589898
15.68,1678934081868,3838.736178309862,-3823.0561783098624
15.64,1678934200774,3840.781761900182,-3825.1417619001822
15.68,1678934319797,3842.5466275148256,-3826.8666275148257
15.69,1678934436229,3842.365899630661,-3826.6758996306608
15.7,1678934553072,3839.3161701338163,-3823.6161701338165
15.69,1678934670414,3836.4196108429533,-3820.729610842953
15.71,1678934788333,3835.0337006922277,-3819.3237006922277
15.69,1678934906631,3833.8863589517614,-3818.1963589517613
15.7,1678935028184,3832.5269352240643,-3816.8269352240645
15.7,1678935147687,3831.8670616151276,-3816.1670616151277
15.69,1678935267417,3832.1731612986528,-3816.4831612986527
15.72,1678935387457,3829.7671501897626,-3814.0471501897628
15.73,1678935514748,3835.4927898202623,-3819.7627898202622
15.74,1678935654941,3835.3438577855827,-3819.603857785583
15.75,1678935777181,3833.64386866607,-3817.89386866607
15.76,1678935899839,3831.0485938458637,-3815.2885938458635
15.74,1678936023233,3831.34495009556,-3815.60495009556
15.67,1678936160633,3833.0739821806173,-3817.4039821806173
15.71,1678936286458,3833.00467618338,-3817.29467618338
15.67,1678936416143,3835.863817561514,-3820.193817561514
15.63,1678936546475,3833.989890919661,-3818.3598909196608
15.62,1678936674672,3832.663971865052,-3817.0439718650523
