bc,ac,tbv,tav,time,mp,minBid
1323760.24,12687237.39,311605.41,338671.92,1685586170960,14.05,13.99
1323225.51,12688339.34,311567.32,338750.39,1685586173954,14.05,13.99
1323209.93,12690464.12,311566.25,338901.64,1685586177369,14.05,13.99
1320710.53,12690464.12,311387.23,338901.64,1685586179932,14.05,13.99
1320132.53,12689865.40,311346.02,338859.11,1685586182942,14.05,13.99
1316633.66,12689865.40,311096.45,338859.11,1685586185978,14.05,13.99
1320109.47,12685938.59,311344.50,338580.77,1685586188945,14.05,13.99
1317214.26,12675194.17,311138.78,337816.97,1685586191979,14.05,13.99
1317448.03,12675323.08,311155.37,337826.09,1685586195116,14.05,13.99
1317450.29,12675323.08,311155.37,337826.09,1685586197920,14.05,13.99
1314950.01,12675325.33,310976.37,337826.09,1685586201000,14.05,13.99
1315002.86,12671748.85,310976.37,337571.50,1685586204004,14.05,13.99
1319493.74,12671597.89,311297.44,337560.76,1685586206940,14.05,13.99
1316993.55,12674391.69,311118.44,337759.61,1685586209910,14.05,13.99
1316993.55,12674391.69,311118.44,337759.61,1685586213058,14.05,13.99
1319494.08,12674391.69,311297.46,337759.61,1685586215954,14.05,13.99
1322871.31,12680493.59,311537.62,338193.14,1685586218999,14.05,13.99
1322871.69,12680493.59,311537.57,338193.14,1685586221967,14.05,13.99
1322871.77,12680493.59,311537.57,338193.14,1685586225351,14.05,13.99
1326864.93,12680493.59,311821.98,338193.14,1685586227959,14.05,13.99
1326778.38,12680493.59,311815.77,338193.14,1685586231060,14.05,13.99
1324278.30,12680493.59,311636.79,338193.14,1685586233977,14.05,13.99
1325207.66,12685938.36,311703.33,338578.90,1685586237031,14.05,13.99
1325207.65,12685938.36,311703.32,338578.90,1685586239967,14.05,13.99
1325207.65,12685938.36,311703.32,338578.90,1685586242962,14.05,13.99
1325148.38,12685937.75,311699.20,338578.90,1685586246005,14.05,13.99
1322303.34,12691410.62,311495.84,338968.75,1685586248949,14.05,13.99
1325104.86,12691410.62,311696.28,338968.75,1685586252039,14.05,13.99
1325104.85,12691410.62,311696.27,338968.75,1685586254946,14.05,13.99
1325104.85,12691409.87,311696.27,338968.75,1685586258082,14.05,13.99
1325104.84,12691410.13,311696.27,338968.75,1685586260956,14.05,13.99
1322752.05,12688884.39,311527.85,338789.73,1685586264124,14.05,13.99
1325183.13,12688826.29,311701.92,338785.60,1685586266974,14.05,13.99
1325183.13,12688826.29,311701.92,338785.60,1685586269970,14.05,13.99
1325183.13,12688826.29,311701.92,338785.60,1685586272968,14.05,13.99
1325183.13,12688713.89,311701.92,338777.60,1685586276032,14.05,13.99
1322705.16,12689214.04,311524.51,338813.16,1685586279121,14.05,13.99
1325205.16,12689214.04,311703.49,338813.16,1685586282030,14.05,13.99
1322705.16,12689214.04,311524.51,338813.16,1685586285001,14.05,13.99
1325297.35,12689214.04,311710.01,338813.16,1685586288031,14.05,13.99
1325297.33,12689212.49,311710.00,338813.16,1685586291007,14.05,13.99
1322794.17,12689212.49,311531.03,338813.16,1685586294000,14.05,13.99
1325738.67,12688794.03,311741.66,338783.39,1685586296993,14.05,13.99
1323238.02,12688781.24,311562.68,338782.71,1685586300109,14.05,13.99
1324908.56,12688733.14,311682.46,338779.28,1685586303169,14.05,13.99
1325508.77,12688083.06,311725.15,338732.61,1685586306022,14.05,13.99
1323372.31,12688898.82,311572.14,338790.57,1685586309129,14.05,13.99
1325065.80,12693485.31,311693.92,339117.08,1685586312070,14.05,13.99
1322939.17,12693485.46,311541.60,339117.08,1685586315194,14.05,13.99
1325439.79,12693485.46,311720.57,339117.08,1685586318143,14.05,13.99
1323357.19,12693485.46,311571.92,339117.08,1685586321043,14.05,13.99
1322939.33,12693485.46,311541.61,339117.08,1685586324024,14.05,13.99
1325035.05,12693582.28,311691.70,339123.97,1685586327004,14.05,13.99
1322607.62,12693582.28,311518.11,339123.97,1685586330010,14.05,13.99
1320609.36,12692589.41,311375.73,339052.53,1685586333015,14.05,13.99
1318108.52,12692589.41,311196.76,339052.53,1685586336106,14.05,13.99
1320609.10,12692589.41,311375.73,339052.53,1685586339195,14.05,13.99
1318108.52,12684590.51,311196.76,338483.82,1685586342156,14.05,13.99
1320609.08,12684590.67,311375.73,338483.82,1685586345595,14.05,13.99
1320609.08,12684590.67,311375.73,338483.82,1685586348840,14.05,13.99
1318110.45,12682182.46,311196.73,338312.30,1685586352197,14.05,13.99
1320611.01,12686178.72,311375.70,338596.53,1685586355221,14.05,13.99
1321704.48,12686131.75,311453.75,338593.19,1685586358789,14.05,13.99
1319203.92,12686131.75,311274.79,338593.19,1685586362403,14.05,13.99
1321790.99,12686131.75,311459.96,338593.19,1685586366091,14.05,13.99
1316483.14,12680499.68,311081.43,338193.03,1685586369904,14.05,13.99
