mp,timeStamp,mean,skew
19.2,1681534411670,7612.695615810038,-7593.4956158100385
19.19,1681534443243,7600.274817115828,-7581.084817115829
19.2,1681534471865,7594.150570052714,-7574.950570052714
19.19,1681534500612,7587.490019896024,-7568.300019896024
19.19,1681534549232,7534.121967211252,-7514.931967211252
19.19,1681534579924,7528.548035007995,-7509.358035007996
19.18,1681534617494,7511.666606605102,-7492.486606605102
19.18,1681534652456,7498.914680024888,-7479.734680024888
19.17,1681534684772,7491.757881189588,-7472.587881189588
19.18,1681534720950,7484.715002400771,-7465.53500240077
19.18,1681534757260,7481.254407289269,-7462.0744072892685
19.17,1681534803835,7471.833310908311,-7452.663310908311
19.19,1681534848657,7459.972656696436,-7440.782656696437
19.19,1681534884758,7454.224731131891,-7435.034731131891
19.19,1681534921104,7448.522588295724,-7429.332588295724
19.19,1681534957554,7442.936133384445,-7423.746133384446
19.19,1681535010787,7412.898193760686,-7393.708193760686
19.19,1681535056347,7395.179663520332,-7375.989663520332
19.19,1681535099059,7381.495797846538,-7362.305797846539
19.2,1681535139241,7374.801750905317,-7355.601750905317
19.19,1681535179588,7367.8695628055,-7348.679562805501
19.18,1681535223284,7356.08506424069,-7336.90506424069
19.18,1681535264337,7350.844442394094,-7331.664442394093
19.18,1681535309031,7339.939673998258,-7320.759673998257
19.18,1681535350893,7335.105325170143,-7315.925325170143
19.19,1681535392856,7330.223959214816,-7311.033959214817
19.19,1681535435184,7325.632729073567,-7306.4427290735675
19.19,1681535493529,7321.761550268726,-7302.571550268726
19.2,1681535536465,7317.6084753092655,-7298.408475309266
19.2,1681535596494,7292.194198201963,-7272.994198201964
19.2,1681535641695,7287.820608547195,-7268.620608547195
19.19,1681535690437,7279.908611879179,-7260.71861187918
19.19,1681535739701,7271.606896794879,-7252.416896794879
19.19,1681535786248,7267.131746246138,-7247.941746246139
19.18,1681535832996,7263.265219007076,-7244.0852190070755
19.18,1681535880054,7258.706712357949,-7239.526712357949
19.18,1681535937724,7240.878162333922,-7221.698162333922
19.18,1681535997128,7224.190252690226,-7205.010252690226
19.17,1681536057550,7219.5381781597625,-7200.3681781597625
19.17,1681536109363,7218.831599202801,-7199.661599202801
19.17,1681536165007,7219.747538376549,-7200.577538376549
19.16,1681536217666,7215.360512777919,-7196.200512777919
19.16,1681536270604,7211.6916752422885,-7192.531675242289
19.16,1681536330729,7203.334827120209,-7184.17482712021
19.16,1681536385084,7200.349582285019,-7181.189582285019
19.16,1681536439369,7197.875800618701,-7178.715800618701
19.16,1681536494104,7195.956489196555,-7176.796489196555
19.16,1681536548912,7193.152454899613,-7173.992454899613
19.16,1681536603996,7190.54131237506,-7171.381312375061
19.16,1681536672336,7174.334425788496,-7155.174425788497
19.16,1681536729005,7171.289388461924,-7152.1293884619245
19.16,1681536785753,7167.27140120754,-7148.11140120754
19.16,1681536842701,7163.810877658475,-7144.650877658475
19.16,1681536899910,7160.892136629162,-7141.732136629163
19.16,1681536963819,7152.2889241342655,-7133.128924134266
19.16,1681537025268,7145.85256768544,-7126.69256768544
19.16,1681537090483,7134.692113319192,-7115.532113319192
19.16,1681537150074,7130.2653602980035,-7111.105360298004
19.16,1681537216373,7113.499691361541,-7094.339691361542
19.16,1681537280194,7101.047674622939,-7081.887674622939
19.16,1681537347913,7085.707349077063,-7066.547349077063
19.16,1681537409751,7080.784392524724,-7061.6243925247245
19.16,1681537481797,7057.068199879291,-7037.908199879291
