bc,ac,tbv,tav,time,mp,minBid
2334014.74,10135636.07,366865.82,229382.26,1682747684181,17.57,17.5
2334014.74,10135636.07,366865.82,229382.26,1682747687386,17.57,17.5
2337899.10,10136566.34,367087.22,229435.18,1682747690125,17.57,17.5
2337899.10,10136116.15,367087.22,229409.60,1682747692959,17.57,17.5
2337899.10,10136566.34,367087.22,229435.18,1682747695967,17.57,17.5
2336690.67,10137405.21,367018.40,229482.84,1682747699020,17.57,17.5
2336662.01,10137405.21,367016.77,229482.84,1682747702064,17.57,17.5
2336662.01,10137405.21,367016.77,229482.84,1682747705174,17.57,17.5
2338817.64,10137405.21,367139.67,229482.84,1682747707978,17.57,17.5
2336698.52,10139671.23,367018.86,229610.87,1682747711344,17.57,17.5
2336698.52,10139671.23,367018.86,229610.87,1682747714088,17.57,17.5
2336843.80,10140541.58,367027.27,229660.42,1682747717061,17.57,17.5
2337073.54,10140541.54,367040.61,229660.42,1682747719976,17.57,17.5
2337073.54,10140541.54,367040.61,229660.42,1682747723429,17.57,17.5
2337073.54,10140541.46,367040.61,229660.42,1682747726115,17.57,17.5
2337003.01,10148032.42,367036.71,230086.78,1682747729005,17.57,17.5
2337003.01,10139505.49,367036.71,229602.23,1682747732066,17.57,17.5
2330447.93,10139505.49,366662.78,229602.23,1682747735026,17.57,17.5
2330447.93,10146997.92,366662.78,230028.66,1682747738010,17.57,17.5
2334385.91,10132777.08,366888.54,229218.98,1682747741450,17.57,17.5
2339734.17,10133060.21,367193.66,229235.08,1682747743983,17.57,17.5
2339734.17,10137611.35,367193.66,229494.11,1682747747076,17.57,17.5
2339734.62,10133060.21,367193.66,229235.08,1682747750026,17.57,17.5
2343035.66,10133325.29,367381.95,229250.17,1682747753153,17.57,17.5
2343234.00,10136136.24,367393.32,229410.18,1682747756146,17.57,17.5
2343234.00,10136136.24,367393.32,229410.18,1682747759052,17.57,17.5
2343234.63,10132592.46,367393.32,229208.48,1682747762084,17.58,17.5
2341638.14,10137926.83,367302.24,229512.09,1682747765042,17.57,17.5
2335158.15,10131493.10,366933.13,229146.59,1682747768050,17.57,17.5
2334544.99,10132047.66,366898.48,229178.37,1682747771079,17.57,17.5
2334708.52,10133913.45,366907.78,229284.53,1682747774100,17.57,17.5
