mp,timeStamp,mean,skew
15.58,1673622265985,2908.263952826085,-2892.6839528260853
15.58,1673622268761,2906.6001791304343,-2891.0201791304344
15.58,1673622271815,2813.5779417048334,-2797.9979417048335
15.59,1673622275015,2977.126822095239,-2961.5368220952387
15.59,1673622280927,3119.480802685422,-3103.890802685422
15.58,1673622283893,3102.4554848237867,-3086.875484823787
15.58,1673622308349,3009.518825723956,-2993.938825723956
15.58,1673622310949,3003.621092951217,-2988.0410929512173
15.6,1673622316996,3026.036200443965,-3010.436200443965
15.6,1673622320079,3026.4556546962885,-3010.8556546962886
