bc,ac,tbv,tav,time,mp,minBid
4567703.96,9771115.65,593071.49,203203.40,1674242164385,16.5,16.44
4567769.88,9772169.17,593075.49,203266.91,1674242167372,16.5,16.44
4574377.46,9765219.60,593476.83,202845.69,1674242170428,16.5,16.44
4574377.46,9765219.60,593476.83,202845.69,1674242173370,16.5,16.44
4574036.30,9764084.15,593456.14,202776.96,1674242176743,16.5,16.44
4574941.64,9770371.77,593517.98,203157.08,1674242179386,16.5,16.44
4575087.94,9771413.62,593555.19,203234.09,1674242182376,16.5,16.44
4580748.17,9768048.65,593897.16,203029.73,1674242185364,16.51,16.44
4578204.82,9768023.67,593742.95,203026.73,1674242188384,16.51,16.44
4580753.44,9768023.67,593897.48,203026.73,1674242191293,16.51,16.44
4580742.91,9768023.67,593896.84,203026.73,1674242194399,16.51,16.44
4573776.85,9733638.74,593447.88,200941.81,1674242197408,16.52,16.44
4565325.45,9761661.62,592935.65,202638.04,1674242200553,16.51,16.44
4566819.18,9761170.69,593026.34,202608.38,1674242203414,16.51,16.44
4556442.39,9750237.61,592398.04,201946.55,1674242206413,16.51,16.44
4556441.89,9753737.14,592398.04,202158.39,1674242209831,16.51,16.44
4552103.85,9751828.61,592134.36,202042.78,1674242212358,16.51,16.44
4552103.85,9754710.99,592134.36,202214.94,1674242215479,16.51,16.44
4556654.57,9754710.99,592410.16,202214.94,1674242218364,16.51,16.44
4562568.69,9754700.08,592781.25,202214.24,1674242221368,16.51,16.44
4560259.01,9757214.49,592640.88,202366.44,1674242224446,16.51,16.44
4559844.86,9764178.18,592615.87,202788.27,1674242227382,16.51,16.44
4563800.47,9762667.35,592855.60,202696.67,1674242230322,16.51,16.44
4563800.32,9764425.97,592855.60,202803.00,1674242233449,16.51,16.44
4570405.01,9763863.02,592855.60,202769.71,1674242236335,16.51,16.44
4568907.36,9767133.04,592764.95,202967.40,1674242239435,16.51,16.44
4567257.36,9764188.45,592664.95,202789.18,1674242242421,16.51,16.44
4567257.36,9764116.58,592665.50,202784.83,1674242245343,16.51,16.44
4567257.36,9763264.33,592665.14,202733.26,1674242248389,16.51,16.44
4567257.48,9764329.46,592665.15,202797.71,1674242251545,16.51,16.44
4570530.99,9765544.48,592904.15,202873.14,1674242254394,16.51,16.44
4564915.21,9761757.16,592563.73,202644.12,1674242257381,16.51,16.44
4566859.63,9764746.31,592681.46,202824.90,1674242260432,16.51,16.44
4567336.75,9769676.87,592710.29,203123.28,1674242263532,16.51,16.44
4567336.44,9763201.87,592710.29,202731.58,1674242266500,16.51,16.44
4563763.05,9759201.77,592493.84,202490.13,1674242269512,16.51,16.44
4564092.84,9758203.63,592513.84,202429.76,1674242272426,16.51,16.44
4564092.43,9769796.56,592513.82,203131.85,1674242275511,16.51,16.44
4563954.00,9768796.17,592505.47,203071.32,1674242278337,16.51,16.44
4544327.42,9782444.97,591679.11,203897.23,1674242281422,16.5,16.44
4541525.46,9780471.46,591509.66,203778.47,1674242284514,16.5,16.44
4541472.30,9780457.36,591506.35,203777.63,1674242287363,16.5,16.44
4541469.29,9792877.90,591506.55,204530.44,1674242290457,16.5,16.44
4535864.26,9791534.90,591166.06,204449.26,1674242293533,16.5,16.44
4537354.94,9791534.90,591258.06,204449.26,1674242296395,16.5,16.44
4547287.88,9784798.81,591861.25,204042.00,1674242299454,16.5,16.44
4545311.88,9791109.07,591757.67,204426.67,1674242302386,16.49,16.43
4560860.46,9789435.53,592702.68,204328.57,1674242305511,16.49,16.43
4562900.77,9778421.00,592827.08,203661.47,1674242308905,16.49,16.43
4562900.77,9778652.95,592827.08,203678.47,1674242311353,16.49,16.43
4562559.82,9777412.14,592806.39,203603.39,1674242314509,16.49,16.43
4562900.77,9778512.37,592827.08,203669.90,1674242317749,16.49,16.43
4568027.76,9781218.99,593137.95,203835.24,1674242320393,16.49,16.43
4558950.98,9787205.64,592613.17,204200.14,1674242323428,16.48,16.42
4568668.72,9796218.06,593207.33,204747.12,1674242326501,16.48,16.42
4566669.20,9786218.46,593085.93,204141.40,1674242329465,16.48,16.42
4566654.03,9788719.30,593084.95,204293.00,1674242332460,16.49,16.42
4564800.52,9787517.58,592985.59,204220.51,1674242335585,16.48,16.42
4575658.05,9787942.66,593644.67,204246.90,1674242338573,16.49,16.42
4567113.57,9786423.89,593125.63,204154.94,1674242341760,16.48,16.42
4567252.40,9786142.78,593134.23,204137.86,1674242345202,16.48,16.42
4565321.20,9785961.26,593016.87,204126.78,1674242348181,16.49,16.42
4559422.80,9766054.03,592658.96,202919.08,1674242352125,16.48,16.42
4558727.57,9784900.01,592621.96,204063.44,1674242355714,16.48,16.42
4559655.86,9762121.89,592677.16,202685.50,1674242358738,16.48,16.42
4568823.78,9768622.07,593233.74,203080.53,1674242362691,16.48,16.42
4567241.37,9757926.93,593147.98,202434.12,1674242365861,16.48,16.42
