time,exit,distance,bidCap,askCap,exitTime,entryReachTime,exitReachTime,mp
1686937016465,11.62,22,1196139.49,12998623.52,126466,1686936896729,1686937023195,11.58
1686937060769,11.63,27,1202076.50,12989812.64,149366,1686936919278,1686937068644,11.59
1686937060769,11.63,28,1202076.50,12989812.64,154922,1686936913722,1686937068644,11.59
1686937060769,11.63,29,1202076.50,12989812.64,160231,1686936908413,1686937068644,11.59
1686937060769,11.63,30,1202076.50,12989812.64,167170,1686936901474,1686937068644,11.59
1686937060769,11.63,36,1202076.50,12989812.64,194203,1686936874441,1686937068644,11.59
1686937060769,11.63,37,1202076.50,12989812.64,201419,1686936867225,1686937068644,11.59
1686937060769,11.63,38,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,39,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,40,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,43,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,44,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,45,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,46,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,48,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,49,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937060769,11.63,50,1202076.50,12989812.64,247836,1686936820808,1686937068644,11.59
1686937060769,11.63,51,1202076.50,12989812.64,248312,1686936820332,1686937068644,11.59
1686937060769,11.63,52,1202076.50,12989812.64,248312,1686936820332,1686937068644,11.59
1686937060769,11.63,53,1202076.50,12989812.64,254221,1686936814423,1686937068644,11.59
1686937060769,11.63,54,1202076.50,12989812.64,260066,1686936808578,1686937068644,11.59
1686937060769,11.63,55,1202076.50,12989812.64,260864,1686936807780,1686937068644,11.59
1686937060769,11.63,56,1202076.50,12989812.64,265983,1686936802661,1686937068644,11.59
1686937060769,11.63,57,1202076.50,12989812.64,267031,1686936801613,1686937068644,11.59
1686937060769,11.63,25,1202076.50,12989812.64,140681,1686936927962,1686937068643,11.59
1686937060769,11.63,59,1202076.50,12989812.64,273187,1686936795458,1686937068645,11.59
1686937060769,11.63,60,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,61,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,62,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,124,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,125,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,126,1202076.50,12989812.64,276117,1686936792528,1686937068645,11.59
1686937060769,11.63,26,1202076.50,12989812.64,148856,1686936919787,1686937068643,11.59
1686937060769,11.63,58,1202076.50,12989812.64,267031,1686936801613,1686937068644,11.59
1686937060769,11.63,47,1202076.50,12989812.64,201818,1686936866826,1686937068644,11.59
1686937884746,11.63,18,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,19,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,20,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,21,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,22,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,86,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,87,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,88,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,89,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,90,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,91,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,93,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,17,1179441.89,12988325.43,254152,1686937649748,1686937903900,11.59
1686937884746,11.63,92,1179441.89,12988325.43,254151,1686937649749,1686937903900,11.59
1686937884746,11.63,16,1179441.89,12988325.43,251220,1686937652679,1686937903899,11.59
1686937933678,11.63,9,1133174.06,12985275.60,108228,1686937845475,1686937953703,11.62
1686937933678,11.63,10,1133174.06,12985275.60,127352,1686937826351,1686937953703,11.62
1686937933678,11.63,28,1133174.06,12985275.60,345013,1686937608691,1686937953704,11.62
1686937933678,11.63,29,1133174.06,12985275.60,360371,1686937593333,1686937953704,11.62
1686937933678,11.63,30,1133174.06,12985275.60,375576,1686937578128,1686937953704,11.62
1686937933678,11.63,31,1133174.06,12985275.60,390665,1686937563039,1686937953704,11.62
1686937933678,11.63,32,1133174.06,12985275.60,405802,1686937547902,1686937953704,11.62
1686937933678,11.63,33,1133174.06,12985275.60,420413,1686937533291,1686937953704,11.62
1686937933678,11.63,35,1133174.06,12985275.60,449202,1686937504502,1686937953704,11.62
1686937933678,11.63,36,1133174.06,12985275.60,463334,1686937490370,1686937953704,11.62
1686937933678,11.63,37,1133174.06,12985275.60,479173,1686937474531,1686937953704,11.62
1686937933678,11.63,8,1133174.06,12985275.60,88932,1686937864771,1686937953703,11.62
1686937933678,11.63,7,1133174.06,12985275.60,69392,1686937884311,1686937953703,11.62
1686937933678,11.63,40,1133174.06,12985275.60,520357,1686937433347,1686937953704,11.62
1686937933678,11.63,41,1133174.06,12985275.60,533947,1686937419757,1686937953704,11.62
1686937933678,11.63,42,1133174.06,12985275.60,549956,1686937403748,1686937953704,11.62
1686937933678,11.63,43,1133174.06,12985275.60,552918,1686937400786,1686937953704,11.62
1686937933678,11.63,44,1133174.06,12985275.60,553354,1686937400350,1686937953704,11.62
1686937933678,11.63,38,1133174.06,12985275.60,493042,1686937460662,1686937953704,11.62
1686937933678,11.63,39,1133174.06,12985275.60,506808,1686937446896,1686937953704,11.62
1686937933678,11.63,47,1133174.06,12985275.60,591123,1686937362581,1686937953704,11.62
1686937933678,11.63,48,1133174.06,12985275.60,603470,1686937350234,1686937953704,11.62
1686937933678,11.63,49,1133174.06,12985275.60,615693,1686937338011,1686937953704,11.62
1686937933678,11.63,50,1133174.06,12985275.60,627638,1686937326066,1686937953704,11.62
1686937933678,11.63,51,1133174.06,12985275.60,639451,1686937314253,1686937953704,11.62
1686937933678,11.63,52,1133174.06,12985275.60,651106,1686937302598,1686937953704,11.62
1686937933678,11.63,53,1133174.06,12985275.60,662647,1686937291057,1686937953704,11.62
1686937933678,11.63,54,1133174.06,12985275.60,674074,1686937279630,1686937953704,11.62
1686937933678,11.63,34,1133174.06,12985275.60,434856,1686937518848,1686937953704,11.62
1686937933678,11.63,56,1133174.06,12985275.60,696120,1686937257585,1686937953705,11.62
1686937933678,11.63,57,1133174.06,12985275.60,707073,1686937246632,1686937953705,11.62
1686937933678,11.63,45,1133174.06,12985275.60,566072,1686937387632,1686937953704,11.62
1686937933678,11.63,69,1133174.06,12985275.60,831750,1686937121955,1686937953705,11.62
1686937933678,11.63,70,1133174.06,12985275.60,840933,1686937112772,1686937953705,11.62
1686937933678,11.63,67,1133174.06,12985275.60,813030,1686937140675,1686937953705,11.62
1686937933678,11.63,72,1133174.06,12985275.60,858944,1686937094761,1686937953705,11.62
1686937933678,11.63,73,1133174.06,12985275.60,868097,1686937085608,1686937953705,11.62
1686937933678,11.63,74,1133174.06,12985275.60,876646,1686937077059,1686937953705,11.62
1686937933678,11.63,76,1133174.06,12985275.60,895916,1686937057789,1686937953705,11.62
1686937933678,11.63,77,1133174.06,12985275.60,898894,1686937054811,1686937953705,11.62
1686937933678,11.63,78,1133174.06,12985275.60,901879,1686937051826,1686937953705,11.62
1686937933678,11.63,79,1133174.06,12985275.60,904906,1686937048799,1686937953705,11.62
1686937933678,11.63,80,1133174.06,12985275.60,907906,1686937045799,1686937953705,11.62
1686937933678,11.63,81,1133174.06,12985275.60,908284,1686937045421,1686937953705,11.62
1686937933678,11.63,82,1133174.06,12985275.60,915699,1686937038006,1686937953705,11.62
1686937933678,11.63,83,1133174.06,12985275.60,923335,1686937030370,1686937953705,11.62
1686937933678,11.63,84,1133174.06,12985275.60,930510,1686937023195,1686937953705,11.62
1686937933678,11.63,85,1133174.06,12985275.60,937701,1686937016004,1686937953705,11.62
1686937933678,11.63,86,1133174.06,12985275.60,944680,1686937009025,1686937953705,11.62
1686937933678,11.63,87,1133174.06,12985275.60,952497,1686937001208,1686937953705,11.62
1686937933678,11.63,88,1133174.06,12985275.60,959488,1686936994217,1686937953705,11.62
1686937933678,11.63,89,1133174.06,12985275.60,966258,1686936987447,1686937953705,11.62
1686937933678,11.63,90,1133174.06,12985275.60,973328,1686936980378,1686937953706,11.62
1686937933678,11.63,115,1133174.06,12985275.60,982449,1686936971257,1686937953706,11.62
1686937933678,11.63,116,1133174.06,12985275.60,1102181,1686936851525,1686937953706,11.62
1686937933678,11.63,137,1133174.06,12985275.60,1170454,1686936783252,1686937953706,11.62
1686937933678,11.63,138,1133174.06,12985275.60,1175029,1686936778677,1686937953706,11.62
1686937933678,11.63,139,1133174.06,12985275.60,1177990,1686936775716,1686937953706,11.62
1686937933678,11.63,140,1133174.06,12985275.60,1181119,1686936772587,1686937953706,11.62
1686937933678,11.63,141,1133174.06,12985275.60,1184038,1686936769668,1686937953706,11.62
1686937933678,11.63,142,1133174.06,12985275.60,1187004,1686936766702,1686937953706,11.62
1686937933678,11.63,143,1133174.06,12985275.60,1188868,1686936764838,1686937953706,11.62
1686937933678,11.63,55,1133174.06,12985275.60,685201,1686937268504,1686937953705,11.62
1686937933678,11.63,145,1133174.06,12985275.60,1195067,1686936758639,1686937953706,11.62
1686937933678,11.63,146,1133174.06,12985275.60,1198110,1686936755596,1686937953706,11.62
1686937933678,11.63,147,1133174.06,12985275.60,1201163,1686936752543,1686937953706,11.62
1686937933678,11.63,46,1133174.06,12985275.60,578646,1686937375058,1686937953704,11.62
1686937933678,11.63,149,1133174.06,12985275.60,1208116,1686936745590,1686937953706,11.62
1686937933678,11.63,150,1133174.06,12985275.60,1210309,1686936743397,1686937953706,11.62
1686937933678,11.63,151,1133174.06,12985275.60,1212900,1686936740807,1686937953707,11.62
1686937933678,11.63,152,1133174.06,12985275.60,1216365,1686936737342,1686937953707,11.62
1686937933678,11.63,153,1133174.06,12985275.60,1219381,1686936734326,1686937953707,11.62
1686937933678,11.63,154,1133174.06,12985275.60,1222396,1686936731311,1686937953707,11.62
1686937933678,11.63,155,1133174.06,12985275.60,1225474,1686936728233,1686937953707,11.62
1686937933678,11.63,156,1133174.06,12985275.60,1228404,1686936725303,1686937953707,11.62
1686937933678,11.63,157,1133174.06,12985275.60,1231459,1686936722248,1686937953707,11.62
1686937933678,11.63,158,1133174.06,12985275.60,1234422,1686936719285,1686937953707,11.62
1686937933678,11.63,159,1133174.06,12985275.60,1237544,1686936716163,1686937953707,11.62
1686937933678,11.63,160,1133174.06,12985275.60,1240443,1686936713264,1686937953707,11.62
1686937933678,11.63,161,1133174.06,12985275.60,1243478,1686936710229,1686937953707,11.62
1686937933678,11.63,162,1133174.06,12985275.60,1246528,1686936707179,1686937953707,11.62
1686937933678,11.63,163,1133174.06,12985275.60,1249643,1686936704064,1686937953707,11.62
1686937933678,11.63,164,1133174.06,12985275.60,1252539,1686936701168,1686937953707,11.62
1686937933678,11.63,165,1133174.06,12985275.60,1255598,1686936698109,1686937953707,11.62
1686937933678,11.63,166,1133174.06,12985275.60,1258602,1686936695105,1686937953707,11.62
1686937933678,11.63,167,1133174.06,12985275.60,1261552,1686936692155,1686937953707,11.62
1686937933678,11.63,168,1133174.06,12985275.60,1264693,1686936689015,1686937953708,11.62
1686937933678,11.63,169,1133174.06,12985275.60,1267602,1686936686106,1686937953708,11.62
1686937933678,11.63,170,1133174.06,12985275.60,1270766,1686936682942,1686937953708,11.62
