bc,ac,tbv,tav,time,mp,minBid
3616160.38,33819786.91,430929.07,355677.56,1680278040677,17.54,17.46
3616524.64,33819792.24,430949.57,355677.12,1680278043565,17.54,17.46
3612877.81,33810217.56,430739.83,355121.87,1680278046541,17.55,17.46
3612722.88,33823877.03,430731.16,355903.83,1680278049983,17.54,17.46
3610657.06,33823877.03,430613.33,355903.83,1680278052545,17.54,17.46
3612428.65,33825426.33,430714.37,355990.62,1680278055614,17.54,17.46
3600613.90,33818228.83,430037.81,355581.61,1680278058660,17.54,17.46
3615119.53,33822896.25,430869.46,355847.50,1680278061590,17.54,17.46
3615119.53,33815187.42,430869.46,355536.45,1680278064559,17.54,17.46
3609810.92,33817531.79,430566.05,355672.81,1680278067578,17.54,17.46
3595326.85,33818652.66,429743.05,355754.83,1680278070581,17.53,17.46
3620988.41,33815616.57,431228.14,355581.90,1680278073605,17.53,17.46
3612834.62,33814398.42,430777.32,355511.47,1680278076700,17.52,17.45
3617161.99,33820264.35,431022.28,355856.42,1680278079581,17.52,17.45
3616752.36,33818486.90,430998.85,355755.43,1680278082555,17.53,17.45
3616694.57,33818486.90,430995.55,355755.43,1680278085585,17.53,17.45
3616694.90,33818488.48,430995.55,355755.66,1680278088636,17.53,17.45
3616693.62,33820480.54,430995.55,355872.55,1680278091600,17.52,17.45
3614248.72,33821099.77,430855.52,355908.02,1680278094938,17.52,17.45
3610309.03,33819741.38,430630.69,355830.83,1680278097585,17.52,17.45
3606385.21,33819737.85,430406.59,355830.83,1680278100587,17.52,17.45
3610744.71,33801124.20,430662.29,354765.41,1680278103644,17.52,17.45
3600063.16,33818724.78,430047.28,355764.79,1680278106581,17.53,17.45
3615867.81,33824473.32,430951.11,356094.64,1680278109564,17.53,17.45
3620080.40,33803830.49,431190.91,354916.54,1680278112972,17.53,17.45
3618505.74,33807097.88,431100.69,355102.54,1680278115666,17.53,17.45
3609797.54,33808976.48,430599.94,355211.42,1680278118580,17.54,17.45
3624708.63,33811763.85,431448.99,355366.78,1680278121610,17.54,17.45
3619390.40,33810213.51,431139.66,355296.00,1680278124592,17.54,17.45
3626393.29,33808431.89,431537.45,355194.59,1680278127649,17.54,17.45
3625387.57,33808431.89,431479.45,355194.59,1680278130653,17.54,17.45
3624074.87,33807072.65,431404.44,355116.95,1680278133604,17.54,17.45
3623987.02,33807221.58,431399.07,355125.44,1680278136610,17.54,17.45
3619655.17,33816321.86,431152.06,355644.39,1680278139658,17.54,17.45
3632073.40,33804193.03,431847.46,354941.73,1680278142587,17.55,17.45
3632290.74,33806284.80,431857.46,355058.25,1680278146007,17.55,17.45
3628300.33,33801057.39,431629.41,354760.23,1680278148619,17.55,17.45
3632291.34,33811927.40,431857.20,355379.24,1680278151584,17.55,17.45
3632352.53,33811838.46,431860.69,355374.18,1680278154607,17.55,17.45
3629028.36,33811972.57,431670.85,355381.82,1680278157719,17.55,17.45
3629528.23,33811803.37,431699.37,355372.18,1680278160604,17.55,17.45
3624666.56,33809624.56,431432.47,355248.10,1680278163605,17.55,17.45
3625419.92,33811136.31,431475.44,355329.72,1680278166627,17.54,17.45
3625421.12,33815167.42,431475.44,355558.67,1680278169616,17.54,17.45
3619294.83,33801931.91,431124.13,354804.35,1680278172614,17.54,17.45
3619438.51,33812293.42,431132.27,355394.07,1680278175641,17.54,17.45
3619438.51,33812293.42,431132.27,355394.07,1680278178685,17.54,17.45
3619451.21,33813290.74,431132.95,355449.75,1680278181664,17.55,17.45
3625040.08,33819861.81,431449.69,355711.57,1680278184656,17.55,17.45
3620252.27,33820264.46,431173.08,355737.56,1680278187668,17.55,17.45
3634138.07,33815813.17,431965.31,355484.36,1680278190676,17.55,17.45
3626816.07,33807196.51,431542.74,354992.73,1680278193649,17.55,17.45
3627213.60,33812861.10,431564.84,355314.09,1680278196683,17.55,17.45
3618697.75,33820312.82,431079.45,355738.50,1680278199724,17.55,17.45
3632658.93,33821370.08,431863.15,355799.56,1680278202656,17.55,17.45
3624871.31,33821375.26,431418.56,355799.99,1680278205695,17.55,17.45
3626851.63,33821417.50,431531.76,355801.46,1680278209053,17.55,17.45
3630479.96,33821417.34,431740.05,355801.46,1680278211715,17.55,17.45
3623113.20,33823119.91,431328.92,355900.23,1680278214683,17.54,17.45
3609854.44,33831486.39,430574.53,356378.50,1680278217754,17.54,17.45
3611799.80,33822190.16,430683.11,355847.53,1680278220739,17.54,17.45
3615079.58,33820643.93,430870.07,355759.61,1680278223686,17.54,17.45
3612817.46,33822672.41,430741.37,355872.40,1680278226787,17.54,17.45
3617736.26,33822672.41,431022.04,355872.40,1680278229887,17.54,17.45
3617858.77,33826190.66,431023.32,356077.17,1680278232956,17.54,17.45
3622493.40,33824716.98,431287.89,355992.73,1680278236064,17.54,17.45
3628008.91,33822968.06,431600.86,355892.65,1680278239939,17.54,17.45
3629233.60,33823435.64,431670.48,355919.31,1680278243456,17.54,17.45
3631940.65,33823287.93,431824.87,355910.70,1680278246474,17.54,17.45
3624833.05,33823505.31,431417.41,355921.56,1680278249392,17.55,17.45
3640673.56,33827293.34,432315.98,356136.86,1680278253251,17.55,17.45
3637280.62,33827711.42,432121.88,356160.68,1680278257087,17.55,17.45
3628863.29,33816633.63,431640.40,355526.69,1680278261047,17.55,17.45
3636677.91,33824339.37,432086.13,355965.18,1680278265205,17.55,17.45
3632882.56,33824339.37,431869.18,355965.18,1680278269614,17.55,17.45
3625067.55,33827352.63,431423.45,356138.36,1680278273958,17.55,17.45
3633914.57,33821038.80,431928.77,355778.62,1680278278388,17.55,17.45
3608110.62,33816980.64,430457.69,355528.62,1680278283052,17.56,17.45
3612408.44,33829282.27,430701.74,356226.60,1680278287722,17.56,17.45
3613586.31,33827590.42,430770.06,356132.37,1680278292956,17.55,17.45
3605760.55,33838529.49,430326.88,356759.31,1680278297916,17.54,17.45
3609556.28,33838583.49,430543.78,356762.39,1680278300942,17.54,17.45
3609307.57,33827202.26,430529.50,356227.23,1680278306173,17.54,17.45
3609391.50,33831106.64,430534.95,356449.49,1680278309030,17.54,17.45
3621566.31,33834727.75,431226.28,356658.55,1680278312129,17.55,17.45
3613024.29,33839546.38,430738.59,356933.11,1680278317649,17.55,17.45
3611050.31,33830345.75,430625.01,356408.91,1680278323340,17.55,17.45
3611139.70,33831801.89,430630.93,356491.57,1680278329194,17.55,17.45
3608382.67,33822224.63,430476.17,355947.35,1680278335249,17.54,17.45
3610089.30,33826247.14,430573.27,356176.42,1680278338157,17.54,17.45
3614541.26,33827588.48,430825.94,356252.11,1680278341168,17.55,17.45
3613836.67,33824222.65,430786.28,356061.16,1680278347490,17.55,17.45
3609987.78,33828194.15,430565.96,356287.13,1680278353964,17.54,17.45
3609987.78,33828194.15,430565.96,356287.13,1680278356959,17.54,17.45
3611734.24,33817516.66,430654.31,355678.07,1680278363664,17.55,17.45
3621696.35,33813313.02,431221.87,355421.35,1680278370538,17.55,17.45
3626085.81,33810116.32,431465.79,355236.46,1680278377616,17.55,17.45
3617190.09,33810028.45,430951.31,355230.81,1680278384740,17.56,17.45
3609460.43,33810079.46,430499.24,355232.85,1680278392092,17.56,17.45
3616302.96,33810081.74,430878.03,355232.85,1680278399491,17.56,17.45
3611681.17,33808596.07,430658.04,355113.84,1680278407060,17.56,17.45
3623804.07,33815567.08,431306.52,355534.13,1680278414753,17.56,17.45
3629094.55,33817730.87,431607.94,355658.09,1680278422605,17.56,17.45
3615043.01,33821330.15,430803.73,355768.61,1680278430642,17.57,17.45
3628866.86,33834272.32,431572.72,356503.87,1680278438856,17.57,17.45
3633487.24,33833795.30,431834.34,356475.47,1680278447210,17.57,17.45
3633413.58,33837318.40,431830.21,356674.86,1680278456059,17.57,17.45
3616701.50,33836257.47,430880.82,356616.08,1680278464699,17.56,17.45
3617986.19,33840766.83,430953.50,356875.41,1680278473496,17.56,17.45
3622301.67,33823718.09,431199.61,355891.70,1680278482435,17.57,17.45
3615139.60,33791254.04,430782.28,354157.01,1680278491576,17.57,17.45
3626975.53,33795711.18,431433.45,354411.80,1680278500856,17.57,17.45
3626703.59,33812054.20,431417.87,355340.17,1680278510693,17.57,17.45
3623050.96,33811665.21,431209.07,355317.60,1680278520363,17.57,17.45
3607198.70,33807462.70,430304.75,355077.56,1680278530198,17.58,17.45
3628862.33,33799500.89,431533.73,354623.51,1680278540162,17.58,17.45
3618952.41,33836136.51,430970.44,356579.61,1680278550307,17.58,17.45
3602390.11,33828483.45,430021.03,356146.23,1680278560400,17.57,17.45
3604976.52,33834391.64,430169.45,356483.67,1680278570664,17.57,17.45
3608290.85,33845536.97,430320.17,357113.26,1680278581216,17.57,17.45
3635119.54,33843396.25,431846.80,356987.26,1680278591768,17.58,17.45
3619960.71,33794405.02,430928.23,354197.59,1680278602483,17.59,17.45
3635044.94,33797418.88,431776.97,354368.66,1680278613461,17.59,17.45
3621913.83,33810388.86,431028.83,355102.03,1680278624538,17.59,17.45
3612062.12,33808698.25,430463.11,354976.51,1680278635792,17.6,17.45
3624883.91,33835489.77,431195.44,356493.26,1680278648734,17.6,17.45
3623578.36,33840499.14,431120.71,356779.68,1680278660221,17.59,17.45
3620343.18,33809348.19,430917.31,355141.22,1680278671740,17.6,17.45
3610705.39,33786869.64,430359.55,353868.88,1680278683383,17.61,17.45
3617874.57,33822926.16,430756.61,355909.24,1680278696538,17.6,17.45
3612918.88,33826864.98,430484.81,356133.51,1680278708823,17.6,17.45
3605742.90,33831809.88,430069.77,356415.06,1680278720891,17.6,17.45
3606400.84,33834198.20,430106.06,356468.54,1680278733298,17.59,17.45
3613450.67,33826076.07,430510.10,356006.80,1680278745979,17.59,17.45
3610989.47,33825642.33,430370.10,355982.12,1680278748719,17.59,17.45
3605685.02,33834565.36,430068.47,356489.44,1680278761293,17.59,17.45
3612468.30,33827236.72,430469.47,356085.24,1680278773973,17.58,17.45
3616909.47,33818847.73,430750.48,355635.81,1680278786794,17.57,17.45
3621341.84,33822537.57,431002.68,355846.31,1680278799775,17.57,17.45
3619586.13,33835715.48,430904.72,356597.55,1680278812872,17.57,17.45
3595896.40,33824222.43,429560.16,355949.92,1680278815839,17.57,17.45
3609092.84,33812595.04,430335.82,355286.32,1680278829172,17.56,17.45
3615667.39,33822900.51,430733.98,355874.60,1680278842659,17.56,17.45
3620656.63,33816449.75,431016.78,355540.90,1680278856202,17.56,17.45
3610912.55,33820815.49,430461.85,355789.99,1680278859358,17.56,17.45
3612729.08,33828444.12,430571.62,356227.23,1680278873301,17.56,17.45
3598635.42,33815255.72,429769.75,355477.60,1680278887424,17.56,17.45
3603256.84,33815251.31,430033.25,355477.38,1680278890495,17.56,17.45
3600904.57,33818061.91,429899.31,355638.04,1680278907247,17.56,17.45
3603665.01,33826828.40,430057.29,356112.28,1680278921813,17.55,17.45
3604918.21,33823486.38,430161.38,355928.46,1680278936770,17.55,17.45
3603071.96,33825864.90,430072.63,356064.11,1680278951795,17.55,17.45
3604164.12,33825496.35,430135.85,356055.62,1680278967370,17.55,17.45
3611360.21,33813617.09,430545.05,355381.10,1680278970020,17.55,17.45
3596359.20,33810939.97,429684.16,355223.10,1680278985703,17.55,17.45
3607341.19,33816843.97,430310.63,355560.14,1680278988678,17.55,17.45
3596642.66,33817818.96,429722.29,355616.77,1680279004745,17.55,17.45
3596642.66,33818286.81,429722.29,355643.43,1680279007783,17.55,17.45
3600646.19,33830951.62,429951.72,356367.78,1680279024198,17.55,17.45
3617317.05,33810475.91,430896.94,355228.79,1680279040817,17.55,17.45
3617317.91,33790244.91,430896.94,354097.04,1680279043750,17.55,17.45
3603410.48,33799711.99,430105.28,354635.61,1680279060732,17.55,17.45
3605093.86,33791849.05,430201.51,354188.79,1680279063797,17.55,17.45
3594254.11,33824545.88,429592.21,355993.56,1680279081147,17.55,17.45
3588286.40,33851385.37,429255.35,357497.27,1680279098526,17.54,17.45
3588286.40,33851382.31,429255.35,357497.09,1680279101925,17.54,17.45
3595263.82,33858619.43,429653.87,357910.14,1680279119731,17.54,17.45
3591509.22,33851302.73,429439.73,357493.71,1680279137565,17.54,17.45
3590106.82,33860563.84,429359.73,358021.58,1680279140563,17.54,17.45
3594746.00,33854101.08,429623.94,357651.55,1680279143567,17.54,17.45
3594746.00,33854046.52,429623.94,357648.41,1680279146574,17.54,17.45
3590109.34,33850606.54,429359.78,357452.27,1680279149583,17.54,17.45
3557182.14,33852400.92,426945.16,357622.91,1680279168600,17.54,17.45
3542728.72,33826711.28,426134.89,356182.13,1680279188049,17.54,17.45
3543232.41,33823438.14,426161.43,355988.82,1680279190913,17.55,17.45
3551109.45,33823634.00,426610.57,355999.12,1680279193912,17.55,17.45
3542083.43,33808788.57,426094.78,355155.38,1680279196894,17.55,17.45
3569734.22,33839386.60,427664.92,356862.80,1680279216890,17.56,17.45
3596411.57,33863833.55,429724.42,358223.54,1680279237188,17.55,17.45
3593372.03,33865167.85,429548.57,358298.24,1680279257643,17.56,17.45
3592310.90,33845097.60,429483.05,357162.99,1680279278233,17.56,17.45
3589704.01,33843191.03,429308.91,357073.41,1680279299485,17.56,17.45
3589704.33,33843720.09,429308.90,357103.71,1680279302062,17.56,17.45
3588851.98,33839209.30,429251.03,356846.58,1680279305081,17.56,17.45
3594130.24,33841708.23,429551.92,356988.71,1680279308268,17.56,17.45
3610412.86,33845326.66,430466.21,357187.46,1680279330001,17.57,17.45
3613691.31,33828632.99,430651.13,356235.43,1680279351917,17.57,17.45
3608994.43,33847881.34,430381.40,357199.93,1680279374187,17.58,17.45
3622758.23,33852128.12,431145.35,357441.82,1680279396943,17.58,17.45
3627922.98,33848456.13,431423.61,357241.35,1680279419504,17.57,17.45
3615499.95,33853288.05,430715.55,357517.09,1680279442135,17.57,17.45
3615499.95,33855375.63,430715.55,357635.86,1680279445498,17.57,17.45
3613435.35,33856895.85,430601.80,357698.12,1680279468397,17.56,17.45
3599696.40,33860738.61,429840.06,358032.91,1680279491493,17.56,17.45
3601180.26,33861079.26,429925.02,358059.25,1680279514852,17.55,17.45
3603080.81,33869283.26,430078.30,358461.31,1680279538414,17.55,17.45
3582990.99,33822419.67,428919.65,355781.52,1680279562317,17.57,17.45
3612279.07,33832441.19,430598.21,356364.74,1680279586248,17.57,17.45
3617548.42,33843378.90,430895.29,357024.89,1680279610916,17.57,17.45
3619995.21,33831160.85,431019.87,356327.53,1680279635267,17.57,17.45
3619995.21,33831160.85,431019.87,356327.53,1680279638283,17.57,17.45
3614673.13,33869724.22,430664.44,358380.03,1680279663256,17.6,17.45
3614010.40,33871301.52,430605.91,358479.06,1680279688412,17.59,17.45
3614238.55,33871792.81,430618.38,358507.47,1680279691386,17.59,17.45
3607812.45,33862548.24,430241.00,357986.26,1680279717122,17.6,17.45
3588045.85,33862361.17,428570.13,358068.32,1680279742900,17.6,17.45
3562176.10,33865155.90,427124.07,358240.91,1680279768964,17.58,17.45
3575385.41,33864579.96,427812.37,358230.48,1680279798973,17.57,17.45
3608326.64,33853431.21,430229.45,357552.84,1680279825808,17.57,17.45
3608327.46,33855368.86,430229.45,357663.13,1680279828523,17.57,17.45
3605174.23,33864728.49,430073.30,358201.64,1680279855985,17.57,17.45
3604158.71,33875148.99,430017.20,358700.90,1680279883328,17.56,17.45
3604159.13,33871851.49,430017.19,358513.53,1680279886753,17.57,17.45
3604159.13,33867920.00,430017.19,358289.77,1680279889390,17.56,17.45
3604675.78,33871015.41,430047.13,358465.99,1680279892401,17.56,17.45
3611090.72,33871854.47,430405.59,358505.31,1680279920849,17.58,17.45
3613072.94,33847516.35,430517.17,357256.22,1680279949580,17.58,17.45
3609771.44,33853393.52,430340.95,357591.74,1680279978422,17.57,17.45
3608374.53,33854749.64,430254.86,357655.07,1680279981629,17.58,17.45
3619569.99,33855930.55,430864.78,357677.07,1680280011207,17.58,17.45
3616491.73,33871537.92,430681.03,358538.30,1680280040752,17.59,17.45
3615293.54,33857580.09,430689.31,357822.26,1680280070432,17.55,17.45
3613112.77,33868290.51,430563.13,358423.84,1680280100330,17.56,17.45
