mp,timeStamp,mean,skew
14.19,1685122226799,3617.6704800657885,-3603.4804800657885
14.19,1685122229361,3619.32593799342,-3605.13593799342
14.19,1685122232458,3625.172369956043,-3610.982369956043
14.19,1685122235330,3610.2544207037627,-3596.0644207037626
14.19,1685122238433,3609.6497928309313,-3595.4597928309313
14.19,1685122241380,3611.5821114442033,-3597.3921114442032
14.19,1685122244412,3613.845090751177,-3599.655090751177
14.19,1685122247480,3644.061219147354,-3629.871219147354
14.18,1685122250456,3721.2568255391416,-3707.0768255391417
14.18,1685122253481,3780.947100187036,-3766.7671001870362
14.18,1685122256421,3830.228775121944,-3816.0487751219443
14.18,1685122259594,3876.8371801515905,-3862.6571801515906
14.18,1685122265527,3953.1147844234356,-3938.9347844234358
14.18,1685122271524,4008.5824447176037,-3994.402444717604
14.18,1685122277598,4052.0697218941195,-4037.8897218941197
14.18,1685122292779,4101.999537177106,-4087.8195371771058
14.18,1685122295804,4107.282618950326,-4093.102618950326
14.18,1685122308056,4134.438651600751,-4120.25865160075
14.18,1685122311030,4139.362396423828,-4125.182396423827
14.18,1685122314097,4142.921783146476,-4128.741783146475
14.18,1685122329385,4161.070468640696,-4146.890468640696
14.18,1685122332440,4165.018397846248,-4150.838397846248
14.18,1685122335467,4168.138010327756,-4153.958010327756
14.18,1685122338512,4171.086042979777,-4156.906042979776
14.19,1685122344515,4152.35230363198,-4138.162303631981
14.19,1685122347550,4143.440709209536,-4129.250709209537
14.18,1685122356887,4129.227378562295,-4115.047378562294
14.19,1685122366108,4107.861569781577,-4093.6715697815766
14.18,1685122375221,4115.202651268437,-4101.022651268437
14.18,1685122384482,4121.4052095542265,-4107.225209554226
14.18,1685122387482,4123.815791223757,-4109.635791223756
14.18,1685122396836,4128.946885255473,-4114.7668852554725
14.18,1685122412303,4139.092171565196,-4124.912171565195
14.18,1685122415626,4140.542542830433,-4126.362542830433
14.18,1685122419105,4142.281675464732,-4128.101675464732
14.18,1685122432018,4131.771072996132,-4117.5910729961315
14.18,1685122442272,4135.469499796644,-4121.289499796644
14.18,1685122452863,4136.728394049721,-4122.548394049721
14.18,1685122457535,4136.8089018590545,-4122.628901859054
14.18,1685122465336,4138.149405763913,-4123.969405763913
14.18,1685122473341,4139.638001645782,-4125.458001645782
14.18,1685122481490,4132.746332072834,-4118.566332072834
14.17,1685122490011,4116.661407734823,-4102.491407734823
