bc,ac,tbv,tav,time,mp,minBid
4586664.94,11015140.49,479679.76,210460.33,1675088868188,20.37,20.29
4570548.74,11030038.76,478892.21,211193.18,1675088870902,20.36,20.28
4580941.98,11006608.68,479402.79,210042.97,1675088873763,20.37,20.28
4589436.20,11015452.00,479821.41,210477.23,1675088876791,20.36,20.28
4574889.05,11028990.92,479109.54,211144.92,1675088879809,20.35,20.27
4566658.96,11017924.19,478732.15,210604.93,1675088883217,20.35,20.26
4581002.72,11032535.95,479437.93,211321.78,1675088885801,20.35,20.26
4587764.06,11028190.45,479770.41,211108.14,1675088888948,20.35,20.26
4585866.88,11027544.21,479677.02,211076.42,1675088891896,20.35,20.26
4580523.46,11039466.46,479415.15,211662.15,1675088894869,20.35,20.26
4584213.82,11037695.19,479596.69,211575.44,1675088897752,20.35,20.26
4577473.63,11039655.67,479265.21,211672.40,1675088900776,20.35,20.26
4571280.98,11030512.73,478971.74,211230.86,1675088903795,20.34,20.26
4570695.82,11030709.48,478943.85,211241.44,1675088906772,20.34,20.26
4580817.64,11044076.99,479518.92,211900.75,1675088909790,20.33,20.25
4591228.76,11026814.57,480083.18,211065.06,1675088913798,20.33,20.24
4554134.77,11033967.80,478332.14,211421.29,1675088915811,20.31,20.22
4563362.80,11033555.52,478787.07,211401.52,1675088918987,20.31,20.22
4574986.87,10996058.73,479356.43,209604.89,1675088922558,20.32,20.22
4581091.70,11009501.73,479653.58,210259.43,1675088925209,20.33,20.22
4568475.73,11017980.12,479031.77,210691.27,1675088927902,20.32,20.22
4564587.75,11025042.30,478840.34,211039.53,1675088931087,20.32,20.22
4549329.87,11037763.12,478088.94,211665.90,1675088934220,20.32,20.22
4579817.46,11046216.61,479592.44,212094.13,1675088936801,20.32,20.22
4576993.75,11038344.91,479470.63,211719.82,1675088940000,20.3,20.22
4579758.60,11036048.94,479638.45,211602.74,1675088943123,20.3,20.22
4585983.17,11029443.43,479952.18,211275.99,1675088946213,20.3,20.22
4518936.48,10920035.26,476622.83,205883.68,1675088950869,20.35,20.22
4495593.00,10922068.85,475433.14,205973.70,1675088952081,20.34,20.22
4509784.11,10935524.73,476132.63,206635.89,1675088955199,20.34,20.22
4503990.90,10931382.40,475873.10,206442.94,1675088958247,20.31,20.22
4517246.46,10932658.26,476527.19,206508.31,1675088961247,20.31,20.22
4520167.52,10917416.39,476667.85,205758.77,1675088964043,20.32,20.22
4512642.29,10926578.50,476296.11,206283.90,1675088967181,20.32,20.22
4508683.35,10925819.46,476085.63,206247.52,1675088970140,20.32,20.22
4512137.51,10934155.88,476256.09,206657.90,1675088972970,20.32,20.22
4515315.87,10933830.56,476412.64,206642.14,1675088976060,20.32,20.22
4520558.90,10932680.80,476670.71,206585.55,1675088978995,20.32,20.22
4523660.08,10923916.15,476823.97,206154.46,1675088981983,20.32,20.22
4528376.72,10929842.29,477056.18,206445.89,1675088985013,20.32,20.22
4496289.72,10933239.35,475478.79,206615.11,1675088988162,20.31,20.22
4517552.98,10940582.70,476537.75,206980.77,1675088991207,20.3,20.22
4514095.77,10932610.34,476362.78,206588.18,1675088994124,20.31,20.22
4509058.04,10933181.73,476115.06,206616.50,1675088996977,20.31,20.22
4502404.13,10931176.01,475785.85,206518.82,1675089000147,20.31,20.22
4512025.17,10916843.24,476259.10,205809.31,1675089003172,20.32,20.22
4513624.45,10927148.56,476337.47,206315.90,1675089006101,20.32,20.22
4581542.31,11000697.45,479693.44,209928.84,1675089009019,20.31,20.22
4595441.10,11001283.26,480379.03,209957.58,1675089012136,20.31,20.22
4604764.79,10978350.32,480827.18,208817.67,1675089015214,20.34,20.22
4607537.27,10983212.14,480958.18,209055.26,1675089018515,20.34,20.22
4611216.52,10991186.10,481115.23,209426.48,1675089021126,20.36,20.22
4610370.30,11004200.52,481061.82,210063.92,1675089024199,20.36,20.22
4604999.51,10991224.54,480793.48,209425.86,1675089027576,20.36,20.22
4583944.04,10982084.11,479739.70,208957.87,1675089031113,20.38,20.22
4600546.05,10982151.74,480503.39,208915.95,1675089034030,20.38,20.22
4602646.26,10993575.86,480607.17,209477.05,1675089037050,20.37,20.22
4596629.72,10990178.32,480309.99,209307.62,1675089040183,20.38,20.22
4606516.44,11000209.17,480804.36,209811.49,1675089043409,20.36,20.22
4582252.92,10996764.31,479639.85,209651.83,1675089046680,20.36,20.22
4590141.40,10995227.66,480023.26,209571.08,1675089049621,20.37,20.22
4576039.22,10996721.62,479332.94,209647.32,1675089052783,20.36,20.22
4571973.15,11023947.99,479134.71,210986.33,1675089056248,20.35,20.22
4567462.50,11023487.46,478943.54,210974.35,1675089059953,20.34,20.22
4448618.27,10884274.04,473173.97,204228.35,1675089062935,20.3,20.22
4496676.64,10936909.01,475585.92,206803.07,1675089065833,20.29,20.21
4496837.03,10933154.77,475606.15,206617.26,1675089069975,20.3,20.21
4512724.49,10922201.34,476381.24,206088.28,1675089074085,20.31,20.21
4485175.77,10930300.74,475019.50,206501.48,1675089076900,20.3,20.21
4507847.45,10918709.08,476137.47,205929.03,1675089080063,20.31,20.21
4511728.64,10915094.41,476328.21,205751.84,1675089082985,20.31,20.21
4503120.70,10909106.91,475892.81,205455.16,1675089085859,20.32,20.21
4508653.52,10898988.54,476112.34,204915.18,1675089088904,20.35,20.21
4497180.37,10925462.72,475513.22,206212.16,1675089093796,20.33,20.21
4513228.68,10912740.24,476309.75,205587.38,1675089096585,20.34,20.21
3018256.19,9991518.55,401321.99,161143.16,1675089101385,20.34,20.21
3007923.48,10012273.17,400814.95,162165.62,1675089104503,20.33,20.21
3016850.87,9997041.62,401280.46,161418.79,1675089107838,20.33,20.21
3009204.65,10012838.89,400904.19,162195.96,1675089110534,20.32,20.21
2885520.93,9585132.86,394837.55,141226.23,1675089113637,20.31,20.21
2996078.89,10019970.35,400290.77,162582.77,1675089119134,20.31,20.21
4582091.22,11008380.42,479920.02,210446.74,1675089124782,20.32,20.21
4486441.69,10563629.78,475177.44,188613.22,1675089130371,20.35,20.21
4494870.86,10942712.55,475591.55,207138.05,1675089135998,20.34,20.21
4468474.18,10951070.51,474293.68,207551.24,1675089138929,20.33,20.21
4480537.46,10942589.55,474955.20,207206.66,1675089145227,20.3,20.21
4481658.62,10956708.58,474972.88,207900.39,1675089151719,20.3,20.21
4478980.75,10957651.12,474840.85,207946.60,1675089154684,20.3,20.21
4470390.26,10957073.70,474417.13,207924.78,1675089157322,20.3,20.21
4477586.56,10960772.77,474777.94,208118.11,1675089160229,20.3,20.21
4484067.42,10969759.86,475098.02,208561.36,1675089163183,20.29,20.21
4499800.88,10957092.59,475872.89,207937.02,1675089166210,20.3,20.21
4490041.31,10943242.63,475389.89,207254.27,1675089173533,20.3,20.21
4479939.64,10946611.90,474893.73,207421.58,1675089176195,20.29,20.21
4485727.56,10978760.86,475184.83,208047.55,1675089183457,20.29,20.21
4545784.45,11069312.82,478226.09,212511.70,1675089192131,20.27,20.19
4578511.86,11079746.80,479862.32,213026.99,1675089195110,20.27,20.19
4559759.85,11084459.60,478923.69,213270.76,1675089202795,20.27,20.19
4553786.01,11071496.85,478628.69,212631.88,1675089205646,20.27,20.19
4558857.53,11074119.10,478879.16,212761.14,1675089208740,20.27,20.19
4566477.92,11067976.46,479252.85,212456.68,1675089216946,20.28,20.19
4567087.15,11075843.52,479281.66,212845.23,1675089225305,20.28,20.19
4572965.43,11072518.50,479581.32,212683.80,1675089233629,20.27,20.19
4571973.64,11070975.29,479526.14,212605.04,1675089242146,20.28,20.19
4563332.44,11061598.83,479095.06,212139.13,1675089250884,20.28,20.19
4560842.78,11075678.95,478982.28,212834.77,1675089253789,20.27,20.19
4564995.99,11068311.57,479189.35,212511.56,1675089262747,20.27,20.19
4554299.37,11076870.12,478661.17,212934.69,1675089265869,20.27,20.19
4563300.26,11076453.51,479267.12,212987.34,1675089275426,20.25,20.17
4564322.74,11065244.51,479387.99,212443.72,1675089284908,20.23,20.15
4562744.65,11051886.05,479339.31,211800.53,1675089294539,20.24,20.15
4571732.14,11071704.18,479742.89,212749.99,1675089304374,20.26,20.15
4565192.92,11080128.19,479456.33,213184.30,1675089314329,20.24,20.15
4574765.05,11056799.93,479891.17,212057.73,1675089324277,20.27,20.15
4579457.62,11054087.92,480103.94,211898.14,1675089334481,20.28,20.15
4575868.75,11057130.36,479926.66,212047.77,1675089337594,20.28,20.15
4569474.78,11055300.30,479556.64,211961.31,1675089348122,20.28,20.15
4573136.57,11058003.79,479774.98,212096.70,1675089358653,20.28,20.15
4564473.19,11057914.07,479374.64,212098.66,1675089361623,20.26,20.15
4531448.15,11057122.30,477764.68,212059.71,1675089372483,20.27,20.15
4532005.26,11069888.48,477793.82,212690.59,1675089375650,20.26,20.15
4542746.95,11068021.35,478328.67,212600.22,1675089386614,20.26,20.15
4540850.96,11095807.19,478235.77,213972.62,1675089389777,20.25,20.15
4540721.92,11077840.07,478226.17,213094.61,1675089392742,20.25,20.15
4539897.14,11094649.66,478189.07,213932.36,1675089395727,20.25,20.15
4531424.18,11069630.71,477817.76,212762.46,1675089407719,20.22,20.14
4530448.18,11082120.10,477770.65,213378.24,1675089420599,20.23,20.14
4541085.79,11067786.35,478303.94,212657.54,1675089423474,20.22,20.14
4545262.63,11080120.56,478524.38,213268.12,1675089426514,20.23,20.14
4538974.67,11084336.44,478213.59,213478.41,1675089429919,20.22,20.14
4544153.41,11060726.04,478450.83,212288.13,1675089442916,20.24,20.14
4536908.91,11064937.81,478049.83,212494.46,1675089456031,20.26,20.14
4551711.52,11074754.71,478781.93,212978.70,1675089459083,20.26,20.14
4548096.85,11073976.28,478571.46,212936.62,1675089462191,20.27,20.14
4560254.36,11088129.44,479179.76,213647.60,1675089476027,20.25,20.14
4550572.48,11080346.88,478803.87,213349.28,1675089489990,20.24,20.14
4559925.96,11028562.31,479240.29,210711.14,1675089504285,20.27,20.14
4555650.01,11051071.38,478997.81,211785.30,1675089518597,20.28,20.14
4548095.53,11049667.53,478607.40,211690.18,1675089533023,20.3,20.14
4554484.78,11034611.74,478910.58,210896.49,1675089547602,20.32,20.14
4568941.74,11051274.91,479600.57,211641.12,1675089562061,20.33,20.14
